model,draw,source_band,test_band,circuit_type,n_edges,accuracy,top5_accuracy
pythia-70m,draw_1,low,low,cross_band,380,0.17777777777777778,0.29777777777777775
pythia-70m,draw_1,low,medium,cross_band,380,0.2311111111111111,0.3466666666666667
pythia-70m,draw_1,low,high,cross_band,380,0.26666666666666666,0.4444444444444444
pythia-70m,draw_1,low,very_high,cross_band,380,0.4088888888888889,0.6711111111111111
pythia-70m,draw_1,low,control,cross_band,380,0.37777777777777777,0.5777777777777777
pythia-70m,draw_1,medium,low,cross_band,395,0.15555555555555556,0.26666666666666666
pythia-70m,draw_1,medium,medium,cross_band,395,0.20444444444444446,0.29777777777777775
pythia-70m,draw_1,medium,high,cross_band,395,0.24,0.3511111111111111
pythia-70m,draw_1,medium,very_high,cross_band,395,0.28888888888888886,0.4444444444444444
pythia-70m,draw_1,medium,control,cross_band,395,0.24888888888888888,0.4533333333333333
pythia-70m,draw_1,high,low,cross_band,414,0.26222222222222225,0.37333333333333335
pythia-70m,draw_1,high,medium,cross_band,414,0.3244444444444444,0.43555555555555553
pythia-70m,draw_1,high,high,cross_band,414,0.3688888888888889,0.5066666666666667
pythia-70m,draw_1,high,very_high,cross_band,414,0.5511111111111111,0.7022222222222222
pythia-70m,draw_1,high,control,cross_band,414,0.49777777777777776,0.6666666666666666
pythia-70m,draw_1,very_high,low,cross_band,424,0.2,0.28888888888888886
pythia-70m,draw_1,very_high,medium,cross_band,424,0.24444444444444444,0.3511111111111111
pythia-70m,draw_1,very_high,high,cross_band,424,0.31555555555555553,0.40444444444444444
pythia-70m,draw_1,very_high,very_high,cross_band,424,0.4622222222222222,0.6488888888888888
pythia-70m,draw_1,very_high,control,cross_band,424,0.41333333333333333,0.6044444444444445
pythia-70m,draw_1,control,low,cross_band,435,0.3244444444444444,0.4711111111111111
pythia-70m,draw_1,control,medium,cross_band,435,0.4222222222222222,0.52
pythia-70m,draw_1,control,high,cross_band,435,0.49333333333333335,0.5777777777777777
pythia-70m,draw_1,control,very_high,cross_band,435,0.6666666666666666,0.8222222222222222
pythia-70m,draw_1,control,control,cross_band,435,0.6177777777777778,0.7866666666666666
pythia-70m,draw_2,low,low,cross_band,396,0.36,0.47555555555555556
pythia-70m,draw_2,low,medium,cross_band,396,0.38666666666666666,0.48444444444444446
pythia-70m,draw_2,low,high,cross_band,396,0.49777777777777776,0.6533333333333333
pythia-70m,draw_2,low,very_high,cross_band,396,0.5466666666666666,0.6933333333333334
pythia-70m,draw_2,low,control,cross_band,396,0.4888888888888889,0.6622222222222223
pythia-70m,draw_2,medium,low,cross_band,392,0.17777777777777778,0.36444444444444446
pythia-70m,draw_2,medium,medium,cross_band,392,0.21777777777777776,0.38666666666666666
pythia-70m,draw_2,medium,high,cross_band,392,0.3244444444444444,0.47555555555555556
pythia-70m,draw_2,medium,very_high,cross_band,392,0.3511111111111111,0.49333333333333335
pythia-70m,draw_2,medium,control,cross_band,392,0.32,0.47555555555555556
pythia-70m,draw_2,high,low,cross_band,405,0.21777777777777776,0.35555555555555557
pythia-70m,draw_2,high,medium,cross_band,405,0.18666666666666668,0.3511111111111111
pythia-70m,draw_2,high,high,cross_band,405,0.3288888888888889,0.5066666666666667
pythia-70m,draw_2,high,very_high,cross_band,405,0.41333333333333333,0.6044444444444445
pythia-70m,draw_2,high,control,cross_band,405,0.3511111111111111,0.52
pythia-70m,draw_2,very_high,low,cross_band,417,0.24,0.38666666666666666
pythia-70m,draw_2,very_high,medium,cross_band,417,0.28,0.4088888888888889
pythia-70m,draw_2,very_high,high,cross_band,417,0.37777777777777777,0.5688888888888889
pythia-70m,draw_2,very_high,very_high,cross_band,417,0.5155555555555555,0.7022222222222222
pythia-70m,draw_2,very_high,control,cross_band,417,0.4088888888888889,0.6133333333333333
pythia-70m,draw_2,control,low,cross_band,410,0.4,0.49777777777777776
pythia-70m,draw_2,control,medium,cross_band,410,0.44,0.56
pythia-70m,draw_2,control,high,cross_band,410,0.5911111111111111,0.7288888888888889
pythia-70m,draw_2,control,very_high,cross_band,410,0.6444444444444445,0.7511111111111111
pythia-70m,draw_2,control,control,cross_band,410,0.5733333333333334,0.7244444444444444
pythia-70m,draw_3,low,low,cross_band,391,0.2222222222222222,0.29777777777777775
pythia-70m,draw_3,low,medium,cross_band,391,0.3422222222222222,0.4088888888888889
pythia-70m,draw_3,low,high,cross_band,391,0.4533333333333333,0.5866666666666667
pythia-70m,draw_3,low,very_high,cross_band,391,0.5555555555555556,0.7022222222222222
pythia-70m,draw_3,low,control,cross_band,391,0.5244444444444445,0.68
pythia-70m,draw_3,medium,low,cross_band,406,0.06666666666666667,0.17333333333333334
pythia-70m,draw_3,medium,medium,cross_band,406,0.15555555555555556,0.3022222222222222
pythia-70m,draw_3,medium,high,cross_band,406,0.2222222222222222,0.4088888888888889
pythia-70m,draw_3,medium,very_high,cross_band,406,0.28888888888888886,0.47555555555555556
pythia-70m,draw_3,medium,control,cross_band,406,0.27555555555555555,0.44
pythia-70m,draw_3,high,low,cross_band,431,0.1111111111111111,0.19111111111111112
pythia-70m,draw_3,high,medium,cross_band,431,0.24,0.3333333333333333
pythia-70m,draw_3,high,high,cross_band,431,0.28888888888888886,0.39555555555555555
pythia-70m,draw_3,high,very_high,cross_band,431,0.36444444444444446,0.5866666666666667
pythia-70m,draw_3,high,control,cross_band,431,0.37777777777777777,0.52
pythia-70m,draw_3,very_high,low,cross_band,417,0.11555555555555555,0.17333333333333334
pythia-70m,draw_3,very_high,medium,cross_band,417,0.20444444444444446,0.3111111111111111
pythia-70m,draw_3,very_high,high,cross_band,417,0.23555555555555555,0.39111111111111113
pythia-70m,draw_3,very_high,very_high,cross_band,417,0.3333333333333333,0.5333333333333333
pythia-70m,draw_3,very_high,control,cross_band,417,0.31555555555555553,0.5111111111111111
pythia-70m,draw_3,control,low,cross_band,426,0.11555555555555555,0.17777777777777778
pythia-70m,draw_3,control,medium,cross_band,426,0.2311111111111111,0.32
pythia-70m,draw_3,control,high,cross_band,426,0.3244444444444444,0.4888888888888889
pythia-70m,draw_3,control,very_high,cross_band,426,0.52,0.6933333333333334
pythia-70m,draw_3,control,control,cross_band,426,0.4711111111111111,0.6488888888888888
pythia-160m,draw_1,low,low,cross_band,1463,0.0044444444444444444,0.035555555555555556
pythia-160m,draw_1,low,medium,cross_band,1463,0.008888888888888889,0.07555555555555556
pythia-160m,draw_1,low,high,cross_band,1463,0.008888888888888889,0.07555555555555556
pythia-160m,draw_1,low,very_high,cross_band,1463,0.008888888888888889,0.08
pythia-160m,draw_1,low,control,cross_band,1463,0.013333333333333334,0.03111111111111111
pythia-160m,draw_1,medium,low,cross_band,1446,0.1511111111111111,0.3244444444444444
pythia-160m,draw_1,medium,medium,cross_band,1446,0.2,0.38222222222222224
pythia-160m,draw_1,medium,high,cross_band,1446,0.23555555555555555,0.3422222222222222
pythia-160m,draw_1,medium,very_high,cross_band,1446,0.19111111111111112,0.3377777777777778
pythia-160m,draw_1,medium,control,cross_band,1446,0.18222222222222223,0.3422222222222222
pythia-160m,draw_1,high,low,cross_band,1360,0.04888888888888889,0.36444444444444446
pythia-160m,draw_1,high,medium,cross_band,1360,0.08888888888888889,0.43555555555555553
pythia-160m,draw_1,high,high,cross_band,1360,0.15555555555555556,0.5288888888888889
pythia-160m,draw_1,high,very_high,cross_band,1360,0.17777777777777778,0.5422222222222223
pythia-160m,draw_1,high,control,cross_band,1360,0.19555555555555557,0.5511111111111111
pythia-160m,draw_1,very_high,low,cross_band,1358,0.057777777777777775,0.13777777777777778
pythia-160m,draw_1,very_high,medium,cross_band,1358,0.09333333333333334,0.2088888888888889
pythia-160m,draw_1,very_high,high,cross_band,1358,0.12,0.26666666666666666
pythia-160m,draw_1,very_high,very_high,cross_band,1358,0.13333333333333333,0.27111111111111114
pythia-160m,draw_1,very_high,control,cross_band,1358,0.13333333333333333,0.25333333333333335
pythia-160m,draw_1,control,low,cross_band,1392,0.04,0.10666666666666667
pythia-160m,draw_1,control,medium,cross_band,1392,0.08444444444444445,0.17333333333333334
pythia-160m,draw_1,control,high,cross_band,1392,0.10666666666666667,0.2222222222222222
pythia-160m,draw_1,control,very_high,cross_band,1392,0.13333333333333333,0.29333333333333333
pythia-160m,draw_1,control,control,cross_band,1392,0.09777777777777778,0.24
pythia-160m,draw_2,low,low,cross_band,1483,0.008888888888888889,0.04888888888888889
pythia-160m,draw_2,low,medium,cross_band,1483,0.0044444444444444444,0.035555555555555556
pythia-160m,draw_2,low,high,cross_band,1483,0.017777777777777778,0.044444444444444446
pythia-160m,draw_2,low,very_high,cross_band,1483,0.013333333333333334,0.02666666666666667
pythia-160m,draw_2,low,control,cross_band,1483,0.013333333333333334,0.04
pythia-160m,draw_2,medium,low,cross_band,1513,0.10666666666666667,0.24444444444444444
pythia-160m,draw_2,medium,medium,cross_band,1513,0.1111111111111111,0.26666666666666666
pythia-160m,draw_2,medium,high,cross_band,1513,0.13777777777777778,0.3022222222222222
pythia-160m,draw_2,medium,very_high,cross_band,1513,0.19555555555555557,0.3422222222222222
pythia-160m,draw_2,medium,control,cross_band,1513,0.18222222222222223,0.36444444444444446
pythia-160m,draw_2,high,low,cross_band,1454,0.044444444444444446,0.11555555555555555
pythia-160m,draw_2,high,medium,cross_band,1454,0.04888888888888889,0.14222222222222222
pythia-160m,draw_2,high,high,cross_band,1454,0.04888888888888889,0.1511111111111111
pythia-160m,draw_2,high,very_high,cross_band,1454,0.04,0.14666666666666667
pythia-160m,draw_2,high,control,cross_band,1454,0.044444444444444446,0.17777777777777778
pythia-160m,draw_2,very_high,low,cross_band,1306,0.0,0.0044444444444444444
pythia-160m,draw_2,very_high,medium,cross_band,1306,0.0,0.0
pythia-160m,draw_2,very_high,high,cross_band,1306,0.0,0.0
pythia-160m,draw_2,very_high,very_high,cross_band,1306,0.0,0.008888888888888889
pythia-160m,draw_2,very_high,control,cross_band,1306,0.0,0.013333333333333334
pythia-160m,draw_2,control,low,cross_band,1380,0.17333333333333334,0.29333333333333333
pythia-160m,draw_2,control,medium,cross_band,1380,0.12444444444444444,0.2577777777777778
pythia-160m,draw_2,control,high,cross_band,1380,0.15555555555555556,0.28444444444444444
pythia-160m,draw_2,control,very_high,cross_band,1380,0.17333333333333334,0.2311111111111111
pythia-160m,draw_2,control,control,cross_band,1380,0.13777777777777778,0.2088888888888889
pythia-160m,draw_3,low,low,cross_band,1408,0.044444444444444446,0.11555555555555555
pythia-160m,draw_3,low,medium,cross_band,1408,0.08888888888888889,0.25333333333333335
pythia-160m,draw_3,low,high,cross_band,1408,0.11555555555555555,0.27555555555555555
pythia-160m,draw_3,low,very_high,cross_band,1408,0.16444444444444445,0.3422222222222222
pythia-160m,draw_3,low,control,cross_band,1408,0.1288888888888889,0.32
pythia-160m,draw_3,medium,low,cross_band,1475,0.17333333333333334,0.4222222222222222
pythia-160m,draw_3,medium,medium,cross_band,1475,0.30666666666666664,0.48
pythia-160m,draw_3,medium,high,cross_band,1475,0.29333333333333333,0.5644444444444444
pythia-160m,draw_3,medium,very_high,cross_band,1475,0.36444444444444446,0.56
pythia-160m,draw_3,medium,control,cross_band,1475,0.3511111111111111,0.5955555555555555
pythia-160m,draw_3,high,low,cross_band,1385,0.24,0.4088888888888889
pythia-160m,draw_3,high,medium,cross_band,1385,0.3111111111111111,0.48444444444444446
pythia-160m,draw_3,high,high,cross_band,1385,0.27111111111111114,0.4488888888888889
pythia-160m,draw_3,high,very_high,cross_band,1385,0.27111111111111114,0.4488888888888889
pythia-160m,draw_3,high,control,cross_band,1385,0.27111111111111114,0.4533333333333333
pythia-160m,draw_3,very_high,low,cross_band,1330,0.28888888888888886,0.5644444444444444
