model,same_band_boost_mean,same_band_boost_std,cross_band_boost_mean,cross_band_boost_std,random_boost_mean,random_boost_std,transfer_efficiency,cohens_d_same_vs_cross,p_same_gt_cross,p_same_gt_random,n_pairs,verdict
pythia-70m,0.12207407407407408,0.054582892751025604,0.09940740740740744,0.03491679311879832,0.014044444444444458,0.02497593244798062,0.8143203883495148,0.49471706294833195,0.004180908203125,3.0517578125e-05,15,BAND-SPECIFIC
pythia-160m,0.30400000000000005,0.05908418582911303,0.2815555555555555,0.04761609161901005,0.02779259259259258,0.04904984503204918,0.9261695906432745,0.418291686767334,0.000579833984375,3.0517578125e-05,15,BAND-SPECIFIC
pythia-410m,0.45007407407407396,0.08042902792049612,0.4340740740740741,0.06429143180096267,0.023881481481481462,0.07183058257171936,0.9644502962475316,0.21975392539299343,0.004180908203125,3.0517578125e-05,15,BAND-SPECIFIC
pythia-1b,0.5131851851851852,0.09106761985173183,0.4845925925925927,0.06425497904413006,0.027140740740740785,0.08896660306488807,0.9442840646651272,0.3628043885787094,0.0014299857314040937,3.0517578125e-05,15,BAND-SPECIFIC
pythia-1.4b,0.7555555555555558,0.02678164512824098,0.7328148148148147,0.03692026034770966,0.010014814814814836,0.08553831347824395,0.9699019607843133,0.7050990573134844,0.027679443359375,3.0517578125e-05,15,BAND-SPECIFIC
