model,test_band,base_acc,full_circuit_acc,full_circuit_std,full_n_edges,full_retention,universal_acc,universal_acc_std,universal_top5,universal_n_edges,specific_acc,specific_acc_std,specific_n_edges,random_acc,universal_retention,pooled_comp_acc,pooled_comp_std,pooled_comp_edges,per_band_comp_acc,per_band_comp_std,per_band_comp_edges,random_comp_acc,random_comp_std,complement_retention,accuracy_drop
pythia-70m,low,0.3007407407407407,0.2429629629629629,0.0590180275171617,389.0,0.8029724528168015,0.1822222222222222,0.0277555466595484,0.3348148148148148,301.6666666666667,0.0,0.0,87.33333333333333,,0.7500000000000001,0.0,0.0,231.0,0.0,0.0,87.33333333333333,0.0,0.0,0.0,0.2429629629629629
pythia-70m,medium,0.3999999999999999,0.3481481481481481,0.0359240167495767,397.6666666666667,0.8690604716920506,0.2607407407407407,0.044959973053314,0.3940740740740741,301.6666666666667,0.0,0.0,96.0,,0.748936170212766,0.0,0.0,231.0,0.0,0.0,96.0,0.0,0.0,0.0,0.3481481481481481
pythia-70m,high,0.5022222222222222,0.4162962962962963,0.0456142350173056,416.6666666666667,0.8295828218576796,0.2903703703703704,0.0336527901973349,0.4696296296296296,301.6666666666667,0.0,0.0,115.0,,0.6975088967971531,0.0,0.0,231.0,0.0,0.0,115.0,0.0,0.0,0.0,0.4162962962962963
pythia-70m,very_high,0.6696296296296297,0.5496296296296297,0.0370073955460645,419.3333333333333,0.8203257007119209,0.3851851851851851,0.0555703683955883,0.5792592592592593,301.6666666666667,0.0,0.0,117.66666666666669,,0.700808625336927,0.0,0.0,231.0,0.0,0.0,117.66666666666667,0.0,0.0,0.0,0.5496296296296297
pythia-70m,control,0.5955555555555555,0.525925925925926,0.0156083759301522,423.6666666666667,0.8846239404364273,0.354074074074074,0.0135780020591283,0.5525925925925926,301.6666666666667,0.0,0.0,122.0,,0.6732394366197181,0.0,0.0,231.0,0.0,0.0,122.0,0.0002962962962962963,0.0011475506210984938,0.0,0.525925925925926
pythia-160m,low,0.9288888888888888,0.8903703703703704,0.0128300059819916,1451.3333333333333,0.9585091078512132,0.482962962962963,0.0866761628225782,0.7496296296296295,713.3333333333334,0.0,0.0,738.0,,0.5424292845257904,0.0,0.0,1617.3333333333333,0.0,0.0,738.0,0.0,0.0,0.0,0.8903703703703704
pythia-160m,medium,0.9570370370370372,0.9111111111111112,0.0160246723353954,1478.0,0.951995406258972,0.5911111111111111,0.087545402682632,0.831111111111111,713.3333333333334,0.0,0.0,764.6666666666666,,0.6487804878048781,0.0,0.0,1617.3333333333333,0.0,0.0,764.6666666666666,0.0,0.0,0.0,0.9111111111111112
pythia-160m,high,0.96,0.9229629629629628,0.0111849399041047,1399.6666666666667,0.9615172705072388,0.668148148148148,0.0862191675671197,0.8414814814814814,713.3333333333334,0.0014814814814814,0.0025660011963983,686.3333333333334,,0.723916532905297,0.0014814814814814814,0.002566001196398337,1617.3333333333333,0.0014814814814814814,0.002566001196398337,686.3333333333334,0.0011851851851851852,0.0020343898142980597,0.001605136436597111,0.9214814814814812
pythia-160m,very_high,0.9688888888888888,0.9511111111111112,0.0133333333333333,1331.3333333333333,0.98164420112431,0.7051851851851852,0.0327605102036977,0.8488888888888889,713.3333333333334,0.0,0.0,618.0,,0.7414330218068536,0.0,0.0,1617.3333333333333,0.0,0.0,618.0,0.0005925925925925926,0.001563847890108882,0.0,0.9511111111111112
pythia-160m,control,0.977777777777778,0.9362962962962964,0.0111849399041048,1372.3333333333333,0.9576699987658892,0.6444444444444445,0.0556887292717407,0.8237037037037037,713.3333333333334,0.0,0.0,659.0,,0.6882911392405063,0.0,0.0,1617.3333333333333,0.0,0.0,659.0,0.0,0.0,0.0,0.9362962962962964
