model,mean_abl_gap,zero_abl_gap
pythia-70m,0.21866666666666668,0.128
pythia-160m,0.3357037037037038,0.8965925925925925
pythia-410m,0.4752592592592593,0.3496296296296296
pythia-1b,0.5736296296296298,0.8047407407407408
pythia-1.4b,0.8506666666666668,0.8382222222222222
