model,ablation,same_band_boost_mean,cross_band_boost_mean,transfer_efficiency,cohens_d
pythia-70m,mean,0.122074074074074,0.0994074074074074,0.8143203883495148,0.4947170629483319
pythia-160m,mean,0.304,0.2815555555555555,0.9261695906432744,0.418291686767334
pythia-410m,mean,0.4500740740740739,0.4340740740740741,0.9644502962475316,0.2197539253929934
pythia-1b,mean,0.5131851851851852,0.4845925925925927,0.9442840646651272,0.3628043885787094
pythia-1.4b,mean,0.7555555555555558,0.7328148148148147,0.9699019607843132,0.7050990573134844
pythia-70m,zero,-0.11466666666666667,-0.12681481481481482,,0.17934093021079262
pythia-160m,zero,0.12711111111111112,0.12681481481481482,0.9976689976689976,0.0030768821127889192
pythia-410m,zero,0.0014814814814814816,0.001851851851851852,1.25,-0.16095569499491255
pythia-1b,zero,0.0008888888888888889,0.0012592592592592592,1.4166666666666665,-0.13528344518723517
pythia-1.4b,zero,0.0038518518518518515,0.0028148148148148147,0.7307692307692308,0.1489783271300847
