model,band,draw,layer,cka_base_circuit,mean_delta_norm
pythia-160m,low,draw_2,9,0.9742670473142656,2.263763904571533
pythia-160m,low,draw_2,10,0.9771906141555725,2.3343071937561035
pythia-160m,low,draw_2,11,0.9754908318993141,3.090867757797241
pythia-160m,low,draw_3,0,0.9994619597048874,0.45138928294181824
pythia-160m,low,draw_3,1,0.9958852249713493,0.9952982664108276
pythia-160m,low,draw_3,2,0.9956246143998767,1.1190680265426636
pythia-160m,low,draw_3,3,0.9972071771070924,1.2444040775299072
pythia-160m,low,draw_3,4,0.9954408585785494,1.2921969890594482
pythia-160m,low,draw_3,5,0.9860034066472249,1.5546858310699463
pythia-160m,low,draw_3,6,0.9832368414372602,1.558251142501831
pythia-160m,low,draw_3,7,0.9791457161672517,1.8722525835037231
pythia-160m,low,draw_3,8,0.978136080465484,2.252487897872925
pythia-160m,low,draw_3,9,0.9765245971274263,2.4078049659729004
pythia-160m,low,draw_3,10,0.9729988683928384,2.527038812637329
pythia-160m,low,draw_3,11,0.9736328318337203,3.3303778171539307
pythia-160m,medium,draw_1,0,0.9993921538653416,0.45800644159317017
pythia-160m,medium,draw_1,1,0.9967167516717232,0.7957963347434998
pythia-160m,medium,draw_1,2,0.9974769568140449,0.8902155160903931
pythia-160m,medium,draw_1,3,0.9983826860129258,0.8991288542747498
pythia-160m,medium,draw_1,4,0.9975390186374091,0.9057580828666687
pythia-160m,medium,draw_1,5,0.9940120652211715,1.0859096050262451
pythia-160m,medium,draw_1,6,0.9926251099293628,1.1956144571304321
pythia-160m,medium,draw_1,7,0.9869814001984663,1.5470874309539795
pythia-160m,medium,draw_1,8,0.9922882405664648,1.7298908233642578
pythia-160m,medium,draw_1,9,0.9889645555015714,1.9012787342071533
pythia-160m,medium,draw_1,10,0.9864497516424731,2.0136687755584717
pythia-160m,medium,draw_1,11,0.9826426374604839,2.582137107849121
pythia-160m,medium,draw_2,0,0.9999915281049329,0.02337801642715931
pythia-160m,medium,draw_2,1,0.9988377036937883,0.5796177983283997
pythia-160m,medium,draw_2,2,0.9973853589193534,0.9939725995063782
pythia-160m,medium,draw_2,3,0.9981159347364703,1.1229524612426758
pythia-160m,medium,draw_2,4,0.9960440079200643,1.1962337493896484
pythia-160m,medium,draw_2,5,0.9869481801081846,1.4208076000213623
pythia-160m,medium,draw_2,6,0.9858595810911387,1.4811537265777588
pythia-160m,medium,draw_2,7,0.9800399066265619,1.8264501094818115
pythia-160m,medium,draw_2,8,0.981200418366053,2.1744141578674316
pythia-160m,medium,draw_2,9,0.9780079523797224,2.368018627166748
pythia-160m,medium,draw_2,10,0.9704602973067095,2.580374002456665
pythia-160m,medium,draw_2,11,0.9648463963001488,3.3534648418426514
pythia-160m,medium,draw_3,0,0.9995216250914588,0.4660572111606598
pythia-160m,medium,draw_3,1,0.9978797002405022,0.7864606380462646
pythia-160m,medium,draw_3,2,0.9974026413288349,0.9448511004447937
pythia-160m,medium,draw_3,3,0.9979347580491403,1.0844440460205078
pythia-160m,medium,draw_3,4,0.9968373314701146,1.1148678064346313
pythia-160m,medium,draw_3,5,0.9885743382996228,1.3510944843292236
pythia-160m,medium,draw_3,6,0.9872882483771843,1.4106132984161377
pythia-160m,medium,draw_3,7,0.9792979020355038,1.8182522058486938
pythia-160m,medium,draw_3,8,0.9843791704358361,2.0675458908081055
pythia-160m,medium,draw_3,9,0.9824649230342243,2.225311040878296
pythia-160m,medium,draw_3,10,0.9787168061890342,2.4079809188842773
pythia-160m,medium,draw_3,11,0.9721027790226263,3.0890533924102783
pythia-160m,high,draw_1,0,0.9992800997570879,0.5824739336967468
pythia-160m,high,draw_1,1,0.9970805502679665,1.0058844089508057
pythia-160m,high,draw_1,2,0.9972418102550002,1.0613449811935425
pythia-160m,high,draw_1,3,0.9979594171068943,1.0737006664276123
pythia-160m,high,draw_1,4,0.9967954790537331,1.1014397144317627
pythia-160m,high,draw_1,5,0.9903213973579107,1.3412511348724365
pythia-160m,high,draw_1,6,0.9891633056798198,1.4356255531311035
pythia-160m,high,draw_1,7,0.9780857251197937,1.862182378768921
pythia-160m,high,draw_1,8,0.9871094640846182,2.0786609649658203
pythia-160m,high,draw_1,9,0.9835593478347932,2.2663581371307373
pythia-160m,high,draw_1,10,0.9810570593144534,2.3141605854034424
pythia-160m,high,draw_1,11,0.9742619400789573,3.084941864013672
pythia-160m,high,draw_2,0,0.99999910998844,0.014011452905833721
pythia-160m,high,draw_2,1,0.9999968745464326,0.01977001689374447
pythia-160m,high,draw_2,2,0.9998271358818089,0.2764510214328766
pythia-160m,high,draw_2,3,0.9998294133054523,0.2903084456920624
pythia-160m,high,draw_2,4,0.9994770763879399,0.33310943841934204
pythia-160m,high,draw_2,5,0.9977240237275738,0.5185674428939819
pythia-160m,high,draw_2,6,0.9963168458281193,0.6394973993301392
pythia-160m,high,draw_2,7,0.9952196579568056,0.8942894339561462
pythia-160m,high,draw_2,8,0.9963806671226493,1.0079615116119385
pythia-160m,high,draw_2,9,0.9965255456820683,1.1348495483398438
pythia-160m,high,draw_2,10,0.9960684248142787,1.4103444814682007
pythia-160m,high,draw_2,11,0.9909253194897268,2.165752410888672
pythia-160m,high,draw_3,0,0.9995742986994082,0.40345779061317444
pythia-160m,high,draw_3,1,0.9955786641009338,0.9304256439208984
pythia-160m,high,draw_3,2,0.9960325218402478,1.0172786712646484
pythia-160m,high,draw_3,3,0.9977357512768718,1.1475383043289185
pythia-160m,high,draw_3,4,0.994936851836001,1.2506458759307861
pythia-160m,high,draw_3,5,0.9815386621279476,1.600599765777588
pythia-160m,high,draw_3,6,0.9795117469918979,1.7295446395874023
pythia-160m,high,draw_3,7,0.9722670072148709,2.0546979904174805
pythia-160m,high,draw_3,8,0.9812455511040795,2.329225778579712
pythia-160m,high,draw_3,9,0.9792348638510587,2.554264783859253
pythia-160m,high,draw_3,10,0.972761935943953,2.6337554454803467
pythia-160m,high,draw_3,11,0.9630452649154926,3.4935951232910156
pythia-160m,very_high,draw_1,0,0.9986127801015873,0.6619465947151184
pythia-160m,very_high,draw_1,1,0.9953677329902978,1.0233914852142334
pythia-160m,very_high,draw_1,2,0.9965495082560601,1.0884220600128174
pythia-160m,very_high,draw_1,3,0.9971258095077294,1.284277319908142
pythia-160m,very_high,draw_1,4,0.9927350914607563,1.443995475769043
pythia-160m,very_high,draw_1,5,0.9803727675131637,1.8769699335098267
pythia-160m,very_high,draw_1,6,0.9773528262625442,1.9787787199020386
pythia-160m,very_high,draw_1,7,0.963889496776805,2.4681625366210938
pythia-160m,very_high,draw_1,8,0.9674530809389398,2.9095237255096436
pythia-160m,very_high,draw_1,9,0.951428045431947,3.618680477142334
pythia-160m,very_high,draw_1,10,0.9468525476248547,3.5776078701019287
pythia-160m,very_high,draw_1,11,0.9468676042194267,4.2788543701171875
pythia-160m,very_high,draw_2,0,0.9996459846255097,0.38775885105133057
pythia-160m,very_high,draw_2,1,0.9977926121311451,0.7847502827644348
pythia-160m,very_high,draw_2,2,0.9979190692176657,0.8501320481300354
pythia-160m,very_high,draw_2,3,0.9982065619819176,1.0701680183410645
pythia-160m,very_high,draw_2,4,0.9961725487604921,1.160730004310608
pythia-160m,very_high,draw_2,5,0.9850045912990439,1.5136702060699463
pythia-160m,very_high,draw_2,6,0.982381369882368,1.6329004764556885
pythia-160m,very_high,draw_2,7,0.9767923946820469,1.9477232694625854
pythia-160m,very_high,draw_2,8,0.9805874128173847,2.2466044425964355
pythia-160m,very_high,draw_2,9,0.9740195802782889,2.8402419090270996
pythia-160m,very_high,draw_2,10,0.9638831779689538,2.951533794403076
pythia-160m,very_high,draw_2,11,0.9566769920897839,3.626462697982788
pythia-160m,very_high,draw_3,0,0.9996602538820102,0.3958437144756317
pythia-160m,very_high,draw_3,1,0.9986155481505683,0.6658937335014343
pythia-160m,very_high,draw_3,2,0.9981467368425363,0.8857481479644775
pythia-160m,very_high,draw_3,3,0.9982219132597168,1.1089869737625122
pythia-160m,very_high,draw_3,4,0.9958266672483519,1.2133265733718872
pythia-160m,very_high,draw_3,5,0.9852658205510259,1.4898239374160767
pythia-160m,very_high,draw_3,6,0.9801303942520827,1.6530683040618896
pythia-160m,very_high,draw_3,7,0.9780746665975047,1.9530647993087769
pythia-160m,very_high,draw_3,8,0.9787598663493527,2.312129497528076
pythia-160m,very_high,draw_3,9,0.9664791338769148,2.897066593170166
pythia-160m,very_high,draw_3,10,0.9509266150812529,3.0556373596191406
pythia-160m,very_high,draw_3,11,0.9711058811199887,3.3941116333007812
pythia-160m,control,draw_1,0,0.9996202845627375,0.3998274803161621
pythia-160m,control,draw_1,1,0.9977380125451752,0.7876526117324829
pythia-160m,control,draw_1,2,0.997709749984591,0.8498770594596863
pythia-160m,control,draw_1,3,0.9981836773499924,1.044517159461975
pythia-160m,control,draw_1,4,0.9959636615977755,1.3034882545471191
pythia-160m,control,draw_1,5,0.9822224792102409,1.6524616479873657
pythia-160m,control,draw_1,6,0.9820487081219479,1.7314857244491577
pythia-160m,control,draw_1,7,0.9748213603479833,2.059180498123169
pythia-160m,control,draw_1,8,0.9807618907486281,2.409205913543701
pythia-160m,control,draw_1,9,0.9751332540491565,2.708256721496582
pythia-160m,control,draw_1,10,0.9583911941981158,2.8922688961029053
pythia-160m,control,draw_1,11,0.9555600386193286,3.6237382888793945
pythia-160m,control,draw_2,0,0.9999999039896645,0.012432560324668884
pythia-160m,control,draw_2,1,0.9996450329572578,0.3668755888938904
pythia-160m,control,draw_2,2,0.9989763417527515,0.6484384536743164
pythia-160m,control,draw_2,3,0.9988302564478673,0.9084929823875427
pythia-160m,control,draw_2,4,0.9965681796271192,1.245648741722107
pythia-160m,control,draw_2,5,0.9848150373647857,1.6215384006500244
pythia-160m,control,draw_2,6,0.9799418608751059,1.7796499729156494
pythia-160m,control,draw_2,7,0.9796593933816161,2.0191240310668945
pythia-160m,control,draw_2,8,0.98189637875592,2.393868923187256
pythia-160m,control,draw_2,9,0.9700808384115306,2.91984486579895
pythia-160m,control,draw_2,10,0.9647161568877518,2.9147756099700928
pythia-160m,control,draw_2,11,0.9497174714423255,3.7763991355895996
pythia-160m,control,draw_3,0,0.9996862112507617,0.3793470561504364
pythia-160m,control,draw_3,1,0.9979173591590117,0.7791507244110107
pythia-160m,control,draw_3,2,0.9974577090290442,0.9548649787902832
pythia-160m,control,draw_3,3,0.9980564790450303,1.012716293334961
pythia-160m,control,draw_3,4,0.9964783718819197,1.074965238571167
pythia-160m,control,draw_3,5,0.9889603238891205,1.340369462966919
pythia-160m,control,draw_3,6,0.9861639508253225,1.4589418172836304
pythia-160m,control,draw_3,7,0.9836850744710839,1.7611504793167114
pythia-160m,control,draw_3,8,0.9878187826842302,1.984006643295288
pythia-160m,control,draw_3,9,0.9803403947364339,2.274479627609253
pythia-160m,control,draw_3,10,0.9740156495099793,2.354945182800293
pythia-160m,control,draw_3,11,0.9698312922015727,3.0753982067108154
pythia-410m,low,draw_1,0,0.9997479635037247,0.5785784125328064
pythia-410m,low,draw_1,1,0.9990820447814702,0.9066270589828491
pythia-410m,low,draw_1,2,0.9982499911213959,1.2805124521255493
pythia-410m,low,draw_1,3,0.9978425585909485,1.8653368949890137
pythia-410m,low,draw_1,4,0.9969762575541307,2.1503446102142334
pythia-410m,low,draw_1,5,0.9971315370170167,2.2624893188476562
pythia-410m,low,draw_1,6,0.9962988884163492,2.454962730407715
pythia-410m,low,draw_1,7,0.9946586255473081,2.581533193588257
pythia-410m,low,draw_1,8,0.9930037516071806,2.73012375831604
pythia-410m,low,draw_1,9,0.9919823261103607,2.8789260387420654
pythia-410m,low,draw_1,10,0.9915227949979062,2.988269805908203
pythia-410m,low,draw_1,11,0.9919569715045788,3.1128792762756348
pythia-410m,low,draw_1,12,0.9910520312013782,2.970521926879883
pythia-410m,low,draw_1,13,0.9786796897630402,3.224137306213379
pythia-410m,low,draw_1,14,0.9844172979496362,3.0417022705078125
pythia-410m,low,draw_1,15,0.9889833983575455,3.052712917327881
pythia-410m,low,draw_1,16,0.9869468339793588,3.352921724319458
pythia-410m,low,draw_1,17,0.9725430169545127,3.9561290740966797
pythia-410m,low,draw_1,18,0.9640932309863238,4.847683906555176
pythia-410m,low,draw_1,19,0.9649432860840629,5.036891460418701
pythia-410m,low,draw_1,20,0.9814029753760296,5.467540264129639
pythia-410m,low,draw_1,21,0.9666650386141712,5.77475643157959
pythia-410m,low,draw_1,22,0.9471804962309319,6.419887065887451
pythia-410m,low,draw_1,23,0.9680626855030809,6.748816013336182
pythia-410m,low,draw_2,0,0.9991681532197746,1.0779380798339844
pythia-410m,low,draw_2,1,0.9972534331081482,1.43504798412323
pythia-410m,low,draw_2,2,0.9951584396562826,1.9699267148971558
pythia-410m,low,draw_2,3,0.9952741958736528,2.463326930999756
pythia-410m,low,draw_2,4,0.9948559350412661,2.7042291164398193
pythia-410m,low,draw_2,5,0.995245874412919,2.669978618621826
pythia-410m,low,draw_2,6,0.9940540458746524,2.863795280456543
pythia-410m,low,draw_2,7,0.9919320164869446,3.038469076156616
pythia-410m,low,draw_2,8,0.9898953554926117,3.267709970474243
pythia-410m,low,draw_2,9,0.9886710117437363,3.4423201084136963
pythia-410m,low,draw_2,10,0.9881148989846401,3.575153112411499
pythia-410m,low,draw_2,11,0.9885570881163402,3.7047107219696045
pythia-410m,low,draw_2,12,0.9872677378109815,3.507079601287842
pythia-410m,low,draw_2,13,0.9694450321794333,3.8243935108184814
pythia-410m,low,draw_2,14,0.9770600300899895,3.6733455657958984
pythia-410m,low,draw_2,15,0.9827621831064902,3.6832144260406494
pythia-410m,low,draw_2,16,0.9775837704970479,4.059610843658447
pythia-410m,low,draw_2,17,0.9476476319077066,4.98046350479126
pythia-410m,low,draw_2,18,0.9436124407580132,6.024208068847656
pythia-410m,low,draw_2,19,0.9341461573329466,6.2703094482421875
pythia-410m,low,draw_2,20,0.9616782519694227,6.701000213623047
pythia-410m,low,draw_2,21,0.9431413580193759,6.949324131011963
pythia-410m,low,draw_2,22,0.92613826069438,7.599795341491699
pythia-410m,low,draw_2,23,0.9471278753438861,8.158819198608398
pythia-410m,low,draw_3,0,0.9992390510090602,0.9022697806358337
pythia-410m,low,draw_3,1,0.9978106955560511,1.0420712232589722
pythia-410m,low,draw_3,2,0.9964059144359171,1.6701362133026123
pythia-410m,low,draw_3,3,0.9966348990106487,2.137202262878418
pythia-410m,low,draw_3,4,0.9957226364431158,2.4425199031829834
pythia-410m,low,draw_3,5,0.9961544018502586,2.4675114154815674
pythia-410m,low,draw_3,6,0.995350388687934,2.653752326965332
pythia-410m,low,draw_3,7,0.9934520073823359,2.857358455657959
pythia-410m,low,draw_3,8,0.9911496064804749,3.0365989208221436
pythia-410m,low,draw_3,9,0.9897844039450593,3.1748297214508057
pythia-410m,low,draw_3,10,0.9897904077500108,3.2629177570343018
pythia-410m,low,draw_3,11,0.9901845614760176,3.376084566116333
pythia-410m,low,draw_3,12,0.9884042017607081,3.2006540298461914
pythia-410m,low,draw_3,13,0.9710187736283092,3.500502347946167
pythia-410m,low,draw_3,14,0.9782527316876498,3.3413336277008057
pythia-410m,low,draw_3,15,0.9845145247549723,3.3277974128723145
pythia-410m,low,draw_3,16,0.9814086798327155,3.672534227371216
pythia-410m,low,draw_3,17,0.9641476154437223,4.454819202423096
pythia-410m,low,draw_3,18,0.9562938241772133,5.536356449127197
pythia-410m,low,draw_3,19,0.9467750850434045,5.809325218200684
pythia-410m,low,draw_3,20,0.96630553354631,6.305736064910889
pythia-410m,low,draw_3,21,0.9514306545069725,6.526142597198486
pythia-410m,low,draw_3,22,0.936560323347419,7.064776420593262
pythia-410m,low,draw_3,23,0.9578359457894393,7.499586582183838
pythia-410m,medium,draw_1,0,0.9993374301880409,0.7637689709663391
pythia-410m,medium,draw_1,1,0.9980738488256045,0.9308079481124878
pythia-410m,medium,draw_1,2,0.9972774663547553,1.2853138446807861
pythia-410m,medium,draw_1,3,0.9972374534748254,1.7197633981704712
pythia-410m,medium,draw_1,4,0.9963854997159038,2.216127872467041
pythia-410m,medium,draw_1,5,0.9964733656078748,2.374563694000244
pythia-410m,medium,draw_1,6,0.9951396592896036,2.7178680896759033
pythia-410m,medium,draw_1,7,0.992665390756228,2.9739279747009277
pythia-410m,medium,draw_1,8,0.9895117131242691,3.1897997856140137
pythia-410m,medium,draw_1,9,0.9879550043332705,3.3418750762939453
pythia-410m,medium,draw_1,10,0.9882753170174288,3.415980339050293
pythia-410m,medium,draw_1,11,0.9894876373733246,3.521947145462036
pythia-410m,medium,draw_1,12,0.9884250923110135,3.358325242996216
pythia-410m,medium,draw_1,13,0.9746317932772711,3.59374737739563
pythia-410m,medium,draw_1,14,0.9805995924326146,3.414301872253418
pythia-410m,medium,draw_1,15,0.9844774105649077,3.508408308029175
pythia-410m,medium,draw_1,16,0.9804786716583708,3.8458409309387207
pythia-410m,medium,draw_1,17,0.9508111951266918,4.641841888427734
pythia-410m,medium,draw_1,18,0.9334595749420664,5.916544437408447
pythia-410m,medium,draw_1,19,0.9442931621196812,6.02144193649292
pythia-410m,medium,draw_1,20,0.9703707669852554,6.528364181518555
pythia-410m,medium,draw_1,21,0.9551615310417848,6.897159099578857
pythia-410m,medium,draw_1,22,0.9183614530790428,7.6145429611206055
pythia-410m,medium,draw_1,23,0.9528475508534838,7.699958324432373
pythia-410m,medium,draw_2,0,0.9987004498151687,1.1721101999282837
pythia-410m,medium,draw_2,1,0.9960703843322297,1.618571400642395
pythia-410m,medium,draw_2,2,0.9938046185753906,2.1463046073913574
pythia-410m,medium,draw_2,3,0.994980417678219,2.2733099460601807
pythia-410m,medium,draw_2,4,0.9945654205800245,2.733646869659424
pythia-410m,medium,draw_2,5,0.9953757677217316,2.532421827316284
pythia-410m,medium,draw_2,6,0.9940443452338998,2.8590338230133057
pythia-410m,medium,draw_2,7,0.9912965888746512,3.0391314029693604
pythia-410m,medium,draw_2,8,0.988180167833065,3.2794976234436035
pythia-410m,medium,draw_2,9,0.9865949629636519,3.436649799346924
pythia-410m,medium,draw_2,10,0.9868033912049375,3.536216974258423
pythia-410m,medium,draw_2,11,0.9881481379649093,3.667301654815674
pythia-410m,medium,draw_2,12,0.9868262150754715,3.520575523376465
pythia-410m,medium,draw_2,13,0.9708582719152459,3.83315372467041
pythia-410m,medium,draw_2,14,0.977881127828614,3.64056396484375
pythia-410m,medium,draw_2,15,0.9821364497829637,3.638482093811035
pythia-410m,medium,draw_2,16,0.9781064868304469,3.965937614440918
pythia-410m,medium,draw_2,17,0.9435315486066761,4.859472751617432
pythia-410m,medium,draw_2,18,0.9378165340755433,6.0849690437316895
pythia-410m,medium,draw_2,19,0.9441940231549267,6.262542247772217
pythia-410m,medium,draw_2,20,0.9617469259555508,6.994048595428467
pythia-410m,medium,draw_2,21,0.9396752436760953,7.40822696685791
pythia-410m,medium,draw_2,22,0.9259064942197004,7.8631486892700195
pythia-410m,medium,draw_2,23,0.9501147677478023,8.107665061950684
pythia-410m,medium,draw_3,0,0.999245363523042,0.9071496725082397
pythia-410m,medium,draw_3,1,0.9978538488913553,1.3396084308624268
pythia-410m,medium,draw_3,2,0.9957960762873488,1.823818325996399
pythia-410m,medium,draw_3,3,0.9961924491644059,2.0876426696777344
pythia-410m,medium,draw_3,4,0.9957248856210181,2.3608081340789795
pythia-410m,medium,draw_3,5,0.9958751108091378,2.37846302986145
pythia-410m,medium,draw_3,6,0.9945637603159512,2.634953022003174
pythia-410m,medium,draw_3,7,0.9922040628322265,2.868886709213257
pythia-410m,medium,draw_3,8,0.9895271672185301,3.1070616245269775
pythia-410m,medium,draw_3,9,0.9879128266971076,3.260279893875122
pythia-410m,medium,draw_3,10,0.988011292963202,3.395254135131836
pythia-410m,medium,draw_3,11,0.9892861713607396,3.5374228954315186
pythia-410m,medium,draw_3,12,0.9879927586175759,3.36033034324646
pythia-410m,medium,draw_3,13,0.9751163905881685,3.6187875270843506
pythia-410m,medium,draw_3,14,0.9808629923808803,3.4396402835845947
pythia-410m,medium,draw_3,15,0.9849761845080981,3.4412460327148438
pythia-410m,medium,draw_3,16,0.9813274048291937,3.7675530910491943
pythia-410m,medium,draw_3,17,0.9644234772767813,4.493505001068115
pythia-410m,medium,draw_3,18,0.9517483639590415,5.581448078155518
pythia-410m,medium,draw_3,19,0.9555967135035722,5.785195350646973
pythia-410m,medium,draw_3,20,0.9724043751131612,6.415753364562988
pythia-410m,medium,draw_3,21,0.9574694906988891,6.618154525756836
pythia-410m,medium,draw_3,22,0.9302451399637413,7.209835052490234
