model,band,draw,layer,cka_base_circuit,mean_delta_norm
pythia-70m,low,draw_1,0,1.0000000163521965,0.0
pythia-70m,low,draw_1,1,0.9991546332921492,0.6158127188682556
pythia-70m,low,draw_1,2,0.9975680094324075,0.8745880722999573
pythia-70m,low,draw_1,3,0.9972352420039888,1.080939769744873
pythia-70m,low,draw_1,4,0.9961790936403198,0.8880410194396973
pythia-70m,low,draw_1,5,0.9903735332656117,1.4621796607971191
pythia-70m,low,draw_2,0,0.9999999823989407,0.0
pythia-70m,low,draw_2,1,0.9993389829424367,0.6016101241111755
pythia-70m,low,draw_2,2,0.9979376877343953,0.8343790173530579
pythia-70m,low,draw_2,3,0.9978552257114585,1.0330212116241455
pythia-70m,low,draw_2,4,0.997063541446974,0.833175003528595
pythia-70m,low,draw_2,5,0.9917641930184752,1.4162719249725342
pythia-70m,low,draw_3,0,0.9999999912712402,0.0
pythia-70m,low,draw_3,1,0.9992585524471677,0.6116489171981812
pythia-70m,low,draw_3,2,0.9967312134186556,0.9351308941841125
pythia-70m,low,draw_3,3,0.9963387693817409,1.154505729675293
pythia-70m,low,draw_3,4,0.9956335541054719,0.9391244649887085
pythia-70m,low,draw_3,5,0.9917484036382506,1.422838807106018
pythia-70m,medium,draw_1,0,0.9999998012123522,0.0
pythia-70m,medium,draw_1,1,0.9994285932286163,0.5459182858467102
pythia-70m,medium,draw_1,2,0.9989895942556648,0.7455708980560303
pythia-70m,medium,draw_1,3,0.9988164989047332,1.0242469310760498
pythia-70m,medium,draw_1,4,0.9978215871745538,0.8667272925376892
pythia-70m,medium,draw_1,5,0.990032615392589,1.4250478744506836
pythia-70m,medium,draw_2,0,1.0000000207300197,0.0
pythia-70m,medium,draw_2,1,0.9999999953156111,0.0
pythia-70m,medium,draw_2,2,1.0000001502933769,0.0
pythia-70m,medium,draw_2,3,0.9999999740498563,0.0
pythia-70m,medium,draw_2,4,0.9999691065748103,0.18586255609989166
pythia-70m,medium,draw_2,5,0.9988942282252299,0.621691882610321
pythia-70m,medium,draw_3,0,1.0000000269692493,0.0
pythia-70m,medium,draw_3,1,0.9999999935889862,0.0
pythia-70m,medium,draw_3,2,0.9999999876753531,0.0
pythia-70m,medium,draw_3,3,0.9999999953310715,0.0
pythia-70m,medium,draw_3,4,0.9999992573747121,0.07145095616579056
pythia-70m,medium,draw_3,5,0.9996261572444485,0.4437767267227173
pythia-70m,high,draw_1,0,1.0000000165339447,0.0
pythia-70m,high,draw_1,1,0.9990685676521164,0.5649577379226685
pythia-70m,high,draw_1,2,0.9972663859029429,0.8046934008598328
pythia-70m,high,draw_1,3,0.9969970633039519,1.102313756942749
pythia-70m,high,draw_1,4,0.9955245187717886,0.9454390406608582
pythia-70m,high,draw_1,5,0.9863856158217505,1.5307576656341553
pythia-70m,high,draw_2,0,1.0000000052128444,0.0
pythia-70m,high,draw_2,1,0.999999988238715,0.0
pythia-70m,high,draw_2,2,0.9999999718581354,0.0
pythia-70m,high,draw_2,3,0.9999999796051552,0.0
pythia-70m,high,draw_2,4,0.9999377984884742,0.19352135062217712
pythia-70m,high,draw_2,5,0.9978718004031086,0.6154546737670898
pythia-70m,high,draw_3,0,0.9999998409497706,0.0
pythia-70m,high,draw_3,1,0.9990754964457433,0.5660986304283142
pythia-70m,high,draw_3,2,0.9978629071163467,0.7424132227897644
pythia-70m,high,draw_3,3,0.9977418315179948,1.0654555559158325
pythia-70m,high,draw_3,4,0.9949128164737661,0.9401713013648987
pythia-70m,high,draw_3,5,0.9853179859848603,1.5700892210006714
pythia-70m,very_high,draw_1,0,0.9999999943560579,0.0
pythia-70m,very_high,draw_1,1,0.9999999618560017,0.0
pythia-70m,very_high,draw_1,2,1.0000000264738549,0.0
pythia-70m,very_high,draw_1,3,0.9999998577206884,0.0
pythia-70m,very_high,draw_1,4,0.9998572813579794,0.2599736452102661
pythia-70m,very_high,draw_1,5,0.9967989793172494,0.6253365278244019
pythia-70m,very_high,draw_2,0,1.0000000207394188,0.0
pythia-70m,very_high,draw_2,1,0.9999999534845515,0.0
pythia-70m,very_high,draw_2,2,1.0000000146563393,0.0
pythia-70m,very_high,draw_2,3,1.0000000064924033,0.0
pythia-70m,very_high,draw_2,4,0.9999192749716768,0.2369036227464676
pythia-70m,very_high,draw_2,5,0.996395213904572,0.5750667452812195
pythia-70m,very_high,draw_3,0,1.0000000060075835,0.0
pythia-70m,very_high,draw_3,1,1.0000000173492367,0.0
pythia-70m,very_high,draw_3,2,0.9999999515617303,0.0
pythia-70m,very_high,draw_3,3,0.9999999696341404,0.0
pythia-70m,very_high,draw_3,4,0.9999007818216409,0.24395090341567993
pythia-70m,very_high,draw_3,5,0.9964123212010723,0.6089664101600647
pythia-70m,control,draw_1,0,0.9999999888261114,0.0
pythia-70m,control,draw_1,1,0.9987345303556631,0.6154943704605103
pythia-70m,control,draw_1,2,0.999076961741945,0.7342733144760132
pythia-70m,control,draw_1,3,0.9978327839013171,1.1712629795074463
pythia-70m,control,draw_1,4,0.9900302022424837,1.0961517095565796
pythia-70m,control,draw_1,5,0.9760320093929897,1.876405954360962
pythia-70m,control,draw_2,0,1.0000000199917278,0.0
pythia-70m,control,draw_2,1,1.0000000395512656,0.0
pythia-70m,control,draw_2,2,1.0000000481043687,0.0
pythia-70m,control,draw_2,3,0.9999999810401886,0.0
pythia-70m,control,draw_2,4,0.9999405279269891,0.22240354120731354
pythia-70m,control,draw_2,5,0.9971283817410987,0.656176745891571
pythia-70m,control,draw_3,0,1.000000021920932,0.0
pythia-70m,control,draw_3,1,0.9989851626153119,0.6071294546127319
pythia-70m,control,draw_3,2,0.9993549208205925,0.7301831841468811
pythia-70m,control,draw_3,3,0.9989521678400436,1.204016089439392
pythia-70m,control,draw_3,4,0.9941682045633992,1.0661511421203613
pythia-70m,control,draw_3,5,0.9805834087170485,1.7575507164001465
pythia-160m,low,draw_1,0,0.9999947745191358,0.02831987291574478
pythia-160m,low,draw_1,1,0.9990734674921519,0.5875205397605896
pythia-160m,low,draw_1,2,0.9981792140886874,0.7357004880905151
pythia-160m,low,draw_1,3,0.9986091063567082,0.9323142766952515
pythia-160m,low,draw_1,4,0.9969774815731842,1.1806166172027588
pythia-160m,low,draw_1,5,0.9870129830377538,1.4741140604019165
pythia-160m,low,draw_1,6,0.9869335564749447,1.5275377035140991
pythia-160m,low,draw_1,7,0.9824014090934827,1.8393104076385498
pythia-160m,low,draw_1,8,0.9808683114212571,2.2083189487457275
pythia-160m,low,draw_1,9,0.9801844658961671,2.2971160411834717
pythia-160m,low,draw_1,10,0.9740201700019072,2.364053726196289
pythia-160m,low,draw_1,11,0.9711161369497727,3.2117788791656494
pythia-160m,low,draw_2,0,0.9990556155044572,0.7157386541366577
pythia-160m,low,draw_2,1,0.996433571017872,1.04537832736969
pythia-160m,low,draw_2,2,0.99616352482017,1.1264371871948242
pythia-160m,low,draw_2,3,0.9974960267895336,1.252013087272644
pythia-160m,low,draw_2,4,0.9960924388675637,1.2780615091323853
pythia-160m,low,draw_2,5,0.9898557725012621,1.4706608057022095
pythia-160m,low,draw_2,6,0.9849095149539009,1.539728045463562
pythia-160m,low,draw_2,7,0.9839397366540503,1.7999284267425537
pythia-160m,low,draw_2,8,0.9714706673401795,2.188934803009033
