model,draw,band,mean_convergence_layer,median_convergence_layer,std_convergence_layer,frac_converged,n_converged,n_total,n_layers,frac_convergence_layer,frequency_rank,model_capacity
pythia-1b,draw_1,high,11.386666666666667,11.0,1.2984777412202508,1.0,225,225,16,0.7116666666666667,3.0,1000
pythia-1b,draw_1,very_high,10.995555555555555,11.0,1.1214981162228308,1.0,225,225,16,0.6872222222222222,4.0,1000
pythia-1b,draw_1,control,11.164444444444445,11.0,1.1213395868940872,1.0,225,225,16,0.6977777777777778,,1000
pythia-1b,draw_2,low,12.417777777777777,11.0,1.7006258833328771,1.0,225,225,16,0.7761111111111111,1.0,1000
pythia-1b,draw_2,medium,11.937777777777777,11.0,1.5565330262247554,1.0,225,225,16,0.7461111111111111,2.0,1000
pythia-1b,draw_2,high,11.422222222222222,11.0,1.2163495274136895,1.0,225,225,16,0.7138888888888889,3.0,1000
pythia-1b,draw_2,very_high,11.08,11.0,1.0468152760741611,1.0,225,225,16,0.6925,4.0,1000
pythia-1b,draw_2,control,11.11111111111111,11.0,1.2476150086771733,1.0,225,225,16,0.6944444444444444,,1000
pythia-1b,draw_3,low,12.537777777777778,11.0,1.7912489607829987,1.0,225,225,16,0.7836111111111111,1.0,1000
pythia-1b,draw_3,medium,11.937777777777777,11.0,1.5450694179139135,1.0,225,225,16,0.7461111111111111,2.0,1000
pythia-1b,draw_3,high,11.431111111111111,11.0,1.3319696730318384,1.0,225,225,16,0.7144444444444444,3.0,1000
pythia-1b,draw_3,very_high,10.915555555555555,11.0,1.0184859254044278,1.0,225,225,16,0.6822222222222222,4.0,1000
pythia-1b,draw_3,control,11.195555555555556,11.0,1.2025815852306247,1.0,225,225,16,0.6997222222222222,,1000
pythia-1.4b,draw_1,low,21.426666666666666,23.0,3.1658174299855006,1.0,225,225,24,0.8927777777777778,1.0,1400
pythia-1.4b,draw_1,medium,19.275555555555556,23.0,3.89695924510697,1.0,225,225,24,0.8031481481481482,2.0,1400
pythia-1.4b,draw_1,high,16.92,16.0,3.733666651787043,1.0,225,225,24,0.7050000000000001,3.0,1400
pythia-1.4b,draw_1,very_high,14.746666666666666,15.0,2.981841340141654,1.0,225,225,24,0.6144444444444445,4.0,1400
pythia-1.4b,draw_1,control,15.364444444444445,15.0,3.6987178292277063,1.0,225,225,24,0.6401851851851852,,1400
pythia-1.4b,draw_2,low,21.493333333333332,23.0,3.0711850770961,1.0,225,225,24,0.8955555555555555,1.0,1400
pythia-1.4b,draw_2,medium,19.217777777777776,22.0,3.8897751371106213,1.0,225,225,24,0.8007407407407406,2.0,1400
pythia-1.4b,draw_2,high,16.41777777777778,15.0,3.4504292093006432,1.0,225,225,24,0.6840740740740742,3.0,1400
pythia-1.4b,draw_2,very_high,14.488888888888889,15.0,2.876898192476846,1.0,225,225,24,0.6037037037037037,4.0,1400
pythia-1.4b,draw_2,control,15.062222222222223,15.0,3.4878384830652087,1.0,225,225,24,0.6275925925925926,,1400
pythia-1.4b,draw_3,low,21.77777777777778,23.0,2.9035525281886354,1.0,225,225,24,0.9074074074074074,1.0,1400
pythia-1.4b,draw_3,medium,19.622222222222224,23.0,3.9106060279927,1.0,225,225,24,0.8175925925925926,2.0,1400
pythia-1.4b,draw_3,high,17.04,16.0,3.42970034324348,1.0,225,225,24,0.71,3.0,1400
pythia-1.4b,draw_3,very_high,14.604444444444445,15.0,2.7630864831887267,1.0,225,225,24,0.6085185185185186,4.0,1400
pythia-1.4b,draw_3,control,15.035555555555556,15.0,3.495848684467244,1.0,225,225,24,0.6264814814814815,,1400
