model,draw,band,mean_convergence_layer,median_convergence_layer,std_convergence_layer,frac_converged,n_converged,n_total,n_layers,frac_convergence_layer,frequency_rank,model_capacity
pythia-70m,draw_1,low,4.6755555555555555,5.0,0.6439998466375096,1.0,225,225,6,0.7792592592592592,1.0,70
pythia-70m,draw_1,medium,4.551111111111111,5.0,0.7532513885290805,1.0,225,225,6,0.7585185185185185,2.0,70
pythia-70m,draw_1,high,4.506666666666667,5.0,0.7062892073679481,1.0,225,225,6,0.7511111111111112,3.0,70
pythia-70m,draw_1,very_high,4.306666666666667,4.0,0.7537756813388037,1.0,225,225,6,0.7177777777777777,4.0,70
pythia-70m,draw_1,control,4.373333333333333,5.0,0.761985709985576,1.0,225,225,6,0.7288888888888888,,70
pythia-70m,draw_2,low,4.728888888888889,5.0,0.5596118584329369,1.0,225,225,6,0.7881481481481482,1.0,70
pythia-70m,draw_2,medium,4.671111111111111,5.0,0.5875078145001693,1.0,225,225,6,0.7785185185185185,2.0,70
pythia-70m,draw_2,high,4.471111111111111,5.0,0.7304860549957198,1.0,225,225,6,0.7451851851851852,3.0,70
pythia-70m,draw_2,very_high,4.391111111111111,5.0,0.7167278182351366,1.0,225,225,6,0.7318518518518519,4.0,70
pythia-70m,draw_2,control,4.3822222222222225,5.0,0.7397563829889131,1.0,225,225,6,0.7303703703703704,,70
pythia-70m,draw_3,low,4.768888888888889,5.0,0.5811185467975521,1.0,225,225,6,0.7948148148148149,1.0,70
pythia-70m,draw_3,medium,4.671111111111111,5.0,0.6382692647472441,1.0,225,225,6,0.7785185185185185,2.0,70
pythia-70m,draw_3,high,4.5377777777777775,5.0,0.6861450733834609,1.0,225,225,6,0.7562962962962962,3.0,70
pythia-70m,draw_3,very_high,4.3244444444444445,5.0,0.7581133176967253,1.0,225,225,6,0.7207407407407408,4.0,70
pythia-70m,draw_3,control,4.3244444444444445,5.0,0.7639533306151789,1.0,225,225,6,0.7207407407407408,,70
pythia-160m,draw_1,low,9.533333333333333,10.0,1.2292725943057183,1.0,225,225,12,0.7944444444444444,1.0,160
pythia-160m,draw_1,medium,9.351111111111111,9.0,1.2387488710114327,1.0,225,225,12,0.7792592592592592,2.0,160
pythia-160m,draw_1,high,8.96888888888889,9.0,1.4495703918705203,1.0,225,225,12,0.7474074074074074,3.0,160
pythia-160m,draw_1,very_high,8.72888888888889,9.0,1.6006418465689487,1.0,225,225,12,0.7274074074074074,4.0,160
pythia-160m,draw_1,control,8.866666666666667,9.0,1.4452988925785866,1.0,225,225,12,0.7388888888888889,,160
pythia-160m,draw_2,low,9.582222222222223,10.0,1.280154311686054,1.0,225,225,12,0.7985185185185185,1.0,160
pythia-160m,draw_2,medium,9.057777777777778,9.0,1.3924381317018304,1.0,225,225,12,0.7548148148148148,2.0,160
pythia-160m,draw_2,high,8.95111111111111,9.0,1.3604937375366868,1.0,225,225,12,0.7459259259259259,3.0,160
pythia-160m,draw_2,very_high,8.795555555555556,9.0,1.67676349031971,1.0,225,225,12,0.7329629629629629,4.0,160
pythia-160m,draw_2,control,8.72888888888889,9.0,1.6006418465689487,1.0,225,225,12,0.7274074074074074,,160
pythia-160m,draw_3,low,9.537777777777778,10.0,1.3198129310017788,1.0,225,225,12,0.7948148148148149,1.0,160
pythia-160m,draw_3,medium,9.248888888888889,9.0,1.349999542752552,1.0,225,225,12,0.7707407407407407,2.0,160
pythia-160m,draw_3,high,8.924444444444445,9.0,1.4479342458298696,1.0,225,225,12,0.7437037037037038,3.0,160
pythia-160m,draw_3,very_high,8.493333333333334,9.0,1.9023260615479263,1.0,225,225,12,0.7077777777777778,4.0,160
pythia-160m,draw_3,control,8.475555555555555,9.0,1.7231954239539409,1.0,225,225,12,0.7062962962962963,,160
pythia-410m,draw_1,low,21.08888888888889,22.0,2.4569377708596005,1.0,225,225,24,0.8787037037037037,1.0,410
pythia-410m,draw_1,medium,20.04888888888889,22.0,2.7393934626500585,1.0,225,225,24,0.8353703703703704,2.0,410
pythia-410m,draw_1,high,18.897777777777776,18.0,2.4518916859245987,1.0,225,225,24,0.7874074074074073,3.0,410
pythia-410m,draw_1,very_high,17.502222222222223,17.0,2.137754677629871,1.0,225,225,24,0.7292592592592593,4.0,410
pythia-410m,draw_1,control,17.835555555555555,17.0,2.3785294761965434,1.0,225,225,24,0.7431481481481481,,410
pythia-410m,draw_2,low,20.808888888888887,22.0,2.591252140244362,1.0,225,225,24,0.8670370370370369,1.0,410
pythia-410m,draw_2,medium,19.968888888888888,21.0,2.6270238523827025,1.0,225,225,24,0.832037037037037,2.0,410
pythia-410m,draw_2,high,18.808888888888887,18.0,2.480844141481078,1.0,225,225,24,0.7837037037037037,3.0,410
pythia-410m,draw_2,very_high,17.52888888888889,17.0,2.250987163418873,1.0,225,225,24,0.7303703703703704,4.0,410
pythia-410m,draw_2,control,17.72,17.0,2.432520412155992,1.0,225,225,24,0.7383333333333333,,410
pythia-410m,draw_3,low,21.142222222222223,22.0,2.4724696505396193,1.0,225,225,24,0.880925925925926,1.0,410
pythia-410m,draw_3,medium,20.342222222222222,22.0,2.57737927954294,1.0,225,225,24,0.8475925925925926,2.0,410
pythia-410m,draw_3,high,18.884444444444444,18.0,2.537711616183679,1.0,225,225,24,0.7868518518518518,3.0,410
pythia-410m,draw_3,very_high,17.657777777777778,17.0,2.342504726796027,1.0,225,225,24,0.7357407407407407,4.0,410
pythia-410m,draw_3,control,17.977777777777778,17.0,2.4412099813083485,1.0,225,225,24,0.7490740740740741,,410
pythia-1b,draw_1,low,12.506666666666666,11.0,1.8015302137658171,1.0,225,225,16,0.7816666666666666,1.0,1000
pythia-1b,draw_1,medium,11.88888888888889,11.0,1.5919550834286502,1.0,225,225,16,0.7430555555555556,2.0,1000
