model,draw,band,layer,mean_rank,median_rank,frac_top1,frac_top5
pythia-70m,draw_3,medium,0,28652.83111111111,30480.0,0.0,0.0
pythia-70m,draw_3,medium,1,26283.995555555557,26686.0,0.0,0.0
pythia-70m,draw_3,medium,2,22778.63111111111,21928.0,0.0,0.0044444444444444444
pythia-70m,draw_3,medium,3,6843.933333333333,730.0,0.07111111111111111,0.12
pythia-70m,draw_3,medium,4,4421.964444444445,64.0,0.19555555555555557,0.3288888888888889
pythia-70m,draw_3,medium,5,2092.791111111111,3.0,0.37333333333333335,0.5244444444444445
pythia-70m,draw_3,high,0,24392.68888888889,26729.0,0.0,0.0
pythia-70m,draw_3,high,1,22031.02666666667,21864.0,0.0,0.0
pythia-70m,draw_3,high,2,17733.022222222222,14824.0,0.0,0.0
pythia-70m,draw_3,high,3,2048.528888888889,180.0,0.08888888888888889,0.19555555555555557
pythia-70m,draw_3,high,4,1458.5111111111112,8.0,0.28444444444444444,0.43555555555555553
pythia-70m,draw_3,high,5,352.7111111111111,0.0,0.5155555555555555,0.6533333333333333
pythia-70m,draw_3,very_high,0,18749.746666666666,16984.0,0.0,0.0
pythia-70m,draw_3,very_high,1,18947.795555555556,17331.0,0.0,0.0
pythia-70m,draw_3,very_high,2,15491.368888888888,11375.0,0.0,0.0
pythia-70m,draw_3,very_high,3,990.5688888888889,30.0,0.1688888888888889,0.32
pythia-70m,draw_3,very_high,4,334.29777777777775,1.0,0.43555555555555553,0.6355555555555555
pythia-70m,draw_3,very_high,5,53.01777777777778,0.0,0.7066666666666667,0.8266666666666667
pythia-70m,draw_3,control,0,20482.32888888889,20189.0,0.0,0.0
pythia-70m,draw_3,control,1,19744.6,18507.0,0.0,0.0
pythia-70m,draw_3,control,2,15631.226666666667,11811.0,0.0,0.0
pythia-70m,draw_3,control,3,1024.4888888888888,28.0,0.13777777777777778,0.28888888888888886
pythia-70m,draw_3,control,4,656.7777777777778,1.0,0.39111111111111113,0.6088888888888889
pythia-70m,draw_3,control,5,75.44444444444444,0.0,0.6311111111111111,0.7866666666666666
pythia-160m,draw_1,low,0,15576.048888888889,13648.0,0.0,0.0
pythia-160m,draw_1,low,1,14518.995555555555,12440.0,0.0,0.0
pythia-160m,draw_1,low,2,14642.906666666666,11399.0,0.0044444444444444444,0.0044444444444444444
pythia-160m,draw_1,low,3,16383.373333333333,14344.0,0.0,0.0
pythia-160m,draw_1,low,4,6422.333333333333,3128.0,0.0,0.0044444444444444444
pythia-160m,draw_1,low,5,1481.9155555555556,357.0,0.02666666666666667,0.07555555555555556
pythia-160m,draw_1,low,6,2133.288888888889,618.0,0.017777777777777778,0.044444444444444446
pythia-160m,draw_1,low,7,1815.7244444444445,439.0,0.0,0.04
pythia-160m,draw_1,low,8,674.5688888888889,24.0,0.1288888888888889,0.32
pythia-160m,draw_1,low,9,91.88,1.0,0.4622222222222222,0.6355555555555555
pythia-160m,draw_1,low,10,7.111111111111111,0.0,0.68,0.8888888888888888
pythia-160m,draw_1,low,11,0.18222222222222223,0.0,0.9244444444444444,0.9911111111111112
pythia-160m,draw_1,medium,0,14890.84888888889,14122.0,0.0044444444444444444,0.0044444444444444444
pythia-160m,draw_1,medium,1,14174.635555555555,12218.0,0.0,0.0
pythia-160m,draw_1,medium,2,13679.88,11323.0,0.0,0.0044444444444444444
