model,draw,band,layer,mean_prob_correct,std_prob_correct,median_prob_correct
pythia-70m,draw_1,low,0,7.991129424844701e-10,9.605090944830863e-09,2.378679744731297e-16
pythia-70m,draw_1,low,1,6.87436667590191e-08,1.018154080156819e-06,5.948576333899799e-16
pythia-70m,draw_1,low,2,8.375517381864483e-07,1.1275316865066998e-05,2.6588677616502972e-14
pythia-70m,draw_1,low,3,0.045622024685144424,0.18142613768577576,8.24955659339821e-09
pythia-70m,draw_1,low,4,0.1422647088766098,0.31588831543922424,5.1734832595684566e-06
pythia-70m,draw_1,low,5,0.10082527250051498,0.1881977617740631,0.008918019942939281
pythia-70m,draw_1,medium,0,3.6579019706550753e-06,5.4685726354364306e-05,1.8688041593157325e-16
pythia-70m,draw_1,medium,1,4.291651930543594e-05,0.0006366302259266376,1.0345746179849934e-15
pythia-70m,draw_1,medium,2,0.0020887907594442368,0.03125309944152832,1.1724536543456648e-13
pythia-70m,draw_1,medium,3,0.05611812323331833,0.20401351153850555,4.41071108525648e-07
pythia-70m,draw_1,medium,4,0.20791350305080414,0.3684784471988678,0.00024076132103800774
pythia-70m,draw_1,medium,5,0.17088404297828674,0.24754779040813446,0.03452403098344803
pythia-70m,draw_1,high,0,0.00011629702930804342,0.0017403868259862065,6.16943731616016e-15
pythia-70m,draw_1,high,1,2.267712488901452e-06,2.2042007913114503e-05,5.461692160818252e-15
pythia-70m,draw_1,high,2,1.2111063369957265e-06,9.28915869735647e-06,9.941959094091762e-14
pythia-70m,draw_1,high,3,0.0920875072479248,0.25290530920028687,2.4994083105411846e-06
pythia-70m,draw_1,high,4,0.27636146545410156,0.40133681893348694,0.0034529215190559626
pythia-70m,draw_1,high,5,0.2091444879770279,0.271783709526062,0.0593571737408638
pythia-70m,draw_1,very_high,0,8.95169989689748e-07,7.4665972533694e-06,2.3994083561923278e-14
pythia-70m,draw_1,very_high,1,1.2215431866025028e-07,1.0228861810901435e-06,7.591235311795591e-14
pythia-70m,draw_1,very_high,2,3.994879534729989e-06,3.387447213754058e-05,9.116671176659374e-14
pythia-70m,draw_1,very_high,3,0.1286081224679947,0.29110395908355713,0.00011447691213106737
pythia-70m,draw_1,very_high,4,0.3865317404270172,0.43600767850875854,0.07393089681863785
pythia-70m,draw_1,very_high,5,0.2620950937271118,0.267456591129303,0.15525656938552856
pythia-70m,draw_1,control,0,0.0001747711794450879,0.002573750214651227,2.0131635345300297e-14
pythia-70m,draw_1,control,1,3.9655253658565925e-07,5.47948866369552e-06,3.586294469400987e-14
pythia-70m,draw_1,control,2,6.076953695810516e-07,7.01895669408259e-06,1.1476869530690353e-13
pythia-70m,draw_1,control,3,0.09563207626342773,0.2527037560939789,3.564150392776355e-05
pythia-70m,draw_1,control,4,0.33401474356651306,0.4147787094116211,0.04023488983511925
pythia-70m,draw_1,control,5,0.2257736772298813,0.23559461534023285,0.1476241499185562
pythia-70m,draw_2,low,0,3.942197956963156e-10,3.881880150657935e-09,2.224171935427048e-16
pythia-70m,draw_2,low,1,1.0164228569919942e-08,1.2701487150934554e-07,1.7323157848242367e-15
pythia-70m,draw_2,low,2,3.12718420047986e-08,2.751467320649681e-07,3.2622549003520976e-14
pythia-70m,draw_2,low,3,0.04427676275372505,0.18421348929405212,3.5969083711506755e-08
pythia-70m,draw_2,low,4,0.13993488252162933,0.31703877449035645,1.1634740985755343e-05
pythia-70m,draw_2,low,5,0.13608522713184357,0.23316286504268646,0.015589775517582893
pythia-70m,draw_2,medium,0,3.366176087871153e-11,2.5539165227073113e-10,1.952782711475668e-16
pythia-70m,draw_2,medium,1,4.607930481625999e-09,4.871060355071677e-08,2.685091001724784e-16
pythia-70m,draw_2,medium,2,4.373474951080425e-07,5.126996256876737e-06,3.364573685171691e-15
pythia-70m,draw_2,medium,3,0.03561616316437721,0.16469797492027283,1.7493664472567616e-07
pythia-70m,draw_2,medium,4,0.1862305849790573,0.35409224033355713,0.00023412001610267907
pythia-70m,draw_2,medium,5,0.16687487065792084,0.24489708244800568,0.030280938372015953
pythia-70m,draw_2,high,0,4.560936588404729e-07,5.2609957492677495e-06,2.31763270379414e-15
pythia-70m,draw_2,high,1,2.3014365524431923e-06,2.9015063773840666e-05,5.51436490464326e-15
pythia-70m,draw_2,high,2,7.290407211257843e-06,0.00010356672282796353,9.58174647481061e-14
pythia-70m,draw_2,high,3,0.09412963688373566,0.2546722888946533,7.892395842645783e-06
pythia-70m,draw_2,high,4,0.29063764214515686,0.40661147236824036,0.006834273226559162
pythia-70m,draw_2,high,5,0.20385967195034027,0.24797426164150238,0.08524008095264435
pythia-70m,draw_2,very_high,0,2.9969010029162746e-07,2.95359723168076e-06,4.510061825412949e-14
pythia-70m,draw_2,very_high,1,7.479875876015285e-06,0.00010436262527946383,4.6529905037458186e-14
pythia-70m,draw_2,very_high,2,1.4215753481039428e-06,1.801935286493972e-05,5.712265513033166e-13
pythia-70m,draw_2,very_high,3,0.11367323994636536,0.266729474067688,1.6263225916191004e-05
pythia-70m,draw_2,very_high,4,0.3711438775062561,0.4246847629547119,0.0732228085398674
pythia-70m,draw_2,very_high,5,0.28176766633987427,0.2638663351535797,0.20079317688941956
pythia-70m,draw_2,control,0,2.1431567347462988e-06,3.0396664442378096e-05,3.856129350836464e-14
