model,draw,test_band,circuit_type,ablation,n_edges,accuracy,top5_accuracy
pythia-1b,draw_1,low,universal_edge,resample,348,0.1511111111111111,0.29777777777777775
pythia-1b,draw_1,medium,universal_edge,resample,348,0.36444444444444446,0.49333333333333335
pythia-1b,draw_1,high,universal_edge,resample,348,0.4222222222222222,0.56
pythia-1b,draw_1,very_high,universal_edge,resample,348,0.48444444444444446,0.6444444444444445
pythia-1b,draw_1,control,universal_edge,resample,348,0.37333333333333335,0.5466666666666666
pythia-1b,draw_2,low,universal_edge,resample,356,0.1688888888888889,0.3244444444444444
pythia-1b,draw_2,medium,universal_edge,resample,356,0.31555555555555553,0.48
pythia-1b,draw_2,high,universal_edge,resample,356,0.38666666666666666,0.5511111111111111
pythia-1b,draw_2,very_high,universal_edge,resample,356,0.4711111111111111,0.64
pythia-1b,draw_2,control,universal_edge,resample,356,0.39111111111111113,0.5688888888888889
pythia-1b,draw_3,low,universal_edge,resample,364,0.36,0.5777777777777777
pythia-1b,draw_3,medium,universal_edge,resample,364,0.5511111111111111,0.7466666666666667
pythia-1b,draw_3,high,universal_edge,resample,364,0.6533333333333333,0.8088888888888889
pythia-1b,draw_3,very_high,universal_edge,resample,364,0.5777777777777777,0.7466666666666667
pythia-1b,draw_3,control,universal_edge,resample,364,0.5911111111111111,0.8044444444444444
