model,ablation,same_band_boost_mean,cross_band_boost_mean,transfer_efficiency,cohens_d,p_value,n_pairs,own_band_accuracy_mean
pythia-70m,resample,0.12207407407407408,0.09940740740740743,0.8143203883495147,0.5092606940147701,0.004180908203125,15,0.41659259259259257
pythia-160m,resample,0.304,0.28155555555555556,0.9261695906432749,0.287519894192608,0.000579833984375,15,0.9223703703703703
pythia-410m,resample,0.4497777777777777,0.4337777777777779,0.964426877470356,0.16285522527277235,0.004180908203125,15,0.9641481481481481
pythia-1b,resample,0.5131851851851852,0.48459259259259274,0.9442840646651273,0.24138789450447065,0.000762939453125,15,0.9306666666666668
pythia-1.4b,resample,0.7555555555555554,0.7328148148148148,0.9699019607843139,0.2577782135804875,0.027679443359375,15,0.8791111111111111
