model,draw,test_band,circuit_type,ablation,n_edges,accuracy,top5_accuracy
pythia-160m,draw_1,low,universal_edge,resample,694,0.39555555555555555,0.6711111111111111
pythia-160m,draw_1,medium,universal_edge,resample,694,0.49333333333333335,0.7955555555555556
pythia-160m,draw_1,high,universal_edge,resample,694,0.5688888888888889,0.7644444444444445
pythia-160m,draw_1,very_high,universal_edge,resample,694,0.6933333333333334,0.84
pythia-160m,draw_1,control,universal_edge,resample,694,0.5866666666666667,0.7822222222222223
pythia-160m,draw_2,low,universal_edge,resample,723,0.48444444444444446,0.7911111111111111
pythia-160m,draw_2,medium,universal_edge,resample,723,0.6177777777777778,0.8844444444444445
pythia-160m,draw_2,high,universal_edge,resample,723,0.7111111111111111,0.8888888888888888
pythia-160m,draw_2,very_high,universal_edge,resample,723,0.7422222222222222,0.8755555555555555
pythia-160m,draw_2,control,universal_edge,resample,723,0.6977777777777778,0.8577777777777778
pythia-160m,draw_3,low,universal_edge,resample,723,0.5688888888888889,0.7866666666666666
pythia-160m,draw_3,medium,universal_edge,resample,723,0.6622222222222223,0.8133333333333334
pythia-160m,draw_3,high,universal_edge,resample,723,0.7244444444444444,0.8711111111111111
pythia-160m,draw_3,very_high,universal_edge,resample,723,0.68,0.8311111111111111
pythia-160m,draw_3,control,universal_edge,resample,723,0.6488888888888888,0.8311111111111111
