metric,phase,factor,F,p_value,eta2
separation_ratio,R1,model,44.99999999999997,0.00016584306863051766,0.9440559440559442
separation_ratio,R1,draw,0.999999999999988,0.42187500000000383,0.013986013986013828
model_capacity,R2,model,1.139935593877175e+30,1.1814003773511518e-89,1.0
model_capacity,R2,draw,1.0898949404761087,0.39466381316266996,6.374014732821487e-31
n_layers,R2,model,1.0788515746623228e+30,1.3936475296614226e-89,1.0
n_layers,R2,draw,0.9253833184841687,0.4463931755964855,5.718323324650788e-31
peak_probe_accuracy,R2,model,14.455445544554445,0.0037438456977517934,0.8508158508158505
peak_probe_accuracy,R2,draw,0.8019801980198071,0.49128580093383584,0.03146853146853168
entropy_mean,R3,model,208.40526636096195,2.48274654710722e-131,0.055936098035018034
entropy_mean,R3,band,0.5114526411702655,0.72733404611525,0.00018303225938137995
entropy_mean,R3,draw,0.030373253724903695,0.9700834635579976,5.434799633953127e-06
efficiency,R5,model,7.45846139606829e+31,0.0,1.0
efficiency,R5,draw,18.66288092746041,4.7943579775821316e-08,1.6681618309193995e-31
