model,max_prefix_mass_fraction,min_parity_cos,mean_cancellation_ratio,mass_pos_17,mass_pos_18,mass_pos_19,mass_pos_20,mass_pos_21,within_cos_positional_global,between_cos_positional_global,within_cos_actual_aggregated,between_cos_actual_aggregated,within_cos_marginal_mass,between_cos_marginal_mass,within_shared_profile_cos_weighted,between_shared_profile_cos_weighted,within_shared_profile_cos_unweighted,between_shared_profile_cos_unweighted,within_shared_profile_tv_weighted,between_shared_profile_tv_weighted,perm_contrast_cos_positional_global,perm_p_directional_cos_positional_global,perm_p_cos_positional_global,perm_contrast_shared_profile_cos_weighted,perm_p_directional_shared_profile_cos_weighted,perm_p_shared_profile_cos_weighted,perm_contrast_shared_profile_tv_weighted,perm_p_directional_shared_profile_tv_weighted,perm_p_shared_profile_tv_weighted
pythia-70m,0.0,0.9999998807907104,0.9331377148628235,0.03459293718139331,0.0482767882446448,0.06809213260809581,0.1093313068151474,0.739706838130951,0.9802868684132894,0.948543914159139,0.9861638903617859,0.9478228767712911,0.9869069417317708,0.9502990225950877,0.9807863195737203,0.9783581137657166,0.9279943982760112,0.9253342866897583,0.0658490185936292,0.07444473827878634,0.03174295425415039,0.00020833333333333335,0.0004166666666666667,0.002428205808003743,0.0005555555555555556,0.0011111111111111111,0.008595719685157141,0.000625,0.00125
pythia-160m,0.0,0.9999998211860657,0.9141079187393188,0.04024095709125201,0.06544997443755468,0.08922721594572067,0.13770931363105773,0.6673725485801697,0.9953996539115906,0.9822785357634226,0.9972694317499796,0.9870452404022216,0.997323211034139,0.987183674176534,0.990312127272288,0.9872222741444906,0.9483545343081157,0.9407172679901123,0.04139620487888654,0.04957122442622979,0.013121118148167927,6.944444444444444e-05,0.0001388888888888889,0.0030898531277974445,6.944444444444444e-05,0.0001388888888888889,0.008175019547343253,6.944444444444444e-05,0.0001388888888888889
pythia-410m,0.0,0.9999999403953552,0.9056947827339172,0.04547067210078239,0.06571328143278758,0.08547035704056422,0.13879483143488566,0.6645508646965027,0.9940617163976033,0.9706255892912546,0.9975114146868388,0.983495165904363,0.9975859681765239,0.9841019729773204,0.9928908904393514,0.9878428598244985,0.9649466911951701,0.9548632184664408,0.035583895693222685,0.05077584348618984,0.023436127106348674,6.944444444444444e-05,0.0001388888888888889,0.005048030614852906,6.944444444444444e-05,0.0001388888888888889,0.015191947792967155,6.944444444444444e-05,0.0001388888888888889
pythia-1b,0.0,0.9999997615814209,0.9184413552284241,0.0471783772110939,0.07225774725278218,0.09694352994362514,0.14251685837904612,0.6411035100618998,0.9948956171671549,0.9520295063654581,0.997874649365743,0.9727583567301432,0.9979499856630961,0.9734808544317881,0.9946280439694722,0.9890665312608083,0.9754500349362691,0.9621040562788645,0.03347383551299572,0.05440655412773291,0.04286611080169678,6.944444444444444e-05,0.0001388888888888889,0.00556151270866394,6.944444444444444e-05,0.0001388888888888889,0.020932718614737188,6.944444444444444e-05,0.0001388888888888889
pythia-1.4b,0.0,0.9999998807907104,0.8678911924362183,0.05327244574824969,0.06933109859625498,0.08714088996251425,0.13653915822505952,0.6537163774172465,0.9928553183873494,0.9552635669708252,0.9968856414159138,0.974825382232666,0.9969976464907329,0.975593759616216,0.9944412310918173,0.9903375506401062,0.9700059652328491,0.9612350523471832,0.03169882521033287,0.04712488266328971,0.03759175141652425,6.944444444444444e-05,0.0001388888888888889,0.004103680451711019,6.944444444444444e-05,0.0001388888888888889,0.015426057452956839,6.944444444444444e-05,0.0001388888888888889
