method,model,band,draw,size_multiplier,n_edges,n_edges_acdc_ref,total_edges,size_fraction,n_edges_method,n_edges_acdc,n_intersection,n_union,jaccard,recall_in_acdc,recall_in_method,dice
eap,pythia-70m,low,draw_1,0.1,38,380,1324,0.028700906344410877,38,380,38,380,0.1,0.1,1.0,0.18181818181818182
eap,pythia-70m,low,draw_1,0.2,76,380,1324,0.05740181268882175,76,380,74,382,0.193717277486911,0.19473684210526315,0.9736842105263158,0.32456140350877194
eap,pythia-70m,low,draw_1,0.3,114,380,1324,0.08610271903323263,114,380,111,383,0.2898172323759791,0.29210526315789476,0.9736842105263158,0.4493927125506073
eap,pythia-70m,low,draw_1,0.5,190,380,1324,0.14350453172205438,190,380,175,395,0.4430379746835443,0.4605263157894737,0.9210526315789473,0.6140350877192983
eap,pythia-70m,low,draw_1,0.75,285,380,1324,0.21525679758308158,285,380,238,427,0.5573770491803278,0.6263157894736842,0.8350877192982457,0.7157894736842105
eap,pythia-70m,low,draw_1,1.0,380,380,1324,0.28700906344410876,380,380,279,481,0.58004158004158,0.7342105263157894,0.7342105263157894,0.7342105263157894
eap,pythia-70m,low,draw_1,1.5,570,380,1324,0.43051359516616317,570,380,330,620,0.532258064516129,0.868421052631579,0.5789473684210527,0.6947368421052632
eap,pythia-70m,low,draw_1,2.0,760,380,1324,0.5740181268882175,760,380,357,783,0.4559386973180077,0.9394736842105263,0.4697368421052632,0.6263157894736842
eap,pythia-70m,low,draw_1,3.0,1140,380,1324,0.8610271903323263,1140,380,377,1143,0.32983377077865267,0.9921052631578947,0.3307017543859649,0.49605263157894736
eap,pythia-70m,low,draw_1,5.0,1324,380,1324,1.0,1324,380,380,1324,0.28700906344410876,1.0,0.28700906344410876,0.4460093896713615
eap,pythia-70m,medium,draw_1,0.1,40,395,1324,0.030211480362537766,40,395,38,397,0.09571788413098237,0.09620253164556962,0.95,0.17471264367816092
eap,pythia-70m,medium,draw_1,0.2,79,395,1324,0.05966767371601209,79,395,74,400,0.185,0.18734177215189873,0.9367088607594937,0.31223628691983124
eap,pythia-70m,medium,draw_1,0.3,118,395,1324,0.0891238670694864,118,395,108,405,0.26666666666666666,0.27341772151898736,0.9152542372881356,0.42105263157894735
eap,pythia-70m,medium,draw_1,0.5,198,395,1324,0.14954682779456194,198,395,170,423,0.40189125295508277,0.43037974683544306,0.8585858585858586,0.5733558178752108
eap,pythia-70m,medium,draw_1,0.75,296,395,1324,0.22356495468277945,296,395,236,455,0.5186813186813187,0.5974683544303797,0.7972972972972973,0.683068017366136
eap,pythia-70m,medium,draw_1,1.0,395,395,1324,0.2983383685800604,395,395,295,495,0.5959595959595959,0.7468354430379747,0.7468354430379747,0.7468354430379747
eap,pythia-70m,medium,draw_1,1.5,592,395,1324,0.4471299093655589,592,395,354,633,0.5592417061611374,0.8962025316455696,0.597972972972973,0.7173252279635258
eap,pythia-70m,medium,draw_1,2.0,790,395,1324,0.5966767371601208,790,395,380,805,0.4720496894409938,0.9620253164556962,0.4810126582278481,0.6413502109704642
eap,pythia-70m,medium,draw_1,3.0,1185,395,1324,0.8950151057401813,1185,395,393,1187,0.33108677337826453,0.9949367088607595,0.33164556962025316,0.49746835443037973
eap,pythia-70m,medium,draw_1,5.0,1324,395,1324,1.0,1324,395,395,1324,0.2983383685800604,1.0,0.2983383685800604,0.4595695171611402
