model,n_candidates,n_background,median_kcomp_candidates,median_kcomp_background,mw_p_one_sided,rank_biserial
pythia-70m,5,35,0.05672396346926689,0.05159362405538559,0.002433101117311644,0.7485714285714287
pythia-160m,22,110,0.047513650730252266,0.04430057667195797,0.008273835976906768,0.32479338842975203
pythia-410m,32,336,0.0566561222076416,0.04308978095650673,1.4871657787869193e-11,0.7111235119047619
pythia-1b,16,96,0.03246265463531017,0.02836762461811304,9.787286404465395e-06,0.6692708333333333
pythia-1.4b,25,343,0.03781924769282341,0.03374806046485901,0.0013892247602913241,0.3583673469387756
