model,layer,head,is_candidate,max_kcomp_prev
pythia-70m,1,0,False,0.04496028274297714
pythia-70m,1,1,False,0.04451662302017212
pythia-70m,1,2,False,0.0452972874045372
pythia-70m,1,3,False,0.047298796474933624
pythia-70m,1,4,False,0.046031493693590164
pythia-70m,1,5,False,0.046677228063344955
pythia-70m,1,6,False,0.04336408153176308
pythia-70m,1,7,False,0.045505277812480927
pythia-70m,2,0,False,0.051182206720113754
pythia-70m,2,1,False,0.05584429204463959
pythia-70m,2,2,False,0.061885494738817215
pythia-70m,2,3,False,0.0561567023396492
pythia-70m,2,4,False,0.05073419585824013
pythia-70m,2,5,False,0.05222279578447342
pythia-70m,2,6,False,0.04911439120769501
pythia-70m,2,7,False,0.05714035406708717
pythia-70m,3,0,True,0.06030557304620743
pythia-70m,3,1,True,0.05700800567865372
pythia-70m,3,2,False,0.04903918132185936
pythia-70m,3,3,False,0.058039456605911255
pythia-70m,3,4,False,0.05159362405538559
pythia-70m,3,5,True,0.05672396346926689
pythia-70m,3,6,True,0.05589275062084198
pythia-70m,3,7,False,0.04979356750845909
pythia-70m,4,0,False,0.05462755635380745
pythia-70m,4,1,False,0.05558479204773903
pythia-70m,4,2,False,0.057234182953834534
pythia-70m,4,3,False,0.05507681146264076
pythia-70m,4,4,False,0.05697324126958847
pythia-70m,4,5,False,0.0520789735019207
pythia-70m,4,6,False,0.05413437262177467
pythia-70m,4,7,True,0.0566876120865345
pythia-70m,5,0,False,0.050770558416843414
pythia-70m,5,1,False,0.053261708468198776
pythia-70m,5,2,False,0.05061817914247513
pythia-70m,5,3,False,0.053378403186798096
pythia-70m,5,4,False,0.05322651192545891
pythia-70m,5,5,False,0.04906767979264259
pythia-70m,5,6,False,0.05617372691631317
pythia-70m,5,7,False,0.051379524171352386
pythia-160m,1,0,False,0.03651756793260574
pythia-160m,1,1,False,0.03682377189397812
pythia-160m,1,2,False,0.036593686789274216
pythia-160m,1,3,False,0.036181531846523285
pythia-160m,1,4,False,0.03711330145597458
pythia-160m,1,5,False,0.036243367940187454
pythia-160m,1,6,False,0.0370597168803215
pythia-160m,1,7,False,0.03733934462070465
pythia-160m,1,8,False,0.037025198340415955
pythia-160m,1,9,False,0.037263691425323486
pythia-160m,1,10,False,0.03599614277482033
pythia-160m,1,11,False,0.03648864105343819
pythia-160m,2,0,False,0.04043914005160332
pythia-160m,2,1,False,0.05069149658083916
pythia-160m,2,2,False,0.03971991315484047
pythia-160m,2,3,False,0.04260065034031868
pythia-160m,2,4,False,0.038627345114946365
pythia-160m,2,5,False,0.037221163511276245
pythia-160m,2,6,False,0.05651240050792694
pythia-160m,2,7,False,0.036153730005025864
pythia-160m,2,8,False,0.049301546066999435
pythia-160m,2,9,False,0.03905591741204262
pythia-160m,2,10,False,0.03574535250663757
pythia-160m,2,11,False,0.041350677609443665
pythia-160m,3,0,False,0.048644039779901505
pythia-160m,3,1,False,0.05191750451922417
pythia-160m,3,2,False,0.04678988456726074
pythia-160m,3,3,False,0.05450024828314781
pythia-160m,3,4,False,0.05444975569844246
pythia-160m,3,5,False,0.0410076379776001
pythia-160m,3,6,False,0.04276415333151817
pythia-160m,3,7,False,0.0460493229329586
pythia-160m,3,8,False,0.05353750288486481
pythia-160m,3,9,False,0.04323870688676834
pythia-160m,3,10,False,0.04312863573431969
pythia-160m,3,11,False,0.03943992033600807
pythia-160m,4,0,False,0.04418465122580528
pythia-160m,4,1,False,0.03705114871263504
pythia-160m,4,2,False,0.04376107081770897
pythia-160m,4,3,False,0.044824399054050446
pythia-160m,4,4,False,0.04177093878388405
pythia-160m,4,5,False,0.04890276864171028
pythia-160m,4,6,True,0.043706342577934265
pythia-160m,4,7,False,0.0423506498336792
pythia-160m,4,8,True,0.04591602459549904
pythia-160m,4,9,False,0.03975432738661766
pythia-160m,4,10,True,0.04518982768058777
pythia-160m,4,11,True,0.04188809543848038
pythia-160m,5,0,True,0.04309554025530815
pythia-160m,5,1,False,0.046792514622211456
pythia-160m,5,2,False,0.050487518310546875
pythia-160m,5,3,False,0.04533741623163223
pythia-160m,5,4,False,0.039929769933223724
pythia-160m,5,5,False,0.044714149087667465
pythia-160m,5,6,True,0.0457393042743206
pythia-160m,5,7,True,0.044924214482307434
pythia-160m,5,8,False,0.047392137348651886
pythia-160m,5,9,False,0.06621720641851425
pythia-160m,5,10,True,0.044987984001636505
