model,train_band,draw,same_band_metric,cross_band_mean,gap,transfer_ratio
pythia-70m,low,draw_1,0.2088888888888889,0.3711111111111111,-0.1622222222222222,1.776595744680851
pythia-70m,low,draw_2,0.3111111111111111,0.3888888888888889,-0.07777777777777778,1.25
pythia-70m,low,draw_3,0.2088888888888889,0.42666666666666664,-0.21777777777777774,2.0425531914893615
pythia-70m,medium,draw_1,0.38666666666666666,0.3988888888888889,-0.012222222222222245,1.031609195402299
pythia-70m,medium,draw_2,0.3422222222222222,0.39444444444444443,-0.052222222222222225,1.1525974025974026
pythia-70m,medium,draw_3,0.31555555555555553,0.41000000000000003,-0.0944444444444445,1.2992957746478875
pythia-70m,high,draw_1,0.37777777777777777,0.4011111111111111,-0.023333333333333317,1.061764705882353
pythia-70m,high,draw_2,0.40444444444444444,0.4077777777777778,-0.003333333333333355,1.0082417582417582
pythia-70m,high,draw_3,0.4666666666666667,0.4233333333333333,0.04333333333333339,0.907142857142857
pythia-70m,very_high,draw_1,0.5377777777777778,0.35444444444444445,0.18333333333333335,0.6590909090909091
pythia-70m,very_high,draw_2,0.52,0.38222222222222224,0.13777777777777778,0.7350427350427351
pythia-70m,very_high,draw_3,0.5911111111111111,0.34444444444444444,0.2466666666666667,0.5827067669172932
pythia-70m,control,draw_1,0.5111111111111111,0.3911111111111111,0.12,0.7652173913043478
pythia-70m,control,draw_2,0.5244444444444445,0.4211111111111111,0.10333333333333339,0.8029661016949151
pythia-70m,control,draw_3,0.5422222222222223,0.39444444444444443,0.14777777777777784,0.7274590163934426
pythia-160m,low,draw_1,0.8755555555555555,0.9033333333333333,-0.02777777777777779,1.0317258883248732
pythia-160m,low,draw_2,0.8977777777777778,0.9322222222222223,-0.0344444444444445,1.0383663366336635
pythia-160m,low,draw_3,0.8977777777777778,0.9077777777777777,-0.009999999999999898,1.011138613861386
pythia-160m,medium,draw_1,0.9155555555555556,0.8966666666666666,0.018888888888888955,0.9793689320388349
pythia-160m,medium,draw_2,0.9244444444444444,0.901111111111111,0.023333333333333428,0.9747596153846153
pythia-160m,medium,draw_3,0.8933333333333333,0.9055555555555556,-0.012222222222222245,1.013681592039801
pythia-160m,high,draw_1,0.9111111111111111,0.8855555555555554,0.025555555555555665,0.971951219512195
pythia-160m,high,draw_2,0.9333333333333333,0.8833333333333333,0.050000000000000044,0.9464285714285714
pythia-160m,high,draw_3,0.9244444444444444,0.9022222222222223,0.022222222222222143,0.9759615384615385
pythia-160m,very_high,draw_1,0.9644444444444444,0.8944444444444445,0.06999999999999995,0.9274193548387097
pythia-160m,very_high,draw_2,0.9377777777777778,0.8777777777777778,0.06000000000000005,0.9360189573459715
pythia-160m,very_high,draw_3,0.9511111111111111,0.9122222222222223,0.03888888888888886,0.9591121495327103
pythia-160m,control,draw_1,0.9244444444444444,0.9077777777777777,0.01666666666666672,0.9819711538461537
pythia-160m,control,draw_2,0.9377777777777778,0.9055555555555554,0.032222222222222374,0.9656398104265401
pythia-160m,control,draw_3,0.9466666666666667,0.8844444444444445,0.06222222222222218,0.9342723004694836
pythia-410m,low,draw_1,0.9377777777777778,0.9688888888888889,-0.03111111111111109,1.033175355450237
pythia-410m,low,draw_2,0.9422222222222222,0.9577777777777777,-0.015555555555555545,1.0165094339622642
pythia-410m,low,draw_3,0.96,0.9755555555555555,-0.015555555555555545,1.0162037037037037
pythia-410m,medium,draw_1,0.9777777777777777,0.9500000000000001,0.02777777777777768,0.9715909090909092
pythia-410m,medium,draw_2,0.9822222222222222,0.9544444444444444,0.02777777777777779,0.9717194570135747
pythia-410m,medium,draw_3,0.9644444444444444,0.9622222222222223,0.0022222222222221255,0.9976958525345623
pythia-410m,high,draw_1,0.9688888888888889,0.9411111111111111,0.02777777777777779,0.9713302752293578
pythia-410m,high,draw_2,0.9555555555555556,0.9555555555555555,1.1102230246251565e-16,0.9999999999999999
pythia-410m,high,draw_3,0.9777777777777777,0.9366666666666668,0.04111111111111099,0.9579545454545456
pythia-410m,very_high,draw_1,0.9555555555555556,0.9344444444444445,0.02111111111111108,0.977906976744186
pythia-410m,very_high,draw_2,0.9555555555555556,0.9388888888888889,0.01666666666666672,0.9825581395348837
pythia-410m,very_high,draw_3,0.9777777777777777,0.9211111111111111,0.05666666666666664,0.9420454545454545
pythia-410m,control,draw_1,0.9644444444444444,0.9400000000000001,0.02444444444444438,0.9746543778801844
pythia-410m,control,draw_2,0.9644444444444444,0.9377777777777778,0.026666666666666616,0.9723502304147466
pythia-410m,control,draw_3,0.9777777777777777,0.9477777777777777,0.030000000000000027,0.9693181818181817
pythia-1b,low,draw_1,0.8577777777777778,0.9211111111111111,-0.06333333333333335,1.0738341968911918
pythia-1b,low,draw_2,0.9377777777777778,0.9311111111111111,0.00666666666666671,0.9928909952606635
pythia-1b,low,draw_3,0.92,0.9388888888888889,-0.018888888888888844,1.0205314009661834
pythia-1b,medium,draw_1,0.9466666666666667,0.9211111111111111,0.025555555555555554,0.9730046948356808
pythia-1b,medium,draw_2,0.9288888888888889,0.9222222222222223,0.006666666666666599,0.992822966507177
pythia-1b,medium,draw_3,0.9288888888888889,0.9266666666666666,0.0022222222222222365,0.9976076555023923
pythia-1b,high,draw_1,0.9155555555555556,0.9122222222222222,0.0033333333333334103,0.9963592233009708
pythia-1b,high,draw_2,0.9422222222222222,0.9111111111111111,0.03111111111111109,0.9669811320754718
pythia-1b,high,draw_3,0.9511111111111111,0.9266666666666666,0.02444444444444449,0.9742990654205607
pythia-1b,very_high,draw_1,0.9288888888888889,0.8022222222222222,0.1266666666666667,0.8636363636363636
pythia-1b,very_high,draw_2,0.9466666666666667,0.8488888888888889,0.09777777777777774,0.8967136150234742
pythia-1b,very_high,draw_3,0.9333333333333333,0.8922222222222222,0.0411111111111111,0.955952380952381
pythia-1b,control,draw_1,0.9422222222222222,0.8977777777777778,0.0444444444444444,0.9528301886792453
pythia-1b,control,draw_2,0.9377777777777778,0.8933333333333333,0.04444444444444451,0.95260663507109
pythia-1b,control,draw_3,0.9422222222222222,0.8855555555555555,0.05666666666666664,0.9398584905660378
pythia-1.4b,low,draw_1,0.8177777777777778,0.9111111111111112,-0.09333333333333338,1.1141304347826086
pythia-1.4b,low,draw_2,0.8044444444444444,0.9055555555555554,-0.10111111111111104,1.1256906077348066
pythia-1.4b,low,draw_3,0.7733333333333333,0.9222222222222222,-0.14888888888888885,1.1925287356321839
pythia-1.4b,medium,draw_1,0.8444444444444444,0.8866666666666666,-0.04222222222222216,1.0499999999999998
pythia-1.4b,medium,draw_2,0.8622222222222222,0.9066666666666667,-0.04444444444444451,1.0515463917525774
pythia-1.4b,medium,draw_3,0.8711111111111111,0.8811111111111111,-0.010000000000000009,1.0114795918367347
pythia-1.4b,high,draw_1,0.8844444444444445,0.8044444444444444,0.08000000000000007,0.9095477386934673
pythia-1.4b,high,draw_2,0.9155555555555556,0.8777777777777778,0.0377777777777778,0.9587378640776699
pythia-1.4b,high,draw_3,0.8844444444444445,0.8555555555555555,0.028888888888888964,0.9673366834170853
pythia-1.4b,very_high,draw_1,0.8977777777777778,0.7588888888888888,0.13888888888888895,0.8452970297029703
pythia-1.4b,very_high,draw_2,0.9244444444444444,0.7955555555555555,0.12888888888888894,0.860576923076923
pythia-1.4b,very_high,draw_3,0.9333333333333333,0.7711111111111111,0.16222222222222227,0.8261904761904761
pythia-1.4b,control,draw_1,0.9111111111111111,0.8655555555555556,0.04555555555555546,0.9500000000000001
pythia-1.4b,control,draw_2,0.9288888888888889,0.8411111111111111,0.08777777777777773,0.9055023923444977
pythia-1.4b,control,draw_3,0.9333333333333333,0.8622222222222222,0.07111111111111112,0.9238095238095237
