model,lf_to_hf,hf_to_lf,asymmetry,asymmetry_ratio
pythia-70m,0.4314814814814814,0.29333333333333333,0.13814814814814808,1.4709595959595958
pythia-160m,0.9181481481481483,0.8614814814814814,0.056666666666666865,1.0657781599312126
pythia-410m,0.9648148148148149,0.9174074074074072,0.047407407407407676,1.051675413807025
pythia-1b,0.9251851851851852,0.8340740740740741,0.09111111111111114,1.1092362344582594
pythia-1.4b,0.9207407407407407,0.7166666666666667,0.20407407407407407,1.2847545219638243
