model,train_band,draw,test_band,same_band,accuracy,bc,bimodal
pythia-70m,low,draw_1,low,True,0.2088888888888889,0.8392030932379506,True
pythia-70m,low,draw_1,medium,False,0.3288888888888889,0.8279482053357219,True
pythia-70m,low,draw_1,high,False,0.3288888888888889,0.811268225160668,True
pythia-70m,low,draw_1,very_high,False,0.4177777777777778,0.740991156125524,True
pythia-70m,low,draw_1,control,False,0.4088888888888889,0.7268346178901591,True
pythia-70m,low,draw_2,low,True,0.3111111111111111,0.8694735697589981,True
pythia-70m,low,draw_2,medium,False,0.3288888888888889,0.7968511839265174,True
pythia-70m,low,draw_2,high,False,0.3466666666666667,0.816147647709464,True
pythia-70m,low,draw_2,very_high,False,0.4577777777777778,0.787151942540109,True
pythia-70m,low,draw_2,control,False,0.4222222222222222,0.7554398744256249,True
pythia-70m,low,draw_3,low,True,0.2088888888888889,0.848939530146157,True
pythia-70m,low,draw_3,medium,False,0.3111111111111111,0.8072972751845996,True
pythia-70m,low,draw_3,high,False,0.4,0.7904505505999434,True
pythia-70m,low,draw_3,very_high,False,0.5288888888888889,0.7113005765050516,True
pythia-70m,low,draw_3,control,False,0.4666666666666667,0.751662547116013,True
pythia-70m,medium,draw_1,low,False,0.24,0.8648068805447953,True
pythia-70m,medium,draw_1,medium,True,0.38666666666666666,0.8112048764420582,True
pythia-70m,medium,draw_1,high,False,0.38666666666666666,0.7951789851853726,True
pythia-70m,medium,draw_1,very_high,False,0.5333333333333333,0.7748104056018141,True
pythia-70m,medium,draw_1,control,False,0.43555555555555553,0.7199316654308537,True
pythia-70m,medium,draw_2,low,False,0.30666666666666664,0.862708964282246,True
pythia-70m,medium,draw_2,medium,True,0.3422222222222222,0.8151844318541754,True
pythia-70m,medium,draw_2,high,False,0.3688888888888889,0.7854760176803924,True
pythia-70m,medium,draw_2,very_high,False,0.48,0.7645477128958625,True
pythia-70m,medium,draw_2,control,False,0.4222222222222222,0.7417291198439557,True
pythia-70m,medium,draw_3,low,False,0.2088888888888889,0.8536828734172678,True
pythia-70m,medium,draw_3,medium,True,0.31555555555555553,0.8183900436070046,True
pythia-70m,medium,draw_3,high,False,0.4088888888888889,0.7612932552949044,True
pythia-70m,medium,draw_3,very_high,False,0.52,0.6953994612000529,True
pythia-70m,medium,draw_3,control,False,0.5022222222222222,0.729040239367195,True
pythia-70m,high,draw_1,low,False,0.2577777777777778,0.8356735677053557,True
pythia-70m,high,draw_1,medium,False,0.35555555555555557,0.8271068719716624,True
pythia-70m,high,draw_1,high,True,0.37777777777777777,0.8123526979598834,True
pythia-70m,high,draw_1,very_high,False,0.5022222222222222,0.730300685904613,True
pythia-70m,high,draw_1,control,False,0.4888888888888889,0.7326065621669459,True
pythia-70m,high,draw_2,low,False,0.31555555555555553,0.856343566970633,True
pythia-70m,high,draw_2,medium,False,0.3333333333333333,0.8001633294490655,True
pythia-70m,high,draw_2,high,True,0.40444444444444444,0.7796909011520285,True
pythia-70m,high,draw_2,very_high,False,0.49333333333333335,0.73642226913171,True
pythia-70m,high,draw_2,control,False,0.4888888888888889,0.7347845269348179,True
pythia-70m,high,draw_3,low,False,0.23555555555555555,0.8734395348799914,True
pythia-70m,high,draw_3,medium,False,0.3466666666666667,0.800053515963093,True
pythia-70m,high,draw_3,high,True,0.4666666666666667,0.7990491799050654,True
pythia-70m,high,draw_3,very_high,False,0.5955555555555555,0.6384942777225603,True
pythia-70m,high,draw_3,control,False,0.5155555555555555,0.7039008611970529,True
pythia-70m,very_high,draw_1,low,False,0.21777777777777776,0.8352334007891836,True
pythia-70m,very_high,draw_1,medium,False,0.35555555555555557,0.8059523487420847,True
pythia-70m,very_high,draw_1,high,False,0.36444444444444446,0.7966393607676205,True
pythia-70m,very_high,draw_1,very_high,True,0.5377777777777778,0.7284681987420973,True
pythia-70m,very_high,draw_1,control,False,0.48,0.7329980318461901,True
pythia-70m,very_high,draw_2,low,False,0.26666666666666666,0.8500511876875672,True
pythia-70m,very_high,draw_2,medium,False,0.35555555555555557,0.7831159407095604,True
pythia-70m,very_high,draw_2,high,False,0.41333333333333333,0.7539552323200236,True
pythia-70m,very_high,draw_2,very_high,True,0.52,0.7108115215728027,True
pythia-70m,very_high,draw_2,control,False,0.49333333333333335,0.7220319814974842,True
pythia-70m,very_high,draw_3,low,False,0.2088888888888889,0.8726991776921519,True
pythia-70m,very_high,draw_3,medium,False,0.27111111111111114,0.8183354729614729,True
pythia-70m,very_high,draw_3,high,False,0.40444444444444444,0.7725169028640538,True
pythia-70m,very_high,draw_3,very_high,True,0.5911111111111111,0.6671076251557666,True
pythia-70m,very_high,draw_3,control,False,0.49333333333333335,0.7611062641558568,True
pythia-70m,control,draw_1,low,False,0.26666666666666666,0.8327374211433949,True
pythia-70m,control,draw_1,medium,False,0.3688888888888889,0.8048854704250104,True
pythia-70m,control,draw_1,high,False,0.4,0.8185815839151788,True
pythia-70m,control,draw_1,very_high,False,0.5288888888888889,0.7338709313049369,True
pythia-70m,control,draw_1,control,True,0.5111111111111111,0.7015841346133913,True
pythia-70m,control,draw_2,low,False,0.3244444444444444,0.8487404526633071,True
pythia-70m,control,draw_2,medium,False,0.3688888888888889,0.7991648813637291,True
pythia-70m,control,draw_2,high,False,0.4311111111111111,0.7549588269716382,True
pythia-70m,control,draw_2,very_high,False,0.56,0.6846282914752799,True
pythia-70m,control,draw_2,control,True,0.5244444444444445,0.7223971566117626,True
pythia-70m,control,draw_3,low,False,0.19555555555555557,0.8686992109930207,True
pythia-70m,control,draw_3,medium,False,0.3288888888888889,0.8038830841944146,True
pythia-70m,control,draw_3,high,False,0.43555555555555553,0.7823717704433403,True
pythia-70m,control,draw_3,very_high,False,0.6177777777777778,0.6661419725382342,True
pythia-70m,control,draw_3,control,True,0.5422222222222223,0.701688550814632,True
pythia-160m,low,draw_1,low,True,0.8755555555555555,0.6152570704326917,True
pythia-160m,low,draw_1,medium,False,0.9244444444444444,0.5696805372129226,True
pythia-160m,low,draw_1,high,False,0.8844444444444445,0.6141458372149037,True
pythia-160m,low,draw_1,very_high,False,0.9111111111111111,0.5376631948285031,False
pythia-160m,low,draw_1,control,False,0.8933333333333333,0.5807917213804616,True
pythia-160m,low,draw_2,low,True,0.8977777777777778,0.5793910429172853,True
pythia-160m,low,draw_2,medium,False,0.9288888888888889,0.545317754942025,False
pythia-160m,low,draw_2,high,False,0.9644444444444444,0.5636285856267295,True
pythia-160m,low,draw_2,very_high,False,0.9022222222222223,0.5848047710214266,True
pythia-160m,low,draw_2,control,False,0.9333333333333333,0.5247109277950722,False
pythia-160m,low,draw_3,low,True,0.8977777777777778,0.5988916502840564,True
pythia-160m,low,draw_3,medium,False,0.9066666666666666,0.584632213814579,True
pythia-160m,low,draw_3,high,False,0.9066666666666666,0.5456590462545485,False
pythia-160m,low,draw_3,very_high,False,0.9288888888888889,0.5807632135629077,True
pythia-160m,low,draw_3,control,False,0.8888888888888888,0.5397986570186684,False
pythia-160m,medium,draw_1,low,False,0.8533333333333334,0.596024435384782,True
pythia-160m,medium,draw_1,medium,True,0.9155555555555556,0.6226176588108874,True
pythia-160m,medium,draw_1,high,False,0.9066666666666666,0.6099975740324349,True
pythia-160m,medium,draw_1,very_high,False,0.9066666666666666,0.5572501201142739,True
pythia-160m,medium,draw_1,control,False,0.92,0.5829407484475683,True
pythia-160m,medium,draw_2,low,False,0.8266666666666667,0.630104009977733,True
pythia-160m,medium,draw_2,medium,True,0.9244444444444444,0.5657582099444844,True
pythia-160m,medium,draw_2,high,False,0.9511111111111111,0.5831978466444854,True
pythia-160m,medium,draw_2,very_high,False,0.9022222222222223,0.5802281750785645,True
pythia-160m,medium,draw_2,control,False,0.9244444444444444,0.5124502496484726,False
pythia-160m,medium,draw_3,low,False,0.8533333333333334,0.6059600989263185,True
pythia-160m,medium,draw_3,medium,True,0.8933333333333333,0.6050228934968074,True
pythia-160m,medium,draw_3,high,False,0.9244444444444444,0.505204177174342,False
pythia-160m,medium,draw_3,very_high,False,0.9288888888888889,0.5465848529795716,False
pythia-160m,medium,draw_3,control,False,0.9155555555555556,0.5789374951563754,True
pythia-160m,high,draw_1,low,False,0.8222222222222222,0.6025026283527362,True
pythia-160m,high,draw_1,medium,False,0.8844444444444445,0.6246159348887509,True
pythia-160m,high,draw_1,high,True,0.9111111111111111,0.5978124206334186,True
pythia-160m,high,draw_1,very_high,False,0.9422222222222222,0.5519159353261753,False
pythia-160m,high,draw_1,control,False,0.8933333333333333,0.6108500033105172,True
pythia-160m,high,draw_2,low,False,0.8222222222222222,0.7286379932061927,True
pythia-160m,high,draw_2,medium,False,0.8844444444444445,0.5963857721703609,True
pythia-160m,high,draw_2,high,True,0.9333333333333333,0.579177665098321,True
pythia-160m,high,draw_2,very_high,False,0.9111111111111111,0.5761615641826681,True
pythia-160m,high,draw_2,control,False,0.9155555555555556,0.564322981830169,True
pythia-160m,high,draw_3,low,False,0.8577777777777778,0.6720467764978744,True
pythia-160m,high,draw_3,medium,False,0.9066666666666666,0.5743171375110276,True
pythia-160m,high,draw_3,high,True,0.9244444444444444,0.5484536576779879,False
pythia-160m,high,draw_3,very_high,False,0.9155555555555556,0.5510390240895495,False
pythia-160m,high,draw_3,control,False,0.9288888888888889,0.561172367207651,True
pythia-160m,very_high,draw_1,low,False,0.8488888888888889,0.6456102332291344,True
pythia-160m,very_high,draw_1,medium,False,0.8755555555555555,0.628756805955681,True
pythia-160m,very_high,draw_1,high,False,0.9244444444444444,0.5950646577041662,True
pythia-160m,very_high,draw_1,very_high,True,0.9644444444444444,0.5643374046742129,True
pythia-160m,very_high,draw_1,control,False,0.9288888888888889,0.5667888122950229,True
pythia-160m,very_high,draw_2,low,False,0.7733333333333333,0.7116405310325785,True
pythia-160m,very_high,draw_2,medium,False,0.8755555555555555,0.5815916814401936,True
pythia-160m,very_high,draw_2,high,False,0.9333333333333333,0.5899236712649174,True
pythia-160m,very_high,draw_2,very_high,True,0.9377777777777778,0.5379368132015616,False
pythia-160m,very_high,draw_2,control,False,0.9288888888888889,0.5336989111511399,False
pythia-160m,very_high,draw_3,low,False,0.8755555555555555,0.6875917055470123,True
pythia-160m,very_high,draw_3,medium,False,0.9111111111111111,0.6135880867692883,True
pythia-160m,very_high,draw_3,high,False,0.9288888888888889,0.49957102889066146,False
pythia-160m,very_high,draw_3,very_high,True,0.9511111111111111,0.5521558990013561,False
pythia-160m,very_high,draw_3,control,False,0.9333333333333333,0.5582663467137969,True
pythia-160m,control,draw_1,low,False,0.8488888888888889,0.6352299568031913,True
pythia-160m,control,draw_1,medium,False,0.9066666666666666,0.5934768659244009,True
pythia-160m,control,draw_1,high,False,0.9244444444444444,0.5895144558791972,True
pythia-160m,control,draw_1,very_high,False,0.9511111111111111,0.4946267515725873,False
pythia-160m,control,draw_1,control,True,0.9244444444444444,0.5675207462059,True
pythia-160m,control,draw_2,low,False,0.8577777777777778,0.6530637382892018,True
pythia-160m,control,draw_2,medium,False,0.9111111111111111,0.6094150854173175,True
pythia-160m,control,draw_2,high,False,0.92,0.5700492972966674,True
pythia-160m,control,draw_2,very_high,False,0.9333333333333333,0.5592302300718144,True
pythia-160m,control,draw_2,control,True,0.9377777777777778,0.504128594412908,False
pythia-160m,control,draw_3,low,False,0.8044444444444444,0.6728284231125418,True
pythia-160m,control,draw_3,medium,False,0.88,0.6104173623956819,True
pythia-160m,control,draw_3,high,False,0.9155555555555556,0.5355148246645289,False
pythia-160m,control,draw_3,very_high,False,0.9377777777777778,0.5331549498338857,False
pythia-160m,control,draw_3,control,True,0.9466666666666667,0.5584996752464918,True
pythia-410m,low,draw_1,low,True,0.9377777777777778,0.5643146809557062,True
pythia-410m,low,draw_1,medium,False,0.9866666666666667,0.521044404489946,False
pythia-410m,low,draw_1,high,False,0.9733333333333334,0.5508663272063763,False
pythia-410m,low,draw_1,very_high,False,0.9511111111111111,0.4833851461429014,False
pythia-410m,low,draw_1,control,False,0.9644444444444444,0.4995808161024239,False
pythia-410m,low,draw_2,low,True,0.9422222222222222,0.5442290499792054,False
pythia-410m,low,draw_2,medium,False,0.9733333333333334,0.5329499744117319,False
pythia-410m,low,draw_2,high,False,0.9688888888888889,0.5337824205957714,False
pythia-410m,low,draw_2,very_high,False,0.9377777777777778,0.5094432190292817,False
pythia-410m,low,draw_2,control,False,0.9511111111111111,0.501973696458497,False
pythia-410m,low,draw_3,low,True,0.96,0.5357206228669852,False
pythia-410m,low,draw_3,medium,False,0.9688888888888889,0.5713711604814722,True
