model,train_band,draw,test_band,same_band,base_accuracy,base_top5_accuracy,base_top10_accuracy,base_mean_correct_prob,circuit_accuracy,circuit_top5_accuracy,circuit_top10_accuracy,circuit_mean_correct_prob,circuit_kl_div,train_rank,test_rank,freq_distance,retention_ratio
pythia-70m,low,draw_1,low,True,0.28444444444444444,0.4444444444444444,0.5111111111111111,0.1008112996596967,0.2088888888888889,0.36444444444444446,0.40444444444444444,0.06728505480875437,0.2487964630126953,1.0,1.0,0.0,0.734375
pythia-70m,low,draw_1,medium,False,0.4222222222222222,0.5777777777777777,0.6311111111111111,0.170893516682791,0.3288888888888889,0.4622222222222222,0.49777777777777776,0.10705801892824095,0.30069729685783386,1.0,2.0,1.0,0.7789473684210526
pythia-70m,low,draw_1,high,False,0.4577777777777778,0.5955555555555555,0.6311111111111111,0.20911492377881485,0.3288888888888889,0.4666666666666667,0.5288888888888889,0.11714039927254463,0.3912242352962494,1.0,3.0,2.0,0.7184466019417476
pythia-70m,low,draw_1,very_high,False,0.6533333333333333,0.7911111111111111,0.8355555555555556,0.26211252286870756,0.4177777777777778,0.6088888888888889,0.6977777777777778,0.148779206581995,0.406461238861084,1.0,4.0,3.0,0.6394557823129252
pythia-70m,low,draw_1,control,False,0.5955555555555555,0.7955555555555556,0.84,0.22581108712009862,0.4088888888888889,0.5777777777777777,0.6622222222222223,0.11292531103807454,0.43958958983421326,1.0,,,0.6865671641791046
pythia-70m,low,draw_2,low,True,0.36,0.5244444444444445,0.5555555555555556,0.13608967401258762,0.3111111111111111,0.4577777777777778,0.4888888888888889,0.10688475428450304,0.22497345507144928,1.0,1.0,0.0,0.8641975308641976
pythia-70m,low,draw_2,medium,False,0.40444444444444444,0.5688888888888889,0.6177777777777778,0.1668682542128843,0.3288888888888889,0.4622222222222222,0.5244444444444445,0.1170578915923377,0.28719648718833923,1.0,2.0,1.0,0.8131868131868132
pythia-70m,low,draw_2,high,False,0.5333333333333333,0.6977777777777778,0.7511111111111111,0.2038787551692844,0.3466666666666667,0.5511111111111111,0.6177777777777778,0.12985394955038324,0.36141982674598694,1.0,3.0,2.0,0.65
pythia-70m,low,draw_2,very_high,False,0.6488888888888888,0.8133333333333334,0.8311111111111111,0.28177048009979544,0.4577777777777778,0.5955555555555555,0.6488888888888888,0.16210458646694556,0.451115220785141,1.0,4.0,3.0,0.7054794520547946
pythia-70m,low,draw_2,control,False,0.56,0.7422222222222222,0.7866666666666666,0.24513468120335447,0.4222222222222222,0.5955555555555555,0.6444444444444445,0.15897771286224055,0.3658963441848755,1.0,,,0.7539682539682538
pythia-70m,low,draw_3,low,True,0.2577777777777778,0.39555555555555555,0.4711111111111111,0.0991126681231686,0.2088888888888889,0.35555555555555557,0.38666666666666666,0.07068353271303658,0.21446511149406433,1.0,1.0,0.0,0.810344827586207
pythia-70m,low,draw_3,medium,False,0.37333333333333335,0.5244444444444445,0.5466666666666666,0.15395668593047426,0.3111111111111111,0.4533333333333333,0.49333333333333335,0.11372889963485522,0.2605326175689697,1.0,2.0,1.0,0.8333333333333333
pythia-70m,low,draw_3,high,False,0.5155555555555555,0.6488888888888888,0.6888888888888889,0.1954730470451932,0.4,0.5777777777777777,0.6355555555555555,0.1417554600538132,0.3122788369655609,1.0,3.0,2.0,0.7758620689655173
pythia-70m,low,draw_3,very_high,False,0.7066666666666667,0.8266666666666667,0.8622222222222222,0.30203613068747576,0.5288888888888889,0.6844444444444444,0.7288888888888889,0.1932301231979141,0.375722736120224,1.0,4.0,3.0,0.7484276729559748
pythia-70m,low,draw_3,control,False,0.6311111111111111,0.7866666666666666,0.8266666666666667,0.26060410890490554,0.4666666666666667,0.6355555555555555,0.7466666666666667,0.16660018011267919,0.37344688177108765,1.0,,,0.7394366197183099
pythia-70m,medium,draw_1,low,False,0.28444444444444444,0.4444444444444444,0.5111111111111111,0.1008112996596967,0.24,0.43555555555555553,0.4666666666666667,0.08205389697789116,0.23093031346797943,2.0,1.0,1.0,0.84375
pythia-70m,medium,draw_1,medium,True,0.4222222222222222,0.5777777777777777,0.6311111111111111,0.170893516682791,0.38666666666666666,0.49333333333333335,0.5555555555555556,0.13090570182688807,0.24423150718212128,2.0,2.0,0.0,0.9157894736842105
pythia-70m,medium,draw_1,high,False,0.4577777777777778,0.5955555555555555,0.6311111111111111,0.20911492377881485,0.38666666666666666,0.5066666666666667,0.5911111111111111,0.14572733019888826,0.29471316933631897,2.0,3.0,1.0,0.8446601941747572
pythia-70m,medium,draw_1,very_high,False,0.6533333333333333,0.7911111111111111,0.8355555555555556,0.26211252286870756,0.5333333333333333,0.7111111111111111,0.7777777777777778,0.18077838002721264,0.348063200712204,2.0,4.0,2.0,0.8163265306122449
pythia-70m,medium,draw_1,control,False,0.5955555555555555,0.7955555555555556,0.84,0.22581108712009862,0.43555555555555553,0.6222222222222222,0.6755555555555556,0.14463008823938253,0.3722471296787262,2.0,,,0.7313432835820896
pythia-70m,medium,draw_2,low,False,0.36,0.5244444444444445,0.5555555555555556,0.13608967401258762,0.30666666666666664,0.4711111111111111,0.49333333333333335,0.1038198190465594,0.21139851212501526,2.0,1.0,1.0,0.8518518518518519
pythia-70m,medium,draw_2,medium,True,0.40444444444444444,0.5688888888888889,0.6177777777777778,0.1668682542128843,0.3422222222222222,0.48,0.52,0.11296545604410078,0.2511306703090668,2.0,2.0,0.0,0.8461538461538461
pythia-70m,medium,draw_2,high,False,0.5333333333333333,0.6977777777777778,0.7511111111111111,0.2038787551692844,0.3688888888888889,0.5955555555555555,0.6488888888888888,0.13345907920742928,0.3257147967815399,2.0,3.0,1.0,0.6916666666666667
pythia-70m,medium,draw_2,very_high,False,0.6488888888888888,0.8133333333333334,0.8311111111111111,0.28177048009979544,0.48,0.6355555555555555,0.7022222222222222,0.17635362573640526,0.3497975468635559,2.0,4.0,2.0,0.7397260273972603
pythia-70m,medium,draw_2,control,False,0.56,0.7422222222222222,0.7866666666666666,0.24513468120335447,0.4222222222222222,0.5911111111111111,0.68,0.15611415432128978,0.31444692611694336,2.0,,,0.7539682539682538
pythia-70m,medium,draw_3,low,False,0.2577777777777778,0.39555555555555555,0.4711111111111111,0.0991126681231686,0.2088888888888889,0.3466666666666667,0.39111111111111113,0.0643300751548436,0.21527384221553802,2.0,1.0,1.0,0.810344827586207
pythia-70m,medium,draw_3,medium,True,0.37333333333333335,0.5244444444444445,0.5466666666666666,0.15395668593047426,0.31555555555555553,0.4266666666666667,0.4666666666666667,0.11463150481006168,0.22990524768829346,2.0,2.0,0.0,0.8452380952380951
pythia-70m,medium,draw_3,high,False,0.5155555555555555,0.6488888888888888,0.6888888888888889,0.1954730470451932,0.4088888888888889,0.6,0.6488888888888888,0.13619755558764055,0.26974034309387207,2.0,3.0,1.0,0.7931034482758621
pythia-70m,medium,draw_3,very_high,False,0.7066666666666667,0.8266666666666667,0.8622222222222222,0.30203613068747576,0.52,0.7022222222222222,0.7777777777777778,0.19783834824835342,0.32910820841789246,2.0,4.0,2.0,0.7358490566037736
pythia-70m,medium,draw_3,control,False,0.6311111111111111,0.7866666666666666,0.8266666666666667,0.26060410890490554,0.5022222222222222,0.6711111111111111,0.7422222222222222,0.17417384912430053,0.31897467374801636,2.0,,,0.795774647887324
pythia-70m,high,draw_1,low,False,0.28444444444444444,0.4444444444444444,0.5111111111111111,0.1008112996596967,0.2577777777777778,0.4222222222222222,0.4711111111111111,0.0835090127187358,0.19674338400363922,3.0,1.0,2.0,0.90625
pythia-70m,high,draw_1,medium,False,0.4222222222222222,0.5777777777777777,0.6311111111111111,0.170893516682791,0.35555555555555557,0.49333333333333335,0.5466666666666666,0.1347985389097483,0.22281064093112946,3.0,2.0,1.0,0.8421052631578948
