model,train_band,draw,test_band,same_band,n_examples,accuracy,mean_correct_prob,std_correct_prob,median_correct_prob
pythia-160m,medium,draw_2,very_high,False,225,0.9022222222222223,0.4887863025436592,0.2885340538251796,0.492213636636734
pythia-160m,medium,draw_2,control,False,225,0.9244444444444444,0.4580574318166408,0.2584007687856999,0.46305909752845764
pythia-160m,medium,draw_3,low,False,225,0.8533333333333334,0.3069571150523714,0.2512663618778733,0.25569167733192444
pythia-160m,medium,draw_3,medium,True,225,0.8933333333333333,0.4067216468581723,0.28593727498032784,0.36878183484077454
pythia-160m,medium,draw_3,high,False,225,0.9244444444444444,0.4686433672547961,0.2661263756292045,0.4589451551437378
pythia-160m,medium,draw_3,very_high,False,225,0.9288888888888889,0.48937587287690903,0.27346260346776086,0.515697717666626
pythia-160m,medium,draw_3,control,False,225,0.9155555555555556,0.4745218512327928,0.2817899495075839,0.4886932969093323
pythia-160m,high,draw_1,low,False,225,0.8222222222222222,0.26160374462914965,0.225447508953335,0.20074531435966492
pythia-160m,high,draw_1,medium,False,225,0.8844444444444445,0.34717661862572036,0.26711814955355345,0.26751041412353516
pythia-160m,high,draw_1,high,True,225,0.9111111111111111,0.4224399949537797,0.2905392375414564,0.3992329239845276
pythia-160m,high,draw_1,very_high,False,225,0.9422222222222222,0.482203293170573,0.2675173684541043,0.5026026964187622
pythia-160m,high,draw_1,control,False,225,0.8933333333333333,0.42848446648360955,0.27712561667525404,0.4379856288433075
pythia-160m,high,draw_2,low,False,225,0.8222222222222222,0.2555137900419585,0.25685847842440523,0.15574873983860016
pythia-160m,high,draw_2,medium,False,225,0.8844444444444445,0.37493740413234466,0.27284531312288374,0.34170395135879517
pythia-160m,high,draw_2,high,True,225,0.9333333333333333,0.42712341307765905,0.2753493839794514,0.3905247747898102
pythia-160m,high,draw_2,very_high,False,225,0.9111111111111111,0.47304831102645645,0.28565726135023645,0.5081911087036133
pythia-160m,high,draw_2,control,False,225,0.9155555555555556,0.4122507332306769,0.2619602366788844,0.387245237827301
pythia-160m,high,draw_3,low,False,225,0.8577777777777778,0.26396564365804404,0.2451895849369582,0.19072015583515167
pythia-160m,high,draw_3,medium,False,225,0.9066666666666666,0.37736661694038454,0.27315489537609455,0.328408807516098
pythia-160m,high,draw_3,high,True,225,0.9244444444444444,0.4784110155321347,0.2754643379936994,0.5029235482215881
pythia-160m,high,draw_3,very_high,False,225,0.9155555555555556,0.4913275854061875,0.27507465211749066,0.5050297379493713
