model,model_size,base_acc,circuit_acc,circuit_acc_std,size_fraction,retention,kl_div,n_edges
pythia-70m,70,0.49362962962962964,0.41659259259259257,0.12258781301125743,0.3091137965760323,0.841313077502976,0.2510966628789902,409.26666666666665
pythia-160m,160,0.9585185185185185,0.9223703703703703,0.024219261019906905,0.12265922502252842,0.9622671969015246,0.29234952926635743,1406.5333333333333
pythia-410m,410,0.9884444444444445,0.9641481481481481,0.013382624937050329,0.044442238244747516,0.975424519971803,0.32009759843349456,3581.2
pythia-1b,1000,0.9872592592592593,0.9306666666666668,0.022524922509052067,0.09140440270423286,0.942632838733227,0.5232581317424774,914.8666666666667
pythia-1.4b,1400,0.9792592592592592,0.8791111111111112,0.050176408377562765,0.028255626843383265,0.8973459259841967,0.5586255530516306,2276.866666666667
