model,band,base_acc_mean,base_acc_std,base_top5_mean,base_top5_std,base_mcp_mean,base_mcp_std
pythia-70m,low,0.30074074074074075,0.05302379309088378,0.45481481481481484,0.06506723335110448,0.11200454726515097,0.020875615801798236
pythia-70m,medium,0.39999999999999997,0.02474561939035565,0.5570370370370371,0.028573780032571636,0.1639061522753832,0.008848423300185537
pythia-70m,high,0.5022222222222222,0.0395030862991804,0.6474074074074073,0.05112721163477749,0.20282224199776414,0.006882032059285162
pythia-70m,very_high,0.6696296296296297,0.032151902835867746,0.8103703703703703,0.017962008374788417,0.28197304455199296,0.019962574723333487
pythia-70m,control,0.5955555555555555,0.03555555555555552,0.7748148148148148,0.028573780032571727,0.24384995907611953,0.01743205307580457
pythia-160m,low,0.9288888888888889,0.004444444444444473,0.9911111111111112,0.004444444444444431,0.4142342103848717,0.008471088879534256
pythia-160m,medium,0.9570370370370371,0.002566001196398289,0.994074074074074,0.010264004785593365,0.4576079916353855,0.0007478460701975237
pythia-160m,high,0.96,0.008888888888888877,0.9955555555555556,0.004444444444444445,0.5070662415903752,0.001692845397707272
pythia-160m,very_high,0.9688888888888889,0.004444444444444473,1.0,0.0,0.5469637084007263,0.014514401198972625
pythia-160m,control,0.9777777777777779,0.007698003589194947,0.9985185185185186,0.0025660011963983373,0.5146838624533956,0.004172093065283834
pythia-410m,low,0.9822222222222222,0.004444444444444473,1.0,0.0,0.622766090043717,0.024408450480440706
pythia-410m,medium,0.9866666666666667,0.00769800358919506,0.9985185185185186,0.002566001196398361,0.5726331357699301,0.017007999231574502
pythia-410m,high,0.9925925925925926,0.002566001196398305,0.9985185185185186,0.002566001196398361,0.5641603797284404,0.00334980810335292
pythia-410m,very_high,0.991111111111111,0.007698003589194947,1.0,0.0,0.5261879305541516,0.010902611599685877
pythia-410m,control,0.9896296296296296,0.0025660011963983373,1.0,0.0,0.5258916055314519,0.01997361809832829
pythia-1b,low,0.9762962962962963,0.0025660011963983373,0.9911111111111112,0.0,0.6697761383840676,0.024356222638650962
pythia-1b,medium,0.9896296296296296,0.01026400478559335,0.9985185185185186,0.002566001196398361,0.6926067796405254,0.01782353134225842
pythia-1b,high,0.9896296296296296,0.009251848886516166,0.9985185185185186,0.0025660011963983373,0.6600439479036464,0.024210855272818382
pythia-1b,very_high,0.9911111111111112,0.004444444444444404,1.0,0.0,0.5929019298390658,0.02067273219349434
pythia-1b,control,0.9896296296296296,0.005132002392796658,1.0,0.0,0.6241192588844785,0.01310986388920214
pythia-1.4b,low,0.9585185185185185,0.011184939904104796,0.9985185185185186,0.002566001196398361,0.5587007711800159,0.023008208608825714
pythia-1.4b,medium,0.9703703703703704,0.002566001196398361,0.9925925925925926,0.002566001196398305,0.555276368237618,0.01835684926835723
pythia-1.4b,high,0.9896296296296296,0.011184939904104836,0.9985185185185186,0.002566001196398361,0.5494222115823154,0.014768721898110255
pythia-1.4b,very_high,0.994074074074074,0.006789001029564157,0.997037037037037,0.005132002392796675,0.5513266031906285,0.014179339756287296
pythia-1.4b,control,0.9837037037037036,0.005132002392796722,0.9955555555555556,0.004444444444444404,0.5481542146769007,0.009235066503860509
