band_a,band_b,a_to_b_mean,b_to_a_mean,asymmetry,abs_asymmetry,freq_distance,p_value,rank_biserial
low,medium,0.8106666666666666,0.7493333333333335,0.06133333333333313,0.06133333333333313,1,0.0379169515220324,0.4488888888888889
low,high,0.824888888888889,0.7197037037037037,0.10518518518518527,0.10518518518518527,2,0.004184618067556534,0.6177777777777778
low,very_high,0.8302222222222222,0.6417777777777779,0.1884444444444443,0.1884444444444443,3,0.0018610960260749092,0.6711111111111112
medium,high,0.8322962962962964,0.7931851851851851,0.03911111111111132,0.03911111111111132,1,0.10538993015300724,0.35111111111111115
medium,very_high,0.8408888888888889,0.7437037037037036,0.09718518518518526,0.09718518518518526,2,0.0324954682745627,0.4622222222222223
high,very_high,0.8536296296296296,0.8171851851851852,0.03644444444444439,0.03644444444444439,1,0.49315243360814653,0.1511111111111112
