node,node_type,layer,in_degree,out_degree,total_degree,model,band,draw
A4.10,attn,4,29,37,66,pythia-160m,control,draw_2
A4.11,attn,4,11,30,41,pythia-160m,control,draw_2
M4,mlp,4,26,31,57,pythia-160m,control,draw_2
A0.3,attn,0,1,11,12,pythia-160m,control,draw_2
A0.6,attn,0,0,5,5,pythia-160m,control,draw_2
A1.2,attn,1,4,17,21,pythia-160m,control,draw_2
A1.6,attn,1,2,5,7,pythia-160m,control,draw_2
A2.10,attn,2,2,6,8,pythia-160m,control,draw_2
A2.3,attn,2,2,9,11,pythia-160m,control,draw_2
A2.6,attn,2,4,16,20,pythia-160m,control,draw_2
A0.4,attn,0,1,9,10,pythia-160m,control,draw_2
A10.1,attn,10,11,2,13,pythia-160m,control,draw_2
A5.0,attn,5,40,24,64,pythia-160m,control,draw_2
A5.1,attn,5,14,29,43,pythia-160m,control,draw_2
A5.11,attn,5,6,14,20,pythia-160m,control,draw_2
A6.3,attn,6,18,17,35,pythia-160m,control,draw_2
A6.11,attn,6,29,23,52,pythia-160m,control,draw_2
M6,mlp,6,37,19,56,pythia-160m,control,draw_2
A7.7,attn,7,17,17,34,pythia-160m,control,draw_2
A8.2,attn,8,21,6,27,pythia-160m,control,draw_2
M8,mlp,8,66,17,83,pythia-160m,control,draw_2
A10.5,attn,10,4,2,6,pythia-160m,control,draw_2
M7,mlp,7,45,19,64,pythia-160m,control,draw_2
A10.6,attn,10,21,1,22,pythia-160m,control,draw_2
A5.6,attn,5,34,18,52,pythia-160m,control,draw_2
A5.10,attn,5,26,28,54,pythia-160m,control,draw_2
A6.2,attn,6,2,11,13,pythia-160m,control,draw_2
A7.3,attn,7,7,9,16,pythia-160m,control,draw_2
A7.11,attn,7,15,11,26,pythia-160m,control,draw_2
M9,mlp,9,71,8,79,pythia-160m,control,draw_2
A10.8,attn,10,6,1,7,pythia-160m,control,draw_2
A10.9,attn,10,6,2,8,pythia-160m,control,draw_2
A10.10,attn,10,4,1,5,pythia-160m,control,draw_2
A10.11,attn,10,7,1,8,pythia-160m,control,draw_2
A0.5,attn,0,1,3,4,pythia-160m,control,draw_2
A0.9,attn,0,1,4,5,pythia-160m,control,draw_2
A0.10,attn,0,1,3,4,pythia-160m,control,draw_2
A2.1,attn,2,0,8,8,pythia-160m,control,draw_2
A2.7,attn,2,0,7,7,pythia-160m,control,draw_2
A3.5,attn,3,1,8,9,pythia-160m,control,draw_2
A3.8,attn,3,9,18,27,pythia-160m,control,draw_2
A3.9,attn,3,4,11,15,pythia-160m,control,draw_2
A4.5,attn,4,6,14,20,pythia-160m,control,draw_2
A5.3,attn,5,1,5,6,pythia-160m,control,draw_2
A5.5,attn,5,4,13,17,pythia-160m,control,draw_2
A5.8,attn,5,8,18,26,pythia-160m,control,draw_2
A1.5,attn,1,0,8,8,pythia-160m,control,draw_2
A1.11,attn,1,1,4,5,pythia-160m,control,draw_2
A3.6,attn,3,2,4,6,pythia-160m,control,draw_2
A4.0,attn,4,3,12,15,pythia-160m,control,draw_2
A4.9,attn,4,4,5,9,pythia-160m,control,draw_2
A5.2,attn,5,2,5,7,pythia-160m,control,draw_2
A5.7,attn,5,14,6,20,pythia-160m,control,draw_2
A6.0,attn,6,5,6,11,pythia-160m,control,draw_2
A6.1,attn,6,6,5,11,pythia-160m,control,draw_2
A6.5,attn,6,11,8,19,pythia-160m,control,draw_2
A6.6,attn,6,10,10,20,pythia-160m,control,draw_2
A6.8,attn,6,9,6,15,pythia-160m,control,draw_2
A6.10,attn,6,2,5,7,pythia-160m,control,draw_2
A7.0,attn,7,1,2,3,pythia-160m,control,draw_2
A7.2,attn,7,0,4,4,pythia-160m,control,draw_2
A7.4,attn,7,5,7,12,pythia-160m,control,draw_2
A7.8,attn,7,17,5,22,pythia-160m,control,draw_2
A11.0,attn,11,2,1,3,pythia-160m,control,draw_2
A11.4,attn,11,1,1,2,pythia-160m,control,draw_2
A11.6,attn,11,2,1,3,pythia-160m,control,draw_2
A11.7,attn,11,2,1,3,pythia-160m,control,draw_2
A11.8,attn,11,3,1,4,pythia-160m,control,draw_2
A11.11,attn,11,3,1,4,pythia-160m,control,draw_2
A1.0,attn,1,0,4,4,pythia-160m,control,draw_2
A1.8,attn,1,1,1,2,pythia-160m,control,draw_2
A1.3,attn,1,1,4,5,pythia-160m,control,draw_2
A5.4,attn,5,3,3,6,pythia-160m,control,draw_2
A6.4,attn,6,1,4,5,pythia-160m,control,draw_2
A6.7,attn,6,10,4,14,pythia-160m,control,draw_2
A8.3,attn,8,2,3,5,pythia-160m,control,draw_2
A8.4,attn,8,5,3,8,pythia-160m,control,draw_2
A8.7,attn,8,4,2,6,pythia-160m,control,draw_2
A8.10,attn,8,13,4,17,pythia-160m,control,draw_2
A8.11,attn,8,34,6,40,pythia-160m,control,draw_2
A4.2,attn,4,3,6,9,pythia-160m,control,draw_2
R11,resid,11,125,0,125,pythia-160m,control,draw_2
A2.0,attn,2,0,3,3,pythia-160m,control,draw_2
A7.9,attn,7,0,1,1,pythia-160m,control,draw_2
A8.1,attn,8,0,2,2,pythia-160m,control,draw_2
A8.8,attn,8,6,3,9,pythia-160m,control,draw_2
A9.1,attn,9,6,3,9,pythia-160m,control,draw_2
A9.2,attn,9,26,2,28,pythia-160m,control,draw_2
A9.3,attn,9,3,3,6,pythia-160m,control,draw_2
A9.4,attn,9,0,1,1,pythia-160m,control,draw_2
A9.5,attn,9,2,3,5,pythia-160m,control,draw_2
A9.6,attn,9,30,2,32,pythia-160m,control,draw_2
A9.7,attn,9,22,2,24,pythia-160m,control,draw_2
A9.8,attn,9,15,3,18,pythia-160m,control,draw_2
A9.9,attn,9,26,3,29,pythia-160m,control,draw_2
A10.0,attn,10,0,1,1,pythia-160m,control,draw_2
A10.7,attn,10,0,1,1,pythia-160m,control,draw_2
M10,mlp,10,73,2,75,pythia-160m,control,draw_2
A11.2,attn,11,0,1,1,pythia-160m,control,draw_2
A11.9,attn,11,0,1,1,pythia-160m,control,draw_2
M11,mlp,11,85,1,86,pythia-160m,control,draw_2
A8.0,attn,8,2,1,3,pythia-160m,control,draw_2
A1.4,attn,1,0,1,1,pythia-160m,control,draw_2
A7.5,attn,7,0,1,1,pythia-160m,control,draw_2
embed,embed,-1,0,17,17,pythia-160m,control,draw_3
A0.0,attn,0,1,21,22,pythia-160m,control,draw_3
A0.2,attn,0,1,19,20,pythia-160m,control,draw_3
A0.3,attn,0,1,7,8,pythia-160m,control,draw_3
A0.4,attn,0,1,10,11,pythia-160m,control,draw_3
A0.5,attn,0,1,4,5,pythia-160m,control,draw_3
A0.6,attn,0,1,4,5,pythia-160m,control,draw_3
A0.7,attn,0,1,27,28,pythia-160m,control,draw_3
A0.8,attn,0,1,15,16,pythia-160m,control,draw_3
A0.10,attn,0,1,4,5,pythia-160m,control,draw_3
M3,mlp,3,16,35,51,pythia-160m,control,draw_3
A0.9,attn,0,0,2,2,pythia-160m,control,draw_3
M0,mlp,0,1,75,76,pythia-160m,control,draw_3
A1.2,attn,1,2,17,19,pythia-160m,control,draw_3
A1.6,attn,1,1,14,15,pythia-160m,control,draw_3
A1.8,attn,1,0,1,1,pythia-160m,control,draw_3
A1.10,attn,1,3,26,29,pythia-160m,control,draw_3
A1.11,attn,1,1,6,7,pythia-160m,control,draw_3
M1,mlp,1,8,35,43,pythia-160m,control,draw_3
A2.1,attn,2,1,6,7,pythia-160m,control,draw_3
A2.4,attn,2,1,7,8,pythia-160m,control,draw_3
A2.6,attn,2,2,21,23,pythia-160m,control,draw_3
A2.10,attn,2,1,10,11,pythia-160m,control,draw_3
M2,mlp,2,12,44,56,pythia-160m,control,draw_3
A4.6,attn,4,11,28,39,pythia-160m,control,draw_3
A9.1,attn,9,3,1,4,pythia-160m,control,draw_3
A5.1,attn,5,21,28,49,pythia-160m,control,draw_3
A6.11,attn,6,29,23,52,pythia-160m,control,draw_3
A9.2,attn,9,31,2,33,pythia-160m,control,draw_3
A2.8,attn,2,5,28,33,pythia-160m,control,draw_3
A2.9,attn,2,0,8,8,pythia-160m,control,draw_3
A3.2,attn,3,7,30,37,pythia-160m,control,draw_3
A3.8,attn,3,11,26,37,pythia-160m,control,draw_3
A4.0,attn,4,1,11,12,pythia-160m,control,draw_3
A4.5,attn,4,8,17,25,pythia-160m,control,draw_3
A4.10,attn,4,25,32,57,pythia-160m,control,draw_3
A4.11,attn,4,12,31,43,pythia-160m,control,draw_3
M4,mlp,4,23,27,50,pythia-160m,control,draw_3
A5.0,attn,5,38,21,59,pythia-160m,control,draw_3
A5.5,attn,5,4,12,16,pythia-160m,control,draw_3
A5.6,attn,5,29,12,41,pythia-160m,control,draw_3
A5.7,attn,5,17,7,24,pythia-160m,control,draw_3
A5.10,attn,5,21,25,46,pythia-160m,control,draw_3
A6.3,attn,6,15,19,34,pythia-160m,control,draw_3
A6.5,attn,6,9,7,16,pythia-160m,control,draw_3
A6.6,attn,6,14,9,23,pythia-160m,control,draw_3
M6,mlp,6,34,14,48,pythia-160m,control,draw_3
A7.2,attn,7,1,4,5,pythia-160m,control,draw_3
A7.4,attn,7,8,8,16,pythia-160m,control,draw_3
A7.7,attn,7,11,14,25,pythia-160m,control,draw_3
A7.11,attn,7,15,14,29,pythia-160m,control,draw_3
M7,mlp,7,44,22,66,pythia-160m,control,draw_3
A8.11,attn,8,37,5,42,pythia-160m,control,draw_3
M8,mlp,8,66,16,82,pythia-160m,control,draw_3
A9.3,attn,9,7,2,9,pythia-160m,control,draw_3
A3.1,attn,3,4,21,25,pythia-160m,control,draw_3
A7.8,attn,7,25,7,32,pythia-160m,control,draw_3
A4.8,attn,4,10,23,33,pythia-160m,control,draw_3
A9.4,attn,9,2,1,3,pythia-160m,control,draw_3
A9.5,attn,9,1,3,4,pythia-160m,control,draw_3
A9.6,attn,9,19,3,22,pythia-160m,control,draw_3
A6.2,attn,6,0,6,6,pythia-160m,control,draw_3
A6.10,attn,6,0,7,7,pythia-160m,control,draw_3
A9.7,attn,9,13,2,15,pythia-160m,control,draw_3
A9.8,attn,9,20,3,23,pythia-160m,control,draw_3
A3.4,attn,3,7,26,33,pythia-160m,control,draw_3
A5.11,attn,5,6,14,20,pythia-160m,control,draw_3
A9.9,attn,9,32,3,35,pythia-160m,control,draw_3
A5.8,attn,5,6,13,19,pythia-160m,control,draw_3
M5,mlp,5,34,22,56,pythia-160m,control,draw_3
A6.0,attn,6,2,6,8,pythia-160m,control,draw_3
A7.3,attn,7,5,7,12,pythia-160m,control,draw_3
A1.1,attn,1,1,7,8,pythia-160m,control,draw_3
A1.7,attn,1,1,9,10,pythia-160m,control,draw_3
A2.3,attn,2,2,12,14,pythia-160m,control,draw_3
A2.7,attn,2,0,5,5,pythia-160m,control,draw_3
A2.11,attn,2,1,11,12,pythia-160m,control,draw_3
A3.0,attn,3,3,17,20,pythia-160m,control,draw_3
A3.3,attn,3,7,12,19,pythia-160m,control,draw_3
A3.5,attn,3,0,4,4,pythia-160m,control,draw_3
A3.9,attn,3,2,10,12,pythia-160m,control,draw_3
A3.10,attn,3,0,6,6,pythia-160m,control,draw_3
A4.2,attn,4,3,10,13,pythia-160m,control,draw_3
A4.3,attn,4,1,1,2,pythia-160m,control,draw_3
A4.9,attn,4,1,6,7,pythia-160m,control,draw_3
A5.2,attn,5,1,6,7,pythia-160m,control,draw_3
A5.3,attn,5,2,5,7,pythia-160m,control,draw_3
A6.1,attn,6,5,6,11,pythia-160m,control,draw_3
A6.8,attn,6,5,6,11,pythia-160m,control,draw_3
A7.0,attn,7,0,3,3,pythia-160m,control,draw_3
A1.5,attn,1,0,4,4,pythia-160m,control,draw_3
A1.0,attn,1,0,4,4,pythia-160m,control,draw_3
A3.7,attn,3,1,3,4,pythia-160m,control,draw_3
A4.7,attn,4,2,9,11,pythia-160m,control,draw_3
A8.1,attn,8,6,2,8,pythia-160m,control,draw_3
A8.2,attn,8,28,4,32,pythia-160m,control,draw_3
A6.7,attn,6,6,3,9,pythia-160m,control,draw_3
A8.3,attn,8,2,3,5,pythia-160m,control,draw_3
A8.4,attn,8,10,3,13,pythia-160m,control,draw_3
A8.7,attn,8,12,4,16,pythia-160m,control,draw_3
A8.8,attn,8,9,3,12,pythia-160m,control,draw_3
A8.10,attn,8,9,4,13,pythia-160m,control,draw_3
A4.4,attn,4,1,4,5,pythia-160m,control,draw_3
A6.4,attn,6,4,5,9,pythia-160m,control,draw_3
A4.1,attn,4,1,4,5,pythia-160m,control,draw_3
A3.6,attn,3,2,4,6,pythia-160m,control,draw_3
M11,mlp,11,87,1,88,pythia-160m,control,draw_3
A5.4,attn,5,2,3,5,pythia-160m,control,draw_3
A7.5,attn,7,0,2,2,pythia-160m,control,draw_3
A9.0,attn,9,0,2,2,pythia-160m,control,draw_3
M9,mlp,9,79,7,86,pythia-160m,control,draw_3
A10.1,attn,10,1,2,3,pythia-160m,control,draw_3
A10.5,attn,10,3,2,5,pythia-160m,control,draw_3
A10.9,attn,10,7,2,9,pythia-160m,control,draw_3
A10.11,attn,10,4,2,6,pythia-160m,control,draw_3
M10,mlp,10,78,3,81,pythia-160m,control,draw_3
A11.0,attn,11,2,1,3,pythia-160m,control,draw_3
A11.2,attn,11,1,1,2,pythia-160m,control,draw_3
A11.7,attn,11,1,1,2,pythia-160m,control,draw_3
A11.8,attn,11,5,1,6,pythia-160m,control,draw_3
A11.11,attn,11,3,1,4,pythia-160m,control,draw_3
A2.0,attn,2,0,3,3,pythia-160m,control,draw_3
A3.11,attn,3,1,1,2,pythia-160m,control,draw_3
A10.6,attn,10,12,1,13,pythia-160m,control,draw_3
A10.10,attn,10,3,1,4,pythia-160m,control,draw_3
A7.1,attn,7,0,1,1,pythia-160m,control,draw_3
A1.3,attn,1,0,4,4,pythia-160m,control,draw_3
R11,resid,11,127,0,127,pythia-160m,control,draw_3
A8.0,attn,8,0,1,1,pythia-160m,control,draw_3
A10.0,attn,10,0,1,1,pythia-160m,control,draw_3
A10.7,attn,10,0,1,1,pythia-160m,control,draw_3
A10.8,attn,10,0,1,1,pythia-160m,control,draw_3
A11.4,attn,11,0,1,1,pythia-160m,control,draw_3
A11.6,attn,11,0,1,1,pythia-160m,control,draw_3
A11.9,attn,11,0,1,1,pythia-160m,control,draw_3
M0,mlp,0,1,148,149,pythia-410m,low,draw_1
M19,mlp,19,98,16,114,pythia-410m,low,draw_1
A1.11,attn,1,1,12,13,pythia-410m,low,draw_1
M1,mlp,1,7,49,56,pythia-410m,low,draw_1
A2.10,attn,2,2,18,20,pythia-410m,low,draw_1
M2,mlp,2,9,65,74,pythia-410m,low,draw_1
A3.1,attn,3,3,32,35,pythia-410m,low,draw_1
M3,mlp,3,14,73,87,pythia-410m,low,draw_1
A4.9,attn,4,0,4,4,pythia-410m,low,draw_1
M4,mlp,4,18,79,97,pythia-410m,low,draw_1
A5.2,attn,5,5,40,45,pythia-410m,low,draw_1
A5.3,attn,5,2,10,12,pythia-410m,low,draw_1
A5.8,attn,5,1,11,12,pythia-410m,low,draw_1
A5.9,attn,5,5,33,38,pythia-410m,low,draw_1
M5,mlp,5,23,92,115,pythia-410m,low,draw_1
A6.0,attn,6,11,63,74,pythia-410m,low,draw_1
A6.3,attn,6,6,36,42,pythia-410m,low,draw_1
A6.15,attn,6,1,9,10,pythia-410m,low,draw_1
M6,mlp,6,26,56,82,pythia-410m,low,draw_1
A7.1,attn,7,12,96,108,pythia-410m,low,draw_1
A7.2,attn,7,9,24,33,pythia-410m,low,draw_1
A7.8,attn,7,28,85,113,pythia-410m,low,draw_1
A7.14,attn,7,5,12,17,pythia-410m,low,draw_1
M7,mlp,7,25,70,95,pythia-410m,low,draw_1
A8.0,attn,8,10,50,60,pythia-410m,low,draw_1
A8.4,attn,8,8,10,18,pythia-410m,low,draw_1
A8.6,attn,8,23,38,61,pythia-410m,low,draw_1
A8.7,attn,8,7,26,33,pythia-410m,low,draw_1
A8.9,attn,8,10,48,58,pythia-410m,low,draw_1
A8.13,attn,8,13,74,87,pythia-410m,low,draw_1
A8.14,attn,8,2,18,20,pythia-410m,low,draw_1
A8.15,attn,8,5,36,41,pythia-410m,low,draw_1
M8,mlp,8,30,63,93,pythia-410m,low,draw_1
A9.0,attn,9,5,4,9,pythia-410m,low,draw_1
A9.1,attn,9,23,46,69,pythia-410m,low,draw_1
A9.4,attn,9,28,51,79,pythia-410m,low,draw_1
A9.5,attn,9,26,43,69,pythia-410m,low,draw_1
A9.6,attn,9,5,15,20,pythia-410m,low,draw_1
A9.9,attn,9,16,36,52,pythia-410m,low,draw_1
A9.12,attn,9,4,4,8,pythia-410m,low,draw_1
A9.15,attn,9,4,13,17,pythia-410m,low,draw_1
M9,mlp,9,45,56,101,pythia-410m,low,draw_1
A10.0,attn,10,28,40,68,pythia-410m,low,draw_1
A10.5,attn,10,6,13,19,pythia-410m,low,draw_1
A10.6,attn,10,4,12,16,pythia-410m,low,draw_1
A10.9,attn,10,13,46,59,pythia-410m,low,draw_1
A10.10,attn,10,12,20,32,pythia-410m,low,draw_1
A10.11,attn,10,6,8,14,pythia-410m,low,draw_1
A10.12,attn,10,17,42,59,pythia-410m,low,draw_1
A10.13,attn,10,9,18,27,pythia-410m,low,draw_1
M10,mlp,10,62,62,124,pythia-410m,low,draw_1
A11.1,attn,11,42,33,75,pythia-410m,low,draw_1
A11.2,attn,11,30,48,78,pythia-410m,low,draw_1
A11.6,attn,11,42,51,93,pythia-410m,low,draw_1
A11.13,attn,11,19,12,31,pythia-410m,low,draw_1
A11.14,attn,11,47,64,111,pythia-410m,low,draw_1
M11,mlp,11,60,51,111,pythia-410m,low,draw_1
A12.0,attn,12,15,12,27,pythia-410m,low,draw_1
A12.4,attn,12,4,16,20,pythia-410m,low,draw_1
A12.5,attn,12,46,20,66,pythia-410m,low,draw_1
A12.7,attn,12,23,9,32,pythia-410m,low,draw_1
A12.10,attn,12,4,8,12,pythia-410m,low,draw_1
A12.11,attn,12,18,26,44,pythia-410m,low,draw_1
A12.13,attn,12,66,23,89,pythia-410m,low,draw_1
M12,mlp,12,47,38,85,pythia-410m,low,draw_1
A13.0,attn,13,56,40,96,pythia-410m,low,draw_1
A13.12,attn,13,7,9,16,pythia-410m,low,draw_1
M13,mlp,13,70,37,107,pythia-410m,low,draw_1
A14.0,attn,14,21,15,36,pythia-410m,low,draw_1
A14.5,attn,14,17,10,27,pythia-410m,low,draw_1
A14.8,attn,14,20,8,28,pythia-410m,low,draw_1
A14.15,attn,14,1,6,7,pythia-410m,low,draw_1
M14,mlp,14,64,42,106,pythia-410m,low,draw_1
A15.0,attn,15,4,5,9,pythia-410m,low,draw_1
A15.4,attn,15,17,8,25,pythia-410m,low,draw_1
A15.6,attn,15,29,11,40,pythia-410m,low,draw_1
A15.11,attn,15,24,22,46,pythia-410m,low,draw_1
M15,mlp,15,70,20,90,pythia-410m,low,draw_1
A16.1,attn,16,28,8,36,pythia-410m,low,draw_1
A16.5,attn,16,32,9,41,pythia-410m,low,draw_1
A16.10,attn,16,3,5,8,pythia-410m,low,draw_1
A16.11,attn,16,3,7,10,pythia-410m,low,draw_1
A16.12,attn,16,27,6,33,pythia-410m,low,draw_1
A16.13,attn,16,21,4,25,pythia-410m,low,draw_1
A16.15,attn,16,20,7,27,pythia-410m,low,draw_1
M16,mlp,16,106,24,130,pythia-410m,low,draw_1
A17.4,attn,17,15,9,24,pythia-410m,low,draw_1
A17.6,attn,17,23,5,28,pythia-410m,low,draw_1
A17.10,attn,17,32,9,41,pythia-410m,low,draw_1
A17.11,attn,17,4,6,10,pythia-410m,low,draw_1
A17.14,attn,17,5,3,8,pythia-410m,low,draw_1
M17,mlp,17,82,28,110,pythia-410m,low,draw_1
A18.2,attn,18,6,4,10,pythia-410m,low,draw_1
A18.7,attn,18,13,4,17,pythia-410m,low,draw_1
A18.8,attn,18,41,9,50,pythia-410m,low,draw_1
A18.10,attn,18,5,2,7,pythia-410m,low,draw_1
A18.12,attn,18,22,6,28,pythia-410m,low,draw_1
A18.14,attn,18,20,6,26,pythia-410m,low,draw_1
M18,mlp,18,101,26,127,pythia-410m,low,draw_1
embed,embed,-1,0,18,18,pythia-410m,low,draw_1
A0.0,attn,0,1,15,16,pythia-410m,low,draw_1
A0.9,attn,0,1,4,5,pythia-410m,low,draw_1
A0.15,attn,0,1,8,9,pythia-410m,low,draw_1
A4.5,attn,4,0,10,10,pythia-410m,low,draw_1
A4.6,attn,4,2,7,9,pythia-410m,low,draw_1
A5.4,attn,5,0,5,5,pythia-410m,low,draw_1
A5.5,attn,5,3,16,19,pythia-410m,low,draw_1
A6.4,attn,6,0,6,6,pythia-410m,low,draw_1
A6.5,attn,6,1,6,7,pythia-410m,low,draw_1
A6.9,attn,6,2,6,8,pythia-410m,low,draw_1
A6.11,attn,6,0,4,4,pythia-410m,low,draw_1
A6.13,attn,6,10,21,31,pythia-410m,low,draw_1
A7.0,attn,7,6,28,34,pythia-410m,low,draw_1
A7.6,attn,7,0,9,9,pythia-410m,low,draw_1
A7.7,attn,7,6,14,20,pythia-410m,low,draw_1
A7.9,attn,7,2,16,18,pythia-410m,low,draw_1
A7.10,attn,7,4,14,18,pythia-410m,low,draw_1
A7.12,attn,7,1,2,3,pythia-410m,low,draw_1
A7.13,attn,7,2,12,14,pythia-410m,low,draw_1
A8.1,attn,8,1,7,8,pythia-410m,low,draw_1
A8.2,attn,8,6,27,33,pythia-410m,low,draw_1
A8.5,attn,8,5,16,21,pythia-410m,low,draw_1
A8.10,attn,8,4,13,17,pythia-410m,low,draw_1
A8.11,attn,8,8,14,22,pythia-410m,low,draw_1
A8.12,attn,8,11,30,41,pythia-410m,low,draw_1
A9.7,attn,9,2,10,12,pythia-410m,low,draw_1
A9.8,attn,9,8,19,27,pythia-410m,low,draw_1
A9.13,attn,9,13,29,42,pythia-410m,low,draw_1
A10.1,attn,10,11,9,20,pythia-410m,low,draw_1
A10.3,attn,10,35,43,78,pythia-410m,low,draw_1
A10.4,attn,10,11,7,18,pythia-410m,low,draw_1
A10.7,attn,10,7,15,22,pythia-410m,low,draw_1
A10.8,attn,10,1,3,4,pythia-410m,low,draw_1
A11.4,attn,11,17,9,26,pythia-410m,low,draw_1
A11.8,attn,11,4,6,10,pythia-410m,low,draw_1
A11.15,attn,11,20,14,34,pythia-410m,low,draw_1
A12.1,attn,12,3,9,12,pythia-410m,low,draw_1
A12.6,attn,12,4,3,7,pythia-410m,low,draw_1
A12.8,attn,12,7,3,10,pythia-410m,low,draw_1
A13.5,attn,13,6,15,21,pythia-410m,low,draw_1
A13.14,attn,13,8,9,17,pythia-410m,low,draw_1
A14.6,attn,14,2,2,4,pythia-410m,low,draw_1
A15.2,attn,15,10,3,13,pythia-410m,low,draw_1
A15.5,attn,15,7,2,9,pythia-410m,low,draw_1
A15.8,attn,15,17,4,21,pythia-410m,low,draw_1
A15.14,attn,15,6,4,10,pythia-410m,low,draw_1
R23,resid,23,282,0,282,pythia-410m,low,draw_1
A0.3,attn,0,1,6,7,pythia-410m,low,draw_1
A0.5,attn,0,1,23,24,pythia-410m,low,draw_1
A0.6,attn,0,1,5,6,pythia-410m,low,draw_1
A0.7,attn,0,1,6,7,pythia-410m,low,draw_1
A0.11,attn,0,0,2,2,pythia-410m,low,draw_1
A0.13,attn,0,1,2,3,pythia-410m,low,draw_1
A0.14,attn,0,1,19,20,pythia-410m,low,draw_1
A1.3,attn,1,0,6,6,pythia-410m,low,draw_1
A1.6,attn,1,0,5,5,pythia-410m,low,draw_1
A1.8,attn,1,2,6,8,pythia-410m,low,draw_1
A1.10,attn,1,0,7,7,pythia-410m,low,draw_1
A1.12,attn,1,0,3,3,pythia-410m,low,draw_1
A1.13,attn,1,1,6,7,pythia-410m,low,draw_1
A1.14,attn,1,0,4,4,pythia-410m,low,draw_1
A1.15,attn,1,0,8,8,pythia-410m,low,draw_1
A2.0,attn,2,0,2,2,pythia-410m,low,draw_1
A2.3,attn,2,4,4,8,pythia-410m,low,draw_1
A2.7,attn,2,0,3,3,pythia-410m,low,draw_1
A2.13,attn,2,0,1,1,pythia-410m,low,draw_1
A3.2,attn,3,2,3,5,pythia-410m,low,draw_1
A3.7,attn,3,0,7,7,pythia-410m,low,draw_1
A3.9,attn,3,0,2,2,pythia-410m,low,draw_1
A3.10,attn,3,0,3,3,pythia-410m,low,draw_1
A3.12,attn,3,0,4,4,pythia-410m,low,draw_1
A4.4,attn,4,0,1,1,pythia-410m,low,draw_1
A4.12,attn,4,1,2,3,pythia-410m,low,draw_1
A4.14,attn,4,1,6,7,pythia-410m,low,draw_1
A5.0,attn,5,0,1,1,pythia-410m,low,draw_1
A5.1,attn,5,1,3,4,pythia-410m,low,draw_1
A5.11,attn,5,1,4,5,pythia-410m,low,draw_1
A5.12,attn,5,1,5,6,pythia-410m,low,draw_1
A5.15,attn,5,1,2,3,pythia-410m,low,draw_1
A6.6,attn,6,2,6,8,pythia-410m,low,draw_1
A6.12,attn,6,1,4,5,pythia-410m,low,draw_1
A6.14,attn,6,0,2,2,pythia-410m,low,draw_1
A7.3,attn,7,1,7,8,pythia-410m,low,draw_1
A7.4,attn,7,2,10,12,pythia-410m,low,draw_1
A7.5,attn,7,0,1,1,pythia-410m,low,draw_1
A8.3,attn,8,2,7,9,pythia-410m,low,draw_1
A8.8,attn,8,2,5,7,pythia-410m,low,draw_1
A9.3,attn,9,14,19,33,pythia-410m,low,draw_1
A9.14,attn,9,1,3,4,pythia-410m,low,draw_1
A10.2,attn,10,1,3,4,pythia-410m,low,draw_1
A10.14,attn,10,6,4,10,pythia-410m,low,draw_1
A10.15,attn,10,2,4,6,pythia-410m,low,draw_1
A11.0,attn,11,2,2,4,pythia-410m,low,draw_1
A11.3,attn,11,2,1,3,pythia-410m,low,draw_1
A11.9,attn,11,1,2,3,pythia-410m,low,draw_1
A12.2,attn,12,1,1,2,pythia-410m,low,draw_1
A12.9,attn,12,5,2,7,pythia-410m,low,draw_1
A12.12,attn,12,24,15,39,pythia-410m,low,draw_1
A13.1,attn,13,3,2,5,pythia-410m,low,draw_1
A13.4,attn,13,0,1,1,pythia-410m,low,draw_1
A13.6,attn,13,1,1,2,pythia-410m,low,draw_1
A13.9,attn,13,5,1,6,pythia-410m,low,draw_1
A13.13,attn,13,1,1,2,pythia-410m,low,draw_1
A14.1,attn,14,1,6,7,pythia-410m,low,draw_1
A14.2,attn,14,25,10,35,pythia-410m,low,draw_1
A14.3,attn,14,0,1,1,pythia-410m,low,draw_1
A14.7,attn,14,3,1,4,pythia-410m,low,draw_1
A14.11,attn,14,6,5,11,pythia-410m,low,draw_1
A14.12,attn,14,1,2,3,pythia-410m,low,draw_1
A14.13,attn,14,0,1,1,pythia-410m,low,draw_1
A15.1,attn,15,2,2,4,pythia-410m,low,draw_1
A15.10,attn,15,5,2,7,pythia-410m,low,draw_1
A15.12,attn,15,12,1,13,pythia-410m,low,draw_1
A15.15,attn,15,6,9,15,pythia-410m,low,draw_1
A16.0,attn,16,5,3,8,pythia-410m,low,draw_1
A16.3,attn,16,17,8,25,pythia-410m,low,draw_1
A16.4,attn,16,21,5,26,pythia-410m,low,draw_1
A16.6,attn,16,0,3,3,pythia-410m,low,draw_1
A16.7,attn,16,22,10,32,pythia-410m,low,draw_1
A16.14,attn,16,48,14,62,pythia-410m,low,draw_1
A17.1,attn,17,14,4,18,pythia-410m,low,draw_1
A17.2,attn,17,11,3,14,pythia-410m,low,draw_1
A17.5,attn,17,10,2,12,pythia-410m,low,draw_1
A17.7,attn,17,2,1,3,pythia-410m,low,draw_1
A17.9,attn,17,20,4,24,pythia-410m,low,draw_1
A17.12,attn,17,4,1,5,pythia-410m,low,draw_1
A17.15,attn,17,9,2,11,pythia-410m,low,draw_1
A18.0,attn,18,17,4,21,pythia-410m,low,draw_1
