node,node_type,layer,in_degree,out_degree,total_degree,model,band,draw
A4.0,attn,4,1,2,3,pythia-70m,low,draw_1
A4.1,attn,4,0,1,1,pythia-70m,low,draw_1
A4.4,attn,4,7,2,9,pythia-70m,low,draw_1
A4.5,attn,4,4,2,6,pythia-70m,low,draw_1
A4.6,attn,4,4,2,6,pythia-70m,low,draw_1
A4.7,attn,4,11,2,13,pythia-70m,low,draw_1
R5,resid,5,50,0,50,pythia-70m,low,draw_1
A0.6,attn,0,1,2,3,pythia-70m,low,draw_1
A3.2,attn,3,3,1,4,pythia-70m,low,draw_1
A4.2,attn,4,2,1,3,pythia-70m,low,draw_1
A5.0,attn,5,5,1,6,pythia-70m,low,draw_1
A5.1,attn,5,2,1,3,pythia-70m,low,draw_1
A5.2,attn,5,5,1,6,pythia-70m,low,draw_1
A5.3,attn,5,8,1,9,pythia-70m,low,draw_1
A5.5,attn,5,0,1,1,pythia-70m,low,draw_1
A5.7,attn,5,8,1,9,pythia-70m,low,draw_1
A0.3,attn,0,1,23,24,pythia-70m,low,draw_2
A3.0,attn,3,11,4,15,pythia-70m,low,draw_2
A0.7,attn,0,1,16,17,pythia-70m,low,draw_2
M0,mlp,0,1,35,36,pythia-70m,low,draw_2
A1.1,attn,1,4,12,16,pythia-70m,low,draw_2
A1.3,attn,1,4,13,17,pythia-70m,low,draw_2
M1,mlp,1,10,29,39,pythia-70m,low,draw_2
A2.0,attn,2,3,6,9,pythia-70m,low,draw_2
A2.1,attn,2,4,13,17,pythia-70m,low,draw_2
A2.4,attn,2,4,9,13,pythia-70m,low,draw_2
A2.7,attn,2,8,11,19,pythia-70m,low,draw_2
M2,mlp,2,12,18,30,pythia-70m,low,draw_2
embed,embed,-1,0,17,17,pythia-70m,low,draw_2
A3.1,attn,3,22,9,31,pythia-70m,low,draw_2
A0.1,attn,0,1,11,12,pythia-70m,low,draw_2
A0.2,attn,0,1,9,10,pythia-70m,low,draw_2
A0.4,attn,0,1,10,11,pythia-70m,low,draw_2
A0.5,attn,0,1,15,16,pythia-70m,low,draw_2
A1.2,attn,1,3,9,12,pythia-70m,low,draw_2
A1.5,attn,1,1,6,7,pythia-70m,low,draw_2
A2.2,attn,2,4,7,11,pythia-70m,low,draw_2
A2.3,attn,2,5,7,12,pythia-70m,low,draw_2
A2.5,attn,2,6,5,11,pythia-70m,low,draw_2
A2.6,attn,2,7,12,19,pythia-70m,low,draw_2
A3.2,attn,3,3,1,4,pythia-70m,low,draw_2
A3.3,attn,3,22,4,26,pythia-70m,low,draw_2
A0.0,attn,0,1,6,7,pythia-70m,low,draw_2
A1.6,attn,1,1,6,7,pythia-70m,low,draw_2
A1.7,attn,1,0,4,4,pythia-70m,low,draw_2
A3.4,attn,3,11,7,18,pythia-70m,low,draw_2
A3.5,attn,3,11,4,15,pythia-70m,low,draw_2
A3.6,attn,3,10,7,17,pythia-70m,low,draw_2
A3.7,attn,3,2,3,5,pythia-70m,low,draw_2
A5.0,attn,5,6,1,7,pythia-70m,low,draw_2
M3,mlp,3,26,12,38,pythia-70m,low,draw_2
M4,mlp,4,35,7,42,pythia-70m,low,draw_2
A5.1,attn,5,5,1,6,pythia-70m,low,draw_2
A5.2,attn,5,5,1,6,pythia-70m,low,draw_2
A5.3,attn,5,9,1,10,pythia-70m,low,draw_2
A5.7,attn,5,7,1,8,pythia-70m,low,draw_2
A0.6,attn,0,1,5,6,pythia-70m,low,draw_2
A1.0,attn,1,1,5,6,pythia-70m,low,draw_2
A4.0,attn,4,3,2,5,pythia-70m,low,draw_2
A4.4,attn,4,9,2,11,pythia-70m,low,draw_2
A4.5,attn,4,2,2,4,pythia-70m,low,draw_2
A4.6,attn,4,5,2,7,pythia-70m,low,draw_2
A4.7,attn,4,14,2,16,pythia-70m,low,draw_2
M5,mlp,5,42,1,43,pythia-70m,low,draw_2
A4.1,attn,4,0,1,1,pythia-70m,low,draw_2
R5,resid,5,50,0,50,pythia-70m,low,draw_2
A4.2,attn,4,0,1,1,pythia-70m,low,draw_2
A5.5,attn,5,0,1,1,pythia-70m,low,draw_2
embed,embed,-1,0,17,17,pythia-70m,low,draw_3
M0,mlp,0,1,34,35,pythia-70m,low,draw_3
M5,mlp,5,43,1,44,pythia-70m,low,draw_3
A0.0,attn,0,1,8,9,pythia-70m,low,draw_3
A0.1,attn,0,1,12,13,pythia-70m,low,draw_3
A0.2,attn,0,1,6,7,pythia-70m,low,draw_3
A0.3,attn,0,1,22,23,pythia-70m,low,draw_3
A0.4,attn,0,1,10,11,pythia-70m,low,draw_3
A0.5,attn,0,1,11,12,pythia-70m,low,draw_3
A0.6,attn,0,1,3,4,pythia-70m,low,draw_3
A0.7,attn,0,1,17,18,pythia-70m,low,draw_3
A1.0,attn,1,1,5,6,pythia-70m,low,draw_3
