metric,factor,SS,eta_squared,F,p_value
edge_fraction,model,0.7606711565649792,0.9955875647118406,10092.527665059006,1.5467142432433906e-69
edge_fraction,band,0.00012891940083820894,0.00016873329719010834,1.7104929091804053,0.1631191888464996
edge_fraction,draw,4.549490475070298e-06,5.954499659496468e-06,0.12072459455125173,0.8865462573842877
edge_fraction,model_x_band,0.0023333821071130963,0.0030539953953998313,7.739784552742175,1.513057707123515e-08
edge_fraction,Residual,0.0009044368449324814,0.0011837520959098841,,
skip_fraction,model,0.6079171238073353,0.9922267559079129,3541.998725726902,1.2013387084160115e-58
skip_fraction,band,0.0013884764505834822,0.002266235692767894,8.08988861486182,4.537606895625207e-05
skip_fraction,draw,3.685944604225186e-05,6.0161043567934154e-05,0.4295194387517606,0.6532984493281528
skip_fraction,model_x_band,0.0012775992806077182,0.0020852648163755894,1.8609670819769157,0.049736703928300416
skip_fraction,Residual,0.0020595731536269582,0.003361582539375819,,
head_participation_rate,model,1.3742335792824052,0.9622387871838961,531.2194900295349,4.4624418547929486e-39
head_participation_rate,band,0.006523738908178907,0.004567924048390948,2.5217963729996042,0.05310832135039957
head_participation_rate,draw,0.00020670572916664143,0.0001447354169886704,0.15980705709639956,0.8527598052629848
head_participation_rate,model_x_band,0.016155418113425916,0.01131202887650959,1.5612471381883632,0.11748565308697975
head_participation_rate,Residual,0.031043294270833327,0.021736524474214543,,
