model,band,attn_fraction_mean,attn_fraction_std,mlp_fraction_mean,mlp_fraction_std,resid_fraction_mean,resid_fraction_std
pythia-70m,low,0.5483498103029669,0.0062403666081782055,0.32222473761711884,0.0035460862007464468,0.12942545207991432,0.0027981920256171192
pythia-70m,medium,0.560670413953447,0.009048953284734346,0.3119255471721644,0.00924798616637053,0.1274040388743887,0.0007590191778727743
pythia-70m,high,0.5823530974623256,0.002228655924676453,0.2935870883268801,0.0012144497150566318,0.12405981421079441,0.002957674039368656
pythia-70m,very_high,0.5842571226038037,0.0036407059465823487,0.2917288810461065,0.0036513512057125296,0.12401399635008974,0.0011886085357281577
pythia-70m,control,0.5844192526432307,0.014034282145880981,0.2927995409143018,0.01135805978757378,0.12278120644246754,0.0028067913897386206
pythia-160m,low,0.5689348955224603,0.011171556015114423,0.34421535413811916,0.009441857846552737,0.08684975033942055,0.00190809180903065
pythia-160m,medium,0.5790402381884655,0.008709719680359706,0.33589137230328064,0.005640237157020445,0.08506838950825375,0.0030759503824995065
pythia-160m,high,0.560816044695355,0.011663014117285965,0.3493201130655113,0.008204008563818563,0.08986384223913373,0.0034745076799375676
pythia-160m,very_high,0.5525174336830377,0.009397607469076122,0.3543191546381465,0.008610750534122294,0.09316341167881577,0.0018188261293659764
pythia-160m,control,0.5494433622717761,0.01263306754916438,0.3587163899462908,0.012519330760892074,0.09184024778193307,0.0022376327759919606
pythia-410m,low,0.5746989536324781,0.009059378077150716,0.3561841406013417,0.006906631204171282,0.06911690576618022,0.0021541787118128657
pythia-410m,medium,0.5679723212692814,0.007571433534835633,0.3626035700582963,0.0072740030753232834,0.06942410867242234,0.00036258683241058136
pythia-410m,high,0.5586950015592173,0.00393566531172288,0.3662612194813499,0.004480623493649864,0.07504377895943282,0.0009646142945948645
pythia-410m,very_high,0.5359183766926126,0.013338320991465036,0.38353160931824837,0.009766786603834636,0.08055001398913907,0.004056735214714886
pythia-410m,control,0.5417284552465559,0.0050621130123925245,0.3799496999355165,0.005651275615507824,0.07832184481792759,0.0007086480914977614
pythia-1b,low,0.6191975085876206,0.008962771428462699,0.3121988551536649,0.0051839989093202515,0.06860363625871464,0.004516469562039197
pythia-1b,medium,0.6160428361678022,0.007314477489978788,0.31163493044590845,0.006236021485733767,0.07232223338628942,0.0025362109480979375
pythia-1b,high,0.6187703570791054,0.01171984421098792,0.3088509661656052,0.01170785799212547,0.07237867675528938,0.0038832453620899795
pythia-1b,very_high,0.6039719407637179,0.01778921808309569,0.3151647841815562,0.014209151087231581,0.08086327505472594,0.00359195337916783
pythia-1b,control,0.5964960917678058,0.015055805549806239,0.32694626006154476,0.009032491705541348,0.07655764817064939,0.006557116162067633
pythia-1.4b,low,0.6188728094381425,0.00791812859417378,0.31342005727519134,0.0059418962642061495,0.06770713328666612,0.00333930575702687
pythia-1.4b,medium,0.6234211933542863,0.01851442872031835,0.3085682843263509,0.0181205749695343,0.06801052231936287,0.0004155263962489272
pythia-1.4b,high,0.6212862861002018,0.008480235485654405,0.3055164189571244,0.005835692752747147,0.07319729494267388,0.0035962634646294358
pythia-1.4b,very_high,0.6104075940935686,0.007101798801547498,0.313712841584757,0.0034792755436717387,0.07587956432167435,0.004898463035753459
pythia-1.4b,control,0.6102508921945085,0.01087912698655791,0.31528044560421137,0.010615005908334304,0.07446866220128015,0.0002669869856956994
