model,band_1,band_2,affinity,freq_distance
pythia-70m,low,medium,0.3186478971150504,1.0
pythia-70m,low,high,0.3008477033821802,2.0
pythia-70m,low,very_high,0.21419116696841148,3.0
pythia-70m,low,control,0.25517497433271547,
pythia-70m,medium,high,0.34956768912727676,1.0
pythia-70m,medium,very_high,0.26720322080358544,2.0
pythia-70m,medium,control,0.2733027093864319,
pythia-70m,high,very_high,0.3790795365369524,1.0
pythia-70m,high,control,0.37463974119415305,
pythia-70m,very_high,control,0.3959829942214766,
pythia-160m,low,medium,0.37252986953773454,1.0
pythia-160m,low,high,0.2896773423628399,2.0
pythia-160m,low,very_high,0.22199901302531677,3.0
pythia-160m,low,control,0.2813401423305141,
pythia-160m,medium,high,0.3065318735505537,1.0
pythia-160m,medium,very_high,0.24080795982518502,2.0
pythia-160m,medium,control,0.2778006387086085,
pythia-160m,high,very_high,0.24884088082210842,1.0
pythia-160m,high,control,0.2557919332495255,
pythia-160m,very_high,control,0.26015567004289697,
pythia-410m,low,medium,0.2653922773483424,1.0
pythia-410m,low,high,0.23770021958215679,2.0
pythia-410m,low,very_high,0.2099619594156704,3.0
pythia-410m,low,control,0.23872362905661113,
pythia-410m,medium,high,0.24824269231194585,1.0
pythia-410m,medium,very_high,0.2164984010087081,2.0
pythia-410m,medium,control,0.246666449705054,
pythia-410m,high,very_high,0.206181229669915,1.0
pythia-410m,high,control,0.22691161580833155,
pythia-410m,very_high,control,0.21692751993615925,
pythia-1b,low,medium,0.27260057047610714,1.0
pythia-1b,low,high,0.2745122437187863,2.0
pythia-1b,low,very_high,0.21869877304659913,3.0
pythia-1b,low,control,0.25793538453300563,
pythia-1b,medium,high,0.23971386078571935,1.0
pythia-1b,medium,very_high,0.2585345834716482,2.0
pythia-1b,medium,control,0.24399237715932584,
pythia-1b,high,very_high,0.2402096966984232,1.0
pythia-1b,high,control,0.27361184309048375,
pythia-1b,very_high,control,0.23899294863212386,
pythia-1.4b,low,medium,0.2515666156316459,1.0
pythia-1.4b,low,high,0.21740675536982967,2.0
pythia-1.4b,low,very_high,0.19852999269752447,3.0
pythia-1.4b,low,control,0.22126875645848906,
pythia-1.4b,medium,high,0.23127840473536973,1.0
pythia-1.4b,medium,very_high,0.1889556153535513,2.0
pythia-1.4b,medium,control,0.23616025723827272,
pythia-1.4b,high,very_high,0.20748396432254865,1.0
pythia-1.4b,high,control,0.20473868767597816,
pythia-1.4b,very_high,control,0.19768872911952184,
