circuit_id,model,band,draw,diameter,clustering_coefficient,density,avg_path_length,n_weakly_connected
pythia_1b_very_high_draw_1,pythia-1b,very_high,draw_1,4,0.5491971200055479,0.059177169346660875,2.1619585687382297,1
pythia_1b_very_high_draw_2,pythia-1b,very_high,draw_2,4,0.5633602452232076,0.061712505080612386,2.1277604660615093,1
pythia_1b_very_high_draw_3,pythia-1b,very_high,draw_3,4,0.5645500418247048,0.06193745232646834,2.1406559877955758,1
pythia_1b_control_draw_1,pythia-1b,control,draw_1,4,0.5653015211750196,0.06608745192992452,2.1241988320752028,1
pythia_1b_control_draw_2,pythia-1b,control,draw_2,4,0.5342084614329823,0.05860988463181883,2.1653610596781085,1
pythia_1b_control_draw_3,pythia-1b,control,draw_3,4,0.5907915314634986,0.0641025641025641,2.1296787503684054,1
pythia_1.4b_low_draw_1,pythia-1.4b,low,draw_1,4,0.5932208268804505,0.03870619113787247,2.1501312335958005,1
pythia_1.4b_low_draw_2,pythia-1.4b,low,draw_2,4,0.5652416579894538,0.03815207780725022,2.1666666666666665,1
pythia_1.4b_low_draw_3,pythia-1.4b,low,draw_3,4,0.5823010798209379,0.03750432077428275,2.182019817951377,1
pythia_1.4b_medium_draw_1,pythia-1.4b,medium,draw_1,4,0.5526757235862417,0.03646369353916524,2.20809033733562,1
pythia_1.4b_medium_draw_2,pythia-1.4b,medium,draw_2,4,0.5451085812126267,0.03725376945525292,2.2177468385214008,1
pythia_1.4b_medium_draw_3,pythia-1.4b,medium,draw_3,4,0.5692916104228668,0.036995143727566134,2.199408801616747,1
pythia_1.4b_high_draw_1,pythia-1.4b,high,draw_1,4,0.5251216776752065,0.035294501763092595,2.237135954028993,1
pythia_1.4b_high_draw_2,pythia-1.4b,high,draw_2,4,0.5210300789353614,0.035910602020999965,2.249004311905467,1
pythia_1.4b_high_draw_3,pythia-1.4b,high,draw_3,4,0.5523179416774636,0.03636706560131683,2.193203250917321,1
pythia_1.4b_very_high_draw_1,pythia-1.4b,very_high,draw_1,4,0.4698482823113947,0.03245232519237203,2.287253261960522,1
pythia_1.4b_very_high_draw_2,pythia-1.4b,very_high,draw_2,4,0.5041851008877025,0.031020220588235295,2.28734681372549,1
pythia_1.4b_very_high_draw_3,pythia-1.4b,very_high,draw_3,4,0.5483725302466212,0.03386345381526104,2.254136546184739,1
pythia_1.4b_control_draw_1,pythia-1.4b,control,draw_1,5,0.5272753454718913,0.03341713806830086,2.2592858639370266,1
pythia_1.4b_control_draw_2,pythia-1.4b,control,draw_2,4,0.5254784748618833,0.03625767271777459,2.2136280527621786,1
pythia_1.4b_control_draw_3,pythia-1.4b,control,draw_3,4,0.5631487476956666,0.033832557511974636,2.2407744721041625,1
