circuit_id,model,band,draw,diameter,clustering_coefficient,density,avg_path_length,n_weakly_connected
pythia_70m_low_draw_1,pythia-70m,low,draw_1,3,0.7212678858640633,0.14328808446455504,1.720211161387632,1
pythia_70m_low_draw_2,pythia-70m,low,draw_2,3,0.6940543401198874,0.1493212669683258,1.707390648567119,1
pythia_70m_low_draw_3,pythia-70m,low,draw_3,2,0.71068218594289,0.14743589743589744,1.705128205128205,1
pythia_70m_medium_draw_1,pythia-70m,medium,draw_1,2,0.7399058415551695,0.15490196078431373,1.6901960784313725,1
pythia_70m_medium_draw_2,pythia-70m,medium,draw_2,3,0.716602430277316,0.1478129713423831,1.7119155354449471,1
pythia_70m_medium_draw_3,pythia-70m,medium,draw_3,2,0.7260190418492524,0.14731494920174165,1.7053701015965166,1
pythia_70m_high_draw_1,pythia-70m,high,draw_1,2,0.7155567836411854,0.15021770682148042,1.6995645863570392,1
pythia_70m_high_draw_2,pythia-70m,high,draw_2,3,0.6919993104600064,0.14695210449927432,1.7191582002902757,1
pythia_70m_high_draw_3,pythia-70m,high,draw_3,2,0.7338778414837878,0.15638606676342526,1.6872278664731495,1
pythia_70m_very_high_draw_1,pythia-70m,very_high,draw_1,3,0.7001341485854595,0.14814814814814814,1.7120894479385045,1
pythia_70m_very_high_draw_2,pythia-70m,very_high,draw_2,3,0.6868295590286365,0.14570230607966456,1.7281621243885394,1
pythia_70m_very_high_draw_3,pythia-70m,very_high,draw_3,3,0.711531257692413,0.14570230607966456,1.7232704402515724,1
pythia_70m_control_draw_1,pythia-70m,control,draw_1,2,0.7279680123648588,0.15783744557329463,1.6843251088534108,1
pythia_70m_control_draw_2,pythia-70m,control,draw_2,3,0.6899943104970537,0.14876632801161102,1.711901306240929,1
pythia_70m_control_draw_3,pythia-70m,control,draw_3,2,0.7292249997473731,0.1488469601677149,1.7023060796645701,1
pythia_160m_low_draw_1,pythia-160m,low,draw_1,4,0.7038608868045647,0.07852082438814942,1.890188922284242,1
pythia_160m_low_draw_2,pythia-160m,low,draw_2,3,0.713625610008797,0.08197899391929242,1.8758430071862908,1
pythia_160m_low_draw_3,pythia-160m,low,draw_3,4,0.7071042280276488,0.08020050125313283,1.8871041239462292,1
pythia_160m_medium_draw_1,pythia-160m,medium,draw_1,3,0.7309624460240299,0.07875816993464052,1.875599128540305,1
pythia_160m_medium_draw_2,pythia-160m,medium,draw_2,4,0.704306526724524,0.08489507350465716,1.8785770396139603,1
pythia_160m_medium_draw_3,pythia-160m,medium,draw_3,4,0.6838008927463274,0.08401686033264981,1.8753702437912965,1
pythia_160m_high_draw_1,pythia-160m,high,draw_1,3,0.7204310147244832,0.07631017843115251,1.8783525979126923,1
pythia_160m_high_draw_2,pythia-160m,high,draw_2,3,0.6909649902015947,0.07690680207341585,1.903205331640749,1
pythia_160m_high_draw_3,pythia-160m,high,draw_3,4,0.699790386484842,0.07771293906407811,1.8857591740545394,1
pythia_160m_very_high_draw_1,pythia-160m,very_high,draw_1,3,0.6908769476490532,0.07619795758051846,1.8976545842217485,1
pythia_160m_very_high_draw_2,pythia-160m,very_high,draw_2,3,0.7027500899579461,0.07439052175894281,1.8909774436090225,1
pythia_160m_very_high_draw_3,pythia-160m,very_high,draw_3,3,0.7061471880418796,0.07352128247650636,1.90702045328911,1
pythia_160m_control_draw_1,pythia-160m,control,draw_1,3,0.680909674895548,0.07694859038142621,1.875290215588723,1
pythia_160m_control_draw_2,pythia-160m,control,draw_2,3,0.7102521730628863,0.07743238693749299,1.8814947817304455,1
pythia_160m_control_draw_3,pythia-160m,control,draw_3,3,0.7044811156086755,0.07435046987285793,1.8876727473742398,1
pythia_410m_low_draw_1,pythia-410m,low,draw_1,3,0.6882705043316796,0.03975286317058469,2.0197106690777575,1
pythia_410m_low_draw_2,pythia-410m,low,draw_2,4,0.6830991298984105,0.04347727837660723,2.0045872596208167,1
pythia_410m_low_draw_3,pythia-410m,low,draw_3,4,0.7041239169061377,0.045647840531561464,1.984407530454042,1
pythia_410m_medium_draw_1,pythia-410m,medium,draw_1,4,0.6875194276661954,0.0419022683769334,2.0338166376977402,1
pythia_410m_medium_draw_2,pythia-410m,medium,draw_2,4,0.6731150300012492,0.04190676338327345,2.0476125912367524,1
pythia_410m_medium_draw_3,pythia-410m,medium,draw_3,4,0.6826835196663126,0.042001500053573344,2.0264652309011035,1
pythia_410m_high_draw_1,pythia-410m,high,draw_1,4,0.6689558891840053,0.041237113402061855,2.020713354662875,1
pythia_410m_high_draw_2,pythia-410m,high,draw_2,4,0.6926625674708005,0.04333598765739312,1.9944010351863832,1
pythia_410m_high_draw_3,pythia-410m,high,draw_3,4,0.6669045777007785,0.04264152848237046,1.9946493021377552,1
pythia_410m_very_high_draw_1,pythia-410m,very_high,draw_1,4,0.6593408533873618,0.03659591378746085,2.0296647809621766,1
pythia_410m_very_high_draw_2,pythia-410m,very_high,draw_2,4,0.6842397966228984,0.040351976968261705,2.0233335655081146,1
pythia_410m_very_high_draw_3,pythia-410m,very_high,draw_3,4,0.715625238774408,0.038337463182009444,2.0230726074150263,1
pythia_410m_control_draw_1,pythia-410m,control,draw_1,3,0.6892180932596825,0.041436798296554396,1.9749080526519551,1
pythia_410m_control_draw_2,pythia-410m,control,draw_2,4,0.6856157862854998,0.03850618745791832,2.0540502890576025,1
pythia_410m_control_draw_3,pythia-410m,control,draw_3,4,0.7244137270068322,0.04298423995932893,1.9683528215556685,1
pythia_1b_low_draw_1,pythia-1b,low,draw_1,3,0.6255796961860446,0.07040417209908735,2.050412863972186,1
pythia_1b_low_draw_2,pythia-1b,low,draw_2,4,0.5516135661584533,0.06344129015060643,2.149940023990404,1
pythia_1b_low_draw_3,pythia-1b,low,draw_3,4,0.5479617478997818,0.07206012378426171,2.1080165045682286,1
pythia_1b_medium_draw_1,pythia-1b,medium,draw_1,4,0.5490790216330019,0.0643782936903575,2.1407206950576843,1
pythia_1b_medium_draw_2,pythia-1b,medium,draw_2,4,0.5927969167902687,0.07293930175286108,2.0515717803853395,1
pythia_1b_medium_draw_3,pythia-1b,medium,draw_3,4,0.5265962645420397,0.06746626686656672,2.0973013493253374,1
pythia_1b_high_draw_1,pythia-1b,high,draw_1,4,0.5772175868347716,0.0713573565019228,2.0773394103404073,1
pythia_1b_high_draw_2,pythia-1b,high,draw_2,4,0.522589621115813,0.058193548387096776,2.176,1
pythia_1b_high_draw_3,pythia-1b,high,draw_3,4,0.5730832171995431,0.06508264462809918,2.097245179063361,1
