model,within_mean,within_ci_lo,within_ci_hi,between_mean,between_ci_lo,between_ci_hi,gap,gap_bootstrap_mean,gap_ci_lo,gap_ci_hi,n_within,n_between
pythia-70m,0.7949890848737298,0.7872541238211365,0.8028437851564134,0.7625797165426553,0.756317791844535,0.768908904710843,0.03240936833107444,0.03237740562457392,0.02258104443587168,0.04210736458342522,30,90
pythia-160m,0.589079605873371,0.582162395916652,0.5964307658762371,0.5568117737333164,0.5518864113208762,0.5618992749699548,0.032267832140054686,0.032224152598041136,0.023684674220970214,0.041081069778951144,30,90
pythia-410m,0.44627755571134653,0.44171994932249997,0.45215470519051687,0.4303861645751884,0.4270037632228201,0.43388739744175236,0.015891391136158117,0.01588082160770449,0.010116156510107114,0.022436548363726428,30,90
pythia-1b,0.4779286832295373,0.4696562805407219,0.487058595721178,0.4651304720897454,0.4602616360872929,0.47021043530750634,0.012798211139791904,0.012752590281147473,0.0030295116524043366,0.02317035496128697,30,90
pythia-1.4b,0.38477839660053775,0.37506131854358904,0.3951536343220943,0.3660903288681005,0.36111024131343616,0.3711326126498198,0.018688067732437252,0.018583940436801685,0.007695969050555083,0.029848534581996423,30,90
