model,within_mean,within_std,between_mean,between_std,n_within,n_between
pythia-70m,0.7949890848737298,0.021807588332526637,0.7625797165426553,0.030555703930652052,30,90
pythia-160m,0.589079605873371,0.01998146549901169,0.5568117737333164,0.024307734832586903,30,90
pythia-410m,0.44627755571134653,0.014744894183356626,0.4303861645751884,0.016502258744326235,30,90
pythia-1b,0.4779286832295373,0.02420553223568466,0.4651304720897454,0.023998422225537965,30,90
pythia-1.4b,0.38477839660053775,0.027920790185477568,0.3660903288681005,0.024119400225410047,30,90
