model,band,metric,mean,std,cv
pythia-70m,low,edge_fraction,0.2938066465256797,0.005047819147976697,0.017180752061493953
pythia-70m,low,skip_fraction,0.6237499507118568,0.004237237212797027,0.006793166409009356
pythia-70m,low,head_participation_rate,0.8333333333333334,0.01701034543599428,0.020412414523193135
pythia-70m,medium,edge_fraction,0.3003524672708963,0.004545687332645474,0.01513450971103757
pythia-70m,medium,skip_fraction,0.628588353717742,0.00534069752625118,0.008496335470843512
pythia-70m,medium,head_participation_rate,0.8472222222222223,0.019641855032959635,0.02318382889136219
pythia-70m,high,edge_fraction,0.3147029204431017,0.008142478161528816,0.025873538606073967
pythia-70m,high,skip_fraction,0.6256412683349254,0.008514168374504279,0.013608706467148164
pythia-70m,high,head_participation_rate,0.861111111111111,0.009820927516479845,0.011404948083654014
pythia-70m,very_high,edge_fraction,0.3167170191339376,0.002492319973970704,0.00786923285899176
pythia-70m,very_high,skip_fraction,0.6128889341357103,0.0041732485706490715,0.006809143285535321
pythia-70m,very_high,head_participation_rate,0.8402777777777778,0.009820927516479793,0.011687715391513143
pythia-70m,control,edge_fraction,0.3199899295065458,0.00780869205401352,0.024402930636146108
pythia-70m,control,skip_fraction,0.6208007412759897,0.0041250316202143126,0.006644695062276746
pythia-70m,control,head_participation_rate,0.8680555555555557,0.039283710065919325,0.045254833995939055
pythia-160m,low,edge_fraction,0.1265660881951106,0.002765369842510455,0.02184921634180114
pythia-160m,low,skip_fraction,0.8031830029081778,0.0006332811771246654,0.0007884643659435904
pythia-160m,low,head_participation_rate,0.675925925925926,0.025567965317563102,0.03782657882598376
pythia-160m,medium,edge_fraction,0.12889160198831429,0.0023924976998985193,0.01856209142404352
pythia-160m,medium,skip_fraction,0.8096447426593154,0.0009840437871694802,0.001215401935344313
pythia-160m,medium,head_participation_rate,0.6898148148148149,0.013094570021973107,0.01898273238084692
pythia-160m,high,edge_fraction,0.12206040522077848,0.0034666441993360243,0.028401054322781272
pythia-160m,high,skip_fraction,0.8055946990597866,0.005816112438080492,0.007219650830459168
pythia-160m,high,head_participation_rate,0.6828703703703703,0.0065472850109865284,0.009587888558461629
pythia-160m,very_high,edge_fraction,0.11610127612569403,0.0018531295544326329,0.01596131942965373
pythia-160m,very_high,skip_fraction,0.7856427747824274,0.0026658956918987186,0.003393266987832989
pythia-160m,very_high,head_participation_rate,0.6666666666666666,0.01964185503295969,0.029462782549439535
pythia-160m,control,edge_fraction,0.1196767535827447,0.0017387978754964347,0.014529119678152258
pythia-160m,control,skip_fraction,0.8047732329622054,0.005745322397313616,0.007139057515825
pythia-160m,control,head_participation_rate,0.6944444444444443,0.019641855032959635,0.02828427124746188
pythia-410m,low,edge_fraction,0.04933751959725824,0.0013977996118885343,0.02833137180990777
pythia-410m,low,skip_fraction,0.8870374180657047,0.00308838498633188,0.0034816851278568236
pythia-410m,low,head_participation_rate,0.5876736111111112,0.025367429160073694,0.043165846960716237
pythia-410m,medium,edge_fraction,0.04731471025014169,0.00106947542778187,0.022603444512875725
pythia-410m,medium,skip_fraction,0.8872553262023727,0.002242060515559661,0.0025269620247377056
pythia-410m,medium,head_participation_rate,0.5651041666666666,0.009743899444723805,0.01724266076854351
pythia-410m,high,edge_fraction,0.04278096987296426,0.0005998248066535991,0.014020832356880779
pythia-410m,high,skip_fraction,0.8847558500617144,0.00532216411464809,0.006015404265794742
pythia-410m,high,head_participation_rate,0.5373263888888888,0.01783215154876228,0.033186815160216716
pythia-410m,very_high,edge_fraction,0.04089880575652656,0.0017532749724930448,0.042868610465802176
pythia-410m,very_high,skip_fraction,0.8847139991912526,0.003455839211870135,0.0039061653992468032
pythia-410m,very_high,head_participation_rate,0.5486111111111112,0.019756608813786512,0.03601204644538301
pythia-410m,control,edge_fraction,0.041879185746846855,0.000550932532206032,0.013155282806507587
pythia-410m,control,skip_fraction,0.8907857743360826,0.005151468620793395,0.005783061168250997
pythia-410m,control,head_participation_rate,0.5546875,0.01889890716760174,0.03407126925990173
pythia-1b,low,edge_fraction,0.09664635161687814,0.0011105559663325073,0.011490924879760923
pythia-1b,low,skip_fraction,0.792581906907528,0.009028087311225863,0.0113907310178848
pythia-1b,low,head_participation_rate,0.6380208333333334,0.025779934730759544,0.04040610178208843
pythia-1b,medium,edge_fraction,0.09361574582875413,0.00494798728727422,0.05285422065990145
pythia-1b,medium,skip_fraction,0.7864043485180922,0.0034290343222680734,0.00436039593210513
pythia-1b,medium,head_participation_rate,0.6276041666666666,0.03513212907091677,0.05597816416278855
pythia-1b,high,edge_fraction,0.0948812735204982,0.004092114401051491,0.04312878874003971
pythia-1b,high,skip_fraction,0.7908369490327526,0.00972495276258795,0.012297038946501209
pythia-1b,high,head_participation_rate,0.6432291666666666,0.016053161466065044,0.02495714171242501
pythia-1b,very_high,edge_fraction,0.08459053518500016,0.0045495364469975,0.053783043659052725
pythia-1b,very_high,skip_fraction,0.7861952702784286,0.003032133570285351,0.0038567181524909585
pythia-1b,very_high,head_participation_rate,0.6041666666666666,0.036828478186799345,0.06095748113677133
pythia-1b,control,edge_fraction,0.08728810737003363,0.004290579329543403,0.0491542256879816
pythia-1b,control,skip_fraction,0.8036830258422833,0.0045450534086077165,0.005655281077815931
pythia-1b,control,head_participation_rate,0.5885416666666666,0.003682847818679935,0.006257582134394226
pythia-1.4b,low,edge_fraction,0.03185200812433039,0.0005290676345344362,0.016610181451332234
pythia-1.4b,low,skip_fraction,0.8523678227344987,0.005683884136188974,0.006668346674507713
pythia-1.4b,low,head_participation_rate,0.4765625,0.003682847818679935,0.007727942963787405
pythia-1.4b,medium,edge_fraction,0.030838535138556236,0.000579245597654181,0.018783174850934226
pythia-1.4b,medium,skip_fraction,0.8416465925073965,0.010551323425297634,0.012536524854052572
pythia-1.4b,medium,head_participation_rate,0.4618055555555556,0.01770492886664162,0.03833849258340441
pythia-1.4b,high,edge_fraction,0.02674327695114233,0.0003150902428205502,0.011782035664372508
pythia-1.4b,high,skip_fraction,0.8468347759542509,0.0029225292757949963,0.0034511209964207725
pythia-1.4b,high,head_participation_rate,0.4244791666666667,0.004252586358998581,0.010018362956168436
pythia-1.4b,very_high,edge_fraction,0.025121720173903694,0.0008511601098484141,0.03388144219250538
pythia-1.4b,very_high,skip_fraction,0.8347701816072349,0.003114925810078595,0.0037314770923911472
pythia-1.4b,very_high,head_participation_rate,0.41840277777777773,0.016515883325035115,0.03947364645319597
pythia-1.4b,control,edge_fraction,0.026722593828983673,0.0012942941922333086,0.048434452153723946
pythia-1.4b,control,skip_fraction,0.8429125650080277,0.0030258833360703144,0.0035897950293830258
pythia-1.4b,control,head_participation_rate,0.4288194444444445,0.020431601208228862,0.047646163141456775
