model,draw,head,layer,head_idx,entropy,max_entropy,normalized_entropy,dominant_band,total_edges
pythia-70m,draw_1,A0.0,0,0,2.321928094887362,2.321928094887362,1.0,low,5
pythia-70m,draw_1,A0.1,0,1,2.321928094887362,2.321928094887362,1.0,low,5
pythia-70m,draw_1,A0.2,0,2,2.321928094887362,2.321928094887362,1.0,low,5
pythia-70m,draw_1,A0.3,0,3,2.321928094887362,2.321928094887362,1.0,low,5
pythia-70m,draw_1,A0.4,0,4,2.321928094887362,2.321928094887362,1.0,low,5
pythia-70m,draw_1,A0.5,0,5,2.321928094887362,2.321928094887362,1.0,low,5
pythia-70m,draw_1,A0.6,0,6,2.321928094887362,2.321928094887362,1.0,low,5
pythia-70m,draw_1,A0.7,0,7,2.321928094887362,2.321928094887362,1.0,low,5
pythia-70m,draw_1,A1.0,1,0,1.0,2.321928094887362,0.43067655807339306,medium,2
pythia-70m,draw_1,A1.1,1,1,2.303701696057348,2.321928094887362,0.9921503172858166,control,20
pythia-70m,draw_1,A1.2,1,2,2.2597992234005675,2.321928094887362,0.9732425514710831,very_high,19
pythia-70m,draw_1,A1.3,1,3,2.313875597547823,2.321928094887362,0.9965319781619122,very_high,30
pythia-70m,draw_1,A1.4,1,4,0.0,2.321928094887362,0.0,,0
pythia-70m,draw_1,A1.5,1,5,1.584962500721156,2.321928094887362,0.6826061944859853,high,3
pythia-70m,draw_1,A1.6,1,6,2.197159723424149,2.321928094887362,0.9462651872218009,control,9
pythia-70m,draw_1,A1.7,1,7,1.584962500721156,2.321928094887362,0.6826061944859853,high,3
pythia-70m,draw_1,A2.0,2,0,1.9842010098207166,2.321928094887362,0.854548861435337,control,24
pythia-70m,draw_1,A2.1,2,1,2.2861743360962086,2.321928094887362,0.9846016942256396,control,26
pythia-70m,draw_1,A2.2,2,2,2.2983094013008034,2.321928094887362,0.9898279823399507,low,21
pythia-70m,draw_1,A2.3,2,3,2.2623147460276023,2.321928094887362,0.9743259280978502,control,28
pythia-70m,draw_1,A2.4,2,4,2.291311219434223,2.321928094887362,0.9868140294608803,very_high,37
pythia-70m,draw_1,A2.5,2,5,2.305958492868042,2.321928094887362,0.9931222667685172,low,14
pythia-70m,draw_1,A2.6,2,6,2.313100666415769,2.321928094887362,0.9961982334892152,very_high,44
pythia-70m,draw_1,A2.7,2,7,2.317100827280733,2.321928094887362,0.9979210090022779,low,46
pythia-70m,draw_1,A3.0,3,0,2.2766427101914957,2.321928094887362,0.9804966463881547,very_high,54
pythia-70m,draw_1,A3.1,3,1,2.3180407980601,2.321928094887362,0.9983258323822252,high,109
pythia-70m,draw_1,A3.2,3,2,2.197159723424149,2.321928094887362,0.9462651872218009,low,9
pythia-70m,draw_1,A3.3,3,3,2.3209194990354183,2.321928094887362,0.9995656214099977,medium,108
pythia-70m,draw_1,A3.4,3,4,2.306004990125901,2.321928094887362,0.9931422920474918,very_high,66
pythia-70m,draw_1,A3.5,3,5,2.3153185993564156,2.321928094887362,0.9971534452141304,control,69
pythia-70m,draw_1,A3.6,3,6,2.3162940105236784,2.321928094887362,0.9975735319383535,high,58
pythia-70m,draw_1,A3.7,3,7,1.8464393446710154,2.321928094887362,0.7952181416542045,control,10
pythia-70m,draw_1,A4.0,4,0,2.2516291673878226,2.321928094887362,0.9697238998682473,control,6
pythia-70m,draw_1,A4.1,4,1,0.8112781244591328,2.321928094887362,0.34939847028229715,very_high,8
pythia-70m,draw_1,A4.2,4,2,2.1633850947019644,2.321928094887362,0.9317192463735235,control,33
pythia-70m,draw_1,A4.3,4,3,0.0,2.321928094887362,0.0,,0
pythia-70m,draw_1,A4.4,4,4,1.7416838940090769,2.321928094887362,0.7501024247236936,medium,22
pythia-70m,draw_1,A4.5,4,5,1.3787834934861753,2.321928094887362,0.5938097293030346,low,7
pythia-70m,draw_1,A4.6,4,6,1.836591668108979,2.321928094887362,0.7909769782074465,medium,18
pythia-70m,draw_1,A4.7,4,7,2.3097661311006803,2.321928094887362,0.9947621272969386,control,70
pythia-70m,draw_1,A5.0,5,0,2.316333280562803,2.321928094887362,0.9975904446236391,medium,28
pythia-70m,draw_1,A5.1,5,1,2.2577560641285177,2.321928094887362,0.972362610668201,high,13
pythia-70m,draw_1,A5.2,5,2,2.1980854601465896,2.321928094887362,0.9466638803271036,control,34
pythia-70m,draw_1,A5.3,5,3,2.231271925293061,2.321928094887362,0.9609565129110085,high,37
pythia-70m,draw_1,A5.4,5,4,0.0,2.321928094887362,0.0,,0
pythia-70m,draw_1,A5.5,5,5,1.811278124459133,2.321928094887362,0.7800750283556903,very_high,8
pythia-70m,draw_1,A5.6,5,6,0.0,2.321928094887362,0.0,,0
pythia-70m,draw_1,A5.7,5,7,2.287984748160902,2.321928094887362,0.9853813962623563,medium,46
pythia-70m,draw_2,A0.0,0,0,2.321928094887362,2.321928094887362,1.0,low,5
pythia-70m,draw_2,A0.1,0,1,2.321928094887362,2.321928094887362,1.0,low,5
pythia-70m,draw_2,A0.2,0,2,2.321928094887362,2.321928094887362,1.0,low,5
pythia-70m,draw_2,A0.3,0,3,2.321928094887362,2.321928094887362,1.0,low,5
pythia-70m,draw_2,A0.4,0,4,2.321928094887362,2.321928094887362,1.0,low,5
pythia-70m,draw_2,A0.5,0,5,2.321928094887362,2.321928094887362,1.0,low,5
pythia-70m,draw_2,A0.6,0,6,2.321928094887362,2.321928094887362,1.0,low,5
pythia-70m,draw_2,A0.7,0,7,2.321928094887362,2.321928094887362,1.0,low,5
pythia-70m,draw_2,A1.0,1,0,1.0,2.321928094887362,0.43067655807339306,low,2
pythia-70m,draw_2,A1.1,1,1,2.2774058114255182,2.321928094887362,0.980825296201085,very_high,25
pythia-70m,draw_2,A1.2,1,2,2.2893965036461212,2.321928094887362,0.9859894062555719,very_high,24
pythia-70m,draw_2,A1.3,1,3,2.300022047976398,2.321928094887362,0.9905655791153918,high,29
pythia-70m,draw_2,A1.4,1,4,0.0,2.321928094887362,0.0,,0
pythia-70m,draw_2,A1.5,1,5,2.0,2.321928094887362,0.8613531161467861,low,4
pythia-70m,draw_2,A1.6,1,6,2.321928094887362,2.321928094887362,1.0,low,5
pythia-70m,draw_2,A1.7,1,7,0.9182958340544896,2.321928094887362,0.3954884891037233,high,3
pythia-70m,draw_2,A2.0,2,0,2.217021885879718,2.321928094887362,0.9548193549840598,very_high,14
pythia-70m,draw_2,A2.1,2,1,2.31030833266923,2.321928094887362,0.9949956408022635,very_high,25
pythia-70m,draw_2,A2.2,2,2,2.303701696057348,2.321928094887362,0.9921503172858166,high,20
pythia-70m,draw_2,A2.3,2,3,2.31030833266923,2.321928094887362,0.9949956408022635,control,25
pythia-70m,draw_2,A2.4,2,4,2.2658570316680584,2.321928094887362,0.9758515074851947,very_high,35
