model,head,cluster,avg_n_bands
pythia-1.4b,A2.4,4,1.3333333333333333
pythia-1.4b,A2.5,4,5.0
pythia-1.4b,A2.6,4,3.0
pythia-1.4b,A2.7,4,4.666666666666667
pythia-1.4b,A2.9,4,2.6666666666666665
pythia-1.4b,A20.0,1,0.6666666666666666
pythia-1.4b,A20.1,1,5.0
pythia-1.4b,A20.10,1,2.3333333333333335
pythia-1.4b,A20.11,4,0.3333333333333333
pythia-1.4b,A20.13,1,1.6666666666666667
pythia-1.4b,A20.14,1,1.0
pythia-1.4b,A20.15,1,5.0
pythia-1.4b,A20.2,1,1.3333333333333333
pythia-1.4b,A20.3,2,2.0
pythia-1.4b,A20.6,1,4.333333333333333
pythia-1.4b,A20.7,1,0.3333333333333333
pythia-1.4b,A20.8,1,0.3333333333333333
pythia-1.4b,A21.0,1,5.0
pythia-1.4b,A21.10,1,0.6666666666666666
pythia-1.4b,A21.14,1,3.0
pythia-1.4b,A21.15,1,0.6666666666666666
pythia-1.4b,A21.2,1,2.0
pythia-1.4b,A21.5,2,0.3333333333333333
pythia-1.4b,A21.6,1,0.6666666666666666
pythia-1.4b,A21.7,1,3.3333333333333335
pythia-1.4b,A22.0,1,2.6666666666666665
pythia-1.4b,A22.13,1,5.0
pythia-1.4b,A22.15,1,0.6666666666666666
pythia-1.4b,A22.2,1,4.666666666666667
pythia-1.4b,A22.3,1,0.6666666666666666
pythia-1.4b,A22.4,1,1.0
pythia-1.4b,A22.9,1,4.666666666666667
pythia-1.4b,A23.0,1,1.0
pythia-1.4b,A23.1,1,1.0
pythia-1.4b,A23.12,1,0.3333333333333333
pythia-1.4b,A23.2,1,4.666666666666667
pythia-1.4b,A23.5,4,0.3333333333333333
pythia-1.4b,A23.9,1,4.666666666666667
pythia-1.4b,A3.0,4,0.3333333333333333
pythia-1.4b,A3.1,4,0.3333333333333333
pythia-1.4b,A3.10,4,0.6666666666666666
pythia-1.4b,A3.11,4,2.6666666666666665
pythia-1.4b,A3.12,4,0.3333333333333333
pythia-1.4b,A3.13,5,5.0
pythia-1.4b,A3.15,4,3.0
pythia-1.4b,A3.3,5,4.666666666666667
pythia-1.4b,A3.4,5,5.0
pythia-1.4b,A3.5,5,5.0
pythia-1.4b,A3.6,4,0.3333333333333333
pythia-1.4b,A3.7,4,0.3333333333333333
pythia-1.4b,A3.8,4,1.6666666666666667
pythia-1.4b,A3.9,4,0.3333333333333333
pythia-1.4b,A4.0,4,0.3333333333333333
pythia-1.4b,A4.1,5,4.0
pythia-1.4b,A4.10,4,0.3333333333333333
pythia-1.4b,A4.11,5,1.0
pythia-1.4b,A4.13,5,2.0
pythia-1.4b,A4.14,5,4.666666666666667
pythia-1.4b,A4.15,5,5.0
pythia-1.4b,A4.2,4,0.3333333333333333
pythia-1.4b,A4.3,5,1.6666666666666667
pythia-1.4b,A4.4,5,1.6666666666666667
pythia-1.4b,A4.5,5,3.6666666666666665
pythia-1.4b,A4.6,5,4.333333333333333
pythia-1.4b,A4.7,5,5.0
pythia-1.4b,A4.8,5,3.6666666666666665
pythia-1.4b,A4.9,5,3.3333333333333335
pythia-1.4b,A5.0,5,3.6666666666666665
pythia-1.4b,A5.1,4,1.0
pythia-1.4b,A5.11,5,5.0
pythia-1.4b,A5.12,5,4.333333333333333
pythia-1.4b,A5.13,4,1.0
pythia-1.4b,A5.14,5,4.0
pythia-1.4b,A5.15,5,2.0
pythia-1.4b,A5.2,5,2.0
pythia-1.4b,A5.3,4,4.333333333333333
pythia-1.4b,A5.4,5,5.0
pythia-1.4b,A5.5,5,5.0
pythia-1.4b,A5.6,4,2.3333333333333335
pythia-1.4b,A5.8,5,5.0
pythia-1.4b,A5.9,5,0.3333333333333333
pythia-1.4b,A6.1,5,0.3333333333333333
pythia-1.4b,A6.10,2,4.666666666666667
pythia-1.4b,A6.11,2,5.0
pythia-1.4b,A6.12,2,0.6666666666666666
pythia-1.4b,A6.15,2,5.0
pythia-1.4b,A6.2,2,5.0
pythia-1.4b,A6.5,2,0.6666666666666666
pythia-1.4b,A6.6,2,2.0
pythia-1.4b,A6.7,4,3.0
pythia-1.4b,A6.8,2,4.333333333333333
pythia-1.4b,A6.9,2,4.333333333333333
pythia-1.4b,A7.0,2,2.3333333333333335
pythia-1.4b,A7.1,2,0.6666666666666666
pythia-1.4b,A7.10,2,5.0
pythia-1.4b,A7.13,2,0.6666666666666666
pythia-1.4b,A7.14,4,0.3333333333333333
pythia-1.4b,A7.15,2,5.0
pythia-1.4b,A7.2,2,2.0
pythia-1.4b,A7.3,2,5.0
pythia-1.4b,A7.4,2,4.333333333333333
pythia-1.4b,A7.5,2,5.0
pythia-1.4b,A7.6,2,5.0
pythia-1.4b,A7.8,2,5.0
pythia-1.4b,A7.9,2,1.6666666666666667
pythia-1.4b,A8.0,2,3.3333333333333335
pythia-1.4b,A8.1,2,1.6666666666666667
pythia-1.4b,A8.11,2,2.3333333333333335
pythia-1.4b,A8.12,2,5.0
pythia-1.4b,A8.13,2,1.3333333333333333
pythia-1.4b,A8.14,2,5.0
pythia-1.4b,A8.2,2,2.3333333333333335
pythia-1.4b,A8.3,2,5.0
pythia-1.4b,A8.4,2,5.0
pythia-1.4b,A8.5,2,5.0
pythia-1.4b,A8.6,2,5.0
pythia-1.4b,A8.7,4,0.6666666666666666
pythia-1.4b,A8.8,2,1.0
pythia-1.4b,A9.0,2,1.3333333333333333
pythia-1.4b,A9.1,2,5.0
pythia-1.4b,A9.10,2,3.6666666666666665
pythia-1.4b,A9.11,2,0.3333333333333333
pythia-1.4b,A9.12,2,5.0
pythia-1.4b,A9.13,2,4.333333333333333
pythia-1.4b,A9.14,1,2.3333333333333335
pythia-1.4b,A9.15,4,0.3333333333333333
pythia-1.4b,A9.3,1,0.3333333333333333
pythia-1.4b,A9.5,2,4.666666666666667
pythia-1.4b,A9.6,2,0.3333333333333333
pythia-1.4b,A9.7,4,2.0
pythia-1.4b,A9.8,2,1.6666666666666667
pythia-1.4b,A9.9,2,5.0
