model,band,skip_fraction_mean,skip_fraction_std,input_fraction_mean,input_fraction_std,output_fraction_mean,output_fraction_std,local_fraction_mean,local_fraction_std,forward_fraction_mean,forward_fraction_std
pythia-70m,low,0.6237499507118568,0.00518953454524278,0.0437147986347071,0.000926699029697022,0.12942545207991432,0.0027981920256171192,0.018852726121537534,0.0014411281524065293,0.3573973231666057,0.005084470649499563
pythia-70m,medium,0.628588353717742,0.006540991904929882,0.045244998916196766,0.0017382261261004058,0.1274040388743887,0.0007590191778727743,0.01760668038494315,0.00032354615565939577,0.3538049658973148,0.006225225285493854
pythia-70m,high,0.6256412683349254,0.010427684050838586,0.04558062551606382,0.001016466258982534,0.12405981421079441,0.002957674039368656,0.018389702344553997,0.0010306538007463118,0.35596902932052066,0.011247125841148835
pythia-70m,very_high,0.6128889341357103,0.0051111647839447395,0.04292792181349261,0.0004114414162135956,0.12401399635008974,0.0011886085357281577,0.019079076361552264,0.00018286285165048394,0.36803198950273747,0.005177212579357937
pythia-70m,control,0.6208007412759897,0.005052111321185617,0.04096300069363005,0.0025788844641135766,0.12278120644246754,0.0028067913897386206,0.018081106017471055,0.0008942542277894558,0.36111815270653924,0.004398770359477093
pythia-160m,low,0.8031830029081778,0.0007756078738322781,0.011284212502460098,0.002008795416009962,0.08684975033942055,0.00190809180903065,0.006884643593827945,0.0005765593426975118,0.18993235349799434,0.0007906228574743426
pythia-160m,medium,0.8096447426593154,0.0012052025815606048,0.011515047431304442,0.0015046420316269468,0.08506838950825375,0.0030759503824995065,0.007224734900101267,0.000538129868294417,0.18313052244058334,0.0012479037420080922
pythia-160m,high,0.8055946990597868,0.0071232538799758955,0.011199719113185175,0.000496949986737567,0.08986384223913373,0.0034745076799375676,0.006435221062538503,0.00022075558317390413,0.1879700798776748,0.007343734363502762
pythia-160m,very_high,0.7856427747824274,0.0032650420763178875,0.013047743844542126,0.002375210462130832,0.09316341167881577,0.0018188261293659764,0.006761860525075338,0.00013201157390559424,0.20759536469249726,0.0031558031246187853
pythia-160m,control,0.8047732329622054,0.00703655414060108,0.013833324973201132,0.0010358502098851757,0.09184024778193307,0.0022376327759919606,0.006559568728646829,0.00011762096213130036,0.1886671983091478,0.007123594044913918
pythia-410m,low,0.8870374180657047,0.003782483672892753,0.004092272235731453,0.0008438513806143414,0.06911690576618022,0.0021541787118128657,0.002011460864849862,0.00023574142579377188,0.11095112106944545,0.0035705954745245735
pythia-410m,medium,0.8872553262023727,0.002745952117781292,0.0034090684428724556,0.00023426445224467745,0.06942410867242234,0.00036258683241058136,0.0015745051817289823,4.354159057942703e-05,0.11117016861589835,0.002777670998948595
pythia-410m,high,0.8847558500617144,0.006518293204119572,0.00415483888234919,0.00039307905816861945,0.07504377895943282,0.0009646142945948645,0.001447738892905705,0.00026960240122679725,0.11379641104537991,0.006614201563499367
pythia-410m,very_high,0.8847139991912526,0.004232521351091899,0.003814523299674329,0.0010982918088205636,0.08055001398913907,0.004056735214714886,0.0016263819636552386,0.00025474578375266874,0.1136596188450922,0.004196407399597509
pythia-410m,control,0.8907857743360826,0.00630923477345141,0.0037555776988172,0.00022140294952360971,0.07832184481792759,0.0007086480914977614,0.0015792087162772497,0.00015019011049032115,0.10763501694764004,0.006414969292385507
pythia-1b,low,0.792581906907528,0.011057103632899397,0.0048287044374163614,0.0006420323302658052,0.06860363625871464,0.004516469562039197,0.005510367695766735,0.0005436129738407074,0.20190772539670518,0.011407044072252579
pythia-1b,medium,0.7864043485180922,0.004199692200023556,0.007120456704738414,0.0005579147306855053,0.07232223338628942,0.0025362109480979375,0.0050195745481400765,0.0009071408809070814,0.20857607693376778,0.003483447835655514
pythia-1b,high,0.7908369490327525,0.01191058602050506,0.0052546884784847895,0.0009124934855354461,0.07237867675528938,0.0038832453620899795,0.007031922148031393,0.0007067813226233089,0.20213112881921605,0.01125205953235513
pythia-1b,very_high,0.7861952702784286,0.0037135900395812637,0.004737616190011523,0.000300747496791699,0.08086327505472594,0.00359195337916783,0.00788031930132148,0.0006134493252441073,0.20592441042024986,0.0031025504009509737
pythia-1b,control,0.8036830258422833,0.005566530852393151,0.005760743565034008,0.0013214923200419958,0.07655764817064939,0.006557116162067633,0.006141819481105944,0.0010107843069956013,0.1901751546766107,0.006099323407157855
pythia-1.4b,low,0.8523678227344988,0.006961307945381461,0.0037642296976013803,0.0001513416781311803,0.06770713328666612,0.00333930575702687,0.0023383144440095715,4.8083362464363225e-05,0.14529386282149162,0.006977038690247933
pythia-1.4b,medium,0.8416465925073965,0.012922679251527212,0.004793448311122924,0.0025143339363870396,0.06801052231936287,0.0004155263962489272,0.00201799357766523,0.0004393988690688726,0.15633541391493821,0.013320827178090447
pythia-1.4b,high,0.8468347759542509,0.0035793527420216998,0.0037128148031299285,5.382870346564077e-05,0.07319729494267388,0.0035962634646294358,0.002160524313602539,0.0009407885548057526,0.1510046997321465,0.004343614535010853
pythia-1.4b,very_high,0.8347701816072349,0.003814989410659002,0.005770088465411578,0.0003826643304838384,0.07587956432167435,0.004898463035753459,0.002630918400114894,0.00019421070185661493,0.1625988999926501,0.003772040806186288
pythia-1.4b,control,0.8429125650080277,0.003705935097281334,0.004619869819470446,0.0014416824239363037,0.07446866220128015,0.0002669869856956994,0.0026261856173153196,0.00045669256105324924,0.1544612493746569,0.0040727479855313525
