model,band,layer,edges_mean,edges_std,edge_fraction_mean
pythia-1.4b,control,0,8.666666666666666,2.0816659994661326,0.004005873623255389
pythia-1.4b,control,1,20.333333333333332,5.507570547286102,0.009455777719571474
pythia-1.4b,control,2,32.0,10.535653752852738,0.014727126963195851
pythia-1.4b,control,3,32.333333333333336,7.0945988845975885,0.014943971577881429
pythia-1.4b,control,4,51.333333333333336,8.736894948054106,0.023771280552567674
pythia-1.4b,control,5,78.0,8.54400374531753,0.036456661161232105
pythia-1.4b,control,6,76.0,4.358898943540674,0.03534382673447028
pythia-1.4b,control,7,108.66666666666667,6.658328118479392,0.050637360531553495
pythia-1.4b,control,8,111.66666666666667,14.364307617610162,0.05190126814813221
pythia-1.4b,control,9,90.66666666666667,18.33939293797189,0.042326299792617476
pythia-1.4b,control,10,210.33333333333334,14.224392195567917,0.09764767791279787
pythia-1.4b,control,11,132.33333333333334,26.274195198584742,0.061285155914401444
pythia-1.4b,control,12,164.66666666666666,18.583146486355137,0.07645997186559
pythia-1.4b,control,13,110.33333333333333,27.970222261064233,0.05099441458501495
pythia-1.4b,control,14,92.0,11.532562594670797,0.04267320264737041
pythia-1.4b,control,15,133.66666666666666,11.0151410945722,0.062044684131373186
pythia-1.4b,control,16,141.66666666666666,24.131583730317683,0.06551556068456624
pythia-1.4b,control,17,61.333333333333336,1.5275252316519468,0.028548018933884423
pythia-1.4b,control,18,71.66666666666667,14.97776129244065,0.03309115959572267
pythia-1.4b,control,19,35.0,15.716233645501712,0.016569310249805198
pythia-1.4b,control,20,55.0,13.0,0.025463186595812873
pythia-1.4b,control,21,31.333333333333332,0.5773502691896255,0.014580604298022243
pythia-1.4b,control,22,51.666666666666664,5.686240703077328,0.024157853209659737
pythia-1.4b,control,23,252.66666666666666,12.096831541082699,0.11739975257150137
pythia-1.4b,high,0,7.333333333333333,1.1547005383792517,0.003407284708415599
pythia-1.4b,high,1,15.0,1.0,0.0069571342302256235
pythia-1.4b,high,2,30.333333333333332,4.509249752822893,0.0140653123699062
pythia-1.4b,high,3,32.666666666666664,5.033222956847166,0.015165268403294569
pythia-1.4b,high,4,54.666666666666664,6.658328118479393,0.025379105365319028
