model,band,active_heads_mean,active_heads_std,total_heads,participation_rate_mean,participation_rate_std,mean_edges_per_head_mean,max_edges_per_head_mean
pythia-70m,low,40.0,1.0,48,0.8333333333333334,0.020833333333333273,5.334271419637273,21.0
pythia-70m,medium,40.666666666666664,1.1547005383792526,48,0.8472222222222223,0.0240562612162344,5.483333333333333,22.333333333333332
pythia-70m,high,41.333333333333336,0.5773502691896247,48,0.861111111111111,0.01202813060811724,5.869918699186992,23.666666666666668
pythia-70m,very_high,40.333333333333336,0.5773502691896263,48,0.8402777777777778,0.01202813060811716,6.074593495934959,23.0
pythia-70m,control,41.666666666666664,2.3094010767585034,48,0.8680555555555557,0.04811252243246885,5.948916716358577,22.0
pythia-160m,low,97.33333333333333,4.5092497528228925,144,0.6759259259259259,0.031314234394603485,8.48969398201582,38.666666666666664
pythia-160m,medium,99.33333333333333,2.309401076758502,144,0.6898148148148149,0.016037507477489565,8.624916633319994,42.0
pythia-160m,high,98.33333333333333,1.1547005383792495,144,0.6828703703703703,0.008018753738744758,7.986323718282481,39.666666666666664
pythia-160m,very_high,96.0,3.4641016151377544,144,0.6666666666666666,0.024056261216234456,7.66407867494824,38.666666666666664
pythia-160m,control,100.0,3.4641016151377544,144,0.6944444444444445,0.024056261216234394,7.541405023547881,41.333333333333336
pythia-410m,low,225.66666666666666,11.930353445448855,384,0.5876736111111112,0.031068628764189716,10.13760593005876,72.66666666666667
pythia-410m,medium,217.0,4.58257569495584,384,0.5651041666666666,0.011933790872280848,9.97883505571299,71.33333333333333
pythia-410m,high,206.33333333333334,8.386497083606086,384,0.5373263888888888,0.021839836155224175,9.344312996805485,64.66666666666667
pythia-410m,very_high,210.66666666666666,9.291573243177572,384,0.5486111111111112,0.024196805320774888,8.386071339263387,54.333333333333336
pythia-410m,control,213.0,8.888194417315589,384,0.5546875,0.023146339628425956,8.593707739684751,52.666666666666664
pythia-1b,low,81.66666666666667,4.041451884327382,128,0.6380208333333334,0.031573842846307675,7.350283796020231,35.0
pythia-1b,medium,80.33333333333333,5.507570547286102,128,0.6276041666666666,0.04302789490067267,7.191673126614987,37.333333333333336
pythia-1b,high,82.33333333333333,2.516611478423585,128,0.6432291666666666,0.019661027175184257,7.139066236250598,34.333333333333336
pythia-1b,very_high,77.33333333333333,5.773502691896256,128,0.6041666666666666,0.0451054897804395,6.614328614328614,30.0
pythia-1b,control,75.33333333333333,0.5773502691896278,128,0.5885416666666666,0.0045105489780439675,6.925263157894737,31.666666666666668
pythia-1.4b,low,183.0,1.7320508075688772,384,0.4765625,0.004510548978043955,8.680764280764281,50.0
pythia-1.4b,medium,177.33333333333334,8.32666399786453,384,0.4618055555555556,0.02168402082777223,8.747992868645042,50.666666666666664
pythia-1.4b,high,163.0,2.0,384,0.4244791666666667,0.0052083333333333565,8.214428782740333,41.666666666666664
pythia-1.4b,very_high,160.66666666666666,7.767453465154032,384,0.41840277777777773,0.020227743398838618,7.693137216042568,48.0
pythia-1.4b,control,164.66666666666666,9.609023536933046,384,0.4288194444444445,0.025023498794096495,7.984273728997656,45.666666666666664
