structural,functional,rho,p_value,n,significant,model,scope
total_edges,circuit_accuracy,0.7710196779964222,0.0007649000111218011,15,True,pythia-70m,within_model
total_edges,circuit_kl_div,0.2931189731668019,0.2890206376956199,15,False,pythia-70m,within_model
edge_fraction,retention_ratio,-0.5499999999999999,0.033655357815007024,15,True,pythia-160m,within_model
edge_fraction,circuit_accuracy,-0.7145525545926513,0.002759559545366925,15,True,pythia-160m,within_model
edge_fraction,circuit_kl_div,0.22499999999999998,0.42010468690763497,15,False,pythia-160m,within_model
skip_fraction,retention_ratio,-0.5,0.05769884126895998,15,False,pythia-160m,within_model
skip_fraction,circuit_accuracy,-0.42909060439106445,0.11048105179518068,15,False,pythia-160m,within_model
skip_fraction,circuit_kl_div,0.04285714285714285,0.8794603130258999,15,False,pythia-160m,within_model
head_participation_rate,retention_ratio,-0.2533910680905463,0.36216935333227224,15,False,pythia-160m,within_model
head_participation_rate,circuit_accuracy,-0.04369962683487132,0.8771071528675746,15,False,pythia-160m,within_model
head_participation_rate,circuit_kl_div,0.3551174092947802,0.19398580713527588,15,False,pythia-160m,within_model
attn_fraction,retention_ratio,-0.25,0.3688462917839305,15,False,pythia-160m,within_model
attn_fraction,circuit_accuracy,-0.45602097705159156,0.08755330076103987,15,False,pythia-160m,within_model
attn_fraction,circuit_kl_div,0.08214285714285713,0.7710285652881773,15,False,pythia-160m,within_model
total_edges,retention_ratio,-0.5499999999999999,0.033655357815007024,15,True,pythia-160m,within_model
total_edges,circuit_accuracy,-0.7145525545926513,0.002759559545366925,15,True,pythia-160m,within_model
total_edges,circuit_kl_div,0.22499999999999998,0.42010468690763497,15,False,pythia-160m,within_model
edge_fraction,retention_ratio,-0.29417336136701183,0.287208561033059,15,False,pythia-410m,within_model
edge_fraction,circuit_accuracy,-0.3013106145695718,0.27512024952495,15,False,pythia-410m,within_model
edge_fraction,circuit_kl_div,0.2071428571428571,0.4588428049634703,15,False,pythia-410m,within_model
skip_fraction,retention_ratio,0.03408106015837332,0.90402528025647,15,False,pythia-410m,within_model
skip_fraction,circuit_accuracy,-0.014520993473232378,0.9590365470425282,15,False,pythia-410m,within_model
skip_fraction,circuit_kl_div,-0.15714285714285714,0.5759526006037947,15,False,pythia-410m,within_model
head_participation_rate,retention_ratio,-0.2340234971387283,0.4011953060456523,15,False,pythia-410m,within_model
head_participation_rate,circuit_accuracy,-0.20220222944178648,0.4698614853429482,15,False,pythia-410m,within_model
head_participation_rate,circuit_kl_div,0.33333547447068407,0.22470656026695307,15,False,pythia-410m,within_model
attn_fraction,retention_ratio,-0.2654735212336448,0.33892700159114514,15,False,pythia-410m,within_model
attn_fraction,circuit_accuracy,-0.25593250996572064,0.35720928014091996,15,False,pythia-410m,within_model
attn_fraction,circuit_kl_div,0.05357142857142857,0.8496099367776072,15,False,pythia-410m,within_model
total_edges,retention_ratio,-0.29417336136701183,0.287208561033059,15,False,pythia-410m,within_model
