model,band,n_draws,total_edges_mean,total_edges_std,edge_fraction_mean,skip_fraction_mean,input_fraction_mean,local_fraction_mean,forward_fraction_mean,attn_fraction_mean,mlp_fraction_mean,resid_fraction_mean,head_participation_mean,active_heads_mean,mean_edges_per_head_mean
pythia-70m,low,3,389.0,8.18535277187245,0.2938066465256797,0.6237499507118568,0.0437147986347071,0.018852726121537534,0.3573973231666057,0.5483498103029669,0.3222247376171188,0.12942545207991432,0.8333333333333334,40.0,5.334271419637273
pythia-70m,medium,3,397.6666666666667,7.371114795831994,0.3003524672708963,0.628588353717742,0.045244998916196766,0.017606680384943153,0.35380496589731486,0.560670413953447,0.3119255471721644,0.1274040388743887,0.8472222222222223,40.666666666666664,5.483333333333333
pythia-70m,high,3,416.6666666666667,13.203534880225572,0.3147029204431017,0.6256412683349254,0.04558062551606382,0.018389702344553997,0.35596902932052066,0.5823530974623256,0.2935870883268801,0.12405981421079439,0.861111111111111,41.333333333333336,5.869918699186992
pythia-70m,very_high,3,419.3333333333333,4.041451884327381,0.3167170191339376,0.6128889341357103,0.04292792181349261,0.019079076361552268,0.36803198950273747,0.5842571226038037,0.2917288810461065,0.12401399635008974,0.8402777777777778,40.333333333333336,6.074593495934959
pythia-70m,control,3,423.6666666666667,12.662279942148386,0.3199899295065458,0.6208007412759897,0.04096300069363005,0.018081106017471055,0.3611181527065392,0.5844192526432307,0.2927995409143018,0.12278120644246754,0.8680555555555557,41.666666666666664,5.948916716358577
pythia-160m,low,3,1451.3333333333333,38.83726732577015,0.1265660881951106,0.8031830029081778,0.011284212502460098,0.006884643593827947,0.18993235349799434,0.5689348955224603,0.34421535413811916,0.08684975033942055,0.675925925925926,97.33333333333333,8.48969398201582
pythia-160m,medium,3,1478.0,33.60059523282288,0.12889160198831429,0.8096447426593154,0.011515047431304442,0.007224734900101267,0.18313052244058334,0.5790402381884655,0.33589137230328076,0.08506838950825375,0.6898148148148149,99.33333333333333,8.624916633319994
pythia-160m,high,3,1399.6666666666667,48.6860691916418,0.12206040522077848,0.8055946990597866,0.011199719113185175,0.006435221062538503,0.1879700798776748,0.560816044695355,0.3493201130655114,0.08986384223913373,0.6828703703703703,98.33333333333333,7.986323718282481
pythia-160m,very_high,3,1331.3333333333333,26.025628394590846,0.11610127612569403,0.7856427747824274,0.013047743844542126,0.006761860525075339,0.20759536469249726,0.5525174336830377,0.3543191546381465,0.09316341167881577,0.6666666666666666,96.0,7.66407867494824
pythia-160m,control,3,1372.3333333333333,24.419937209856485,0.1196767535827447,0.8047732329622054,0.013833324973201132,0.006559568728646829,0.1886671983091478,0.5494433622717761,0.3587163899462908,0.09184024778193307,0.6944444444444443,100.0,7.541405023547881
pythia-410m,low,3,3975.6666666666665,137.95047420481504,0.04933751959725824,0.8870374180657047,0.004092272235731453,0.002011460864849862,0.11095112106944545,0.5746989536324781,0.3561841406013417,0.06911690576618022,0.5876736111111112,225.66666666666666,10.13760593005876
pythia-410m,medium,3,3812.6666666666665,105.54777749120694,0.04731471025014169,0.8872553262023727,0.0034090684428724556,0.0015745051817289823,0.11117016861589835,0.5679723212692814,0.3626035700582963,0.06942410867242234,0.5651041666666666,217.0,9.97883505571299
pythia-410m,high,3,3447.3333333333335,59.197409853247244,0.04278096987296426,0.8847558500617144,0.00415483888234919,0.001447738892905705,0.11379641104537991,0.5586950015592173,0.3662612194813499,0.07504377895943282,0.5373263888888888,206.33333333333334,9.344312996805485
pythia-410m,very_high,3,3295.6666666666665,173.03275219834345,0.04089880575652656,0.8847139991912526,0.0038145232996743285,0.0016263819636552386,0.1136596188450922,0.5359183766926124,0.38353160931824837,0.08055001398913907,0.5486111111111112,210.66666666666666,8.386071339263387
pythia-410m,control,3,3374.6666666666665,54.3721742560782,0.041879185746846855,0.8907857743360826,0.0037555776988171994,0.0015792087162772499,0.10763501694764004,0.5417284552465559,0.3799496999355165,0.07832184481792759,0.5546875,213.0,8.593707739684751
pythia-1b,low,3,967.3333333333334,13.613718571108091,0.09664635161687814,0.792581906907528,0.004828704437416361,0.005510367695766735,0.20190772539670518,0.6191975085876206,0.3121988551536649,0.06860363625871464,0.6380208333333334,81.66666666666667,7.350283796020231
pythia-1b,medium,3,937.0,60.654760736483,0.09361574582875413,0.7864043485180922,0.007120456704738414,0.0050195745481400765,0.20857607693376778,0.6160428361678022,0.31163493044590845,0.07232223338628942,0.6276041666666666,80.33333333333333,7.191673126614987
pythia-1b,high,3,949.6666666666666,50.163067423487306,0.0948812735204982,0.7908369490327526,0.0052546884784847895,0.007031922148031393,0.20213112881921605,0.6187703570791054,0.3088509661656052,0.07237867675528938,0.6432291666666666,82.33333333333333,7.139066236250598
pythia-1b,very_high,3,846.6666666666666,55.77036249956901,0.08459053518500016,0.7861952702784286,0.004737616190011524,0.007880319301321478,0.20592441042024986,0.603971940763718,0.3151647841815562,0.08086327505472596,0.6041666666666666,77.33333333333333,6.614328614328614
pythia-1b,control,3,873.6666666666666,52.5959440768329,0.08728810737003363,0.8036830258422833,0.005760743565034008,0.006141819481105944,0.1901751546766107,0.5964960917678058,0.32694626006154476,0.0765576481706494,0.5885416666666666,75.33333333333333,6.9252631578947375
