model,band,total_edges_mean,total_edges_std,edge_fraction_mean,edge_fraction_std,n
pythia-70m,low,389.0,8.18535277187245,0.2938066465256797,0.006182290613196719,3
pythia-70m,medium,397.6666666666667,7.371114795831986,0.30035246727089626,0.005567307247607253,3
pythia-70m,high,416.6666666666667,13.203534880225567,0.3147029204431017,0.00997245836875042,3
pythia-70m,very_high,419.3333333333333,4.041451884327376,0.31671701913393757,0.0030524561059874543,3
pythia-70m,control,423.6666666666667,12.662279942148386,0.3199899295065458,0.0095636555454293,3
pythia-160m,low,1451.3333333333333,38.837267325770114,0.12656608819511062,0.003386872532115636,3
pythia-160m,medium,1478.0,33.60059523282288,0.12889160198831429,0.002930199287766891,3
pythia-160m,high,1399.6666666666667,48.68606919164181,0.12206040522077848,0.004245754704076197,3
pythia-160m,very_high,1331.3333333333333,26.025628394590846,0.11610127612569403,0.002269610917815551,3
pythia-160m,control,1372.3333333333333,24.419937209856453,0.1196767535827447,0.0021295837804008446,3
pythia-410m,low,3975.6666666666665,137.95047420481507,0.049337519597258246,0.0017119479058936363,3
pythia-410m,medium,3812.6666666666665,105.54777749120701,0.047314710250141674,0.00130983454525517,3
pythia-410m,high,3447.3333333333335,59.19740985324731,0.04278096987296426,0.000734632355682444,3
pythia-410m,very_high,3295.6666666666665,173.03275219834345,0.04089880575652656,0.0021473145307000863,3
pythia-410m,control,3374.6666666666665,54.37217425607821,0.041879185746846855,0.0006747517933021192,3
pythia-1b,low,967.3333333333334,13.61371857110808,0.09664635161687814,0.001360147724159067,3
pythia-1b,medium,937.0,60.654760736483,0.09361574582875413,0.006060022053799882,3
pythia-1b,high,949.6666666666666,50.163067423487306,0.0948812735204982,0.005011796125835477,3
pythia-1b,very_high,846.6666666666666,55.770362499568996,0.08459053518500016,0.005572021430669297,3
pythia-1b,control,873.6666666666666,52.59594407683289,0.08728810737003363,0.00525486502915705,3
pythia-1.4b,low,2566.6666666666665,52.21430199986722,0.03185200812433039,0.0006479728720153277,3
pythia-1.4b,medium,2485.0,57.16642371182581,0.030838535138556236,0.0007094280750031141,3
pythia-1.4b,high,2155.0,31.096623610932426,0.02674327695114233,0.00038590515891999996,3
pythia-1.4b,very_high,2024.3333333333333,84.00198410355162,0.025121720173903694,0.0010424539792699473,3
pythia-1.4b,control,2153.3333333333335,127.73540360187285,0.026722593828983676,0.0015851801740096629,3
