circuit_id,model,band,draw,threshold,total_edges,total_possible_edges,edge_fraction,n_skip,n_input,n_output,n_local,n_forward,skip_fraction,input_fraction,output_fraction,local_fraction,forward_fraction,comp_attn_in,comp_mlp_in,comp_resid_post,attn_fraction,mlp_fraction,resid_fraction,active_heads,total_heads,head_participation_rate,mean_edges_per_head,max_edges_per_head,frequency_rank
pythia_70m_low_draw_1,pythia-70m,low,draw_1,0.00158,380,1324,0.28700906344410876,235,17,50,7,138,0.618421052631579,0.04473684210526316,0.13157894736842105,0.018421052631578946,0.3631578947368421,207,123,50,0.5447368421052632,0.3236842105263158,0.13157894736842105,39,48,0.8125,5.3076923076923075,20,1.0
pythia_70m_low_draw_2,pythia-70m,low,draw_2,0.00158,396,1324,0.2990936555891239,249,17,50,7,140,0.6287878787878788,0.04292929292929293,0.12626262626262627,0.017676767676767676,0.35353535353535354,220,126,50,0.5555555555555556,0.3181818181818182,0.12626262626262627,40,48,0.8333333333333334,5.5,22,1.0
pythia_70m_low_draw_3,pythia-70m,low,draw_3,0.00158,391,1324,0.29531722054380666,244,17,51,8,139,0.6240409207161125,0.043478260869565216,0.13043478260869565,0.020460358056265986,0.3554987212276215,213,127,51,0.5447570332480819,0.3248081841432225,0.13043478260869565,41,48,0.8541666666666666,5.195121951219512,21,1.0
pythia_70m_medium_draw_1,pythia-70m,medium,draw_1,0.00158,395,1324,0.2983383685800604,248,18,50,7,140,0.6278481012658228,0.04556962025316456,0.12658227848101267,0.017721518987341773,0.35443037974683544,222,123,50,0.5620253164556962,0.31139240506329113,0.12658227848101267,40,48,0.8333333333333334,5.55,22,2.0
pythia_70m_medium_draw_2,pythia-70m,medium,draw_2,0.00158,392,1324,0.29607250755287007,244,17,50,7,141,0.6224489795918368,0.04336734693877551,0.12755102040816327,0.017857142857142856,0.3596938775510204,216,126,50,0.5510204081632653,0.32142857142857145,0.12755102040816327,40,48,0.8333333333333334,5.4,22,2.0
pythia_70m_medium_draw_3,pythia-70m,medium,draw_3,0.00158,406,1324,0.3066465256797583,258,19,52,7,141,0.6354679802955665,0.046798029556650245,0.12807881773399016,0.017241379310344827,0.3472906403940887,231,123,52,0.5689655172413793,0.30295566502463056,0.12807881773399016,42,48,0.875,5.5,23,2.0
pythia_70m_high_draw_1,pythia-70m,high,draw_1,0.00158,414,1324,0.31268882175226587,264,19,52,8,142,0.6376811594202898,0.04589371980676329,0.12560386473429952,0.01932367149758454,0.34299516908212563,241,121,52,0.5821256038647343,0.2922705314009662,0.12560386473429952,41,48,0.8541666666666666,5.878048780487805,24,3.0
pythia_70m_high_draw_2,pythia-70m,high,draw_2,0.00158,405,1324,0.30589123867069484,251,18,51,7,147,0.6197530864197531,0.044444444444444446,0.1259259259259259,0.01728395061728395,0.362962962962963,235,119,51,0.5802469135802469,0.2938271604938272,0.1259259259259259,41,48,0.8541666666666666,5.7317073170731705,24,3.0
pythia_70m_high_draw_3,pythia-70m,high,draw_3,0.00158,431,1324,0.3255287009063444,267,20,52,8,156,0.6194895591647331,0.04640371229698376,0.12064965197215777,0.018561484918793503,0.3619489559164733,252,127,52,0.5846867749419954,0.29466357308584684,0.12064965197215777,42,48,0.875,6.0,23,3.0
pythia_70m_very_high_draw_1,pythia-70m,very_high,draw_1,0.00158,424,1324,0.3202416918429003,259,18,52,8,157,0.6108490566037735,0.04245283018867924,0.12264150943396226,0.018867924528301886,0.37028301886792453,248,124,52,0.5849056603773585,0.29245283018867924,0.12264150943396226,41,48,0.8541666666666666,6.048780487804878,23,4.0
