model,band_1,band_2,mean_jaccard
pythia-70m,low,low,0.8107238209979694
pythia-70m,low,medium,0.7908898427646808
pythia-70m,low,high,0.7705300400699934
pythia-70m,low,very_high,0.7247772875465567
pythia-70m,low,control,0.7267666640558113
pythia-70m,medium,low,0.7908898427646808
pythia-70m,medium,medium,0.7847873838888136
pythia-70m,medium,high,0.7787542848011844
pythia-70m,medium,very_high,0.7408322967037687
pythia-70m,medium,control,0.7398682300719115
pythia-70m,high,low,0.7705300400699934
pythia-70m,high,medium,0.7787542848011844
pythia-70m,high,high,0.800111095422363
pythia-70m,high,very_high,0.78721477415854
pythia-70m,high,control,0.7774932826809255
pythia-70m,very_high,low,0.7247772875465567
pythia-70m,very_high,medium,0.7408322967037687
pythia-70m,very_high,high,0.78721477415854
pythia-70m,very_high,very_high,0.8103082293141659
pythia-70m,very_high,control,0.7886704625731809
pythia-70m,control,low,0.7267666640558113
pythia-70m,control,medium,0.7398682300719115
pythia-70m,control,high,0.7774932826809255
pythia-70m,control,very_high,0.7886704625731809
pythia-70m,control,control,0.7690148947453367
pythia-160m,low,low,0.6155465515305251
pythia-160m,low,medium,0.5983940338711782
pythia-160m,low,high,0.5619140401543781
pythia-160m,low,very_high,0.5272835171852304
pythia-160m,low,control,0.5590635483209955
pythia-160m,medium,low,0.5983940338711782
pythia-160m,medium,medium,0.5862599565630698
pythia-160m,medium,high,0.5658494651337441
pythia-160m,medium,very_high,0.5313387780897139
pythia-160m,medium,control,0.5533401069311022
pythia-160m,high,low,0.5619140401543781
pythia-160m,high,medium,0.5658494651337441
pythia-160m,high,high,0.5791333623325438
pythia-160m,high,very_high,0.5482667599989334
pythia-160m,high,control,0.5543742527731204
pythia-160m,very_high,low,0.5272835171852304
pythia-160m,very_high,medium,0.5313387780897139
pythia-160m,very_high,high,0.5482667599989334
pythia-160m,very_high,very_high,0.5750888535083064
pythia-160m,very_high,control,0.5682932348747672
pythia-160m,control,low,0.5590635483209955
pythia-160m,control,medium,0.5533401069311022
pythia-160m,control,high,0.5543742527731204
pythia-160m,control,very_high,0.5682932348747672
pythia-160m,control,control,0.5893693054324097
pythia-410m,low,low,0.4644602894250404
pythia-410m,low,medium,0.443103131489443
pythia-410m,low,high,0.42707511948735
pythia-410m,low,very_high,0.40744991313901374
pythia-410m,low,control,0.4228547071319675
pythia-410m,medium,low,0.443103131489443
pythia-410m,medium,medium,0.4488045982260216
pythia-410m,medium,high,0.44199538200975214
pythia-410m,medium,very_high,0.4182158695769586
pythia-410m,medium,control,0.431964803286541
pythia-410m,high,low,0.42707511948735005
pythia-410m,high,medium,0.441995382009752
pythia-410m,high,high,0.44009125031584834
pythia-410m,high,very_high,0.4343438909801391
pythia-410m,high,control,0.4358867505427181
pythia-410m,very_high,low,0.40744991313901374
pythia-410m,very_high,medium,0.4182158695769586
pythia-410m,very_high,high,0.4343438909801391
pythia-410m,very_high,very_high,0.4396990424273657
pythia-410m,very_high,control,0.4409720781080006
pythia-410m,control,low,0.4228547071319675
pythia-410m,control,medium,0.431964803286541
pythia-410m,control,high,0.4358867505427181
pythia-410m,control,very_high,0.4409720781080006
pythia-410m,control,control,0.43833259816245723
pythia-1b,low,low,0.49872566843092514
pythia-1b,low,medium,0.4734953655373784
pythia-1b,low,high,0.46240513857915055
pythia-1b,low,very_high,0.44251891045230884
pythia-1b,low,control,0.46467448672445383
pythia-1b,medium,low,0.4734953655373784
pythia-1b,medium,medium,0.4690160496185789
pythia-1b,medium,high,0.4619290206761659
pythia-1b,medium,very_high,0.45578513694206446
pythia-1b,medium,control,0.4598281488112861
pythia-1b,high,low,0.46240513857915055
pythia-1b,high,medium,0.4619290206761659
pythia-1b,high,high,0.4493771484166458
pythia-1b,high,very_high,0.46180059154152214
pythia-1b,high,control,0.47953501392841624
pythia-1b,very_high,low,0.44251891045230884
pythia-1b,very_high,medium,0.45578513694206446
pythia-1b,very_high,high,0.46180059154152203
pythia-1b,very_high,very_high,0.48855069856155486
pythia-1b,very_high,control,0.48933290770470705
pythia-1b,control,low,0.46467448672445383
pythia-1b,control,medium,0.4598281488112861
pythia-1b,control,high,0.47953501392841624
pythia-1b,control,very_high,0.48933290770470705
pythia-1b,control,control,0.483973851119982
pythia-1.4b,low,low,0.41428093608930533
pythia-1.4b,low,medium,0.3870060898291624
pythia-1.4b,low,high,0.36712160019588513
pythia-1.4b,low,very_high,0.3355441142407593
pythia-1.4b,low,control,0.35815590209079307
pythia-1.4b,medium,low,0.38700608982916235
pythia-1.4b,medium,medium,0.39106881435279156
pythia-1.4b,medium,high,0.3772047709527488
pythia-1.4b,medium,very_high,0.3474913735811647
pythia-1.4b,medium,control,0.36617241710798987
pythia-1.4b,high,low,0.36712160019588513
pythia-1.4b,high,medium,0.3772047709527488
pythia-1.4b,high,high,0.3898646761156335
pythia-1.4b,high,very_high,0.368115775811517
pythia-1.4b,high,control,0.37992736139035177
pythia-1.4b,very_high,low,0.3355441142407592
pythia-1.4b,very_high,medium,0.3474913735811647
pythia-1.4b,very_high,high,0.36811577581151705
pythia-1.4b,very_high,very_high,0.35734898660741865
pythia-1.4b,very_high,control,0.37416388348063356
pythia-1.4b,control,low,0.358155902090793
pythia-1.4b,control,medium,0.36617241710798987
pythia-1.4b,control,high,0.37992736139035177
pythia-1.4b,control,very_high,0.3741638834806337
pythia-1.4b,control,control,0.3713285698375401
