model,draw,source_band,target_band,containment,source_size,target_size,intersection
pythia-70m,draw_3,very_high,low,0.8670076726342711,417,391,339
pythia-70m,draw_3,very_high,medium,0.874384236453202,417,406,355
pythia-70m,draw_3,very_high,high,0.8607888631090487,417,431,371
pythia-70m,draw_3,very_high,control,0.863849765258216,417,426,368
pythia-70m,draw_3,control,low,0.8823529411764706,426,391,345
pythia-70m,draw_3,control,medium,0.8842364532019704,426,406,359
pythia-70m,draw_3,control,high,0.8677494199535963,426,431,374
pythia-70m,draw_3,control,very_high,0.882494004796163,426,417,368
pythia-160m,draw_1,low,medium,0.7489626556016598,1463,1446,1083
pythia-160m,draw_1,low,high,0.7382352941176471,1463,1360,1004
pythia-160m,draw_1,low,very_high,0.7083946980854198,1463,1358,962
pythia-160m,draw_1,low,control,0.7464080459770115,1463,1392,1039
pythia-160m,draw_1,medium,low,0.7402597402597403,1446,1463,1083
pythia-160m,draw_1,medium,high,0.7463235294117647,1446,1360,1015
pythia-160m,draw_1,medium,very_high,0.7312223858615611,1446,1358,993
pythia-160m,draw_1,medium,control,0.7306034482758621,1446,1392,1017
pythia-160m,draw_1,high,low,0.6862611073137389,1360,1463,1004
pythia-160m,draw_1,high,medium,0.7019363762102351,1360,1446,1015
pythia-160m,draw_1,high,very_high,0.7128129602356407,1360,1358,968
pythia-160m,draw_1,high,control,0.7083333333333334,1360,1392,986
pythia-160m,draw_1,very_high,low,0.657552973342447,1358,1463,962
pythia-160m,draw_1,very_high,medium,0.6867219917012448,1358,1446,993
pythia-160m,draw_1,very_high,high,0.711764705882353,1358,1360,968
pythia-160m,draw_1,very_high,control,0.7119252873563219,1358,1392,991
pythia-160m,draw_1,control,low,0.7101845522898155,1392,1463,1039
pythia-160m,draw_1,control,medium,0.7033195020746889,1392,1446,1017
pythia-160m,draw_1,control,high,0.725,1392,1360,986
pythia-160m,draw_1,control,very_high,0.7297496318114874,1392,1358,991
pythia-160m,draw_2,low,medium,0.7541308658294779,1483,1513,1141
pythia-160m,draw_2,low,high,0.7070151306740028,1483,1454,1028
pythia-160m,draw_2,low,very_high,0.7297090352220521,1483,1306,953
pythia-160m,draw_2,low,control,0.7528985507246376,1483,1380,1039
pythia-160m,draw_2,medium,low,0.7693863789615644,1513,1483,1141
pythia-160m,draw_2,medium,high,0.7221458046767538,1513,1454,1050
pythia-160m,draw_2,medium,very_high,0.7442572741194488,1513,1306,972
pythia-160m,draw_2,medium,control,0.7630434782608696,1513,1380,1053
pythia-160m,draw_2,high,low,0.6931894807821982,1454,1483,1028
pythia-160m,draw_2,high,medium,0.6939854593522803,1454,1513,1050
pythia-160m,draw_2,high,very_high,0.7572741194486983,1454,1306,989
pythia-160m,draw_2,high,control,0.722463768115942,1454,1380,997
pythia-160m,draw_2,very_high,low,0.6426163182737694,1306,1483,953
pythia-160m,draw_2,very_high,medium,0.6424322538003966,1306,1513,972
pythia-160m,draw_2,very_high,high,0.6801925722145805,1306,1454,989
pythia-160m,draw_2,very_high,control,0.7014492753623188,1306,1380,968
pythia-160m,draw_2,control,low,0.7006068779501011,1380,1483,1039
pythia-160m,draw_2,control,medium,0.6959682749504296,1380,1513,1053
pythia-160m,draw_2,control,high,0.6856946354883081,1380,1454,997
pythia-160m,draw_2,control,very_high,0.7411944869831547,1380,1306,968
pythia-160m,draw_3,low,medium,0.7708474576271186,1408,1475,1137
pythia-160m,draw_3,low,high,0.7667870036101083,1408,1385,1062
pythia-160m,draw_3,low,very_high,0.724812030075188,1408,1330,964
pythia-160m,draw_3,low,control,0.7315985130111524,1408,1345,984
pythia-160m,draw_3,medium,low,0.8075284090909091,1475,1408,1137
pythia-160m,draw_3,medium,high,0.7884476534296029,1475,1385,1092
pythia-160m,draw_3,medium,very_high,0.7368421052631579,1475,1330,980
pythia-160m,draw_3,medium,control,0.7427509293680298,1475,1345,999
pythia-160m,draw_3,high,low,0.7542613636363636,1385,1408,1062
pythia-160m,draw_3,high,medium,0.7403389830508474,1385,1475,1092
pythia-160m,draw_3,high,very_high,0.7240601503759398,1385,1330,963
pythia-160m,draw_3,high,control,0.7278810408921933,1385,1345,979
pythia-160m,draw_3,very_high,low,0.6846590909090909,1330,1408,964
pythia-160m,draw_3,very_high,medium,0.6644067796610169,1330,1475,980
pythia-160m,draw_3,very_high,high,0.6953068592057762,1330,1385,963
pythia-160m,draw_3,very_high,control,0.7234200743494423,1330,1345,973
pythia-160m,draw_3,control,low,0.6988636363636364,1345,1408,984
pythia-160m,draw_3,control,medium,0.6772881355932203,1345,1475,999
pythia-160m,draw_3,control,high,0.7068592057761733,1345,1385,979
pythia-160m,draw_3,control,very_high,0.7315789473684211,1345,1330,973
pythia-410m,draw_1,low,medium,0.617484904174324,3957,3809,2352
pythia-410m,draw_1,low,high,0.639367816091954,3957,3480,2225
pythia-410m,draw_1,low,very_high,0.660811242414564,3957,3131,2069
pythia-410m,draw_1,low,control,0.6233576642335766,3957,3425,2135
pythia-410m,draw_1,medium,low,0.5943896891584534,3809,3957,2352
pythia-410m,draw_1,medium,high,0.6370689655172413,3809,3480,2217
pythia-410m,draw_1,medium,very_high,0.6505908655381667,3809,3131,2037
pythia-410m,draw_1,medium,control,0.6805839416058395,3809,3425,2331
pythia-410m,draw_1,high,low,0.5622946676775334,3480,3957,2225
pythia-410m,draw_1,high,medium,0.5820425308479916,3480,3809,2217
pythia-410m,draw_1,high,very_high,0.6282337911210476,3480,3131,1967
pythia-410m,draw_1,high,control,0.6113868613138687,3480,3425,2094
pythia-410m,draw_1,very_high,low,0.5228708617639626,3131,3957,2069
pythia-410m,draw_1,very_high,medium,0.5347860330795484,3131,3809,2037
pythia-410m,draw_1,very_high,high,0.5652298850574713,3131,3480,1967
pythia-410m,draw_1,very_high,control,0.5737226277372263,3131,3425,1965
pythia-410m,draw_1,control,low,0.539550164265858,3425,3957,2135
pythia-410m,draw_1,control,medium,0.6119716461013389,3425,3809,2331
pythia-410m,draw_1,control,high,0.6017241379310345,3425,3480,2094
pythia-410m,draw_1,control,very_high,0.6275950175662728,3425,3131,1965
pythia-410m,draw_2,low,medium,0.6298193583176058,3848,3709,2336
pythia-410m,draw_2,low,high,0.6393913293138099,3848,3483,2227
pythia-410m,draw_2,low,very_high,0.6081703107019563,3848,3476,2114
pythia-410m,draw_2,low,control,0.6427494724148327,3848,3317,2132
pythia-410m,draw_2,medium,low,0.6070686070686071,3709,3848,2336
pythia-410m,draw_2,medium,high,0.630778064886592,3709,3483,2197
pythia-410m,draw_2,medium,very_high,0.6162255466052935,3709,3476,2142
pythia-410m,draw_2,medium,control,0.6270726560144709,3709,3317,2080
pythia-410m,draw_2,high,low,0.5787422037422038,3483,3848,2227
pythia-410m,draw_2,high,medium,0.5923429495820977,3483,3709,2197
pythia-410m,draw_2,high,very_high,0.5983889528193326,3483,3476,2080
pythia-410m,draw_2,high,control,0.6270726560144709,3483,3317,2080
pythia-410m,draw_2,very_high,low,0.5493762993762994,3476,3848,2114
pythia-410m,draw_2,very_high,medium,0.577514154758695,3476,3709,2142
pythia-410m,draw_2,very_high,high,0.5971863336204422,3476,3483,2080
pythia-410m,draw_2,very_high,control,0.6297859511606874,3476,3317,2089
pythia-410m,draw_2,control,low,0.5540540540540541,3317,3848,2132
pythia-410m,draw_2,control,medium,0.5607980587759503,3317,3709,2080
pythia-410m,draw_2,control,high,0.5971863336204422,3317,3483,2080
pythia-410m,draw_2,control,very_high,0.6009781357882624,3317,3476,2089
pythia-410m,draw_3,low,medium,0.6331632653061224,4122,3920,2482
pythia-410m,draw_3,low,high,0.6602545131695768,4122,3379,2231
pythia-410m,draw_3,low,very_high,0.6567073170731708,4122,3280,2154
pythia-410m,draw_3,low,control,0.7043169722057954,4122,3382,2382
pythia-410m,draw_3,medium,low,0.6021348859776807,3920,4122,2482
pythia-410m,draw_3,medium,high,0.6720923350103581,3920,3379,2271
pythia-410m,draw_3,medium,very_high,0.650609756097561,3920,3280,2134
pythia-410m,draw_3,medium,control,0.6549379065641632,3920,3382,2215
pythia-410m,draw_3,high,low,0.5412421154779233,3379,4122,2231
pythia-410m,draw_3,high,medium,0.5793367346938776,3379,3920,2271
pythia-410m,draw_3,high,very_high,0.6051829268292683,3379,3280,1985
pythia-410m,draw_3,high,control,0.6132465996451804,3379,3382,2074
pythia-410m,draw_3,very_high,low,0.5225618631732168,3280,4122,2154
pythia-410m,draw_3,very_high,medium,0.5443877551020408,3280,3920,2134
pythia-410m,draw_3,very_high,high,0.5874519088487719,3280,3379,1985
pythia-410m,draw_3,very_high,control,0.5999408633944412,3280,3382,2029
pythia-410m,draw_3,control,low,0.5778748180494906,3382,4122,2382
pythia-410m,draw_3,control,medium,0.5650510204081632,3382,3920,2215
pythia-410m,draw_3,control,high,0.6137910624445102,3382,3379,2074
pythia-410m,draw_3,control,very_high,0.6185975609756098,3382,3280,2029
pythia-1b,draw_1,low,medium,0.6637168141592921,972,904,600
pythia-1b,draw_1,low,high,0.6137724550898204,972,1002,615
pythia-1b,draw_1,low,very_high,0.6658506731946144,972,817,544
pythia-1b,draw_1,low,control,0.6605603448275862,972,928,613
pythia-1b,draw_1,medium,low,0.6172839506172839,904,972,600
pythia-1b,draw_1,medium,high,0.591816367265469,904,1002,593
pythia-1b,draw_1,medium,very_high,0.6988984088127295,904,817,571
pythia-1b,draw_1,medium,control,0.6099137931034483,904,928,566
pythia-1b,draw_1,high,low,0.6327160493827161,1002,972,615
pythia-1b,draw_1,high,medium,0.6559734513274337,1002,904,593
pythia-1b,draw_1,high,very_high,0.6866585067319462,1002,817,561
pythia-1b,draw_1,high,control,0.6508620689655172,1002,928,604
pythia-1b,draw_1,very_high,low,0.5596707818930041,817,972,544
pythia-1b,draw_1,very_high,medium,0.6316371681415929,817,904,571
pythia-1b,draw_1,very_high,high,0.5598802395209581,817,1002,561
pythia-1b,draw_1,very_high,control,0.6002155172413793,817,928,557
pythia-1b,draw_1,control,low,0.6306584362139918,928,972,613
pythia-1b,draw_1,control,medium,0.6261061946902655,928,904,566
pythia-1b,draw_1,control,high,0.6027944111776448,928,1002,604
pythia-1b,draw_1,control,very_high,0.6817625458996328,928,817,557
pythia-1b,draw_2,low,medium,0.6395233366434955,952,1007,644
pythia-1b,draw_2,low,high,0.6929046563192904,952,902,625
pythia-1b,draw_2,low,very_high,0.6399560922063666,952,911,583
pythia-1b,draw_2,low,control,0.6719319562575942,952,823,553
pythia-1b,draw_2,medium,low,0.6764705882352942,1007,952,644
pythia-1b,draw_2,medium,high,0.6507760532150776,1007,902,587
pythia-1b,draw_2,medium,very_high,0.6421514818880352,1007,911,585
pythia-1b,draw_2,medium,control,0.6986634264884569,1007,823,575
pythia-1b,draw_2,high,low,0.6565126050420168,902,952,625
pythia-1b,draw_2,high,medium,0.5829195630585898,902,1007,587
pythia-1b,draw_2,high,very_high,0.6553238199780461,902,911,597
pythia-1b,draw_2,high,control,0.6707168894289186,902,823,552
pythia-1b,draw_2,very_high,low,0.6123949579831933,911,952,583
pythia-1b,draw_2,very_high,medium,0.5809334657398213,911,1007,585
pythia-1b,draw_2,very_high,high,0.6618625277161863,911,902,597
pythia-1b,draw_2,very_high,control,0.6719319562575942,911,823,553
pythia-1b,draw_2,control,low,0.5808823529411765,823,952,553
pythia-1b,draw_2,control,medium,0.5710029791459782,823,1007,575
pythia-1b,draw_2,control,high,0.6119733924611973,823,902,552
pythia-1b,draw_2,control,very_high,0.6070252469813392,823,911,553
pythia-1b,draw_3,low,medium,0.6566666666666666,978,900,591
pythia-1b,draw_3,low,high,0.6391534391534391,978,945,604
pythia-1b,draw_3,low,very_high,0.6588669950738916,978,812,535
pythia-1b,draw_3,low,control,0.6873563218390805,978,870,598
pythia-1b,draw_3,medium,low,0.6042944785276073,900,978,591
pythia-1b,draw_3,medium,high,0.6031746031746031,900,945,570
pythia-1b,draw_3,medium,very_high,0.7007389162561576,900,812,569
pythia-1b,draw_3,medium,control,0.6586206896551724,900,870,573
pythia-1b,draw_3,high,low,0.6175869120654397,945,978,604
pythia-1b,draw_3,high,medium,0.6333333333333333,945,900,570
pythia-1b,draw_3,high,very_high,0.6650246305418719,945,812,540
pythia-1b,draw_3,high,control,0.7206896551724138,945,870,627
pythia-1b,draw_3,very_high,low,0.5470347648261759,812,978,535
pythia-1b,draw_3,very_high,medium,0.6322222222222222,812,900,569
pythia-1b,draw_3,very_high,high,0.5714285714285714,812,945,540
pythia-1b,draw_3,very_high,control,0.6229885057471264,812,870,542
pythia-1b,draw_3,control,low,0.6114519427402862,870,978,598
pythia-1b,draw_3,control,medium,0.6366666666666667,870,900,573
pythia-1b,draw_3,control,high,0.6634920634920635,870,945,627
pythia-1b,draw_3,control,very_high,0.6674876847290641,870,812,542
pythia-1.4b,draw_1,low,medium,0.5346922775382204,2507,2551,1364
pythia-1.4b,draw_1,low,high,0.5749306197964847,2507,2162,1243
pythia-1.4b,draw_1,low,very_high,0.5690721649484536,2507,1940,1104
pythia-1.4b,draw_1,low,control,0.5942678011643528,2507,2233,1327
pythia-1.4b,draw_1,medium,low,0.5440765855604308,2551,2507,1364
pythia-1.4b,draw_1,medium,high,0.5790934320074006,2551,2162,1252
pythia-1.4b,draw_1,medium,very_high,0.5804123711340207,2551,1940,1126
pythia-1.4b,draw_1,medium,control,0.5647111509180475,2551,2233,1261
pythia-1.4b,draw_1,high,low,0.49581172716394095,2162,2507,1243
pythia-1.4b,draw_1,high,medium,0.49078792630341045,2162,2551,1252
pythia-1.4b,draw_1,high,very_high,0.615979381443299,2162,1940,1195
pythia-1.4b,draw_1,high,control,0.5311240483654277,2162,2233,1186
pythia-1.4b,draw_1,very_high,low,0.44036697247706424,1940,2507,1104
pythia-1.4b,draw_1,very_high,medium,0.4413955311642493,1940,2551,1126
pythia-1.4b,draw_1,very_high,high,0.5527289546716003,1940,2162,1195
pythia-1.4b,draw_1,very_high,control,0.4993282579489476,1940,2233,1115
pythia-1.4b,draw_1,control,low,0.5293179098524132,2233,2507,1327
pythia-1.4b,draw_1,control,medium,0.4943159545276362,2233,2551,1261
pythia-1.4b,draw_1,control,high,0.5485661424606846,2233,2162,1186
pythia-1.4b,draw_1,control,very_high,0.5747422680412371,2233,1940,1115
pythia-1.4b,draw_2,low,medium,0.5618115055079559,2589,2451,1377
pythia-1.4b,draw_2,low,high,0.5687442713107241,2589,2182,1241
pythia-1.4b,draw_2,low,very_high,0.5990123456790123,2589,2025,1213
pythia-1.4b,draw_2,low,control,0.5605583070688879,2589,2221,1245
pythia-1.4b,draw_2,medium,low,0.5318655851680185,2451,2589,1377
pythia-1.4b,draw_2,medium,high,0.5802016498625114,2451,2182,1266
pythia-1.4b,draw_2,medium,very_high,0.5565432098765432,2451,2025,1127
pythia-1.4b,draw_2,medium,control,0.5839711841512832,2451,2221,1297
pythia-1.4b,draw_2,high,low,0.47933565083043644,2182,2589,1241
pythia-1.4b,draw_2,high,medium,0.5165238678090576,2182,2451,1266
pythia-1.4b,draw_2,high,very_high,0.528395061728395,2182,2025,1070
pythia-1.4b,draw_2,high,control,0.520036019810896,2182,2221,1155
pythia-1.4b,draw_2,very_high,low,0.46852066434916956,2025,2589,1213
pythia-1.4b,draw_2,very_high,medium,0.459812321501428,2025,2451,1127
pythia-1.4b,draw_2,very_high,high,0.4903758020164986,2025,2182,1070
pythia-1.4b,draw_2,very_high,control,0.494822152183701,2025,2221,1099
pythia-1.4b,draw_2,control,low,0.48088064889918886,2221,2589,1245
pythia-1.4b,draw_2,control,medium,0.529171766625867,2221,2451,1297
pythia-1.4b,draw_2,control,high,0.5293308890925756,2221,2182,1155
pythia-1.4b,draw_2,control,very_high,0.542716049382716,2221,2025,1099
pythia-1.4b,draw_3,low,medium,0.5776600081532817,2604,2453,1417
pythia-1.4b,draw_3,low,high,0.5851013672795851,2604,2121,1241
pythia-1.4b,draw_3,low,very_high,0.5740037950664136,2604,2108,1210
pythia-1.4b,draw_3,low,control,0.5872382851445663,2604,2006,1178
pythia-1.4b,draw_3,medium,low,0.544162826420891,2453,2604,1417
pythia-1.4b,draw_3,medium,high,0.5926449787835927,2453,2121,1257
pythia-1.4b,draw_3,medium,very_high,0.5531309297912713,2453,2108,1166
pythia-1.4b,draw_3,medium,control,0.6216350947158524,2453,2006,1247
pythia-1.4b,draw_3,high,low,0.47657450076804914,2121,2604,1241
pythia-1.4b,draw_3,high,medium,0.512433754586221,2121,2453,1257
pythia-1.4b,draw_3,high,very_high,0.5227703984819735,2121,2108,1102
pythia-1.4b,draw_3,high,control,0.540877367896311,2121,2006,1085
pythia-1.4b,draw_3,very_high,low,0.4646697388632873,2108,2604,1210
pythia-1.4b,draw_3,very_high,medium,0.47533632286995514,2108,2453,1166
pythia-1.4b,draw_3,very_high,high,0.5195662423385196,2108,2121,1102
pythia-1.4b,draw_3,very_high,control,0.5483549351944168,2108,2006,1100
pythia-1.4b,draw_3,control,low,0.4523809523809524,2006,2604,1178
pythia-1.4b,draw_3,control,medium,0.5083571137382796,2006,2453,1247
pythia-1.4b,draw_3,control,high,0.5115511551155115,2006,2121,1085
pythia-1.4b,draw_3,control,very_high,0.5218216318785579,2006,2108,1100
