model,draw,n_universal,mean_circuit_edges,universal_fraction
pythia-70m,draw_1,297,409.6,0.72509765625
pythia-70m,draw_2,297,404.0,0.7351485148514851
pythia-70m,draw_3,311,414.2,0.7508450024142926
pythia-70m,across_all,268,409.26666666666665,0.6548297768366184
pythia-160m,draw_1,694,1403.8,0.4943724177233224
pythia-160m,draw_2,723,1427.2,0.5065863228699551
pythia-160m,draw_3,723,1388.6,0.5206682990061933
pythia-160m,across_all,531,1406.5333333333333,0.3775239359180965
pythia-410m,draw_1,1283,3560.4,0.3603527693517582
pythia-410m,draw_2,1301,3566.6,0.36477317333034265
pythia-410m,draw_3,1324,3616.6,0.36608969750594483
pythia-410m,across_all,872,3581.2,0.24349380096057188
pythia-1b,draw_1,348,924.6,0.37637897469175857
pythia-1b,draw_2,356,919.0,0.38737758433079433
pythia-1b,draw_3,364,901.0,0.4039955604883463
pythia-1b,across_all,223,914.8666666666667,0.24375136631931793
pythia-1.4b,draw_1,625,2278.6,0.2742912314579128
pythia-1.4b,draw_2,616,2293.6,0.26857342169515175
pythia-1.4b,draw_3,619,2258.4,0.2740878498051718
pythia-1.4b,across_all,350,2276.866666666667,0.15372002459520392
