model,band,draw,total_edges,embed_to_attn_count,embed_to_attn_frac,embed_to_mlp_count,embed_to_mlp_frac,embed_to_resid_count,embed_to_resid_frac,attn_to_attn_count,attn_to_attn_frac,attn_to_mlp_count,attn_to_mlp_frac,attn_to_resid_count,attn_to_resid_frac,mlp_to_attn_count,mlp_to_attn_frac,mlp_to_mlp_count,mlp_to_mlp_frac,mlp_to_resid_count,mlp_to_resid_frac
pythia-70m,low,draw_1,380,10,0.02631578947368421,6,0.015789473684210527,1,0.002631578947368421,118,0.3105263157894737,102,0.26842105263157895,43,0.11315789473684211,79,0.20789473684210527,15,0.039473684210526314,6,0.015789473684210527
pythia-70m,low,draw_2,396,10,0.025252525252525252,6,0.015151515151515152,1,0.0025252525252525255,129,0.32575757575757575,105,0.26515151515151514,43,0.10858585858585859,81,0.20454545454545456,15,0.03787878787878788,6,0.015151515151515152
pythia-70m,low,draw_3,391,11,0.028132992327365727,5,0.01278772378516624,1,0.0025575447570332483,124,0.3171355498721228,107,0.27365728900255754,44,0.11253196930946291,78,0.19948849104859334,15,0.03836317135549872,6,0.015345268542199489
pythia-70m,medium,draw_1,395,11,0.027848101265822784,6,0.015189873417721518,1,0.002531645569620253,138,0.3493670886075949,102,0.2582278481012658,43,0.10886075949367088,73,0.1848101265822785,15,0.0379746835443038,6,0.015189873417721518
pythia-70m,medium,draw_2,392,10,0.025510204081632654,6,0.015306122448979591,1,0.002551020408163265,130,0.33163265306122447,105,0.26785714285714285,43,0.1096938775510204,76,0.19387755102040816,15,0.03826530612244898,6,0.015306122448979591
pythia-70m,medium,draw_3,406,12,0.029556650246305417,6,0.014778325123152709,1,0.0024630541871921183,143,0.3522167487684729,102,0.2512315270935961,45,0.11083743842364532,76,0.18719211822660098,15,0.03694581280788178,6,0.014778325123152709
pythia-70m,high,draw_1,414,13,0.03140096618357488,5,0.012077294685990338,1,0.0024154589371980675,146,0.3526570048309179,101,0.24396135265700483,45,0.10869565217391304,82,0.19806763285024154,15,0.036231884057971016,6,0.014492753623188406
pythia-70m,high,draw_2,405,12,0.02962962962962963,5,0.012345679012345678,1,0.0024691358024691358,153,0.37777777777777777,99,0.24444444444444444,44,0.10864197530864197,70,0.1728395061728395,15,0.037037037037037035,6,0.014814814814814815
pythia-70m,high,draw_3,431,13,0.030162412993039442,6,0.013921113689095127,1,0.002320185614849188,156,0.3619489559164733,106,0.2459396751740139,45,0.10440835266821345,83,0.1925754060324826,15,0.03480278422273782,6,0.013921113689095127
pythia-70m,very_high,draw_1,424,11,0.025943396226415096,6,0.014150943396226415,1,0.0023584905660377358,163,0.38443396226415094,103,0.2429245283018868,45,0.10613207547169812,74,0.17452830188679244,15,0.03537735849056604,6,0.014150943396226415
pythia-70m,very_high,draw_2,417,12,0.02877697841726619,5,0.011990407673860911,1,0.002398081534772182,158,0.37889688249400477,100,0.23980815347721823,45,0.1079136690647482,75,0.17985611510791366,15,0.03597122302158273,6,0.014388489208633094
pythia-70m,very_high,draw_3,417,12,0.02877697841726619,5,0.011990407673860911,1,0.002398081534772182,163,0.3908872901678657,103,0.24700239808153476,45,0.1079136690647482,67,0.1606714628297362,15,0.03597122302158273,6,0.014388489208633094
pythia-70m,control,draw_1,435,10,0.022988505747126436,6,0.013793103448275862,1,0.0022988505747126436,172,0.3954022988505747,101,0.23218390804597702,45,0.10344827586206896,79,0.18160919540229886,15,0.034482758620689655,6,0.013793103448275862
pythia-70m,control,draw_2,410,12,0.02926829268292683,5,0.012195121951219513,1,0.0024390243902439024,159,0.3878048780487805,101,0.24634146341463414,44,0.1073170731707317,67,0.16341463414634147,15,0.036585365853658534,6,0.014634146341463415
pythia-70m,control,draw_3,426,10,0.023474178403755867,6,0.014084507042253521,1,0.002347417840375587,157,0.3685446009389671,108,0.2535211267605634,46,0.107981220657277,77,0.1807511737089202,15,0.035211267605633804,6,0.014084507042253521
pythia-160m,low,draw_1,1463,9,0.006151742993848257,4,0.002734107997265892,1,0.000683526999316473,575,0.39302802460697195,426,0.2911825017088175,114,0.07792207792207792,256,0.1749829118250171,66,0.045112781954887216,12,0.008202323991797676
pythia-160m,low,draw_2,1483,10,0.006743088334457181,5,0.0033715441672285905,1,0.0006743088334457181,598,0.40323668240053945,431,0.29062710721510454,113,0.07619689817936615,247,0.1665542818610924,66,0.044504383007417395,12,0.008091706001348618
pythia-160m,low,draw_3,1408,11,0.0078125,7,0.004971590909090909,1,0.0007102272727272727,524,0.3721590909090909,427,0.30326704545454547,112,0.07954545454545454,248,0.17613636363636365,66,0.046875,12,0.008522727272727272
pythia-160m,medium,draw_1,1446,11,0.007607192254495159,7,0.004840940525587829,1,0.0006915629322268327,563,0.3893499308437068,422,0.2918395573997234,115,0.07952973720608575,249,0.17219917012448133,66,0.04564315352697095,12,0.008298755186721992
pythia-160m,medium,draw_2,1513,12,0.007931262392597489,4,0.0026437541308658294,1,0.0006609385327164573,611,0.4038334434897555,432,0.2855254461335096,112,0.07402511566424323,263,0.17382683410442828,66,0.043621943159286185,12,0.007931262392597489
pythia-160m,medium,draw_3,1475,9,0.006101694915254237,5,0.003389830508474576,1,0.0006779661016949153,582,0.3945762711864407,421,0.2854237288135593,111,0.07525423728813559,268,0.18169491525423728,66,0.04474576271186441,12,0.008135593220338983
pythia-160m,high,draw_1,1360,11,0.008088235294117648,4,0.0029411764705882353,1,0.0007352941176470588,510,0.375,415,0.30514705882352944,113,0.08308823529411764,228,0.1676470588235294,66,0.04852941176470588,12,0.008823529411764706
pythia-160m,high,draw_2,1454,9,0.006189821182943604,6,0.0041265474552957355,1,0.000687757909215956,580,0.3988995873452545,423,0.2909215955983494,112,0.07702888583218707,245,0.16850068775790922,66,0.0453920220082531,12,0.008253094910591471
pythia-160m,high,draw_3,1385,9,0.006498194945848376,5,0.0036101083032490976,1,0.0007220216606498195,524,0.3783393501805054,415,0.2996389891696751,113,0.0815884476534296,240,0.17328519855595667,66,0.047653429602888084,12,0.008664259927797834
pythia-160m,very_high,draw_1,1358,8,0.005891016200294551,5,0.003681885125184094,1,0.0007363770250368188,503,0.3703976435935199,412,0.30338733431516934,111,0.0817378497790869,240,0.17673048600883653,66,0.048600883652430045,12,0.008836524300441826
pythia-160m,very_high,draw_2,1306,14,0.010719754977029096,4,0.0030627871362940277,1,0.0007656967840735069,480,0.3675344563552833,403,0.30857580398162326,111,0.08499234303215926,215,0.16462480857580397,66,0.05053598774885146,12,0.009188361408882083
pythia-160m,very_high,draw_3,1330,13,0.009774436090225564,5,0.0037593984962406013,1,0.0007518796992481203,510,0.38345864661654133,388,0.29172932330827067,111,0.08345864661654136,224,0.16842105263157894,66,0.04962406015037594,12,0.009022556390977444
pythia-160m,control,draw_1,1392,11,0.007902298850574713,8,0.005747126436781609,1,0.0007183908045977011,508,0.3649425287356322,443,0.3182471264367816,113,0.08117816091954023,230,0.16522988505747127,66,0.04741379310344827,12,0.008620689655172414
pythia-160m,control,draw_2,1380,11,0.007971014492753623,8,0.005797101449275362,1,0.0007246376811594203,514,0.372463768115942,404,0.2927536231884058,112,0.08115942028985507,252,0.1826086956521739,66,0.04782608695652174,12,0.008695652173913044
pythia-160m,control,draw_3,1345,11,0.008178438661710037,5,0.0037174721189591076,1,0.0007434944237918215,502,0.37323420074349445,411,0.30557620817843867,114,0.08475836431226766,223,0.1657992565055762,66,0.04907063197026022,12,0.008921933085501859
pythia-410m,low,draw_1,3957,13,0.0032853171594642407,4,0.0010108668182966893,1,0.00025271670457417233,1410,0.35633055344958303,1157,0.2923932271923174,257,0.0649481930755623,816,0.20621683093252463,275,0.0694970937578974,24,0.006065200909780136
pythia-410m,low,draw_2,3848,8,0.002079002079002079,3,0.0007796257796257797,1,0.0002598752598752599,1452,0.37733887733887733,1096,0.28482328482328484,241,0.06262993762993763,750,0.1949064449064449,273,0.07094594594594594,24,0.006237006237006237
pythia-410m,low,draw_3,4122,12,0.002911208151382824,6,0.001455604075691412,1,0.00024260067928190198,1541,0.373847646773411,1159,0.2811741872877244,251,0.0608927704997574,854,0.2071809801067443,274,0.06647258612324114,24,0.005822416302765648
pythia-410m,medium,draw_1,3809,9,0.0023628248884221582,4,0.0010501443948542925,1,0.00026253609871357313,1383,0.3630874245208716,1114,0.29246521396692043,239,0.06274612759254397,761,0.19978997112102914,274,0.07193489104751903,24,0.006300866369125755
pythia-410m,medium,draw_2,3709,8,0.0021569156106767324,3,0.0008088433540037746,1,0.00026961445133459155,1332,0.35912644917767594,1090,0.2938797519547048,234,0.06308978161229442,745,0.20086276624427069,272,0.07333513076300889,24,0.006470746832030197
pythia-410m,medium,draw_3,3920,6,0.001530612244897959,6,0.001530612244897959,1,0.00025510204081632655,1438,0.36683673469387756,1111,0.28341836734693876,246,0.06275510204081633,816,0.20816326530612245,272,0.06938775510204082,24,0.006122448979591836
pythia-410m,high,draw_1,3480,11,0.003160919540229885,4,0.0011494252873563218,1,0.00028735632183908046,1192,0.3425287356321839,1015,0.2916666666666667,233,0.06695402298850575,727,0.2089080459770115,273,0.07844827586206897,24,0.006896551724137931
pythia-410m,high,draw_2,3483,8,0.0022968705139247776,5,0.001435544071202986,1,0.0002871088142405972,1257,0.36089577950043067,985,0.2828021820269882,236,0.06775768016078093,694,0.19925351708297445,273,0.07838070628768304,24,0.0068906115417743325
pythia-410m,high,draw_3,3379,7,0.0020716188221367266,5,0.001479727730097662,1,0.0002959455460195324,1193,0.35306303640130215,952,0.28174015981059486,232,0.06865936667653152,689,0.20390648120745783,276,0.08168097070139095,24,0.007102693104468778
pythia-410m,very_high,draw_1,3131,4,0.0012775471095496647,3,0.0009581603321622484,1,0.00031938677738741617,1032,0.3296071542638135,939,0.29990418396678376,240,0.07665282657297988,613,0.1957840945384861,275,0.08783136378153944,24,0.0076652826572979876
pythia-410m,very_high,draw_2,3476,8,0.0023014959723820483,6,0.0017261219792865361,1,0.00028768699654775604,1196,0.3440736478711162,1016,0.29228998849252014,241,0.0693325661680092,712,0.2048331415420023,272,0.07825086306098965,24,0.006904487917146145
pythia-410m,very_high,draw_3,3280,9,0.00274390243902439,5,0.001524390243902439,1,0.0003048780487804878,1110,0.3384146341463415,1001,0.3051829268292683,239,0.07286585365853658,619,0.18871951219512195,272,0.08292682926829269,24,0.007317073170731708
pythia-410m,control,draw_1,3425,7,0.0020437956204379564,4,0.0011678832116788322,1,0.00029197080291970805,1176,0.34335766423357666,1007,0.294014598540146,246,0.07182481751824818,686,0.20029197080291972,274,0.08,24,0.0070072992700729924
pythia-410m,control,draw_2,3317,8,0.002411817907747965,4,0.0012059089538739825,1,0.00030147723846849563,1158,0.34911064214651794,1004,0.3026831474223696,233,0.07024419656315949,612,0.1845040699427193,273,0.08230328610189931,24,0.007235453723243895
pythia-410m,control,draw_3,3382,6,0.0017740981667652277,6,0.0017740981667652277,1,0.00029568302779420464,1139,0.33678296865759905,998,0.29509166173861623,239,0.0706682436428149,693,0.2049083382613838,276,0.08160851567120048,24,0.007096392667060911
pythia-1b,low,draw_1,972,4,0.00411522633744856,1,0.00102880658436214,0,0.0,405,0.4166666666666667,210,0.21604938271604937,54,0.05555555555555555,185,0.19032921810699588,98,0.10082304526748971,15,0.015432098765432098
pythia-1b,low,draw_2,952,4,0.004201680672268907,1,0.0010504201680672268,0,0.0,400,0.42016806722689076,194,0.20378151260504201,53,0.05567226890756303,184,0.19327731092436976,101,0.10609243697478991,15,0.015756302521008403
pythia-1b,low,draw_3,978,3,0.003067484662576687,1,0.0010224948875255625,0,0.0,431,0.44069529652351735,201,0.20552147239263804,46,0.04703476482617587,181,0.18507157464212678,99,0.10122699386503067,16,0.016359918200409
pythia-1b,medium,draw_1,904,5,0.0055309734513274336,2,0.0022123893805309734,0,0.0,384,0.4247787610619469,180,0.19911504424778761,50,0.05530973451327434,173,0.1913716814159292,94,0.10398230088495575,16,0.017699115044247787
pythia-1b,medium,draw_2,1007,5,0.004965243296921549,2,0.0019860973187686196,0,0.0,415,0.41211519364448856,209,0.20754716981132076,54,0.05362462760675273,203,0.2015888778550149,103,0.10228401191658391,16,0.015888778550148957
pythia-1b,medium,draw_3,900,5,0.005555555555555556,1,0.0011111111111111111,0,0.0,370,0.4111111111111111,186,0.20666666666666667,51,0.056666666666666664,172,0.19111111111111112,99,0.11,16,0.017777777777777778
pythia-1b,high,draw_1,1002,5,0.00499001996007984,1,0.000998003992015968,0,0.0,401,0.4001996007984032,224,0.22355289421157684,56,0.05588822355289421,201,0.20059880239520958,98,0.09780439121756487,16,0.015968063872255488
pythia-1b,high,draw_2,902,3,0.0033259423503325942,2,0.0022172949002217295,0,0.0,379,0.42017738359201773,176,0.1951219512195122,54,0.0598669623059867,179,0.1984478935698448,94,0.10421286031042129,15,0.01662971175166297
pythia-1b,high,draw_3,945,3,0.0031746031746031746,1,0.0010582010582010583,0,0.0,406,0.42962962962962964,194,0.2052910052910053,49,0.05185185185185185,185,0.19576719576719576,91,0.0962962962962963,16,0.016931216931216932
pythia-1b,very_high,draw_1,817,3,0.0036719706242350062,1,0.0012239902080783353,0,0.0,326,0.3990208078335373,168,0.20563035495716034,51,0.06242350061199511,161,0.19706242350061198,91,0.11138310893512852,16,0.019583843329253364
pythia-1b,very_high,draw_2,911,3,0.003293084522502744,1,0.0010976948408342481,0,0.0,381,0.41822173435784854,180,0.19758507135016465,54,0.059275521405049394,184,0.20197585071350166,92,0.10098792535675083,16,0.01756311745334797
pythia-1b,very_high,draw_3,812,3,0.003694581280788177,1,0.0012315270935960591,0,0.0,312,0.3842364532019704,172,0.21182266009852216,52,0.06403940886699508,163,0.20073891625615764,93,0.1145320197044335,16,0.019704433497536946
pythia-1b,control,draw_1,928,3,0.003232758620689655,1,0.0010775862068965517,0,0.0,389,0.4191810344827586,198,0.21336206896551724,51,0.05495689655172414,176,0.1896551724137931,95,0.10237068965517242,15,0.016163793103448277
pythia-1b,control,draw_2,823,4,0.004860267314702308,1,0.001215066828675577,0,0.0,320,0.3888213851761847,183,0.22235722964763063,53,0.06439854191980558,155,0.18833535844471447,91,0.11057108140947752,16,0.019441069258809233
pythia-1b,control,draw_3,870,5,0.005747126436781609,1,0.0011494252873563218,0,0.0,354,0.4068965517241379,185,0.21264367816091953,50,0.05747126436781609,159,0.18275862068965518,101,0.11609195402298851,15,0.017241379310344827
pythia-1.4b,low,draw_1,2507,8,0.0031910650179497405,1,0.00039888312724371757,0,0.0,970,0.3869166334264061,577,0.23015556441962504,155,0.061826884722776226,553,0.22058236936577583,219,0.08735540486637415,24,0.009573195053849222
pythia-1.4b,low,draw_2,2589,9,0.0034762456546929316,1,0.0003862495171881035,0,0.0,1030,0.3978370027037466,585,0.22595596755504055,149,0.05755117806102742,583,0.22518346852066434,208,0.08033989957512554,24,0.009269988412514484
pythia-1.4b,low,draw_3,2604,9,0.0034562211981566822,1,0.00038402457757296467,0,0.0,1020,0.391705069124424,603,0.2315668202764977,145,0.055683563748079874,584,0.22427035330261136,218,0.0837173579109063,24,0.009216589861751152
pythia-1.4b,medium,draw_1,2551,16,0.006272050176401411,3,0.0011760094080752645,0,0.0,1052,0.4123872990983928,545,0.21364170913367306,149,0.05840846726773814,559,0.21912975303802432,203,0.0795766366130929,24,0.009408075264602116
pythia-1.4b,medium,draw_2,2451,5,0.002039983680130559,1,0.0004079967360261118,0,0.0,997,0.40677274581803347,527,0.2150142798857609,142,0.057935536515707875,542,0.2211342309261526,213,0.08690330477356181,24,0.009791921664626682
pythia-1.4b,medium,draw_3,2453,10,0.0040766408479412965,1,0.00040766408479412964,0,0.0,942,0.3840195678760701,582,0.23726049735018345,144,0.058703628210354665,526,0.2144313086017122,224,0.09131675499388504,24,0.00978393803505911
pythia-1.4b,high,draw_1,2162,7,0.0032377428307123032,1,0.00046253469010175765,0,0.0,846,0.391304347826087,478,0.22109158186864014,134,0.061979648473635525,479,0.2215541165587419,193,0.08926919518963922,24,0.011100832562442183
pythia-1.4b,high,draw_2,2182,6,0.002749770852428964,2,0.0009165902841429881,0,0.0,873,0.4000916590284143,453,0.2076076993583868,128,0.05866177818515124,498,0.22823098075160403,198,0.09074243813015583,24,0.010999083409715857
pythia-1.4b,high,draw_3,2121,7,0.0033003300330033004,1,0.0004714757190004715,0,0.0,827,0.3899104196133899,458,0.21593587930221594,139,0.06553512494106553,474,0.22347949080622348,191,0.09005186232909006,24,0.011315417256011316
pythia-1.4b,very_high,draw_1,1940,10,0.005154639175257732,2,0.0010309278350515464,0,0.0,745,0.38402061855670105,430,0.22164948453608246,132,0.06804123711340206,422,0.2175257731958763,175,0.09020618556701031,24,0.012371134020618556
pythia-1.4b,very_high,draw_2,2025,9,0.0044444444444444444,2,0.0009876543209876543,0,0.0,795,0.3925925925925926,468,0.2311111111111111,131,0.06469135802469136,423,0.2088888888888889,173,0.0854320987654321,24,0.011851851851851851
pythia-1.4b,very_high,draw_3,2108,10,0.004743833017077799,2,0.0009487666034155598,0,0.0,861,0.4084440227703985,475,0.22533206831119545,125,0.059297912713472484,433,0.2054079696394687,178,0.08444022770398482,24,0.011385199240986717
pythia-1.4b,control,draw_1,2233,10,0.0044782803403493054,4,0.0017913121361397223,0,0.0,883,0.3954321540528437,492,0.22033139274518584,142,0.06359158083296014,485,0.21719659650694134,193,0.0864308105687416,24,0.010747872816838333
pythia-1.4b,control,draw_2,2221,7,0.0031517334533993696,1,0.00045024763619990995,0,0.0,888,0.39981990094552006,507,0.22827555155335436,141,0.06348491670418731,473,0.2129671319225574,180,0.08104457451598379,24,0.010805943268797838
pythia-1.4b,control,draw_3,2006,6,0.0029910269192422734,2,0.0009970089730807576,0,0.0,743,0.37038883349950147,463,0.23080757726819542,126,0.06281156530408774,450,0.22432701894317048,192,0.09571286141575275,24,0.011964107676969093
