model,band,draw,layer,head,js_divergence
pythia-70m,low,draw_3,1,7,0.0
pythia-70m,low,draw_3,2,0,0.0038619792399633645
pythia-70m,low,draw_3,2,1,0.0013709127177236418
pythia-70m,low,draw_3,2,2,0.005097223552156325
pythia-70m,low,draw_3,2,3,0.005252171836376183
pythia-70m,low,draw_3,2,4,0.003236293476566172
pythia-70m,low,draw_3,2,5,0.0069822745186755636
pythia-70m,low,draw_3,2,6,0.0057741639932927255
pythia-70m,low,draw_3,2,7,0.003357419065570821
pythia-70m,low,draw_3,3,0,0.01032875338273479
pythia-70m,low,draw_3,3,1,0.00920939027937407
pythia-70m,low,draw_3,3,2,0.007015482372600234
pythia-70m,low,draw_3,3,3,0.005169287805365239
pythia-70m,low,draw_3,3,4,0.0034612529039900284
pythia-70m,low,draw_3,3,5,0.007961460544518474
pythia-70m,low,draw_3,3,6,0.00423425382279308
pythia-70m,low,draw_3,3,7,0.0029409163578110738
pythia-70m,low,draw_3,4,0,0.006152275346194061
pythia-70m,low,draw_3,4,1,0.006743593946326558
pythia-70m,low,draw_3,4,2,0.014875160451895698
pythia-70m,low,draw_3,4,3,0.016681691642310724
pythia-70m,low,draw_3,4,4,0.013829637657893409
pythia-70m,low,draw_3,4,5,0.012447412708753661
pythia-70m,low,draw_3,4,6,0.02470288501032687
pythia-70m,low,draw_3,4,7,0.015185301248213668
pythia-70m,low,draw_3,5,0,0.0049924113569678194
pythia-70m,low,draw_3,5,1,0.012329587832388725
pythia-70m,low,draw_3,5,2,0.020456010242686496
pythia-70m,low,draw_3,5,3,0.02871751126138462
pythia-70m,low,draw_3,5,4,0.019849269816838575
pythia-70m,low,draw_3,5,5,0.011923866215284963
pythia-70m,low,draw_3,5,6,0.032640821779990066
pythia-70m,low,draw_3,5,7,0.013410196989582604
pythia-70m,medium,draw_1,0,0,0.0
pythia-70m,medium,draw_1,0,1,0.0
pythia-70m,medium,draw_1,0,2,0.0
pythia-70m,medium,draw_1,0,3,0.0
pythia-70m,medium,draw_1,0,4,0.0
pythia-70m,medium,draw_1,0,5,0.0
pythia-70m,medium,draw_1,0,6,0.0
pythia-70m,medium,draw_1,0,7,0.0
pythia-70m,medium,draw_1,1,0,0.0
pythia-70m,medium,draw_1,1,1,0.0
pythia-70m,medium,draw_1,1,2,0.0
pythia-70m,medium,draw_1,1,3,0.0
pythia-70m,medium,draw_1,1,4,0.0
pythia-70m,medium,draw_1,1,5,0.0
pythia-70m,medium,draw_1,1,6,0.0
pythia-70m,medium,draw_1,1,7,0.0
pythia-70m,medium,draw_1,2,0,0.006620011170817585
pythia-70m,medium,draw_1,2,1,0.0015250823802980477
pythia-70m,medium,draw_1,2,2,0.0036472615604984694
pythia-70m,medium,draw_1,2,3,0.0026838557380604055
pythia-70m,medium,draw_1,2,4,0.002506970168860312
pythia-70m,medium,draw_1,2,5,0.002873548428254442
pythia-70m,medium,draw_1,2,6,0.0045425949375442745
pythia-70m,medium,draw_1,2,7,0.0028839313163252873
pythia-70m,medium,draw_1,3,0,0.005940929596989027
pythia-70m,medium,draw_1,3,1,0.0087285158380776
pythia-70m,medium,draw_1,3,2,0.0037524960032420704
pythia-70m,medium,draw_1,3,3,0.0026082216701091786
pythia-70m,medium,draw_1,3,4,0.0023254639832011354
pythia-70m,medium,draw_1,3,5,0.006713216923521252
pythia-70m,medium,draw_1,3,6,0.002309541565838917
pythia-70m,medium,draw_1,3,7,0.0019391770697609774
pythia-70m,medium,draw_1,4,0,0.01246540340827668
pythia-70m,medium,draw_1,4,1,0.0039720584507576245
pythia-70m,medium,draw_1,4,2,0.014171082293358962
pythia-70m,medium,draw_1,4,3,0.012925566788439325
