model,draw,band,layer,head,entropy_base,entropy_circuit,delta_entropy
pythia-70m,draw_2,low,3,7,3.297675132751465,3.294687509536743,-0.0029876232147216797
pythia-70m,draw_2,low,4,0,2.4246060848236084,2.4485232830047607,0.023917198181152344
pythia-70m,draw_2,low,4,1,0.6463050246238708,0.6638157963752747,0.01751077175140381
pythia-70m,draw_2,low,4,2,0.9011200666427612,0.929591715335846,0.028471648693084717
pythia-70m,draw_2,low,4,3,0.0406638905405998,0.04355984181165695,0.0028959512710571497
pythia-70m,draw_2,low,4,4,1.28643536567688,1.3317843675613403,0.04534900188446023
pythia-70m,draw_2,low,4,5,1.4434404373168943,1.4633512496948242,0.01991081237792991
pythia-70m,draw_2,low,4,6,0.8698696494102478,0.8951564431190491,0.02528679370880127
pythia-70m,draw_2,low,4,7,1.06591796875,1.086184024810791,0.020266056060791016
pythia-70m,draw_2,low,5,0,0.695326566696167,0.6953505873680115,2.4020671844482422e-05
pythia-70m,draw_2,low,5,1,0.8267724514007568,0.8370692729949951,0.010296821594238281
pythia-70m,draw_2,low,5,2,0.353556215763092,0.3477047383785248,-0.005851477384567205
pythia-70m,draw_2,low,5,3,0.1655304580926895,0.1790105551481247,0.013480097055435208
pythia-70m,draw_2,low,5,4,0.1136835366487503,0.1016777753829956,-0.0120057612657547
pythia-70m,draw_2,low,5,5,0.4994710683822632,0.4892551004886627,-0.010215967893600464
pythia-70m,draw_2,low,5,6,0.1380413025617599,0.16157257556915283,0.02353127300739294
pythia-70m,draw_2,low,5,7,0.6563732624053955,0.6550638675689697,-0.0013093948364257812
pythia-70m,draw_2,medium,0,0,3.876849412918091,3.876849412918091,0.0
pythia-70m,draw_2,medium,0,1,2.647975206375122,2.647975206375122,0.0
pythia-70m,draw_2,medium,0,2,2.640918731689453,2.640918731689453,0.0
pythia-70m,draw_2,medium,0,3,0.5172189474105835,0.5172189474105835,0.0
pythia-70m,draw_2,medium,0,4,2.090270757675171,2.090270757675171,0.0
pythia-70m,draw_2,medium,0,5,1.7252874374389648,1.7252874374389648,0.0
pythia-70m,draw_2,medium,0,6,2.071201801300049,2.071201801300049,0.0
pythia-70m,draw_2,medium,0,7,2.2929811477661133,2.2929811477661133,0.0
pythia-70m,draw_2,medium,1,0,3.748241186141968,3.7482411861419678,-4.440892098500626e-16
pythia-70m,draw_2,medium,1,1,2.202406406402588,2.202406406402588,0.0
pythia-70m,draw_2,medium,1,2,2.587363243103028,2.5873632431030273,-4.440892098500626e-16
pythia-70m,draw_2,medium,1,3,2.9438552856445312,2.9438552856445312,0.0
pythia-70m,draw_2,medium,1,4,3.22222113609314,3.2222211360931396,-4.440892098500626e-16
pythia-70m,draw_2,medium,1,5,3.261533260345459,3.261533260345459,0.0
pythia-70m,draw_2,medium,1,6,3.47184681892395,3.47184681892395,0.0
pythia-70m,draw_2,medium,1,7,1.9542996883392332,1.9542996883392334,2.220446049250313e-16
pythia-70m,draw_2,medium,2,0,3.162111759185791,3.162111759185791,0.0
pythia-70m,draw_2,medium,2,1,0.6699423789978027,0.6699423789978027,0.0
pythia-70m,draw_2,medium,2,2,3.711061954498291,3.711061954498291,0.0
pythia-70m,draw_2,medium,2,3,3.2926716804504395,3.2926716804504395,0.0
pythia-70m,draw_2,medium,2,4,1.9135081768035889,1.9135081768035889,0.0
pythia-70m,draw_2,medium,2,5,3.906956434249878,3.906956434249878,0.0
pythia-70m,draw_2,medium,2,6,1.8267719745635984,1.8267719745635986,2.220446049250313e-16
pythia-70m,draw_2,medium,2,7,2.579594612121582,2.579594612121582,0.0
pythia-70m,draw_2,medium,3,0,1.9899802207946775,1.9899802207946777,2.220446049250313e-16
pythia-70m,draw_2,medium,3,1,1.0682533979415894,1.0682533979415894,0.0
pythia-70m,draw_2,medium,3,2,3.732703447341919,3.732703447341919,0.0
