structural,functional,rho_overall,p_overall,rho_within_mean,rho_within_std,n_within_significant,n_models,simpsons_flag,partial_rho,partial_p
edge_fraction,size_fraction,0.9999999999999998,0.0,1.0,0.0,5,5,False,0.9999999999999998,0.0
active_heads,n_edges,0.9836090647236221,7.499348310283043e-45,0.5781943778921599,0.210408644078311,3,5,False,0.9591960962762061,1.645997057725857e-33
head_participation_rate,size_fraction,0.9784917498406706,1.848060793232493e-41,0.5781943778921599,0.210408644078311,3,5,False,0.8196139759959918,1.1764060834224165e-15
universal_fraction,size_fraction,0.9626216258659749,1.357000390672633e-34,0.008937057254886877,0.12041695012418073,0,5,True,0.899917012263922,1.4329130415513577e-22
skip_fraction,n_edges,0.9619194488209333,2.305581499025865e-34,0.28730839704438743,0.304154167874352,0,5,True,0.6791147418652308,2.453539423798807e-09
active_heads,total_edges,0.955783729492506,1.6124903674756726e-32,,,0,0,False,0.6203741817598275,1.2443856603098495e-07
mean_edges_per_head,n_edges,0.9453166245241599,6.613663787198111e-30,0.848872530977794,0.04644680802234472,5,5,False,0.8909388979966097,1.5230664931491258e-21
skip_fraction,total_edges,0.9376649050081438,2.6524380603457624e-28,,,0,0,False,0.4178321201775098,0.0008944024163039501
n_universal,n_edges,0.8690041278790867,2.2603915071266006e-19,0.047328899434329164,0.14249905930668158,0,5,True,0.8690041278790867,2.2603915071266006e-19
mean_edges_per_head,total_edges,0.8682073778623628,2.664194208096244e-19,,,0,0,False,0.37972892870559116,0.0027674646343542565
universal_fraction,total_edges,-0.856367130180821,2.7209049288024962e-18,,,0,0,False,-0.6219209871725783,1.1338401704917643e-07
edge_fraction,total_edges,-0.8545925456401544,3.78600433649819e-18,,,0,0,False,-0.48997281123302094,7.079794451428568e-05
head_participation_rate,total_edges,-0.848410074666526,1.1576164817332588e-17,,,0,0,False,-0.8389692556839817,5.816040590410591e-17
n_universal,total_edges,0.8074357323029867,6.531003576038431e-15,,,0,0,False,0.2951216261027788,0.022070045791521373
n_universal,retention_ratio,0.7772550511023932,2.8335913085490854e-13,0.13955402557288132,0.1459074958400216,0,5,True,0.7298139565329786,3.708574951646227e-11
universal_fraction,n_edges,-0.7694958710063661,6.801620109468738e-13,0.008937057254886877,0.12041695012418073,0,5,True,-0.5435142351296954,7.202524944452793e-06
resid_fraction,circuit_kl_div,-0.7690020701224225,7.183119270180017e-13,-0.30007722344937177,0.16001441149412232,0,5,True,-0.44638019426639386,0.0003503840654680407
skip_fraction,size_fraction,-0.766584698388767,9.36484325829544e-13,0.28730839704438743,0.304154167874352,0,5,True,-0.9040136707411842,4.519378346470664e-23
active_heads,size_fraction,-0.7460970186213132,7.858084379041473e-12,0.5781943778921599,0.210408644078311,3,5,True,-0.7057794739188608,3.019575631491736e-10
edge_fraction,base_accuracy,-0.7377399099555688,1.76755811909487e-11,-0.37769100184878573,0.605041908113351,4,5,False,-0.8098018758918297,4.726433090777897e-15
universal_fraction,circuit_kl_div,-0.7352932641181558,2.228122625602874e-11,-0.14191497503737985,0.19558054159795205,0,5,True,-0.5236820551171718,1.757054983257926e-05
resid_fraction,size_fraction,0.7318625135458054,3.069808925805007e-11,-0.8964544227702124,0.05871329194497968,5,5,True,0.886798744060685,4.2297244862552764e-21
head_participation_rate,n_edges,-0.7312897362545053,3.2369827226995114e-11,0.5781943778921599,0.210408644078311,3,5,True,-0.6291483337809582,7.291643188271191e-08
edge_fraction,n_edges,-0.7285281613826445,4.1721227581441185e-11,1.0,0.0,5,5,True,-0.6324988190836087,5.919209314881757e-08
mlp_fraction,retention_ratio,0.7227308729897761,7.037769801140702e-11,0.016883729844303835,0.38206083956236025,1,5,True,0.707206268563228,2.681815130946047e-10
n_universal,circuit_accuracy,0.7201424621618235,8.850990341451017e-11,0.10971261677961024,0.15684869045974392,0,5,True,0.6398591619513857,3.710759796332752e-08
attn_fraction,circuit_kl_div,0.7122534037232566,1.7527245020906076e-10,0.14685314685314688,0.16823959869869173,0,5,True,0.7560989163656573,2.855124976818109e-12
head_participation_rate,base_accuracy,-0.7119294001977317,1.8017281001304018e-10,-0.22301732849926914,0.31313677642384424,1,5,True,-0.4992698026822015,4.8911216279886585e-05
edge_fraction,circuit_kl_div,-0.7018713792199882,4.1639842706482985e-10,0.3294184343630976,0.20025691765741757,1,5,True,-0.3724141763929335,0.003387194897657057
head_participation_rate,circuit_kl_div,-0.694964464693035,7.257228609633528e-10,0.23351124529928904,0.3360552030217202,1,5,True,-0.44023366676469344,0.00043171949390052026
universal_fraction,base_accuracy,-0.6892837063271003,1.1329706493248528e-09,0.01122498571705482,0.2832158731231126,0,5,True,-0.7077742450669307,2.557619216709196e-10
resid_fraction,n_edges,-0.6739003584428573,3.6038015634718084e-09,-0.8964544227702124,0.05871329194497968,5,5,False,-0.675011809163911,3.322412473360081e-09
resid_fraction,total_edges,-0.6454826866375186,2.5753881168111763e-08,,,0,0,False,-0.43212879879578925,0.0005651496193611912
active_heads,circuit_accuracy,0.6025427113371152,3.510434888735761e-07,-0.18281983439062194,0.3072471738722522,1,5,True,0.5324628931016975,1.1921071446708921e-05
resid_fraction,base_accuracy,-0.5980018826875849,4.5259944702626005e-07,0.2786373619631397,0.5741310931865529,3,5,True,-0.793206094081819,4.175118802280358e-14
mlp_fraction,circuit_accuracy,0.595868977510486,5.0928809812185e-07,-0.14998875664974717,0.49352883205501047,2,5,True,0.5720439830003028,1.7995375338748664e-06
skip_fraction,circuit_accuracy,0.5810236833987663,1.131467402036752e-06,-0.3550063092517409,0.23911056386172244,1,5,True,0.80449677772481,9.699695251739357e-15
mean_edges_per_head,size_fraction,-0.5778154436077688,1.3376091637737026e-06,0.848872530977794,0.04644680802234472,5,5,True,-0.5361638278362831,1.0089968000600525e-05
mean_edges_per_head,retention_ratio,0.5537123487743973,4.451984285340769e-06,-0.1986185593679257,0.29298755702648716,1,5,True,0.5983217094112089,4.4462837451820063e-07
skip_fraction,base_accuracy,0.5501708002723608,5.270957800577832e-06,-0.35583512825539476,0.20532127339895082,0,5,True,0.7849667941774459,1.1456078540369185e-13
mean_edges_per_head,circuit_accuracy,0.5495059177438035,5.439565903172719e-06,-0.1271774575405914,0.5821113048984768,2,5,True,0.5947305669361205,5.422081436278281e-07
mlp_fraction,n_edges,0.547493018849986,5.981162438835114e-06,-0.5408450447452123,0.38299522956758586,3,5,True,0.5824754442830012,1.0483219009297307e-06
active_heads,base_accuracy,0.5314611261028543,1.2467322847029495e-05,-0.22301732849926914,0.31313677642384424,1,5,True,0.49840745791492114,5.064098921423124e-05
active_heads,retention_ratio,0.5280215789372473,1.4524880902656866e-05,-0.16731928700063453,0.33318515906518675,1,5,True,0.48328223756780986,9.17851366661586e-05
skip_fraction,retention_ratio,0.503466385532555,4.1245209857646786e-05,-0.12731195188193195,0.42910719725268925,1,5,True,0.6488559163715426,2.061215514059299e-08
n_universal,size_fraction,-0.480610551561811,0.00010165960125833894,0.047328899434329164,0.14249905930668158,0,5,True,-0.5770116000933037,1.3945064581254895e-06
mlp_fraction,total_edges,0.47790888121971303,0.00011262934547990659,,,0,0,False,0.15719742632085468,0.23033116622394073
edge_fraction,circuit_accuracy,-0.44225134774200275,0.0004033018365828638,-0.2708411372423402,0.5888988587186577,3,5,False,-0.8259637234812172,4.569916421709375e-16
resid_fraction,circuit_accuracy,-0.43427258631366755,0.0005266331313518321,0.11446443944501997,0.5415804650190505,2,5,True,-0.8113448965169479,3.8184580663633265e-15
n_universal,base_accuracy,0.4308746551200447,0.0005888491885860698,0.026535613863115693,0.26830587580809695,0,5,True,0.5938446006267613,5.691987960649755e-07
head_participation_rate,circuit_accuracy,-0.4204039721309434,0.0008247248475703782,-0.18281983439062194,0.3072471738722522,1,5,True,-0.4895221129210274,7.205922490467051e-05
universal_fraction,circuit_accuracy,-0.40205085698391496,0.001451094114700402,0.08995055250194943,0.16272200735286238,0,5,True,-0.6998187819734798,4.919459513486047e-10
mean_edges_per_head,base_accuracy,0.39228032211327185,0.0019355251092282135,-0.24383116117056852,0.5976657399462463,2,5,True,0.5678704033750402,2.222332420692037e-06
skip_fraction,circuit_kl_div,0.3638232842456238,0.004269716689772087,0.0013986013986014012,0.1272957790543525,0,5,True,0.336371214226174,0.00859481760926467
attn_fraction,size_fraction,-0.35279734370372884,0.0056961563412163095,0.7248040305776139,0.25666383853145164,3,5,True,-0.0237569291066148,0.857015417935326
active_heads,circuit_kl_div,0.3507021561866404,0.006010156931029713,0.23351124529928904,0.3360552030217202,1,5,False,0.10123733851387917,0.44149833707213154
attn_fraction,retention_ratio,-0.3373855540116056,0.008384364658576723,-0.053916022681299726,0.33490415341042495,0,5,True,-0.3864738326829302,0.0022876158518123167
attn_fraction,base_accuracy,0.3022276795299644,0.01892657999892502,-0.042207216423242676,0.46968909207938775,1,5,True,-0.0760837918996979,0.5634102213458733
mean_edges_per_head,circuit_kl_div,0.28338821047761914,0.028225769133613465,0.30225234899664566,0.18657528136852755,0,5,False,-0.08930382473527482,0.4974226570601486
resid_fraction,retention_ratio,-0.23024341456037822,0.07675994288862635,0.13700410014913006,0.3007031174254851,0,5,True,-0.6096029342299034,2.3460594230788208e-07
mlp_fraction,base_accuracy,0.2112056486845194,0.10525185874974056,-0.10324713288382466,0.4540488275101348,1,5,True,0.5329479204607264,1.166465865229595e-05
edge_fraction,retention_ratio,-0.20690230084679895,0.1127027544304172,-0.287438328562378,0.3641913725780646,1,5,False,-0.6530050848870487,1.561349668484542e-08
head_participation_rate,retention_ratio,-0.20131256538383488,0.12297745484109787,-0.16731928700063453,0.33318515906518675,1,5,False,-0.3195652008726103,0.012813531484218633
mlp_fraction,circuit_kl_div,-0.19299805501528206,0.13955812677031318,-0.07692307692307696,0.28170623676789325,0,5,True,-0.44356765768268974,0.00038569089459413163
mlp_fraction,size_fraction,-0.1873879881812985,0.15165724722283752,-0.5408450447452123,0.38299522956758586,3,5,False,-0.49383848071563147,6.078569768250719e-05
universal_fraction,retention_ratio,-0.1694074022714968,0.1956667867872612,0.12424815688160802,0.1366870961871274,0,5,True,-0.46911515540292564,0.00015630193716773759
attn_fraction,circuit_accuracy,-0.12098636699289145,0.35713866526813876,0.06786723249923347,0.49078441306043835,1,5,True,-0.1071939776724563,0.4149538099511759
skip_fraction,completeness,-0.11960170872278107,0.36270888169240173,-0.1091782866852867,0.1291814909224557,0,4,False,0.036833869152704216,0.7799326025574423
edge_fraction,completeness,0.10031250416770825,0.4457028916132788,0.04367131467411468,0.06176056549879615,0,4,True,-0.07073105041497134,0.5912479194736144
head_participation_rate,completeness,0.09845594092355267,0.45421003472434246,0.0778503119111176,0.1805414287216637,0,4,False,0.009243136980536477,0.9441201313120299
universal_fraction,completeness,0.0927884361197613,0.48072296320989677,0.0,0.26111648393354675,0,4,False,0.08038870128086063,0.5414784810772759
n_universal,completeness,-0.08520836032772175,0.5174276089612064,0.03901843914559694,0.2095998732375256,0,4,False,0.24919747339563453,0.05484772070781753
mean_edges_per_head,completeness,-0.08102163798161051,0.5382892975057835,0.06550697201117203,0.16772286650645396,0,4,False,0.20428392835506098,0.11743044340704366
resid_fraction,completeness,0.08102163798161051,0.5382892975057835,-0.06550697201117203,0.16772286650645396,0,4,False,-0.07536359525045667,0.5671196280394071
attn_fraction,completeness,-0.08102051236059363,0.5382949610244722,-0.13101394402234404,0.22268088570756164,0,4,False,-0.02889650931228252,0.8265187131546807
active_heads,completeness,-0.07914644973468221,0.5477644102764938,0.0778503119111176,0.1805414287216637,0,4,False,0.29897449493313244,0.020314857181040834
n_universal,circuit_kl_div,0.07464283042367298,0.5708433310117089,-0.1642938412790412,0.22148698554707064,0,5,False,-0.3252374449701147,0.011224502993659567
attn_fraction,total_edges,0.06528046807018724,0.6202102491431609,,,0,0,False,0.046955075394541,0.7216473624287925
mlp_fraction,completeness,0.015432478544874978,0.9068348910821149,0.15284960135940137,0.28553827109404617,0,4,False,0.07380897246627002,0.5751654015480109
attn_fraction,n_edges,0.007307686964958704,0.9558077915416127,0.7248040305776139,0.25666383853145164,3,5,False,-0.2531571708659268,0.05098379495941664
