,edge_fraction,skip_fraction,attn_fraction,mlp_fraction,resid_fraction,head_participation_rate,active_heads,mean_edges_per_head,n_universal,universal_fraction,n_edges,total_edges,size_fraction,base_accuracy,circuit_accuracy,circuit_kl_div,retention_ratio,completeness,convergence_layer,final_prob_correct,peak_probe_accuracy,peak_probe_layer,peak_separation_ratio,peak_mi_probe,peak_mi_probe_layer,peak_efficiency
edge_fraction,1.0,-0.766584698388767,-0.35279734370372884,-0.1873879881812985,0.7318625135458057,0.9784917498406706,-0.7460970186213133,-0.577815443607769,-0.48061055156181104,0.962621625865975,-0.7285281613826446,-0.8545925456401546,1.0,-0.7377399099555689,-0.4422513477420027,-0.7018713792199882,-0.20690230084679898,0.10031250416770826,-0.8679994999239993,-0.5594687339902796,-0.9062654367316255,-0.9528365036621218,-0.7380878762714124,-0.8770849593537606,-0.8735277401649679,0.82496105319788
skip_fraction,-0.766584698388767,1.0,-0.004723534315087524,0.5659905529313698,-0.6696119702225849,-0.7648696647185736,0.9517588841884328,0.8960669084903167,0.8376956215559591,-0.781847730098372,0.9619194488209332,0.9376649050081439,-0.766584698388767,0.5501708002723606,0.5810236833987663,0.36382328424562377,0.503466385532555,-0.11960170872278106,0.8728778241164525,0.38494026118366215,0.6303786541818783,0.8417251215416972,0.34058267217105725,0.5479616569920215,0.8787689931714514,-0.47244986767482827
attn_fraction,-0.35279734370372884,-0.004723534315087524,1.0,-0.7079188663517644,-0.6074271663154458,-0.3744126962386154,-0.029167252980241483,0.02367357146062668,-0.3093939742374367,-0.4238906639251288,0.007307686964958706,0.06528046807018724,-0.35279734370372884,0.3022276795299643,-0.12098636699289143,0.7122534037232564,-0.3373855540116056,-0.08102051236059361,0.2933952042034005,0.52292303417616,0.5626630673015635,0.34024518924103264,0.7119046568075206,0.6575539883904258,0.16866731247719666,-0.6568857424672647
mlp_fraction,-0.1873879881812985,0.5659905529313698,-0.7079188663517644,1.0,-0.03962266772635405,-0.17662602647661976,0.5659114393773641,0.5369343836914906,0.786706423493749,-0.1456776112490984,0.547493018849986,0.477908881219713,-0.1873879881812985,0.21120564868451935,0.595868977510486,-0.19299805501528203,0.7227308729897761,0.015432478544874974,0.32676651211591906,0.060683523200889135,0.004009475538966011,0.24601117333268233,-0.27308983393179603,-0.09667291021729159,0.41904158679722353,0.08620372408776923
resid_fraction,0.7318625135458057,-0.6696119702225849,-0.6074271663154458,-0.03962266772635405,1.0,0.739909828966734,-0.6452197412554531,-0.6498096640640195,-0.3876683369475362,0.8060271556626243,-0.6739003584428576,-0.6454826866375188,0.7318625135458057,-0.598001882687585,-0.4342725863136676,-0.7690020701224225,-0.23024341456037822,0.08102163798161051,-0.8731678175815275,-0.7840342322822805,-0.7984535966485219,-0.8086917802547332,-0.6808406801942272,-0.7993446035913575,-0.776841688310496,0.7857567477131151
head_participation_rate,0.9784917498406706,-0.7648696647185736,-0.3744126962386154,-0.17662602647661976,0.739909828966734,1.0,-0.7136457242950466,-0.6154329095270863,-0.48163477902905616,0.9493989766939868,-0.7312897362545056,-0.8484100746665258,0.9784917498406706,-0.7119294001977317,-0.4204039721309434,-0.6949644646930349,-0.20131256538383488,0.09845594092355267,-0.8572523234845848,-0.5552652900994364,-0.8977939372235342,-0.937175238770257,-0.7370715464753856,-0.8658055002299706,-0.8629299145836258,0.8139775448222806
active_heads,-0.7460970186213133,0.9517588841884328,-0.029167252980241483,0.5659114393773641,-0.6452197412554531,-0.7136457242950466,1.0,0.9004297992219766,0.8664700820030687,-0.7724721901412999,0.9836090647236223,0.9557837294925063,-0.7460970186213133,0.5314611261028545,0.6025427113371152,0.35070215618664047,0.5280215789372473,-0.07914644973468223,0.854479669744211,0.36440993094284546,0.6133190682942682,0.8235531401338798,0.31830624369406324,0.5163560318748582,0.86282596668572,-0.4420177039533105
mean_edges_per_head,-0.577815443607769,0.8960669084903167,0.02367357146062668,0.5369343836914906,-0.6498096640640195,-0.6154329095270863,0.9004297992219766,1.0,0.8723513865086522,-0.6374040917309933,0.9453166245241602,0.868207377862363,-0.577815443607769,0.39228032211327185,0.5495059177438035,0.28338821047761914,0.5537123487743975,-0.08102163798161051,0.7726495964734198,0.3397379791655897,0.49150170484166933,0.6868809428456435,0.22509062893383497,0.4046285279152016,0.743085401998299,-0.33089770339555846
n_universal,-0.48061055156181104,0.8376956215559591,-0.3093939742374367,0.786706423493749,-0.3876683369475362,-0.48163477902905616,0.8664700820030687,0.8723513865086522,1.0,-0.4508057302781464,0.8690041278790865,0.8074357323029867,-0.48061055156181104,0.43087465512004464,0.7201424621618234,0.07464283042367297,0.777255051102393,-0.08520836032772174,0.605136979889216,0.23341225896311488,0.2987482418906764,0.5518147766997024,0.014311293024703062,0.19678027908966708,0.6597856234607608,-0.18246898606496403
universal_fraction,0.962621625865975,-0.781847730098372,-0.4238906639251288,-0.1456776112490984,0.8060271556626243,0.9493989766939868,-0.7724721901412999,-0.6374040917309933,-0.4508057302781464,1.0,-0.7694958710063661,-0.856367130180821,0.962621625865975,-0.6892837063271002,-0.4020508569839149,-0.7352932641181557,-0.1694074022714968,0.09278843611976129,-0.8994840055311458,-0.5962981121006673,-0.9357142857142857,-0.9609810852430586,-0.7428571428571429,-0.9071428571428571,-0.883518219967996,0.8107142857142857
