,edge_fraction,skip_fraction,attn_fraction,mlp_fraction,resid_fraction,head_participation_rate,active_heads,mean_edges_per_head,n_universal,universal_fraction,n_edges,total_edges,size_fraction,base_accuracy,circuit_accuracy,circuit_kl_div,retention_ratio,completeness,convergence_layer,final_prob_correct,peak_probe_accuracy,peak_probe_layer,peak_separation_ratio,peak_mi_probe,peak_mi_probe_layer,peak_efficiency
n_edges,-0.7285281613826446,0.9619194488209332,0.007307686964958706,0.547493018849986,-0.6739003584428576,-0.7312897362545056,0.9836090647236223,0.9453166245241602,0.8690041278790865,-0.7694958710063661,1.0,0.9551328451272317,-0.7285281613826446,0.5109615527668256,0.585257441077737,0.3504355437340654,0.5206735580536287,-0.08487981121883006,0.8605526766325071,0.37413690107668807,0.6120103938601796,0.8192889812641301,0.32042837181724054,0.5128858714697229,0.8648092291306918,-0.43670477785728196
total_edges,-0.8545925456401546,0.9376649050081439,0.06528046807018724,0.477908881219713,-0.6454826866375188,-0.8484100746665258,0.9557837294925063,0.868207377862363,0.8074357323029867,-0.856367130180821,0.9551328451272317,1.0,-0.8545925456401546,0.5546477296141366,0.5193761676304812,0.4412540729450089,0.4307992259102227,-0.09694584179118516,0.8546044188563527,0.35048978578859885,0.716437860543432,0.8761472697936947,0.44217649205414944,0.6324802987609985,0.8594420669330988,-0.5485227369785651
size_fraction,1.0,-0.766584698388767,-0.35279734370372884,-0.1873879881812985,0.7318625135458057,0.9784917498406706,-0.7460970186213133,-0.577815443607769,-0.48061055156181104,0.962621625865975,-0.7285281613826446,-0.8545925456401546,1.0,-0.7377399099555689,-0.4422513477420027,-0.7018713792199882,-0.20690230084679898,0.10031250416770826,-0.8679994999239993,-0.5594687339902796,-0.9062654367316255,-0.9528365036621218,-0.7380878762714124,-0.8770849593537606,-0.8735277401649679,0.82496105319788
base_accuracy,-0.7377399099555689,0.5501708002723606,0.3022276795299643,0.21120564868451935,-0.598001882687585,-0.7119294001977317,0.5314611261028545,0.39228032211327185,0.43087465512004464,-0.6892837063271002,0.5109615527668256,0.5546477296141366,-0.7377399099555689,1.0,0.7555085890413112,0.5338213718432676,0.4769664083607813,-0.09475193652285102,0.6172150361920821,0.7610700712520758,0.6804639115749395,0.7125147845229612,0.5259500389548055,0.67800776620092,0.7490691275217115,-0.6853762023229784
circuit_accuracy,-0.4422513477420027,0.5810236833987663,-0.12098636699289143,0.595868977510486,-0.4342725863136676,-0.4204039721309434,0.6025427113371152,0.5495059177438035,0.7201424621618234,-0.4020508569839149,0.585257441077737,0.5193761676304812,-0.4422513477420027,0.7555085890413112,1.0,0.17005367805503604,0.9015416905415518,-0.1794973491452762,0.4852655597863892,0.6149398984105603,0.32661060471725456,0.492738331224715,0.09928694943810093,0.29674651667077756,0.6360518068560902,-0.29808371464300787
circuit_kl_div,-0.7018713792199882,0.36382328424562377,0.7122534037232564,-0.19299805501528203,-0.7690020701224225,-0.6949644646930349,0.35070215618664047,0.28338821047761914,0.07464283042367297,-0.7352932641181557,0.3504355437340654,0.4412540729450089,-0.7018713792199882,0.5338213718432676,0.17005367805503604,1.0,-0.06196423863003463,-0.03086495708974995,0.6532273752834304,0.6816337871631009,0.8139235344101001,0.6804903784820653,0.7920941675868408,0.8647102245703363,0.5545119530810951,-0.8867623400346494
retention_ratio,-0.20690230084679898,0.503466385532555,-0.3373855540116056,0.7227308729897761,-0.23024341456037822,-0.20131256538383488,0.5280215789372473,0.5537123487743975,0.777255051102393,-0.1694074022714968,0.5206735580536287,0.4307992259102227,-0.20690230084679898,0.4769664083607813,0.9015416905415518,-0.06196423863003463,1.0,-0.1813391809584104,0.3010767627939081,0.37248009813256244,0.07841078974302022,0.26903964327264224,-0.14289920914814622,0.036420920803931264,0.430236941651845,-0.046222269521808794
completeness,0.10031250416770826,-0.11960170872278106,-0.08102051236059361,0.015432478544874974,0.08102163798161051,0.09845594092355267,-0.07914644973468223,-0.08102163798161051,-0.08520836032772174,0.09278843611976129,-0.08487981121883006,-0.09694584179118516,0.10031250416770826,-0.09475193652285102,-0.1794973491452762,-0.03086495708974995,-0.1813391809584104,1.0,-0.05015694892590794,-0.05787179454328115,-0.12371791482634839,-0.11866454834270358,-0.07732369676646773,-0.15464739353293547,-0.10864187753328289,0.015464739353293549
convergence_layer,-0.8679994999239993,0.8728778241164525,0.2933952042034005,0.32676651211591906,-0.8731678175815275,-0.8572523234845848,0.854479669744211,0.7726495964734198,0.605136979889216,-0.8994840055311458,0.8605526766325071,0.8546044188563527,-0.8679994999239993,0.6172150361920821,0.4852655597863892,0.6532273752834304,0.3010767627939081,-0.05015694892590794,1.0,0.6245241604011392,0.8119413571473567,0.9292620957388809,0.6081206872461684,0.7587029526595054,0.9269694427956889,-0.7209460088909245
final_prob_correct,-0.5594687339902796,0.38494026118366215,0.52292303417616,0.060683523200889135,-0.7840342322822805,-0.5552652900994364,0.36440993094284546,0.3397379791655897,0.23341225896311488,-0.5962981121006673,0.37413690107668807,0.35048978578859885,-0.5594687339902796,0.7610700712520758,0.6149398984105603,0.6816337871631009,0.37248009813256244,-0.05787179454328115,0.6245241604011392,1.0,0.6515397750819767,0.6061970551782631,0.5822649477142862,0.7025492138832665,0.6204587485493165,-0.7145776405001646
peak_probe_accuracy,-0.9062654367316255,0.6303786541818783,0.5626630673015635,0.004009475538966011,-0.7984535966485219,-0.8977939372235342,0.6133190682942682,0.49150170484166933,0.2987482418906764,-0.9357142857142857,0.6120103938601796,0.716437860543432,-0.9062654367316255,0.6804639115749395,0.32661060471725456,0.8139235344101001,0.07841078974302022,-0.12371791482634839,0.8119413571473567,0.6515397750819767,1.0,0.8933835564331857,0.8428571428571429,0.9678571428571429,0.7992882882469091,-0.8964285714285715
peak_probe_layer,-0.9528365036621218,0.8417251215416972,0.34024518924103264,0.24601117333268233,-0.8086917802547332,-0.937175238770257,0.8235531401338798,0.6868809428456435,0.5518147766997024,-0.9609810852430586,0.8192889812641301,0.8761472697936947,-0.9528365036621218,0.7125147845229612,0.492738331224715,0.6804903784820653,0.26903964327264224,-0.11866454834270358,0.9292620957388809,0.6061970551782631,0.8933835564331857,1.0,0.728957135003765,0.8531904311948828,0.9506802548443143,-0.7837659421469052
peak_separation_ratio,-0.7380878762714124,0.34058267217105725,0.7119046568075206,-0.27308983393179603,-0.6808406801942272,-0.7370715464753856,0.31830624369406324,0.22509062893383497,0.014311293024703062,-0.7428571428571429,0.32042837181724054,0.44217649205414944,-0.7380878762714124,0.5259500389548055,0.09928694943810093,0.7920941675868408,-0.14289920914814622,-0.07732369676646773,0.6081206872461684,0.5822649477142862,0.8428571428571429,0.728957135003765,1.0,0.8607142857142858,0.5681040075656283,-0.8571428571428571
peak_mi_probe,-0.8770849593537606,0.5479616569920215,0.6575539883904258,-0.09667291021729159,-0.7993446035913575,-0.8658055002299706,0.5163560318748582,0.4046285279152016,0.19678027908966708,-0.9071428571428571,0.5128858714697229,0.6324802987609985,-0.8770849593537606,0.67800776620092,0.29674651667077756,0.8647102245703363,0.036420920803931264,-0.15464739353293547,0.7587029526595054,0.7025492138832665,0.9678571428571429,0.8531904311948828,0.8607142857142858,1.0,0.7204347351463173,-0.9
peak_mi_probe_layer,-0.8735277401649679,0.8787689931714514,0.16866731247719666,0.41904158679722353,-0.776841688310496,-0.8629299145836258,0.86282596668572,0.743085401998299,0.6597856234607608,-0.883518219967996,0.8648092291306918,0.8594420669330988,-0.8735277401649679,0.7490691275217115,0.6360518068560902,0.5545119530810951,0.430236941651845,-0.10864187753328289,0.9269694427956889,0.6204587485493165,0.7992882882469091,0.9506802548443143,0.5681040075656283,0.7204347351463173,1.0,-0.6756315799755264
peak_efficiency,0.82496105319788,-0.47244986767482827,-0.6568857424672647,0.08620372408776923,0.7857567477131151,0.8139775448222806,-0.4420177039533105,-0.33089770339555846,-0.18246898606496403,0.8107142857142857,-0.43670477785728196,-0.5485227369785651,0.82496105319788,-0.6853762023229784,-0.29808371464300787,-0.8867623400346494,-0.046222269521808794,0.015464739353293549,-0.7209460088909245,-0.7145776405001646,-0.8964285714285715,-0.7837659421469052,-0.8571428571428571,-0.9,-0.6756315799755264,1.0
