model,band,draw,n_edges,total_edges,size_fraction,base_accuracy,circuit_accuracy,circuit_kl_div,retention_ratio,completeness,frequency_rank,edge_fraction,skip_fraction,attn_fraction,mlp_fraction,resid_fraction,head_participation_rate,active_heads,mean_edges_per_head,n_universal,universal_fraction,convergence_layer,frac_converged,final_prob_correct,peak_probe_accuracy,peak_probe_layer,peak_separation_ratio,peak_mi_probe,peak_mi_probe_layer,peak_efficiency,model_capacity
pythia-70m,low,draw_1,380,1324,0.2870090634441087,0.2844444444444444,0.2088888888888889,0.2487964630126953,0.734375,1.0,1.0,0.2870090634441087,0.618421052631579,0.5447368421052632,0.3236842105263158,0.131578947368421,0.8125,39,5.307692307692308,297,0.72509765625,4.675555555555556,1.0,0.1008252725005149,0.6106666666666667,3,11.665065754144187,0.9674099614244832,3,0.0014818815438555,70
pythia-70m,low,draw_2,396,1324,0.2990936555891239,0.36,0.3111111111111111,0.2249734550714492,0.8641975308641976,1.0,1.0,0.2990936555891239,0.6287878787878788,0.5555555555555556,0.3181818181818182,0.1262626262626262,0.8333333333333334,40,5.5,297,0.7351485148514851,4.728888888888889,1.0,0.1360852271318435,0.5813333333333335,2,10.124511584967497,0.9353654682977331,2,0.001423141132391,70
pythia-70m,low,draw_3,391,1324,0.2953172205438066,0.2577777777777778,0.2088888888888889,0.2144651114940643,0.810344827586207,1.0,1.0,0.2953172205438066,0.6240409207161125,0.5447570332480819,0.3248081841432225,0.1304347826086956,0.8541666666666666,41,5.195121951219512,311,0.7508450024142926,4.768888888888889,1.0,0.0991033390164375,0.5884444444444443,4,14.38330750697524,0.9077897167895764,4,0.0013436945840753,70
pythia-70m,medium,draw_1,395,1324,0.2983383685800604,0.4222222222222222,0.3866666666666666,0.2442315071821212,0.9157894736842104,1.0,2.0,0.2983383685800604,0.6278481012658228,0.5620253164556962,0.3113924050632911,0.1265822784810126,0.8333333333333334,40,5.55,297,0.72509765625,4.551111111111111,1.0,0.1708840429782867,0.6106666666666667,3,11.665065754144187,0.9674099614244832,3,0.0014818815438555,70
pythia-70m,medium,draw_2,392,1324,0.29607250755287,0.4044444444444444,0.3422222222222222,0.2511306703090668,0.8461538461538461,1.0,2.0,0.29607250755287,0.6224489795918368,0.5510204081632653,0.3214285714285714,0.1275510204081632,0.8333333333333334,40,5.4,297,0.7351485148514851,4.671111111111111,1.0,0.1668748706579208,0.5813333333333335,2,10.124511584967497,0.9353654682977331,2,0.001423141132391,70
pythia-70m,medium,draw_3,406,1324,0.3066465256797583,0.3733333333333333,0.3155555555555555,0.2299052476882934,0.8452380952380951,1.0,2.0,0.3066465256797583,0.6354679802955665,0.5689655172413793,0.3029556650246305,0.1280788177339901,0.875,42,5.5,311,0.7508450024142926,4.671111111111111,1.0,0.1539411693811416,0.5884444444444443,4,14.38330750697524,0.9077897167895764,4,0.0013436945840753,70
pythia-70m,high,draw_1,414,1324,0.3126888217522658,0.4577777777777778,0.3777777777777777,0.2822001278400421,0.8252427184466019,1.0,3.0,0.3126888217522658,0.6376811594202898,0.5821256038647343,0.2922705314009662,0.1256038647342995,0.8541666666666666,41,5.878048780487805,297,0.72509765625,4.506666666666667,1.0,0.2091444879770279,0.6106666666666667,3,11.665065754144187,0.9674099614244832,3,0.0014818815438555,70
pythia-70m,high,draw_2,405,1324,0.3058912386706948,0.5333333333333333,0.4044444444444444,0.3076956272125244,0.7583333333333333,1.0,3.0,0.3058912386706948,0.6197530864197531,0.5802469135802469,0.2938271604938272,0.1259259259259259,0.8541666666666666,41,5.7317073170731705,297,0.7351485148514851,4.471111111111111,1.0,0.2038596719503402,0.5813333333333335,2,10.124511584967497,0.9353654682977331,2,0.001423141132391,70
pythia-70m,high,draw_3,431,1324,0.3255287009063444,0.5155555555555555,0.4666666666666667,0.2252688854932785,0.9051724137931036,1.0,3.0,0.3255287009063444,0.6194895591647331,0.5846867749419954,0.2946635730858468,0.1206496519721577,0.875,42,6.0,311,0.7508450024142926,4.5377777777777775,1.0,0.1954831480979919,0.5884444444444443,4,14.38330750697524,0.9077897167895764,4,0.0013436945840753,70
pythia-70m,very_high,draw_1,424,1324,0.3202416918429003,0.6533333333333333,0.5377777777777778,0.2377515435218811,0.8231292517006803,1.0,4.0,0.3202416918429003,0.6108490566037735,0.5849056603773585,0.2924528301886792,0.1226415094339622,0.8541666666666666,41,6.048780487804878,297,0.72509765625,4.306666666666667,1.0,0.2620950937271118,0.6106666666666667,3,11.665065754144187,0.9674099614244832,3,0.0014818815438555,70
pythia-70m,very_high,draw_2,417,1324,0.3149546827794562,0.6488888888888888,0.52,0.2692679464817047,0.8013698630136987,1.0,4.0,0.3149546827794562,0.6187050359712231,0.5875299760191847,0.2877697841726618,0.1247002398081534,0.8333333333333334,40,6.125,297,0.7351485148514851,4.391111111111111,1.0,0.2817676663398742,0.5813333333333335,2,10.124511584967497,0.9353654682977331,2,0.001423141132391,70
pythia-70m,very_high,draw_3,417,1324,0.3149546827794562,0.7066666666666667,0.5911111111111111,0.2597566843032837,0.8364779874213837,1.0,4.0,0.3149546827794562,0.6091127098321343,0.580335731414868,0.2949640287769784,0.1247002398081534,0.8333333333333334,40,6.05,311,0.7508450024142926,4.3244444444444445,1.0,0.3020095825195312,0.5884444444444443,4,14.38330750697524,0.9077897167895764,4,0.0013436945840753,70
pythia-160m,low,draw_1,1463,11467,0.1275835004796372,0.9244444444444444,0.8755555555555555,0.3096304833889007,0.9471153846153846,1.0,1.0,0.1275835004796372,0.8031442241968558,0.5741626794258373,0.3390293916609706,0.086807928913192,0.7083333333333334,102,8.235294117647058,694,0.4943724177233224,9.533333333333331,1.0,0.4066371023654938,0.663111111111111,7,12.593442586559542,1.1471012670609728,7,0.0011809256035744,160
pythia-160m,low,draw_2,1483,11467,0.12932763582454,0.9333333333333332,0.8977777777777778,0.2935936450958252,0.961904761904762,1.0,1.0,0.12932763582454,0.8024275118004046,0.576534052596089,0.3385030343897505,0.0849629130141604,0.6736111111111112,97,8.814432989690722,723,0.5065863228699551,9.582222222222224,1.0,0.4126692414283752,0.6266666666666667,6,13.26240001907072,1.064969575705608,7,0.0011905621493726,160
pythia-160m,low,draw_3,1408,11467,0.1227871282811546,0.9288888888888888,0.8977777777777778,0.3120543360710144,0.9665071770334928,1.0,1.0,0.1227871282811546,0.8039772727272727,0.5561079545454546,0.3551136363636363,0.088778409090909,0.6458333333333334,93,8.419354838709678,723,0.5206682990061933,9.537777777777778,1.0,0.4233699440956116,0.6533333333333333,7,12.591297954498204,1.0932937931829931,8,0.0011900249998431,160
pythia-160m,medium,draw_1,1446,11467,0.1261009854364698,0.9555555555555556,0.9155555555555556,0.2936775088310241,0.958139534883721,1.0,2.0,0.1261009854364698,0.8084370677731674,0.5691562932226832,0.3423236514522821,0.0885200553250345,0.7083333333333334,102,8.068627450980392,694,0.4943724177233224,9.351111111111113,1.0,0.4568287134170532,0.663111111111111,7,12.593442586559542,1.1471012670609728,7,0.0011809256035744,160
pythia-160m,medium,draw_2,1513,11467,0.1319438388418941,0.96,0.9244444444444444,0.2922984659671783,0.9629629629629628,1.0,2.0,0.1319438388418941,0.8096497025776602,0.5855915399867813,0.3317911434236616,0.0826173165895571,0.6805555555555556,98,9.040816326530612,723,0.5065863228699551,9.057777777777778,1.0,0.457634299993515,0.6266666666666667,6,13.26240001907072,1.064969575705608,7,0.0011905621493726,160
pythia-160m,medium,draw_3,1475,11467,0.1286299816865788,0.9555555555555556,0.8933333333333333,0.2756564021110534,0.9348837209302324,1.0,2.0,0.1286299816865788,0.8108474576271186,0.5823728813559322,0.3335593220338983,0.0840677966101695,0.6805555555555556,98,8.76530612244898,723,0.5206682990061933,9.248888888888889,1.0,0.4583573937416076,0.6533333333333333,7,12.591297954498204,1.0932937931829931,8,0.0011900249998431,160
