representational,functional,rho_overall,p_overall,rho_within_mean,rho_within_std,n_within_significant,n_models,simpsons_flag,partial_rho,partial_p
peak_probe_layer,size_fraction,-0.9528365036621216,1.0057474208707602e-31,-0.050380660777916704,0.21007601420046695,0,3,True,-0.777583614636738,2.7283491876300767e-13
peak_probe_accuracy,size_fraction,-0.9062654367316255,2.3439504874033597e-23,0.0029617443887954564,0.1461634668717514,0,5,True,-0.8552552892542893,3.3482984114072847e-18
peak_efficiency,circuit_kl_div,-0.8867623400346495,4.267128803841659e-21,-0.03547874375934497,0.3213825030811623,0,5,True,-0.7486581825813757,6.090931153239928e-12
peak_mi_probe,size_fraction,-0.8770849593537606,4.0063321075763475e-20,-0.038502677054341,0.1860138522603416,0,5,True,-0.8128210836017454,3.1078469534791996e-15
peak_probe_layer,total_edges,0.8761472697936946,4.9273658462676723e-20,,,0,0,False,0.891780649752352,1.2312521037428037e-21
peak_mi_probe_layer,size_fraction,-0.8735277401649678,8.706907206701885e-20,0.022565175972966763,0.12064756744298945,0,5,True,-0.7708952868098755,5.822721250664332e-13
convergence_layer,size_fraction,-0.8679994999239992,2.780441475944694e-19,0.4807813197953772,0.642305307820575,5,5,True,-0.7688567181924917,7.299251477213462e-13
peak_mi_probe_layer,n_edges,0.8648092291306918,5.307478819166215e-19,0.022565175972966763,0.12064756744298945,0,5,True,0.676417898335132,2.9961857326750595e-09
peak_mi_probe,circuit_kl_div,0.8647102245703365,5.413612549955174e-19,0.07687061147858074,0.2456616582815689,0,5,True,0.5929568824848623,5.975033914481164e-07
convergence_layer,n_edges,0.860552676632507,1.2262752194038236e-18,0.4807813197953772,0.642305307820575,5,5,False,0.6842741431950959,1.6642307123439598e-09
peak_mi_probe_layer,total_edges,0.8594420669330988,1.518847547687576e-18,,,0,0,False,0.8861592839219984,4.935009704735707e-21
convergence_layer,total_edges,0.8546044188563525,3.7777005119964105e-18,,,0,0,False,0.8261600791947736,4.435539133279476e-16
peak_efficiency,size_fraction,0.82496105319788,5.319189338499009e-16,0.020628562544567262,0.15189028669739008,0,5,True,0.7706096296849104,6.010910273597092e-13
peak_probe_layer,n_edges,0.81928898126413,1.2335089292555474e-15,-0.050380660777916704,0.21007601420046695,0,3,True,0.6789106252378283,2.491108964351911e-09
peak_probe_accuracy,circuit_kl_div,0.8139235344101003,2.6616900576047186e-15,0.07687061147858074,0.09999999999999999,0,5,True,0.5067531583970931,3.603366490801733e-05
peak_separation_ratio,circuit_kl_div,0.792094167586841,4.7970509196974825e-14,-0.035478743759344955,0.2660248687044705,0,5,True,0.5377152195035529,9.403182702851713e-06
final_prob_correct,base_accuracy,0.761070071252076,1.6950598329521424e-12,0.3084182662571614,0.5340180647362863,2,5,True,0.8410080526611108,4.140954090055214e-17
peak_mi_probe_layer,base_accuracy,0.7490691275217115,5.845331975577364e-12,-0.1497348158291345,0.22603918736752626,0,5,True,0.44382788786252747,0.0003822932395462183
peak_separation_ratio,size_fraction,-0.7380878762714123,1.709939923874712e-11,0.11242190896182638,0.13147804737719648,0,5,True,-0.19078686163466563,0.144237512851885
peak_probe_accuracy,total_edges,0.716437860543432,1.2234017856338594e-10,,,0,0,False,0.7092081432669753,2.2679330028807102e-10
peak_probe_layer,base_accuracy,0.7125147845229614,1.714118223731617e-10,-0.21194008053738753,0.16931111301058352,0,3,True,0.447149269440751,0.00034125601736859106
peak_efficiency,base_accuracy,-0.6853762023229784,1.530240353175e-09,-0.025076974198447656,0.16065541504062333,0,5,True,-0.5684924745484067,2.153914508106236e-06
final_prob_correct,circuit_kl_div,0.681633787163101,2.0319394568497533e-09,0.14125874125874127,0.3482320886410296,1,5,True,0.4462350652959156,0.00035213131404207646
peak_probe_layer,circuit_kl_div,0.6804903784820653,2.2139992365724666e-09,-0.011270350597486878,0.3303614890739294,0,3,True,0.4762759902239729,0.00011977602503384327
peak_probe_accuracy,base_accuracy,0.6804639115749395,2.2183911373393297e-09,0.021041714413818795,0.14456286417780922,0,5,True,0.6233137794244977,1.042277278559398e-07
peak_mi_probe,base_accuracy,0.67800776620092,2.663924898663454e-09,-0.01645026601410566,0.21020090389854457,0,5,True,0.5649268612231325,2.5745179166144634e-06
convergence_layer,circuit_kl_div,0.6532273752834303,1.5381034305934283e-08,0.33503000072403033,0.4969536265075964,3,5,False,0.5190474869324293,2.1470224126771334e-05
peak_mi_probe_layer,circuit_accuracy,0.6360518068560902,4.7319160832974596e-08,-0.150034619895832,0.19414076135350217,0,5,True,0.4336761534946998,0.0005371024507689183
peak_mi_probe,total_edges,0.6324802987609985,5.92607673159058e-08,,,0,0,False,0.632831881684378,5.796981895236814e-08
convergence_layer,base_accuracy,0.6172150361920821,1.5024371276110976e-07,-0.7453704973804426,0.17667103908840423,4,5,True,0.4346654097297326,0.0005198393096003329
final_prob_correct,circuit_accuracy,0.6149398984105603,1.718620566488047e-07,0.3444807617104494,0.5009749666181658,2,5,False,0.8413212579985991,3.928742437208989e-17
peak_probe_accuracy,n_edges,0.6120103938601797,2.0402297551363786e-07,0.0029617443887954564,0.1461634668717514,0,5,True,0.5881759581393282,7.740559238590945e-07
final_prob_correct,size_fraction,-0.5594687339902795,3.3693464466134643e-06,0.24432929055133937,0.5669010622534874,3,5,True,-0.8188499424233197,1.3148785494598228e-15
peak_mi_probe_layer,circuit_kl_div,0.5545119530810952,4.284296059013503e-06,0.05511331962071121,0.2928714919748492,0,5,True,0.47751737661095933,0.0001143062210065712
peak_efficiency,total_edges,-0.548522736978565,5.698122644091358e-06,,,0,0,False,-0.3927922024247863,0.0019069422423826084
peak_separation_ratio,base_accuracy,0.5259500389548055,1.591180048813675e-05,-0.1180152249363005,0.1983436346968449,0,5,True,-0.14585587008699813,0.26614347181916576
peak_mi_probe,n_edges,0.5128858714697229,2.7901076101361486e-05,-0.038502677054341,0.1860138522603416,0,5,True,0.4702289140814703,0.00015002113389941206
peak_probe_layer,circuit_accuracy,0.49273833122471505,6.349331567715526e-05,-0.1847777185210384,0.1551758660264442,0,3,True,0.43794470409470715,0.00046615304378546887
convergence_layer,circuit_accuracy,0.48526555978638913,8.503387482480653e-05,-0.6530893159691928,0.3407409065288799,3,5,True,0.4368755392919496,0.000483076025278994
peak_separation_ratio,total_edges,0.4421764920541494,0.0004043249717701567,,,0,0,False,0.5128120420545821,2.7987946047899926e-05
peak_efficiency,n_edges,-0.43670477785728196,0.00048582995367060127,0.020628562544567262,0.15189028669739008,0,5,True,-0.19167786857750121,0.14233804872167222
peak_mi_probe_layer,retention_ratio,0.430236941651845,0.0006012423141595919,-0.08161782018577618,0.23327830371048672,0,5,True,0.25361483360064135,0.05055188276525895
final_prob_correct,n_edges,0.37413690107668807,0.0032311008431728312,0.24432929055133937,0.5669010622534874,3,5,False,0.41350949586507774,0.0010235603248836761
final_prob_correct,retention_ratio,0.3724800981325625,0.0033811009708858463,0.14675018225398456,0.3483230810846835,1,5,True,0.624709984916983,9.575130259663634e-08
final_prob_correct,total_edges,0.3504897857885989,0.006042816354577103,,,0,0,False,0.1735296264580863,0.18485157748117623
peak_probe_accuracy,circuit_accuracy,0.32661060471725467,0.010866501766250702,-0.0774990780739899,0.12243551807163011,0,5,True,0.6104754736094666,2.2305513039504338e-07
peak_separation_ratio,n_edges,0.3204283718172406,0.012559883836768168,0.11242190896182638,0.13147804737719648,0,5,True,0.10859147115808467,0.4088620129794868
convergence_layer,retention_ratio,0.3010767627939081,0.019408195838746832,-0.33008218776030657,0.40879476365030465,2,5,True,0.27242035652906355,0.035223788352548434
peak_efficiency,circuit_accuracy,-0.2980837146430079,0.020709745439522934,0.05610857638322877,0.2457601799148372,0,5,True,-0.5493165256146497,5.488505817535804e-06
peak_mi_probe,circuit_accuracy,0.2967465166707776,0.021314756732547225,-0.0480346056087406,0.18682592757458225,0,5,True,0.5563347655484812,3.923797282953331e-06
peak_probe_layer,retention_ratio,0.2690396432726422,0.03765149991388879,-0.09467575125952608,0.20241564378404342,0,3,True,0.25837039023700836,0.04623815024990417
peak_mi_probe,completeness,-0.1546473935329355,0.23807649380278384,-0.27695585470349865,0.15990053726670783,0,4,False,-0.10258051177529541,0.4354314808598864
peak_separation_ratio,retention_ratio,-0.14289920914814622,0.27606154072526323,-0.06515837655350015,0.1729725963192257,0,5,True,-0.34392867993452864,0.007131571483898165
peak_probe_accuracy,completeness,-0.12371791482634839,0.34630503863900935,-0.09231861823449955,0.15990053726670783,0,4,False,-0.057970443740564294,0.6599649976407701
peak_probe_layer,completeness,-0.1186645483427036,0.36650878650267255,-0.21320071635561044,0.0,0,2,False,-0.01051083357961063,0.9364710452294687
peak_mi_probe_layer,completeness,-0.10864187753328289,0.40864326039057924,-0.10660035817780522,0.2383656473113981,0,4,False,-0.011579858469895352,0.9300251206154576
peak_separation_ratio,circuit_accuracy,0.09928694943810096,0.45039121415846955,-0.09588563686072005,0.18271628729960177,0,5,False,-0.1718911780619356,0.18909748334120108
peak_probe_accuracy,retention_ratio,0.07841078974302021,0.5515034189004252,-0.10056456658894444,0.10174049414063245,0,5,False,0.38825627534059803,0.0021739001165814544
peak_separation_ratio,completeness,-0.07732369676646775,0.5570508552751335,0.0,0.26111648393354675,0,4,False,0.06046136124504167,0.646305922018483
final_prob_correct,completeness,-0.05787179454328117,0.6605082620835823,0.06550697201117203,0.1989323058262158,0,4,False,0.03835919809000945,0.7710622095387097
convergence_layer,completeness,-0.05015694892590794,0.703514206903093,0.1748192198872243,0.131148042047863,0,4,False,0.01121430397173757,0.9322288311656614
peak_efficiency,retention_ratio,-0.046222269521808794,0.7258193989350635,0.07675659848387967,0.3037426076264244,0,5,False,-0.24346764712981853,0.06085662383676213
peak_mi_probe,retention_ratio,0.036420920803931264,0.7823389206693302,-0.04741900467382768,0.25691920947868835,0,5,False,0.31608471297091717,0.013881580171047061
peak_efficiency,completeness,0.015464739353293549,0.9066410012956401,-0.27695585470349865,0.15990053726670783,0,4,False,0.06295227874951903,0.6327619765255824
