model,band_1,band_2,model_capacity,freq_distance,transfer_12,transfer_21,transfer_mean,transfer_asymmetry,jaccard,embedding_cka,convergence_diff,peak_separation
pythia-70m,low,medium,70,1.0,0.3229629629629629,0.2518518518518518,0.2874074074074074,0.0711111111111111,0.7908898427646808,0.4744987639352805,0.0933333333333337,14.38330750697524
pythia-70m,low,high,70,2.0,0.3585185185185185,0.2696296296296296,0.314074074074074,0.0888888888888889,0.7705300400699934,0.4691603500889029,0.2192592592592603,14.38330750697524
pythia-70m,low,very_high,70,3.0,0.4681481481481482,0.231111111111111,0.3496296296296296,0.2370370370370371,0.7247772875465567,0.4703159527733105,0.3837037037037039,14.38330750697524
pythia-70m,low,control,70,,0.4325925925925926,0.2622222222222222,0.3474074074074074,0.1703703703703704,0.7267666640558113,0.4865470278981585,0.3644444444444445,14.38330750697524
pythia-70m,medium,high,70,1.0,0.3881481481481481,0.3451851851851852,0.3666666666666667,0.0429629629629629,0.7787542848011844,0.4636908984987354,0.1259259259259266,14.38330750697524
pythia-70m,medium,very_high,70,2.0,0.5111111111111111,0.3274074074074073,0.4192592592592592,0.1837037037037037,0.7408322967037687,0.4758033282601637,0.2903703703703701,14.38330750697524
pythia-70m,medium,control,70,,0.4533333333333333,0.3555555555555555,0.4044444444444444,0.0977777777777777,0.7398682300719115,0.488109300566647,0.2711111111111108,14.38330750697524
pythia-70m,high,very_high,70,1.0,0.5303703703703704,0.394074074074074,0.4622222222222222,0.1362962962962963,0.78721477415854,0.4655188560811702,0.1644444444444435,14.38330750697524
pythia-70m,high,control,70,,0.4977777777777777,0.4222222222222222,0.4599999999999999,0.0755555555555554,0.7774932826809255,0.4730203495397281,0.1451851851851842,14.38330750697524
pythia-70m,very_high,control,70,,0.4888888888888889,0.5688888888888889,0.5288888888888889,-0.08,0.7886704625731809,0.4834285655896344,0.0192592592592593,14.38330750697524
pythia-160m,low,medium,160,1.0,0.92,0.8444444444444446,0.8822222222222222,0.0755555555555553,0.5983940338711782,0.5524495651657498,0.3318518518518516,13.26240001907072
pythia-160m,low,high,160,2.0,0.9185185185185184,0.8340740740740741,0.8762962962962964,0.0844444444444444,0.5619140401543781,0.5465189889491638,0.6029629629629643,13.26240001907072
pythia-160m,low,very_high,160,3.0,0.914074074074074,0.8325925925925927,0.8733333333333334,0.0814814814814814,0.5272835171852304,0.5493981579087034,0.8785185185185185,13.26240001907072
pythia-160m,low,control,160,,0.9051851851851852,0.837037037037037,0.8711111111111112,0.0681481481481481,0.5590635483209955,0.5726080138188474,0.8607407407407415,13.26240001907072
pythia-160m,medium,high,160,1.0,0.9274074074074072,0.8918518518518518,0.9096296296296296,0.0355555555555555,0.5658494651337441,0.5364644551271723,0.2711111111111126,13.26240001907072
pythia-160m,medium,very_high,160,2.0,0.9125925925925924,0.8874074074074074,0.8999999999999999,0.025185185185185,0.5313387780897139,0.5492514576387427,0.5466666666666669,13.26240001907072
pythia-160m,medium,control,160,,0.92,0.8992592592592592,0.9096296296296296,0.0207407407407408,0.5533401069311022,0.5678608922210618,0.5288888888888899,13.26240001907072
pythia-160m,high,very_high,160,1.0,0.9229629629629632,0.9288888888888888,0.925925925925926,-0.0059259259259257,0.5482667599989334,0.5342340228691704,0.2755555555555542,13.26240001907072
pythia-160m,high,control,160,,0.9125925925925924,0.92,0.9162962962962964,-0.0074074074074075,0.5543742527731204,0.5527463489076424,0.2577777777777772,13.26240001907072
pythia-160m,very_high,control,160,,0.9303703703703704,0.9407407407407408,0.9355555555555556,-0.0103703703703704,0.5682932348747672,0.561380968237221,0.017777777777777,13.26240001907072
pythia-410m,low,medium,410,1.0,0.9762962962962964,0.9333333333333332,0.9548148148148148,0.042962962962963,0.443103131489443,0.5826999049178158,0.8933333333333309,15.194270810876482
pythia-410m,low,high,410,2.0,0.9777777777777776,0.9111111111111112,0.9444444444444444,0.0666666666666666,0.42707511948735,0.5761554610064671,2.1496296296296293,15.194270810876482
pythia-410m,low,very_high,410,3.0,0.9511111111111112,0.8637037037037038,0.9074074074074074,0.0874074074074073,0.4074499131390137,0.577752762712049,3.4503703703703685,15.194270810876482
pythia-410m,low,control,410,,0.9644444444444444,0.8977777777777778,0.9311111111111112,0.0666666666666667,0.4228547071319675,0.6017657947036937,3.168888888888887,15.194270810876482
pythia-410m,medium,high,410,1.0,0.9807407407407408,0.965925925925926,0.9733333333333334,0.0148148148148147,0.4419953820097521,0.5650325842468825,1.2562962962962985,15.194270810876482
pythia-410m,medium,very_high,410,2.0,0.9496296296296296,0.9288888888888888,0.9392592592592592,0.0207407407407408,0.4182158695769586,0.5761848587641878,2.5570370370370377,15.194270810876482
pythia-410m,medium,control,410,,0.9585185185185184,0.9511111111111112,0.9548148148148148,0.0074074074074074,0.431964803286541,0.5970704191549602,2.275555555555556,15.194270810876482
pythia-410m,high,very_high,410,1.0,0.9525925925925924,0.9688888888888888,0.9607407407407408,-0.0162962962962963,0.4343438909801391,0.5622762844647567,1.3007407407407392,15.194270810876482
pythia-410m,high,control,410,,0.9481481481481482,0.9674074074074074,0.9577777777777778,-0.0192592592592591,0.4358867505427181,0.5811008933972888,1.0192592592592575,15.194270810876482
