model,band_1,band_2,model_capacity,freq_distance,transfer_12,transfer_21,transfer_mean,transfer_asymmetry,jaccard,embedding_cka,convergence_diff,peak_separation
pythia-410m,very_high,control,410,,0.9644444444444444,0.9511111111111112,0.9577777777777778,0.0133333333333334,0.4409720781080006,0.5901043005644266,0.2814814814814816,15.194270810876482
pythia-1b,low,medium,1000,1.0,0.9407407407407408,0.908148148148148,0.9244444444444444,0.0325925925925926,0.4734953655373784,0.6387636702945818,0.5659259259259297,16.42091283795757
pythia-1b,low,high,1000,2.0,0.9437037037037038,0.8711111111111111,0.9074074074074074,0.0725925925925927,0.4624051385791505,0.6347793851188784,1.0740740740740744,16.42091283795757
pythia-1b,low,very_high,1000,3.0,0.908148148148148,0.7051851851851852,0.8066666666666666,0.2029629629629629,0.4425189104523088,0.6415302183084427,1.4903703703703712,16.42091283795757
pythia-1b,low,control,1000,,0.928888888888889,0.8148148148148149,0.8718518518518519,0.1140740740740741,0.4646744867244538,0.6703378751558667,1.330370370370371,16.42091283795757
pythia-1b,medium,high,1000,1.0,0.9377777777777778,0.92,0.9288888888888888,0.0177777777777778,0.4619290206761659,0.6255755728001976,0.5081481481481447,16.42091283795757
pythia-1b,medium,very_high,1000,2.0,0.9111111111111112,0.84,0.8755555555555555,0.0711111111111111,0.4557851369420644,0.6410230401760795,0.9244444444444416,16.42091283795757
pythia-1b,medium,control,1000,,0.9362962962962964,0.8933333333333334,0.9148148148148147,0.0429629629629628,0.4598281488112861,0.6655541747102537,0.7644444444444414,16.42091283795757
pythia-1b,high,very_high,1000,1.0,0.9333333333333332,0.92,0.9266666666666664,0.0133333333333333,0.4618005915415221,0.6272184207183366,0.4162962962962968,16.42091283795757
pythia-1b,high,control,1000,,0.942222222222222,0.9170370370370372,0.9296296296296296,0.0251851851851849,0.4795350139284162,0.6535762413974545,0.2562962962962967,16.42091283795757
pythia-1b,very_high,control,1000,,0.925925925925926,0.9437037037037038,0.9348148148148148,-0.0177777777777778,0.489332907704707,0.6668864640013901,0.1600000000000001,16.42091283795757
pythia-1.4b,low,medium,1400,1.0,0.8933333333333332,0.8088888888888889,0.851111111111111,0.0844444444444443,0.3870060898291624,,2.19407407407407,
pythia-1.4b,low,high,1400,2.0,0.925925925925926,0.7125925925925927,0.8192592592592594,0.2133333333333332,0.3671216001958851,,4.77333333333333,
pythia-1.4b,low,very_high,1400,3.0,0.9096296296296296,0.5762962962962962,0.7429629629629628,0.3333333333333333,0.3355441142407593,,6.952592592592593,
pythia-1.4b,low,control,1400,,0.9229629629629628,0.7496296296296295,0.8362962962962962,0.1733333333333333,0.358155902090793,,6.41185185185185,
pythia-1.4b,medium,high,1400,1.0,0.9274074074074076,0.842962962962963,0.8851851851851853,0.0844444444444444,0.3772047709527488,,2.57925925925926,
pythia-1.4b,medium,very_high,1400,2.0,0.92,0.7348148148148148,0.8274074074074074,0.1851851851851851,0.3474913735811647,,4.758518518518523,
pythia-1.4b,medium,control,1400,,0.9096296296296296,0.842962962962963,0.8762962962962964,0.0666666666666666,0.3661724171079898,,4.21777777777778,
pythia-1.4b,high,very_high,1400,1.0,0.9288888888888888,0.8740740740740741,0.9014814814814816,0.0548148148148147,0.368115775811517,,2.179259259259263,
pythia-1.4b,high,control,1400,,0.8992592592592592,0.9051851851851852,0.9022222222222224,-0.005925925925926,0.3799273613903517,,1.63851851851852,
pythia-1.4b,very_high,control,1400,,0.9155555555555556,0.9274074074074076,0.9214814814814816,-0.0118518518518518,0.3741638834806335,,0.540740740740743,
