structural,representational,rho_overall,p_overall,rho_within_mean,rho_within_std,n_within_significant,n_models,simpsons_flag,partial_rho,partial_p
universal_fraction,peak_probe_layer,-0.9609810852430585,4.610528848724792e-34,-0.12200846792814617,0.5643113210694606,1,3,True,-0.8414755901576522,3.828050014142606e-17
edge_fraction,peak_probe_layer,-0.9528365036621217,1.0057474208706998e-31,-0.050380660777916704,0.21007601420046695,0,3,True,-0.777583614636738,2.7283491876300767e-13
head_participation_rate,peak_probe_layer,-0.9371752387702568,3.30543670143023e-28,0.1842502926651196,0.2851627506149551,0,3,True,-0.9440488263314022,1.263151162963703e-29
universal_fraction,peak_probe_accuracy,-0.9357142857142857,6.308180906994554e-28,-0.4,0.4898979485566356,1,5,True,-0.9464285714285714,3.701748389802528e-30
universal_fraction,peak_mi_probe,-0.9071428571428573,1.8067237922019432e-23,-0.7,0.2449489742783178,2,5,False,-0.9428571428571428,2.2892361902960868e-29
edge_fraction,peak_probe_accuracy,-0.9062654367316255,2.3439504874033597e-23,0.0029617443887954573,0.1461634668717514,0,5,True,-0.8552552892542893,3.3482984114072847e-18
universal_fraction,convergence_layer,-0.8994840055311458,1.614069111589985e-22,0.07105077087799079,0.08442871566475574,0,5,True,-0.8443521849841031,2.347368286931754e-17
head_participation_rate,peak_probe_accuracy,-0.8977939372235342,2.555629414938759e-22,0.09771341819905957,0.25885390567883115,0,5,True,-0.862190861770754,8.913529474460618e-19
universal_fraction,peak_mi_probe_layer,-0.8835182199679962,9.241312360819516e-21,-0.17320508075688767,0.7211102550927977,3,5,True,-0.8343808070123264,1.2282573241813677e-16
skip_fraction,peak_mi_probe_layer,0.8787689931714514,2.7510283234592553e-20,-0.023227952640262638,0.20818640949221587,0,5,True,0.6940529690451619,7.800242116307598e-10
edge_fraction,peak_mi_probe,-0.8770849593537606,4.0063321075763475e-20,-0.038502677054341,0.1860138522603416,0,5,True,-0.8128210836017454,3.1078469534791996e-15
edge_fraction,peak_mi_probe_layer,-0.8735277401649678,8.706907206701885e-20,0.022565175972966763,0.12064756744298945,0,5,True,-0.7708952868098755,5.822721250664332e-13
resid_fraction,convergence_layer,-0.8731678175815274,9.40604204725742e-20,-0.44797055726385365,0.63136844998609,5,5,False,-0.7901968685203499,6.067857871436852e-14
skip_fraction,convergence_layer,0.8728778241164525,1.0008264402187271e-19,0.3771817141900204,0.18150212047684156,0,5,True,0.7637611495348867,1.2714769982539294e-12
edge_fraction,convergence_layer,-0.8679994999239992,2.780441475944694e-19,0.4807813197953772,0.642305307820575,5,5,True,-0.7688567181924918,7.299251477213376e-13
head_participation_rate,peak_mi_probe,-0.8658055002299708,4.344894262701632e-19,0.07812111288547688,0.38706968389354124,0,5,True,-0.81515821651904,2.234874487175743e-15
head_participation_rate,peak_mi_probe_layer,-0.8629299145836257,7.708441682036245e-19,-0.05129005421256936,0.30611195521314716,0,5,True,-0.9455294614029474,5.9239329940844514e-30
active_heads,peak_mi_probe_layer,0.86282596668572,7.867946191421587e-19,-0.05129005421256936,0.30611195521314716,0,5,True,0.7349896309711836,2.2926750951706682e-11
head_participation_rate,convergence_layer,-0.8572523234845847,2.3037203364636608e-18,0.35381138611861457,0.3327275790223803,2,5,True,-0.8904044914460875,1.741695284561591e-21
active_heads,convergence_layer,0.8544796697442106,3.865826645071186e-18,0.35381138611861457,0.3327275790223803,2,5,True,0.7460656760788725,7.882472073574649e-12
skip_fraction,peak_probe_layer,0.8417251215416972,3.6704616737302164e-17,0.11684733520014771,0.13127254527282245,0,3,True,0.7014900261864178,4.295442599572115e-10
edge_fraction,peak_efficiency,0.82496105319788,5.319189338499009e-16,0.020628562544567252,0.15189028669739008,0,5,True,0.7706096296849104,6.010910273597092e-13
active_heads,peak_probe_layer,0.8235531401338797,6.57249211528711e-16,0.1842502926651196,0.2851627506149551,0,3,True,0.7489300326349364,5.92738463957209e-12
head_participation_rate,peak_efficiency,0.8139775448222806,2.6414892576727156e-15,-0.16955394471176127,0.3491228338738756,0,5,True,0.6835336808738409,1.7604259551221415e-09
universal_fraction,peak_efficiency,0.8107142857142858,4.167282102404657e-15,-0.2,0.6,1,5,True,0.8250000000000001,5.288007368115603e-16
resid_fraction,peak_probe_layer,-0.8086917802547331,5.5038574170897674e-15,0.13655774839978377,0.1277380770053171,0,3,True,-0.7243136864191033,6.109488173673259e-11
resid_fraction,peak_mi_probe,-0.7993446035913575,1.909894526806884e-14,0.026624605046058875,0.21287376042532172,0,5,True,-0.7778490610954495,2.646061648048772e-13
resid_fraction,peak_probe_accuracy,-0.798453596648522,2.1430554755607153e-14,0.020711481086168042,0.19691866393135868,0,5,True,-0.8178329976551955,1.5235669689959895e-15
resid_fraction,peak_efficiency,0.7857567477131151,1.0419366561186989e-13,-0.06798537831219435,0.12320032298434726,0,5,True,0.7592492911637571,2.054725562123147e-12
resid_fraction,final_prob_correct,-0.7840342322822805,1.2806960116986002e-13,-0.356232111667903,0.5255156845162027,3,5,True,-0.8489142667430355,1.0587505168310527e-17
resid_fraction,peak_mi_probe_layer,-0.776841688310496,2.971511021198275e-13,0.00823287114088525,0.1427822302925789,0,5,True,-0.7235449171724154,6.544764634621413e-11
mean_edges_per_head,convergence_layer,0.7726495964734197,4.78466060042327e-13,0.387346144499651,0.6527011768846562,5,5,False,0.5466885255539639,6.21134917593619e-06
mean_edges_per_head,peak_mi_probe_layer,0.743085401998299,1.0561871974182195e-11,-0.01342102952727961,0.0856619630032867,0,5,True,0.4756255289762798,0.0001227370552796385
universal_fraction,peak_separation_ratio,-0.7428571428571429,1.0799463619862453e-11,-0.2,0.6000000000000001,1,5,True,-0.29285714285714287,0.023160353602616195
edge_fraction,peak_separation_ratio,-0.7380878762714123,1.709939923874712e-11,0.11242190896182638,0.13147804737719648,0,5,True,-0.19078686163466566,0.144237512851885
head_participation_rate,peak_separation_ratio,-0.7370715464753856,1.8834571194974994e-11,0.029006819013235617,0.2524946962679275,0,5,True,-0.47801662437109144,0.00011217184501685005
attn_fraction,peak_separation_ratio,0.7119046568075207,1.8055234329175048e-10,-0.04139186771923579,0.1537412229571615,0,5,True,0.5043029233455028,3.985651905198005e-05
mean_edges_per_head,peak_probe_layer,0.6868809428456433,1.3637316738339517e-09,-0.1976393853456876,0.22252591828304144,0,3,True,0.4710005678483262,0.00014580613900229045
resid_fraction,peak_separation_ratio,-0.6808406801942272,2.156641282892047e-09,0.04139186771923579,0.16787441193290353,0,5,True,-0.18232229567772779,0.1632356047300055
n_universal,peak_mi_probe_layer,0.6597856234607608,9.82522270697583e-09,-0.17320508075688773,0.7211102550927977,3,5,True,0.3811660725798425,0.0026583088931113642
attn_fraction,peak_mi_probe,0.657553988390426,1.1458031553577551e-08,-0.011826247919781657,0.18473189796533282,0,5,True,0.3254357645794079,0.011172176500910536
attn_fraction,peak_efficiency,-0.6568857424672649,1.1994855817192877e-08,0.17739371879672478,0.20139374508519514,0,5,True,-0.5352649844519626,1.0508924268349087e-05
skip_fraction,peak_probe_accuracy,0.6303786541818784,6.756099161657134e-08,0.07687061147858074,0.3374109569147894,0,5,True,0.7965491404079144,2.736052262653468e-14
active_heads,peak_probe_accuracy,0.6133190682942681,1.8901324585017246e-07,0.09771341819905957,0.25885390567883115,0,5,True,0.6809702902558565,2.135778315124854e-09
n_universal,convergence_layer,0.605136979889216,3.030691382244368e-07,0.07161858215305825,0.06309281934532952,0,5,True,0.4017324045526177,0.0014649830496305375
universal_fraction,final_prob_correct,-0.5962981121006674,4.973728058284932e-07,-0.17739371879672478,0.3591949039462824,1,5,True,-0.7571226309414152,2.5670595363482886e-12
attn_fraction,peak_probe_accuracy,0.5626630673015636,2.8801342797797753e-06,-0.10643623127803489,0.16472057288895986,0,5,True,0.20136477151251525,0.12287830526037931
edge_fraction,final_prob_correct,-0.5594687339902796,3.3693464466134486e-06,0.24432929055133937,0.5669010622534874,3,5,True,-0.8188499424233195,1.3148785494598421e-15
head_participation_rate,final_prob_correct,-0.5552652900994364,4.131717284554533e-06,0.11128606956902938,0.18917537495953493,0,5,True,-0.530182249596992,1.3198476001968423e-05
n_universal,peak_probe_layer,0.5518147766997024,4.874740830170545e-06,-0.16666666666666663,0.7453559924999298,2,3,True,0.3871942081678259,0.0022410339272886364
skip_fraction,peak_mi_probe,0.5479616569920216,5.850761411203235e-06,0.10052310731814404,0.23249934205486272,0,5,True,0.7462079475297855,7.772346802309191e-12
attn_fraction,final_prob_correct,0.5229230341761602,1.8160565510487836e-05,0.3076923076923077,0.5508607821852081,2,5,False,0.25012503473187,0.05392191849456801
active_heads,peak_mi_probe,0.5163560318748582,2.408850829431945e-05,0.07812111288547688,0.38706968389354124,0,5,True,0.5755369196204981,1.504820567769908e-06
mean_edges_per_head,peak_probe_accuracy,0.4915017048416694,6.666923753823067e-05,-0.05026673606792205,0.2841371114637859,0,5,True,0.45274290282832214,0.000281113673466243
skip_fraction,peak_efficiency,-0.4724498676748283,0.00013818174871538025,0.06504436355879908,0.21998092733600427,0,5,True,-0.6987624869853544,5.357272704384601e-10
active_heads,peak_efficiency,-0.4420177039533105,0.0004065031227759653,-0.16955394471176127,0.3491228338738756,0,5,True,-0.32510480142002185,0.011259619059176168
mlp_fraction,peak_mi_probe_layer,0.41904158679722353,0.0008609992502876565,0.19227504428869743,0.13711140766912944,0,5,True,0.22066752483237975,0.09021161838791268
mean_edges_per_head,peak_mi_probe,0.4046285279152016,0.0013429495305499878,-0.06799574312989445,0.24870465415609466,0,5,True,0.3428149212559842,0.007332491573327991
skip_fraction,final_prob_correct,0.38494026118366226,0.0023896685968949507,-0.09790209790209792,0.30401489677320503,0,5,True,0.7923867741039179,4.6253037185884547e-14
active_heads,final_prob_correct,0.3644099309428455,0.004203560094601031,0.11128606956902938,0.18917537495953493,0,5,True,0.47696382995525494,0.00011671628615754406
skip_fraction,peak_separation_ratio,0.3405826721710573,0.007750120868571768,-0.10052310731814407,0.2851818215256213,0,5,True,0.11115157188577998,0.39783778300067907
attn_fraction,peak_probe_layer,0.34024518924103264,0.007815033049683933,-0.15362746694975674,0.11062441971717746,0,3,True,0.18531833597907768,0.15631184254820246
mean_edges_per_head,final_prob_correct,0.3397379791655897,0.007913482905378666,0.3506818337588527,0.5693683106587211,2,5,False,0.4443240389986869,0.0003758906781653367
mean_edges_per_head,peak_efficiency,-0.33089770339555846,0.009811638155593706,0.14487671942617525,0.22984955861096593,0,5,True,-0.11505127149364251,0.3813845157503252
mlp_fraction,convergence_layer,0.32676651211591906,0.01082648624688961,-0.09906780318354642,0.5594952199458164,2,5,True,0.23835060722196882,0.06666174778001346
