structural,representational,rho_overall,p_overall,rho_within_mean,rho_within_std,n_within_significant,n_models,simpsons_flag,partial_rho,partial_p
active_heads,peak_separation_ratio,0.31830624369406324,0.013191391391166903,0.029006819013235617,0.2524946962679275,0,5,True,0.18200073387689258,0.16399189553857707
n_universal,peak_probe_accuracy,0.29874824189067645,0.02041454552227504,-0.3732050807568877,0.5574208174236452,2,5,True,0.35420450236140083,0.00549344330362201
attn_fraction,convergence_layer,0.2933952042034005,0.022897245762461386,0.23900884380017104,0.5895478210415442,2,5,False,0.21061991172097505,0.10624302339120444
mlp_fraction,peak_separation_ratio,-0.2730898339317961,0.03475880796450787,0.041391867719235774,0.14435775295826975,0,5,True,-0.37889543843228807,0.002832581212842455
mlp_fraction,peak_probe_layer,0.24601117333268235,0.058126748557508316,0.229828425098638,0.03707693639560784,0,3,False,0.21420057512196608,0.10029521229187238
n_universal,final_prob_correct,0.23341225896311493,0.07267726088221879,-0.17739371879672478,0.3606520900673252,1,5,True,0.39017336022658355,0.0020572506804178996
mean_edges_per_head,peak_separation_ratio,0.22509062893383494,0.08378523497985833,0.12416523834000726,0.11588684505063157,0,5,False,-0.10569569859386907,0.42154260214792066
n_universal,peak_mi_probe,0.1967802790896671,0.13181923566917125,-0.7464101615137754,0.20705523608201656,3,5,True,0.1967802790896671,0.13181923566917125
n_universal,peak_efficiency,-0.18246898606496406,0.16289145108268757,-0.1,0.6633249580710799,2,5,False,-0.003577823256175766,0.9783554186576976
attn_fraction,peak_mi_probe_layer,0.16866731247719668,0.1976553703456738,-0.13472822147958702,0.15654280243527646,0,5,True,0.18102330857959897,0.1663065129008821
mlp_fraction,peak_mi_probe,-0.09667291021729162,0.46246345324845745,-0.06504436355879907,0.23682043003912498,0,5,False,0.14278187891540076,0.27646012063070907
mlp_fraction,peak_efficiency,0.08620372408776926,0.5125285763005095,-0.24243808235552383,0.21352846553657806,0,5,False,0.03831276626123078,0.7713318056101677
mlp_fraction,final_prob_correct,0.06068352320088915,0.6450932213996246,-0.3090909090909091,0.5426753655719507,2,5,False,0.28480133370380667,0.02741547333094415
n_universal,peak_separation_ratio,0.014311293024703063,0.9135765782794611,-0.0267949192431123,0.6702850381015192,2,5,False,-0.22182504188289748,0.08849368240471862
mlp_fraction,peak_probe_accuracy,0.004009475538966013,0.9757448144325237,0.07687061147858076,0.17097008285302207,0,5,False,0.27509457170127916,0.03339686282353368
