model,draw,source_band,test_band,n_edges,ablation,accuracy,top5_accuracy,source_variant,test_variant
pythia-1.4b,draw_2,medium,very_high,2451,tokenwise_mean_corrupt,0.1244444444444444,0.6711111111111111,matched,matched
pythia-1.4b,draw_2,medium,control,2451,tokenwise_mean_corrupt,0.1022222222222222,0.6,matched,matched
pythia-1.4b,draw_2,high,very_low,2182,tokenwise_mean_corrupt,0.12,0.4177777777777778,matched,unmatched
pythia-1.4b,draw_2,high,low,2182,tokenwise_mean_corrupt,0.04,0.36,matched,matched
pythia-1.4b,draw_2,high,medium,2182,tokenwise_mean_corrupt,0.0222222222222222,0.3733333333333333,matched,matched
pythia-1.4b,draw_2,high,high,2182,tokenwise_mean_corrupt,0.04,0.4355555555555555,matched,matched
pythia-1.4b,draw_2,high,very_high,2182,tokenwise_mean_corrupt,0.0933333333333333,0.5555555555555556,matched,matched
pythia-1.4b,draw_2,high,control,2182,tokenwise_mean_corrupt,0.0711111111111111,0.4622222222222222,matched,matched
pythia-1.4b,draw_2,very_high,very_low,2025,tokenwise_mean_corrupt,0.16,0.5644444444444444,matched,unmatched
pythia-1.4b,draw_2,very_high,low,2025,tokenwise_mean_corrupt,0.0933333333333333,0.4977777777777777,matched,matched
pythia-1.4b,draw_2,very_high,medium,2025,tokenwise_mean_corrupt,0.0666666666666666,0.5466666666666666,matched,matched
pythia-1.4b,draw_2,very_high,high,2025,tokenwise_mean_corrupt,0.1022222222222222,0.6088888888888889,matched,matched
pythia-1.4b,draw_2,very_high,very_high,2025,tokenwise_mean_corrupt,0.28,0.6888888888888889,matched,matched
pythia-1.4b,draw_2,very_high,control,2025,tokenwise_mean_corrupt,0.2,0.6711111111111111,matched,matched
pythia-1.4b,draw_2,control,very_low,2221,tokenwise_mean_corrupt,0.2044444444444444,0.5911111111111111,matched,unmatched
pythia-1.4b,draw_2,control,low,2221,tokenwise_mean_corrupt,0.0844444444444444,0.4666666666666667,matched,matched
pythia-1.4b,draw_2,control,medium,2221,tokenwise_mean_corrupt,0.0755555555555555,0.4088888888888889,matched,matched
pythia-1.4b,draw_2,control,high,2221,tokenwise_mean_corrupt,0.1733333333333333,0.52,matched,matched
pythia-1.4b,draw_2,control,very_high,2221,tokenwise_mean_corrupt,0.2222222222222222,0.6622222222222223,matched,matched
pythia-1.4b,draw_2,control,control,2221,tokenwise_mean_corrupt,0.1866666666666666,0.5955555555555555,matched,matched
pythia-1.4b,draw_3,very_low,very_low,2152,tokenwise_mean_corrupt,0.1777777777777777,0.3333333333333333,unmatched,unmatched
pythia-1.4b,draw_3,very_low,low,2152,tokenwise_mean_corrupt,0.0222222222222222,0.1733333333333333,unmatched,matched
pythia-1.4b,draw_3,very_low,medium,2152,tokenwise_mean_corrupt,0.0488888888888888,0.2577777777777778,unmatched,matched
pythia-1.4b,draw_3,very_low,high,2152,tokenwise_mean_corrupt,0.0533333333333333,0.2088888888888889,unmatched,matched
pythia-1.4b,draw_3,very_low,very_high,2152,tokenwise_mean_corrupt,0.0444444444444444,0.2,unmatched,matched
pythia-1.4b,draw_3,very_low,control,2152,tokenwise_mean_corrupt,0.0977777777777777,0.2711111111111111,unmatched,matched
pythia-1.4b,draw_3,low,very_low,2604,tokenwise_mean_corrupt,0.4977777777777777,0.7644444444444445,matched,unmatched
pythia-1.4b,draw_3,low,low,2604,tokenwise_mean_corrupt,0.2222222222222222,0.6133333333333333,matched,matched
pythia-1.4b,draw_3,low,medium,2604,tokenwise_mean_corrupt,0.2311111111111111,0.6977777777777778,matched,matched
pythia-1.4b,draw_3,low,high,2604,tokenwise_mean_corrupt,0.1955555555555555,0.6533333333333333,matched,matched
pythia-1.4b,draw_3,low,very_high,2604,tokenwise_mean_corrupt,0.1777777777777777,0.64,matched,matched
pythia-1.4b,draw_3,low,control,2604,tokenwise_mean_corrupt,0.2088888888888889,0.6444444444444445,matched,matched
pythia-1.4b,draw_3,medium,very_low,2453,tokenwise_mean_corrupt,0.3866666666666666,0.7066666666666667,matched,unmatched
pythia-1.4b,draw_3,medium,low,2453,tokenwise_mean_corrupt,0.1244444444444444,0.5733333333333334,matched,matched
pythia-1.4b,draw_3,medium,medium,2453,tokenwise_mean_corrupt,0.1155555555555555,0.4666666666666667,matched,matched
pythia-1.4b,draw_3,medium,high,2453,tokenwise_mean_corrupt,0.0488888888888888,0.4533333333333333,matched,matched
pythia-1.4b,draw_3,medium,very_high,2453,tokenwise_mean_corrupt,0.0844444444444444,0.4844444444444444,matched,matched
pythia-1.4b,draw_3,medium,control,2453,tokenwise_mean_corrupt,0.1288888888888889,0.5066666666666667,matched,matched
pythia-1.4b,draw_3,high,very_low,2121,tokenwise_mean_corrupt,0.1733333333333333,0.4977777777777777,matched,unmatched
pythia-1.4b,draw_3,high,low,2121,tokenwise_mean_corrupt,0.0266666666666666,0.4088888888888889,matched,matched
pythia-1.4b,draw_3,high,medium,2121,tokenwise_mean_corrupt,0.0711111111111111,0.44,matched,matched
pythia-1.4b,draw_3,high,high,2121,tokenwise_mean_corrupt,0.0622222222222222,0.4,matched,matched
pythia-1.4b,draw_3,high,very_high,2121,tokenwise_mean_corrupt,0.0488888888888888,0.4933333333333333,matched,matched
pythia-1.4b,draw_3,high,control,2121,tokenwise_mean_corrupt,0.0755555555555555,0.5777777777777777,matched,matched
pythia-1.4b,draw_3,very_high,very_low,2108,tokenwise_mean_corrupt,0.1022222222222222,0.2666666666666666,matched,unmatched
pythia-1.4b,draw_3,very_high,low,2108,tokenwise_mean_corrupt,0.0088888888888888,0.0622222222222222,matched,matched
pythia-1.4b,draw_3,very_high,medium,2108,tokenwise_mean_corrupt,0.0266666666666666,0.1422222222222222,matched,matched
pythia-1.4b,draw_3,very_high,high,2108,tokenwise_mean_corrupt,0.0488888888888888,0.2133333333333333,matched,matched
pythia-1.4b,draw_3,very_high,very_high,2108,tokenwise_mean_corrupt,0.0755555555555555,0.3422222222222222,matched,matched
pythia-1.4b,draw_3,very_high,control,2108,tokenwise_mean_corrupt,0.1022222222222222,0.2933333333333333,matched,matched
pythia-1.4b,draw_3,control,very_low,2006,tokenwise_mean_corrupt,0.0,0.0,matched,unmatched
pythia-1.4b,draw_3,control,low,2006,tokenwise_mean_corrupt,0.0,0.0,matched,matched
pythia-1.4b,draw_3,control,medium,2006,tokenwise_mean_corrupt,0.04,0.0888888888888888,matched,matched
pythia-1.4b,draw_3,control,high,2006,tokenwise_mean_corrupt,0.3022222222222222,0.6044444444444445,matched,matched
pythia-1.4b,draw_3,control,very_high,2006,tokenwise_mean_corrupt,0.4355555555555555,0.7955555555555556,matched,matched
pythia-1.4b,draw_3,control,control,2006,tokenwise_mean_corrupt,0.4755555555555555,0.7466666666666667,matched,matched
