model,draw,universal_kind,test_band,n_edges,ablation,accuracy,top5_accuracy
pythia-410m,draw_1,univ6,very_low,1183,tokenwise_mean_corrupt,0.0,0.0
pythia-410m,draw_1,univ6,low,1183,tokenwise_mean_corrupt,0.0,0.013333333333333334
pythia-410m,draw_1,univ6,medium,1183,tokenwise_mean_corrupt,0.0,0.0044444444444444444
pythia-410m,draw_1,univ6,high,1183,tokenwise_mean_corrupt,0.0044444444444444444,0.008888888888888889
pythia-410m,draw_1,univ6,very_high,1183,tokenwise_mean_corrupt,0.0,0.022222222222222223
pythia-410m,draw_1,univ6,control,1183,tokenwise_mean_corrupt,0.0,0.008888888888888889
pythia-410m,draw_1,univ5,very_low,1283,tokenwise_mean_corrupt,0.0,0.0
pythia-410m,draw_1,univ5,low,1283,tokenwise_mean_corrupt,0.008888888888888889,0.022222222222222223
pythia-410m,draw_1,univ5,medium,1283,tokenwise_mean_corrupt,0.0,0.008888888888888889
pythia-410m,draw_1,univ5,high,1283,tokenwise_mean_corrupt,0.0044444444444444444,0.013333333333333334
pythia-410m,draw_1,univ5,very_high,1283,tokenwise_mean_corrupt,0.0,0.017777777777777778
pythia-410m,draw_1,univ5,control,1283,tokenwise_mean_corrupt,0.0044444444444444444,0.013333333333333334
pythia-410m,draw_2,univ6,very_low,1183,tokenwise_mean_corrupt,0.0,0.0
pythia-410m,draw_2,univ6,low,1183,tokenwise_mean_corrupt,0.0044444444444444444,0.0044444444444444444
pythia-410m,draw_2,univ6,medium,1183,tokenwise_mean_corrupt,0.0,0.0
pythia-410m,draw_2,univ6,high,1183,tokenwise_mean_corrupt,0.0044444444444444444,0.0044444444444444444
pythia-410m,draw_2,univ6,very_high,1183,tokenwise_mean_corrupt,0.0,0.013333333333333334
pythia-410m,draw_2,univ6,control,1183,tokenwise_mean_corrupt,0.0044444444444444444,0.0044444444444444444
pythia-410m,draw_2,univ5,very_low,1301,tokenwise_mean_corrupt,0.0,0.0
pythia-410m,draw_2,univ5,low,1301,tokenwise_mean_corrupt,0.0044444444444444444,0.0044444444444444444
pythia-410m,draw_2,univ5,medium,1301,tokenwise_mean_corrupt,0.0,0.0
pythia-410m,draw_2,univ5,high,1301,tokenwise_mean_corrupt,0.0044444444444444444,0.0044444444444444444
pythia-410m,draw_2,univ5,very_high,1301,tokenwise_mean_corrupt,0.0,0.0044444444444444444
pythia-410m,draw_2,univ5,control,1301,tokenwise_mean_corrupt,0.0,0.008888888888888889
pythia-410m,draw_3,univ6,very_low,1198,tokenwise_mean_corrupt,0.0044444444444444444,0.008888888888888889
pythia-410m,draw_3,univ6,low,1198,tokenwise_mean_corrupt,0.0,0.008888888888888889
pythia-410m,draw_3,univ6,medium,1198,tokenwise_mean_corrupt,0.0,0.0
pythia-410m,draw_3,univ6,high,1198,tokenwise_mean_corrupt,0.0,0.0
pythia-410m,draw_3,univ6,very_high,1198,tokenwise_mean_corrupt,0.0,0.008888888888888889
pythia-410m,draw_3,univ6,control,1198,tokenwise_mean_corrupt,0.0044444444444444444,0.013333333333333334
pythia-410m,draw_3,univ5,very_low,1324,tokenwise_mean_corrupt,0.0044444444444444444,0.008888888888888889
pythia-410m,draw_3,univ5,low,1324,tokenwise_mean_corrupt,0.0,0.0
pythia-410m,draw_3,univ5,medium,1324,tokenwise_mean_corrupt,0.0,0.0
pythia-410m,draw_3,univ5,high,1324,tokenwise_mean_corrupt,0.0,0.0
pythia-410m,draw_3,univ5,very_high,1324,tokenwise_mean_corrupt,0.0,0.0044444444444444444
pythia-410m,draw_3,univ5,control,1324,tokenwise_mean_corrupt,0.0,0.0044444444444444444
