model,ablation,n_draws,n_pairs,same_band_boost_mean,cross_band_boost_mean,transfer_efficiency,cohens_d,wilcoxon_p_cell_level_exact_lattice,draws_with_positive_mean_diff,draw_level_sign_test_min_p,mean_same_band_circuit_acc,vl_on_core_retention_mean,vl_on_core_retention_min,vl_on_core_retention_max,core_on_vl_retention_mean,core_on_vl_retention_min,core_on_vl_retention_max,n_retention_pairs_vl_on_core,n_retention_pairs_core_on_vl,contains_unmatched_very_low,very_low_length_matched,very_low_pool_n_tokens
pythia-1.4b,tokenwise_mean_corrupt,3,18,0.14913580246913577,0.09614814814814815,0.644701986754967,0.6335301103686516,0.04073491138723014,3/3,0.125,0.14913580246913577,0.4426513364061464,0.0999999999999999,0.9411764705882358,0.9578070175438598,0.0,2.8000000000000007,15,15,True,False,97
pythia-160m,tokenwise_mean_corrupt,3,18,0.4451851851851852,0.3886913580246914,0.8731003882418193,0.3237976732246927,0.12310409545898438,3/3,0.125,0.6027160493827161,0.16860854619397056,0.0,1.333333333333331,5.278746093031809,0.7551020408163267,11.750000000000007,15,15,True,False,97
pythia-1b,tokenwise_mean_corrupt,3,18,0.42740740740740735,0.34760493827160494,0.8132871172732525,0.6850762894173087,0.06486892700195312,3/3,0.125,0.42839506172839503,0.550236499493442,0.16666666666666657,0.9855072463768119,1.089648383355492,0.24528301886792442,2.603448275862069,15,15,True,False,97
pythia-410m,tokenwise_mean_corrupt,3,18,0.38222222222222224,0.29041975308641976,0.7598191214470285,0.572171026828285,0.10607147216796875,3/3,0.125,0.3837037037037037,1.1696683229404694,0.11034482758620687,8.285714285714288,0.7405813863829132,0.0,1.7575757575757578,14,15,True,False,97
pythia-70m,tokenwise_mean_corrupt,3,18,0.14246913580246914,0.12074074074074075,0.8474870017331022,0.39674125166296853,0.040714263916015625,3/3,0.125,0.40567901234567905,0.946979473851277,0.7443609022556391,1.2916666666666665,0.882541816009558,0.5322580645161289,1.5000000000000002,15,15,True,False,97
